rank	yeast_gene	ensemble_score
1	YEL013W	0.063136846
2	YOR351C	0.061661954
3	YIL035C	0.060850490
4	YJL128C	0.059127372
5	YDL006W	0.058673631
6	YIL008W	0.053904690
7	YDL194W	0.051385396
8	YOL113W	0.049184693
9	YLR253W	0.047583154
10	YKR059W	0.046742293
11	YMR138W	0.043612845
12	YHR032W	0.042424167
13	YDL138W	0.042035679
14	YPL274W	0.041534033
15	YMR080C	0.037660375
16	YML123C	0.037292154
17	YOL068C	0.034388974
18	YAL059W	0.033212423
19	YJL124C	0.032446715
20	YPL236C	0.032253628
21	YLL048C	0.031166998
22	YIL017C	0.030095636
23	YOR061W	0.029916290
24	YDL035C	0.029777789
25	YBL002W	0.028903059
26	YML001W	0.028438166
27	YMR100W	0.028203037
28	YIR005W	0.027652358
29	YOR380W	0.026422943
30	YLR014C	0.025989615
31	YKR039W	0.025103919
32	YKL222C	0.023979815
33	YLR248W	0.023528300
34	YBR114W	0.023429390
35	YFR032C	0.022063744
36	YBR089C-A	0.021915111
37	YGL115W	0.021832107
38	YDR520C	0.020950963
39	YJL206C	0.020586559
40	YLL054C	0.020316484
41	YKR064W	0.019967786
42	YGR152C	0.019948972
43	YMR177W	0.019548814
44	YNL020C	0.019462600
45	YGR040W	0.018544800
46	YHR003C	0.018410399
47	YJL106W	0.017384063
48	YKL015W	0.017147126
49	YLR120C	0.016944720
50	YDR147W	0.016922297
51	YLR113W	0.016874829
52	YLR233C	0.016200858
53	YCR008W	0.016166684
54	YOR360C	0.015692464
55	YFR001W	0.015432532
56	YCR106W	0.015216185
57	YDR477W	0.014667510
58	YOL012C	0.014537666
59	YLL046C	0.014424764
60	YPR152C	0.014258127
61	YNL130C	0.013810838
62	YDR075W	0.013785097
63	YKL027W	0.013757177
64	YPR052C	0.013576008
65	YDL036C	0.013474880
66	YHR178W	0.013417097
67	YHR015W	0.013278658
68	YHR192W	0.013229059
69	YMR258C	0.012738313
70	YCL011C	0.012510084
71	YBR274W	0.012247773
72	YLR451W	0.012213675
73	YBR097W	0.012142129
74	YAR018C	0.012130985
75	YIL009C-A	0.011710737
76	YBL003C	0.010926700
77	YNL021W	0.010679995
78	YNL004W	0.010672161
79	YCR020C-A	0.010365759
80	YKL214C	0.010202923
81	YOR172W	0.010068456
82	YGR229C	0.009949509
83	YJL149W	0.009928315
84	YIL016W	0.009726156
85	YPR009W	0.009615247
86	YOR363C	0.009593569
87	YGL251C	0.009565545
88	YDL213C	0.009412038
89	YML121W	0.009374370
90	YFR023W	0.009328874
91	YPR196W	0.009300051
92	YFL028C	0.009257126
93	YDR306C	0.009245763
94	YGL252C	0.009202978
95	YPL109C	0.009198764
96	YNL299W	0.009197421
97	YPL033C	0.009070162
98	YOR078W	0.008915076
99	YHR004C	0.008717843
100	YNL229C	0.008493578
101	YNL257C	0.008325224
102	YPL184C	0.008188180
103	YLR266C	0.007962419
104	YOL090W	0.007947212
105	YIL113W	0.007909879
106	YBR062C	0.007880013
107	YPL194W	0.007850586
108	YKR001C	0.007806883
109	YER176W	0.007655541
