rank	yeast_gene	ensemble_score
1	YKL190W	0.096055079
2	YOR061W	0.086225878
3	YIL035C	0.074621824
4	YPL026C	0.063893934
5	YPR152C	0.058589653
6	YNL032W	0.054947193
7	YOL113W	0.053922734
8	YDL214C	0.050503833
9	YDR026C	0.049192709
10	YPL166W	0.048111422
11	YDR523C	0.046044597
12	YKR017C	0.045414571
13	YML011C	0.042174539
14	YDL002C	0.040814632
15	YNR032C-A	0.040401430
16	YOL068C	0.039159995
17	YOR360C	0.038499100
18	YBR217W	0.038375686
19	YMR159C	0.037326397
20	YCR008W	0.034350208
21	YNL286W	0.034215687
22	YKL161C	0.033563545
23	YML068W	0.031437002
24	YDR247W	0.031346198
25	YBR231C	0.030645094
26	YOR233W	0.028358044
27	YDL079C	0.027724722
28	YER177W	0.027062421
29	YHR003C	0.026824365
30	YGR040W	0.026457451
31	YBR141C	0.024998750
32	YHR156C	0.024959594
33	YOR107W	0.024906165
34	YAR018C	0.024698539
35	YHL020C	0.024633854
36	YPL236C	0.024331275
37	YJL164C	0.023109106
38	YKL160W	0.022410165
39	YNL136W	0.022013360
40	YDR099W	0.021446777
41	YBR274W	0.021395593
42	YBR258C	0.021097277
43	YDR066C	0.020814478
44	YPR054W	0.020345462
45	YOR064C	0.020300207
46	YNL155W	0.020082717
47	YOL045W	0.019394695
48	YPL133C	0.019353497
49	YLR253W	0.019156745
50	YGL115W	0.018895219
51	YDR363W-A	0.018320353
52	YLR451W	0.018116280
53	YER106W	0.018006434
54	YOL054W	0.017977549
55	YPL086C	0.017849954
56	YER007C-A	0.017772488
57	YJL168C	0.017432951
58	YCL029C	0.016662296
59	YOR027W	0.016239963
60	YDL216C	0.016138970
61	YEL013W	0.015619910
62	YBR089C-A	0.015619337
63	YPR052C	0.015504400
64	YNL209W	0.015470350
65	YBR186W	0.014909469
66	YGR108W	0.014833005
67	YHR030C	0.014788610
68	YGL029W	0.014730151
69	YFR014C	0.014709027
70	YKL166C	0.014431602
71	YDR448W	0.014103093
72	YBR114W	0.014041224
73	YLR119W	0.013931553
74	YKR059W	0.013843644
75	YPR018W	0.013315262
76	YOR298C-A	0.013177032
77	YOR033C	0.013086127
78	YOL108C	0.013069703
79	YOR091W	0.012893539
80	YJR014W	0.012768147
81	YOR295W	0.012735034
82	YCL010C	0.012729930
83	YBR273C	0.012613165
84	YPR031W	0.012491180
85	YPL109C	0.012190736
86	YGL090W	0.012125113
87	YOR304W	0.011740869
88	YLR113W	0.011668675
89	YPR111W	0.011498960
90	YLR445W	0.011195015
91	YPR093C	0.011146995
92	YLR455W	0.011022974
93	YPL138C	0.010999756
94	YER002W	0.010879220
95	YPR173C	0.010824211
96	YGR129W	0.010809110
97	YER139C	0.010783742
98	YNL213C	0.010762428
99	YCR091W	0.010740389
100	YIR017C	0.010513035
101	YMR269W	0.010224193
102	YMR246W	0.010169275
103	YJL128C	0.009990178
104	YOR351C	0.009902099
105	YDR469W	0.009708977
106	YDR263C	0.009635439
107	YAL017W	0.009609142
108	YHR200W	0.009552258
109	YKR064W	0.009501638
110	YNL227C	0.009129845
111	YML097C	0.009077544
112	YPL157W	0.009035285
113	YOL117W	0.008948232
114	YDR059C	0.008942803
115	YLR074C	0.008922872
116	YDL051W	0.008874613
117	YCL032W	0.008717349
118	YBR188C	0.008556770
119	YDL006W	0.008517030
120	YGR288W	0.008446456
121	YPL199C	0.008398264
122	YOR039W	0.008315693
123	YJR119C	0.008289584
124	YIL095W	0.008279905
125	YGL251C	0.008252550
126	YHR157W	0.008079166
127	YPR179C	0.008034242
128	YGL244W	0.007723855
129	YJL098W	0.007636050
130	YOL013C	0.007604626
131	YPL184C	0.007548215
132	YDR083W	0.007455966
133	YGL192W	0.007448308
134	YHR193C	0.007231828
135	YLL019C	0.007151412
136	YER030W	0.007049003
137	YPL121C	0.007032151
138	YDR181C	0.007001749
139	YKL116C	0.006854689
140	YMR216C	0.006793385
141	YJL036W	0.006694783
142	YDL036C	0.006691023
143	YMR127C	0.006613897
144	YHR015W	0.006563542
145	YER064C	0.006475086
146	YMR276W	0.006469972
147	YDR289C	0.006437008
148	YBL010C	0.006380494
149	YER161C	0.006370477
150	YKL048C	0.006342570
151	YOL043C	0.006289120
152	YGL062W	0.006208965
153	YBL052C	0.006208787
154	YBR034C	0.006149519
155	YKR029C	0.005967323
156	YGR044C	0.005793944
157	YLR014C	0.005692231
158	YDR147W	0.005596678
159	YPL002C	0.005586175
160	YIL016W	0.005478842
161	YMR044W	0.005448221
162	YGL131C	0.005426999
163	YGL043W	0.005419519
164	YGL033W	0.005414075
165	YER179W	0.005400325
166	YBR097W	0.005394393
167	YDR363W	0.005387598
168	YIL084C	0.005348149
169	YNL215W	0.005335914
170	YMR233W	0.005314030
171	YDL213C	0.005271277
172	YGR229C	0.005262103
173	YBL021C	0.005182947
174	YPR009W	0.005171999
175	YBR111W-A	0.005167318
176	YBR028C	0.005156784
177	YKL015W	0.005119593
178	YOL006C	0.005116267
179	YDL101C	0.005114177
180	YMR138W	0.005085703
181	YOL017W	0.005050601
182	YNL138W	0.005047358
183	YDL154W	0.005030806
184	YGL070C	0.005020801
185	YJL106W	0.005011291
186	YHR006W	0.004989795
187	YDR323C	0.004956110
188	YCR087C-A	0.004860460
189	YER174C	0.004846176
190	YLR210W	0.004828749
191	YJR050W	0.004825144
192	YHR152W	0.004771507
193	YGR109C	0.004767031
194	YLR423C	0.004738055
195	YDR121W	0.004709953
196	YDR477W	0.004692677
197	YIL010W	0.004683536
198	YNL299W	0.004664474
199	YPL181W	0.004661786
200	YIR018W	0.004648277
201	YJR135C	0.004567036
202	YBR082C	0.004528778
203	YNL201C	0.004515141
204	YPL212C	0.004479174
205	YNL025C	0.004453588
206	YGL175C	0.004403954
207	YOR014W	0.004395614
208	YNL241C	0.004392906
209	YMR116C	0.004345575
210	YNL023C	0.004295896
211	YNL257C	0.004295205
212	YDR386W	0.004143433
213	YMR294W	0.004141068
214	YMR014W	0.004111519
215	YPL202C	0.004083112
216	YBR285W	0.004073257
217	YFL052W	0.003981005
218	YJL105W	0.003855768
219	YOL028C	0.003847961
220	YOL041C	0.003842756
221	YDL135C	0.003778050
222	YLR016C	0.003770755
223	YBR062C	0.003768060
224	YEL066W	0.003724995
225	YNL020C	0.003708184
226	YEL037C	0.003688463
227	YBL024W	0.003675837
228	YFR040W	0.003665086
229	YER049W	0.003557296
230	YKL090W	0.003536163
231	YPL064C	0.003520612
232	YPR196W	0.003516118
233	YPL046C	0.003374889
234	YER031C	0.003358424
235	YBR297W	0.003351610
236	YNR034W	0.003228248
237	YNL204C	0.003191581
238	YJL103C	0.003133547
239	YDR219C	0.003127147
240	YER120W	0.003117031
241	YIR023W	0.003109221
242	YBR239C	0.003100724
243	YJL187C	0.003081073
244	YBL078C	0.003027052
245	YJL124C	0.002994798
246	YIL112W	0.002984611
247	YAL013W	0.002951205
248	YKL002W	0.002946308
249	YGR072W	0.002913694
250	YHR207C	0.002894389
251	YKL011C	0.002893162
252	YHL010C	0.002880334
253	YOR078W	0.002803131
254	YKR057W	0.002782305
255	YDR458C	0.002749612
256	YCL061C	0.002682612
257	YCR014C	0.002607881
258	YOR346W	0.002601857
259	YMR177W	0.002549015
260	YDR485C	0.002530101
261	YPR119W	0.002504444
262	YNL147W	0.002501387
263	YOR025W	0.002472243
264	YKL010C	0.002463314
265	YOR368W	0.002437981
266	YDL127W	0.002393237
267	YKR028W	0.002393133
268	YDL074C	0.002288805
269	YDR098C	0.002288709
270	YKR092C	0.002263247
271	YMR025W	0.002260263
272	YER123W	0.002217664
273	YJL048C	0.002203633
274	YLR387C	0.002170638
275	YDR463W	0.002106970
276	YNL206C	0.002100978
277	YFR001W	0.002093098
278	YBL056W	0.002069922
279	YJR043C	0.002040348
280	YLR421C	0.002029162
281	YBR073W	0.002027049
282	YOL001W	0.002015045
283	YDR022C	0.002008369
284	YAL044W-A	0.001998752
285	YPR120C	0.001996390
286	YKL213C	0.001989479
287	YML001W	0.001957057
288	YDR049W	0.001910181
289	YGL208W	0.001887161
290	YDR265W	0.001866653
291	YDR158W	0.001839013
292	YJL013C	0.001783412
293	YPR141C	0.001771634
294	YBR098W	0.001771366
295	YDL059C	0.001771366
296	YFR023W	0.001766446
297	YOR058C	0.001764570
298	YLR309C	0.001750148
299	YPR023C	0.001730248
300	YDR451C	0.001717631
301	YLR248W	0.001670312
302	YGR081C	0.001606945
303	YDR179C	0.001569827
304	YPL127C	0.001558709
305	YER063W	0.001558276
306	YNR024W	0.001548213
307	YDR419W	0.001548187
308	YHR124W	0.001538385
309	YOR123C	0.001534414
