rank	yeast_gene	ensemble_score
1	YPL031C	0.052785339
2	YAL054C	0.026460990
3	YDR156W	0.023970837
4	YLR098C	0.023917123
5	YPL192C	0.023323618
6	YFR014C	0.022094692
7	YLL048C	0.021240847
8	YGR209C	0.021111623
9	YML081W	0.020988334
10	YPR149W	0.020869032
11	YDR523C	0.019995011
12	YGL087C	0.019074231
13	YNL098C	0.017526048
14	YMR022W	0.017056101
15	YMR080C	0.016974616
16	YML123C	0.016798603
17	YLR233C	0.016589429
18	YDR375C	0.016287669
19	YOL013C	0.016151396
20	YKL017C	0.015757536
21	YGL100W	0.015403067
22	YLR043C	0.015352187
23	YOR179C	0.014307821
24	YGR152C	0.013959417
25	YDR252W	0.013943608
26	YBR201W	0.013897421
27	YPL037C	0.013575486
28	YJR127C	0.013035532
29	YIL040W	0.012688703
30	YCL011C	0.012647846
31	YER035W	0.012335525
32	YDR216W	0.012322790
33	YLR059C	0.012244952
34	YHR032W	0.012207615
35	YIR005W	0.012154439
36	YAL027W	0.012050134
37	YMR274C	0.011880539
38	YHR135C	0.011871642
39	YGR275W	0.011806806
40	YDR074W	0.011334768
41	YHR127W	0.011304331
42	YOL090W	0.011047842
43	YNL288W	0.010876759
44	YEL066W	0.010746923
45	YOR380W	0.010673810
46	YFR032C	0.010383195
47	YPL046C	0.010324572
48	YNL210W	0.010269541
49	YIL113W	0.010226620
50	YNL130C	0.009880756
51	YDR513W	0.009710698
52	YPL096C-A	0.009504896
53	YJL056C	0.009486189
54	YCR020C-A	0.009394569
55	YLR364W	0.009368580
56	YLR021W	0.009311487
57	YNL154C	0.009300836
58	YOR363C	0.008460143
59	YIR026C	0.008376150
60	YNL008C	0.008309789
61	YAL055W	0.008264699
62	YNL016W	0.008181853
63	YOR337W	0.008111098
64	YOR189W	0.008101154
65	YLL046C	0.008022815
66	YHR030C	0.007910250
67	YDR131C	0.007837960
68	YGL058W	0.007818402
69	YKR001C	0.007674817
70	YMR138W	0.007522591
71	YLR154C	0.007420407
72	YER092W	0.007366273
73	YBL002W	0.007364361
74	YMR306W	0.007166114
75	YCR020W-B	0.007094861
76	YIL146C	0.007083029
77	YGR040W	0.007021509
78	YBR082C	0.006982048
79	YOR339C	0.006956999
