rank	yeast_gene	ensemble_score
1	YKR059W	0.101177892
2	YPL203W	0.098497381
3	YJL164C	0.096643357
4	YKR039W	0.084954669
5	YOR185C	0.084766643
6	YLR113W	0.083086104
7	YGR040W	0.076602324
8	YDL138W	0.074795284
9	YEL013W	0.074271339
10	YGR152C	0.072689776
11	YKL166C	0.071956815
12	YML123C	0.070549406
13	YNL098C	0.068198439
14	YDL194W	0.065484496
15	YPL031C	0.064878291
16	YDL006W	0.064124487
17	YER031C	0.062628548
18	YHR032W	0.061814869
19	YFR014C	0.061227417
20	YPR111W	0.061199420
21	YPR173C	0.059221644
22	YPL154C	0.058913309
23	YML001W	0.058543676
24	YPL274W	0.057252317
25	YHR030C	0.055076888
26	YOL016C	0.052933673
27	YDR490C	0.049519748
28	YOR061W	0.047812234
29	YLR438W	0.046462546
30	YOR101W	0.046207894
31	YKR093W	0.045877442
32	YNR032C-A	0.045659425
33	YGL078C	0.045300151
34	YMR246W	0.044961240
35	YLR248W	0.044131638
36	YLL048C	0.042116269
37	YDL035C	0.040724579
38	YDR099W	0.039525758
39	YPL086C	0.039468330
40	YPL037C	0.038101148
41	YNL307C	0.037509643
42	YOR351C	0.037441476
43	YOR153W	0.037340014
44	YER177W	0.037254829
45	YJL206C	0.036697622
46	YNL209W	0.036627925
47	YBR114W	0.036256536
48	YMR080C	0.035560054
49	YKL190W	0.035340915
50	YOR380W	0.034911066
51	YBR082C	0.033893059
52	YMR274C	0.033615750
53	YPR149W	0.033572975
54	YPR052C	0.032851150
55	YDR477W	0.031622794
56	YDR059C	0.030654478
57	YML099C	0.030648101
58	YBR089C-A	0.030043405
59	YMR019W	0.029903423
60	YDR075W	0.029552697
61	YLR262C	0.029513116
62	YIR005W	0.029304987
63	YJR073C	0.029280871
64	YNL130C	0.028743595
65	YPL192C	0.028578149
66	YCR106W	0.028202790
67	YDR252W	0.027963829
68	YDR334W	0.027685550
69	YLR052W	0.027457957
70	YLR043C	0.027119736
71	YGL087C	0.026424826
72	YLR224W	0.026361597
73	YHR127W	0.026345075
74	YGR209C	0.026127236
75	YHR178W	0.026059791
76	YOR197W	0.025609156
77	YNL142W	0.025456078
78	YDL079C	0.025450837
79	YHR135C	0.025317945
80	YDR523C	0.025285299
81	YNL154C	0.025243778
82	YDL134C	0.024849398
83	YCL011C	0.023863299
84	YLL002W	0.023676242
85	YFR053C	0.023613815
86	YLL054C	0.023532655
87	YGR044C	0.023398003
88	YLR014C	0.023279036
89	YIL035C	0.023233203
90	YAL059W	0.022976086
91	YDR155C	0.022701167
92	YEL066W	0.022449641
93	YJL106W	0.022425116
94	YGL179C	0.022376810
95	YLR385C	0.022273457
96	YOR313C	0.022085576
97	YPL096C-A	0.021913992
98	YDR079C-A	0.021903454
99	YKL161C	0.021884514
100	YER092W	0.021841193
101	YER089C	0.021814442
102	YDL188C	0.021391739
103	YOL113W	0.021164125
104	YAL027W	0.020956566
105	YHR195W	0.020798179
106	YER007C-A	0.020695187
107	YGL253W	0.020620455
108	YKL222C	0.020580619
109	YJL128C	0.020399593
110	YIL146C	0.020082212
111	YJL124C	0.019975048
112	YMR205C	0.019974821
113	YDR131C	0.019964116
114	YLR021W	0.019912397
115	YFR046C	0.019818808
116	YDL197C	0.019687464
117	YDR375C	0.019507556
118	YDR001C	0.019363550
119	YMR177W	0.019332323
120	YLR329W	0.019287966
121	YER035W	0.019220651
122	YDR507C	0.019219530
123	YKL034W	0.019196677
124	YMR280C	0.019190282
125	YJR035W	0.019047619
126	YCR020C-A	0.019045932
127	YPL140C	0.018969886
128	YGL062W	0.018889516
129	YMR258C	0.018833011
130	YLR234W	0.018656441
131	YIL033C	0.018644753
132	YHR167W	0.018638082
133	YPL199C	0.018615321
134	YBR245C	0.018546347
135	YLR120C	0.018503149
136	YOR363C	0.018487151
137	YNL311C	0.018438251
138	YOR179C	0.018416982
139	YAL019W	0.018398066
140	YGL115W	0.018374189
141	YBR218C	0.018328071
142	YGL168W	0.018090074
143	YFL028C	0.018076901
144	YLL039C	0.017919245
145	YMR145C	0.017741034
146	YGR275W	0.017557020
147	YGR208W	0.017540640
148	YMR306W	0.017394919
149	YLL046C	0.017389009
150	YMR315W	0.017388378
151	YDL155W	0.017386252
152	YOL090W	0.017361884
153	YBR028C	0.017357694
154	YMR139W	0.017085501
155	YKL130C	0.017047035
156	YMR202W	0.016985774
157	YMR116C	0.016902950
158	YAL051W	0.016837827
159	YMR100W	0.016820952
160	YAL054C	0.016795840
161	YOR027W	0.016790827
162	YJL149W	0.016776778
163	YHL034C	0.016687152
164	YCR008W	0.016501391
165	YIL130W	0.016448485
166	YEL018W	0.016428810
167	YCL040W	0.016284506
168	YIL017C	0.016223031
169	YPL226W	0.016079070
170	YNR034W	0.016044415
171	YJR096W	0.015845210
172	YOR290C	0.015825144
173	YLR059C	0.015790463
