rank	yeast_gene	ensemble_score
1	YPL203W	0.113848631
2	YKL166C	0.110909091
3	YPL031C	0.095065562
4	YJL164C	0.090510224
5	YKR039W	0.088461538
6	YKR059W	0.084320557
7	YDL134C	0.071003372
8	YNL098C	0.068866021
9	YDL188C	0.065928098
10	YNL307C	0.064398585
11	YOL016C	0.058589656
12	YPL274W	0.058268162
13	YGR152C	0.058127919
14	YDR075W	0.057850139
15	YNR032W	0.056111111
16	YLR329W	0.056035324
17	YKR093W	0.055509866
18	YFR014C	0.055089745
19	YMR019W	0.054526323
20	YER031C	0.052797998
21	YDL006W	0.052319375
22	YGL168W	0.052209683
23	YOR101W	0.051601416
24	YLR019W	0.050459330
25	YGR180C	0.049637314
26	YKL190W	0.048516057
27	YMR246W	0.047587025
28	YDL138W	0.046929512
29	YKL161C	0.045451315
30	YLR113W	0.043542081
31	YDL079C	0.042548501
32	YER177W	0.042358239
33	YDR252W	0.042297120
34	YOR185C	0.042074858
35	YPR054W	0.041726235
36	YBR082C	0.040366294
37	YGR040W	0.039565078
38	YLR385C	0.039421417
39	YDR059C	0.038720340
40	YOR197W	0.037581591
41	YNR063W	0.037306732
42	YOR153W	0.036737731
43	YDR139C	0.036471403
44	YDR155C	0.036284326
45	YHR032W	0.036048207
46	YLR262C	0.035021552
47	YML001W	0.034985482
48	YOR179C	0.034083748
49	YOL104C	0.033760590
50	YDR099W	0.033473489
51	YGL253W	0.033435986
52	YPL192C	0.033342310
53	YPR173C	0.033320835
54	YJR096W	0.033261183
55	YNL209W	0.032816203
56	YAL027W	0.032791267
57	YHR030C	0.032431689
58	YDL236W	0.032376862
59	YER044C-A	0.032373896
60	YGR208W	0.032098797
61	YNR032C-A	0.031748529
62	YMR139W	0.031288072
63	YBL005W	0.030729341
64	YDR022C	0.030334149
65	YGL087C	0.030011672
66	YPL154C	0.029837262
67	YPL037C	0.029315360
68	YGR109C	0.029190498
69	YJL149W	0.029127359
70	YLR234W	0.028836218
71	YGR288W	0.028674445
72	YPR093C	0.028508512
73	YFR053C	0.028090908
74	YJL206C	0.028070211
75	YBR201W	0.028050987
76	YNL142W	0.028044355
77	YEL013W	0.028018873
78	YGR275W	0.027819061
79	YGR067C	0.027817796
80	YGL237C	0.027512160
81	YHR195W	0.027295735
82	YCR091W	0.027282359
83	YKL130C	0.027183385
84	YDL194W	0.027083665
85	YML123C	0.027071962
86	YGL058W	0.026817043
87	YML076C	0.026693919
88	YNL130C	0.026237740
89	YDR334W	0.026044696
90	YBR297W	0.026039685
91	YGL163C	0.025748421
92	YER184C	0.025703939
93	YFR046C	0.025638371
94	YOR061W	0.025399251
95	YPL096C-A	0.025134612
96	YER106W	0.024165256
97	YEL066W	0.023992596
98	YPR052C	0.023919655
99	YML058W-A	0.023855897
100	YDR260C	0.023711013
101	YFL052W	0.023150075
102	YPL199C	0.022955688
103	YER179W	0.022903485
104	YPL086C	0.022620536
105	YDL170W	0.022555807
106	YBR285W	0.022478298
107	YLL010C	0.022473484
108	YPR111W	0.022429519
109	YBL006C	0.022407236
110	YIL132C	0.022379664
111	YGL043W	0.022228465
112	YLR224W	0.022218807
113	YER035W	0.022161893
114	YMR274C	0.022035901
115	YER092W	0.021781857
116	YLR445W	0.021650065
117	YOR339C	0.021558174
118	YDL155W	0.021431001
119	YLR052W	0.021396665
120	YBR188C	0.021333469
121	YER089C	0.021198978
122	YKL091C	0.021194141
123	YDL076C	0.020962611
124	YPL046C	0.020932842
125	YEL018W	0.020742430
126	YLR021W	0.020714675
127	YBL021C	0.020465377
128	YNL311C	0.020441050
129	YOR295W	0.020297725
130	YOL089C	0.020281650
131	YDL230W	0.020277220
132	YLR438W	0.020246408
133	YBR114W	0.020076352
134	YGR134W	0.020068290
135	YLR433C	0.019967595
136	YBR240C	0.019840060
137	YLL048C	0.019748389
138	YPR196W	0.019656181
139	YGL078C	0.019633283
140	YBR028C	0.019628508
141	YGR003W	0.019560478
142	YPR149W	0.019421870
143	YOR380W	0.019342891
144	YLR094C	0.019326737
145	YJR073C	0.019271863
146	YNL159C	0.019208381
147	YGR135W	0.018855674
148	YHR200W	0.018800253
149	YGL070C	0.018651440
150	YIR013C	0.018551536
151	YBR089C-A	0.018393961
152	YML057W	0.018354326
153	YNR034W	0.018271199
154	YFR036W	0.018102622
155	YJR021C	0.017932366
156	YOL082W	0.017911681
157	YOR189W	0.017875420
158	YHR135C	0.017840597
159	YNL210W	0.017810995
160	YBR165W	0.017718262
161	YLR226W	0.017599955
162	YOL080C	0.017568108
163	YLR216C	0.017507576
164	YOR191W	0.017325224
165	YER143W	0.017223619
166	YBR272C	0.017211580
167	YNL241C	0.017163235
168	YOR027W	0.017045502
169	YGR209C	0.017036368
170	YDR273W	0.016812016
171	YDR216W	0.016749094
172	YML102W	0.016720342
173	YGL216W	0.016628780
174	YNL288W	0.016627846
175	YIR025W	0.016609731
176	YAL046C	0.016591197
177	YMR080C	0.016582036
178	YAL054C	0.016346717
179	YNL154C	0.016328031
180	YML011C	0.016264072
181	YER110C	0.016261100
182	YMR223W	0.016211202
183	YGL013C	0.016120549
184	YFR038W	0.016071699
185	YBR034C	0.015971251
186	YIR005W	0.015958241
187	YIL130W	0.015843828
188	YAL055W	0.015821072
189	YDR488C	0.015603200
190	YDR120C	0.015573492
191	YKL114C	0.015351111
192	YPR040W	0.015261940
193	YDR263C	0.015230040
194	YCR020W-B	0.015219805
195	YMR022W	0.015170289
196	YBR107C	0.015030855
197	YGL220W	0.014996154
198	YEL037C	0.014995078
