rank	yeast_gene	ensemble_score
1	YGL163C	0.092663084
2	YDL134C	0.085415959
3	YDL188C	0.083928571
4	YDR334W	0.080119880
5	YKR039W	0.077728846
6	YPL203W	0.077116402
7	YOR185C	0.073962893
8	YNR032W	0.073220897
9	YKR059W	0.070399207
10	YDR490C	0.067347204
11	YFR014C	0.063964917
12	YJL164C	0.063388699
13	YPR111W	0.061147750
14	YPR173C	0.059378780
15	YNL098C	0.059149112
16	YDR075W	0.058856305
17	YLR094C	0.058769651
18	YDL138W	0.058622961
19	YDL155W	0.056555627
20	YHR032W	0.055612361
21	YPL274W	0.053883699
22	YOL016C	0.053769841
23	YOR153W	0.052724359
24	YLR234W	0.052624712
25	YKL190W	0.052229737
26	YDL194W	0.052164502
27	YLR019W	0.049512914
28	YPL154C	0.049402269
29	YKL166C	0.048387658
30	YPL179W	0.048150029
31	YGL058W	0.047526207
32	YLR113W	0.047407279
33	YMR246W	0.046717172
34	YNL209W	0.046198004
35	YFR038W	0.044968057
36	YOR290C	0.044495201
37	YNL323W	0.044203093
38	YER177W	0.044048653
39	YER089C	0.042488171
40	YLL048C	0.041711736
41	YAL019W	0.041092544
42	YML057W	0.040944924
43	YLR329W	0.039892216
44	YHR030C	0.039367087
45	YDL006W	0.038219582
46	YER031C	0.038076416
47	YPL192C	0.037577389
48	YGR152C	0.037555208
49	YPL037C	0.036100658
50	YOR101W	0.036020677
51	YDR099W	0.035423889
52	YDR181C	0.035403344
53	YLR385C	0.035205756
54	YLR433C	0.034472600
55	YGL253W	0.034464496
56	YML102W	0.034015731
57	YFR053C	0.033781279
58	YKR093W	0.033704942
59	YER179W	0.032753151
60	YMR019W	0.032688697
61	YDR155C	0.032591979
62	YHR200W	0.032292722
63	YNL307C	0.032033554
64	YDR252W	0.031720641
65	YML123C	0.031457727
66	YGL087C	0.031339810
67	YNL142W	0.031245581
68	YML001W	0.031106411
69	YBR082C	0.030936557
70	YEL066W	0.030858035
71	YLR210W	0.030460357
72	YLR398C	0.030442177
73	YJL030W	0.030379992
74	YLR052W	0.030317383
75	YHR178W	0.029697164
76	YBL057C	0.029528870
77	YOR304W	0.028987039
78	YAL027W	0.028667809
79	YDR057W	0.028639048
80	YGL216W	0.028608439
81	YGL237C	0.028546744
82	YER164W	0.028403315
83	YPR120C	0.028296619
84	YGL240W	0.028167022
85	YGL070C	0.028082512
86	YDR059C	0.027776277
87	YER035W	0.027683117
88	YEL013W	0.026722044
89	YBR150C	0.026216700
90	YKL091C	0.026173347
91	YHR031C	0.026059748
92	YDL230W	0.025948143
93	YML074C	0.025902029
94	YGR040W	0.025873715
95	YBR245C	0.025632886
96	YPL199C	0.025616109
97	YER092W	0.025499323
98	YPL031C	0.025362695
99	YOR197W	0.025292497
100	YLR258W	0.025210690
101	YJR035W	0.025021427
102	YGR180C	0.024742674
103	YCR020C-A	0.024690402
104	YKL034W	0.024678957
105	YGL078C	0.024243792
106	YMR116C	0.023979511
107	YKR067W	0.023605412
108	YMR069W	0.023594402
109	YNL241C	0.023523005
110	YGR134W	0.023443081
111	YHR119W	0.022866604
112	YPL180W	0.022418929
113	YBR114W	0.022366392
114	YBR028C	0.022363152
