rank	yeast_gene	ensemble_score
1	YPL203W	0.119528620
2	YKL166C	0.106789949
3	YPL031C	0.100240521
4	YJL164C	0.092546046
5	YKR059W	0.083833533
6	YKR039W	0.073565092
7	YNL307C	0.071274579
8	YNL098C	0.071012286
9	YDL134C	0.066502193
10	YOL016C	0.064071210
11	YDL188C	0.059435108
12	YPL274W	0.059115748
13	YFR014C	0.058527174
14	YOR185C	0.056932430
15	YGR152C	0.056843318
16	YLR329W	0.056225123
17	YMR019W	0.054826978
18	YLR019W	0.054273809
19	YGL168W	0.053624794
20	YDR075W	0.051739130
21	YDL138W	0.051114604
22	YNR032W	0.050853286
23	YKL190W	0.050598559
24	YOR101W	0.049826601
25	YER031C	0.049520906
26	YDL006W	0.048297042
27	YKR093W	0.048247640
28	YLR113W	0.046398706
29	YGR180C	0.045816207
30	YLR234W	0.045144855
31	YDR252W	0.044810762
32	YHR032W	0.042462050
33	YLR385C	0.041658224
34	YDR155C	0.040180181
35	YDR139C	0.039908139
36	YER177W	0.039293423
37	YPR173C	0.038984533
38	YKL161C	0.038906176
39	YMR246W	0.038904935
40	YNR063W	0.038627725
41	YBR082C	0.037901788
42	YNL209W	0.037273911
43	YDL079C	0.035784314
44	YHR030C	0.035622128
45	YPR054W	0.035484632
46	YGL058W	0.034690745
47	YMR274C	0.034684637
48	YBR201W	0.034262563
49	YLR262C	0.034163156
50	YPL192C	0.033648506
51	YDR059C	0.033602180
52	YEL066W	0.033583396
53	YGR040W	0.033034949
54	YAL027W	0.032849856
55	YOR179C	0.032232591
56	YPL096C-A	0.032173717
57	YNL130C	0.030856973
58	YOR197W	0.030608938
59	YGL253W	0.030214417
60	YKL130C	0.030210711
61	YER044C-A	0.030112126
62	YDR099W	0.029891838
63	YOR153W	0.029746653
64	YPL037C	0.029663286
65	YML001W	0.029544699
66	YJR096W	0.029275658
67	YDL194W	0.028878556
68	YOL104C	0.028845014
69	YFR046C	0.028707549
70	YBL005W	0.028696866
71	YGL087C	0.028639769
72	YGR208W	0.028622816
73	YDR022C	0.028239166
74	YEL018W	0.028173736
75	YNR032C-A	0.028036727
76	YGL070C	0.027823896
77	YGL043W	0.027535913
78	YGR275W	0.027508200
79	YHR195W	0.027147459
80	YJL149W	0.027043235
81	YIL132C	0.026973134
82	YJL206C	0.026857220
83	YML058W-A	0.026835717
84	YFR053C	0.026806420
85	YGL163C	0.026398999
86	YPL154C	0.026228371
87	YDR334W	0.026080080
88	YER184C	0.025639005
89	YPR093C	0.025627700
90	YGL078C	0.025586567
91	YGR288W	0.025546007
92	YDL236W	0.025040573
93	YML102W	0.025021365
94	YER179W	0.024972826
95	YLR224W	0.024923499
96	YPR052C	0.024801255
97	YGR067C	0.024629648
98	YBR297W	0.024352841
99	YML076C	0.024308457
100	YLR052W	0.023883649
101	YBR272C	0.023805271
102	YDR260C	0.023668006
103	YNL159C	0.023443009
104	YFL052W	0.023435973
105	YGL237C	0.023072407
106	YDL230W	0.023046692
107	YBR240C	0.023044518
108	YMR139W	0.022986083
109	YOR339C	0.022844345
110	YGR209C	0.022473758
111	YPL199C	0.022366712
112	YOR061W	0.022261479
113	YBR089C-A	0.022204419
114	YER035W	0.022202977
115	YDL170W	0.022143659
116	YHR200W	0.022130791
117	YER092W	0.022119137
118	YGR134W	0.022038294
119	YEL013W	0.021988858
120	YML123C	0.021949906
121	YPR111W	0.021819687
122	YNL142W	0.021615931
123	YCR020C-A	0.021578422
