rank	yeast_gene	ensemble_score
1	YDR252W	0.087575354
2	YML058W-A	0.080357738
3	YAL027W	0.078226098
4	YLR021W	0.075755355
5	YLR385C	0.075512723
6	YLR329W	0.074195509
7	YGR275W	0.072224239
8	YGR206W	0.072210482
9	YGL168W	0.071091270
10	YER035W	0.067801674
11	YKR059W	0.064713533
12	YOR185C	0.063948409
13	YGL087C	0.063587687
14	YDL076C	0.062318847
15	YLR224W	0.059692245
16	YNR032C-A	0.058997167
17	YLL002W	0.057871199
18	YDR260C	0.056377144
19	YPL203W	0.056277365
20	YKL190W	0.055205381
21	YIR013C	0.055003039
22	YER092W	0.054876942
23	YOL104C	0.053661670
24	YHR195W	0.053498175
25	YOR189W	0.051961319
26	YLR154C	0.051415965
27	YOR179C	0.050672189
28	YDR079C-A	0.049735007
29	YOR061W	0.048832034
30	YPR040W	0.047530996
31	YBR240C	0.046432799
32	YBR285W	0.046026474
33	YHR030C	0.045180380
34	YJL164C	0.044661008
35	YLR113W	0.044441567
36	YGL220W	0.043283129
37	YLR234W	0.043280682
38	YER177W	0.042525780
39	YEL066W	0.041975197
40	YEL013W	0.041194040
41	YMR021C	0.041144722
42	YNL098C	0.039593018
43	YER044C-A	0.039589157
44	YGL070C	0.039259318
45	YPR173C	0.038665914
46	YML102W	0.038354097
47	YGL058W	0.037293335
48	YPL096C-A	0.037257747
49	YGR152C	0.036688674
50	YGR040W	0.036135161
51	YOR380W	0.035928438
52	YOR047C	0.035653787
53	YKL086W	0.035566858
54	YBL006C	0.035513409
55	YHR032W	0.035008170
56	YKL130C	0.034792299
57	YNR004W	0.034233164
58	YCL010C	0.034149004
59	YML036W	0.034041184
60	YFR014C	0.034019112
61	YOL082W	0.033857843
62	YPL031C	0.033544399
63	YFR053C	0.033291713
64	YCR020W-B	0.033252312
65	YDL006W	0.033118701
66	YAL055W	0.032968218
67	YBR082C	0.032797883
68	YPL037C	0.032366607
69	YLR094C	0.032354867
70	YDR099W	0.032074624
71	YKL166C	0.032058648
72	YGL253W	0.031974544
73	YDR155C	0.031163489
74	YNL307C	0.031111347
75	YKL161C	0.031058102
76	YML123C	0.031049270
77	YMR100W	0.030874203
78	YMR069W	0.030300399
79	YMR191W	0.029670330
80	YBL003C	0.029248286
81	YBL021C	0.028846044
82	YNL209W	0.028812062
83	YBR107C	0.028565504
84	YLR258W	0.028168666
85	YGR044C	0.027891239
86	YHR200W	0.027787165
87	YKR039W	0.027253631
88	YHR157W	0.027122328
89	YJL030W	0.027045060
90	YOR153W	0.026256086
91	YNL323W	0.026164434
92	YER106W	0.026046806
93	YPR101W	0.025224775
94	YGL163C	0.025185447
95	YPL199C	0.025076056
96	YKR093W	0.024992167
97	YDR022C	0.024971554
98	YLR445W	0.024929032
99	YDR156W	0.024782266
100	YDR059C	0.024758979
101	YGL237C	0.024331513
102	YLR342W	0.024280068
103	YBL078C	0.023608236
104	YNL210W	0.023469028
105	YLR102C	0.023425924
106	YDR181C	0.023267367
107	YPL021W	0.022953395
108	YCL040W	0.022890006
109	YOR107W	0.022887356
110	YDL134C	0.022651486
111	YPR052C	0.022367479
112	YMR080C	0.022342412
113	YLR019W	0.022303607
114	YOR197W	0.022297404
115	YHR135C	0.022198557
116	YDR490C	0.021953056
117	YBR089C-A	0.021908335
118	YNL159C	0.021901283
119	YPL086C	0.021810278
120	YDL188C	0.021781409
121	YPL154C	0.021511313
122	YFR046C	0.021252234
123	YPL015C	0.021251329
124	YOL012C	0.021198189
125	YMR246W	0.021092014
126	YIL009C-A	0.020608844
127	YCR020C-A	0.020558740
128	YPL192C	0.020418844
129	YMR202W	0.020391157
130	YPR093C	0.020310722
131	YNL142W	0.020135016
132	YIL113W	0.020133571
133	YNL154C	0.020017663
134	YIL035C	0.019924012
135	YGL062W	0.019848060
136	YBR114W	0.019835685
137	YNL288W	0.019764798
138	YML001W	0.019739901
139	YER089C	0.019696075
140	YEL018W	0.019653456
141	YER031C	0.019497407
142	YER179W	0.019249500
143	YHR033W	0.018884280
144	YPR111W	0.018844544
145	YGR288W	0.018760196
146	YML011C	0.018735994
147	YGL240W	0.018725338
148	YMR116C	0.018695507
149	YPL226W	0.018685476
150	YDR139C	0.018588219
151	YHL006C	0.018561143
152	YMR306W	0.018384259
153	YDR075W	0.018193597
154	YFR015C	0.018148434
155	YBR165W	0.017988213
156	YOR339C	0.017924481
157	YLR368W	0.017878788
158	YAL054C	0.017863603
159	YGL211W	0.017614684
160	YLR315W	0.017590274
161	YMR019W	0.017517592
162	YCR008W	0.017498062
163	YOL081W	0.017446842
164	YFR036W	0.017432283
165	YLR052W	0.017431983
166	YOR358W	0.017408425
167	YMR258C	0.017325275
168	YML074C	0.017271745
169	YGR019W	0.017210057
170	YGR202C	0.017113361
171	YDR488C	0.017090640
172	YEL037C	0.017061361
173	YBR218C	0.016980207
174	YNR034W	0.016853309
175	YBL002W	0.016847186
176	YGL078C	0.016841661
177	YMR205C	0.016786423
178	YDR253C	0.016757487
179	YDR375C	0.016696119
180	YLR119W	0.016663598
181	YOL068C	0.016636156
182	YDR334W	0.016631854
183	YDR001C	0.016578369
184	YGR134W	0.016565255
185	YAL046C	0.016536402
186	YJL115W	0.016530626
187	YBR188C	0.016492847
188	YPR164W	0.016176708
189	YBR062C	0.016115190
190	YMR042W	0.016103320
191	YDR223W	0.016044128
192	YGR247W	0.016008982
193	YPL144W	0.015988871
194	YDL079C	0.015869365
195	YOL016C	0.015860197
196	YLR364W	0.015768184
197	YGL208W	0.015750693
198	YBR010W	0.015708094
199	YGL043W	0.015659415
200	YPR160W	0.015323286
201	YLR174W	0.015243577
202	YLR253W	0.015191250
203	YNL330C	0.015178072
204	YLR013W	0.015121863
205	YML058W	0.014990560
206	YBR034C	0.014930899
207	YHL027W	0.014923446
208	YGR067C	0.014900609
209	YNL311C	0.014695010
210	YDL230W	0.014689545
211	YDL138W	0.014583972
212	YGL252C	0.014554005
213	YBR066C	0.014525998
214	YOR360C	0.014395334
215	YPL274W	0.014393547
216	YNL241C	0.014390734
217	YJR021C	0.014331846
218	YML124C	0.014326315
219	YMR022W	0.014208372
220	YIR025W	0.014142443
221	YBL005W	0.014029121
222	YOL001W	0.014003945
223	YPL213W	0.013969452
224	YLL010C	0.013768751
225	YPR015C	0.013722784
226	YER116C	0.013672652
227	YLR074C	0.013511252
228	YNL314W	0.013507769
229	YOL080C	0.013443136
230	YGL175C	0.013397779
231	YJL128C	0.013332871
232	YDL197C	0.013297046
233	YOR313C	0.013222853
234	YLR398C	0.013213445
235	YDL200C	0.013200126
236	YFL052W	0.013196072
237	YPL042C	0.013077636
238	YMR186W	0.013026332
239	YPL187W	0.013005203
240	YER007C-A	0.012950614
241	YPR152C	0.012903419
242	YBR140C	0.012818912
243	YHL025W	0.012786199
244	YDR219C	0.012786078
245	YMR263W	0.012756140
246	YML075C	0.012736781
247	YLR438W	0.012716404
248	YPL046C	0.012673500
249	YGR209C	0.012650272
250	YIL008W	0.012577096
251	YOL006C	0.012539225
252	YDR120C	0.012532837
253	YEL012W	0.012520156
254	YDL035C	0.012504568
255	YJR073C	0.012465575
256	YMR276W	0.012463892
257	YHR202W	0.012451050
258	YDR101C	0.012409335
259	YDR277C	0.012340773
260	YAL059W	0.012326309
261	YNL130C	0.012278926
262	YGR180C	0.012278559
263	YKL160W	0.012255830
264	YOR295W	0.012250674
265	YOR101W	0.012200085
266	YLR048W	0.012192216
267	YCR091W	0.012151949
268	YML068W	0.012135487
269	YDL194W	0.012055183
270	YDL080C	0.012038861
271	YKL067W	0.012014218
272	YLR059C	0.011979503
273	YDR110W	0.011960417
274	YGR135W	0.011942248
275	YBL057C	0.011838947
276	YOL067C	0.011726025
277	YGR208W	0.011688542
278	YLR043C	0.011685132
279	YOR351C	0.011684017
280	YGR133W	0.011635102
281	YNR032W	0.011634575
282	YDR131C	0.011620912
283	YKL113C	0.011584584
284	YIR026C	0.011548527
285	YLR384C	0.011542769
286	YER174C	0.011527702
287	YLL039C	0.011506764
288	YPR149W	0.011500525
289	YCR087C-A	0.011485931
290	YGR240C	0.011374564
291	YLR216C	0.011371228
292	YKL198C	0.011346306
293	YHR167W	0.011344489
294	YAR035W	0.011306626
295	YLR449W	0.011242449
296	YNL138W	0.011239345
297	YOR064C	0.011137835
298	YFR032C	0.011096837
299	YJR096W	0.011088380
300	YDR121W	0.011087758
301	YBR245C	0.011068858
302	YMR138W	0.011065215
303	YKL091C	0.011008046
304	YGL166W	0.010997282
305	YBR073W	0.010984563
306	YGL115W	0.010964749
307	YJR014W	0.010955823
308	YDR273W	0.010915249
309	YLR120C	0.010900581
310	YPL038W	0.010810519
311	YLR262C	0.010807250
312	YJL149W	0.010784333
313	YLL046C	0.010781848
314	YJL124C	0.010708693
315	YIR019C	0.010696702
316	YER143W	0.010676618
317	YMR273C	0.010663667
318	YER176W	0.010638559
319	YDR158W	0.010507793
320	YDR513W	0.010505073
321	YPR054W	0.010482023
322	YGR173W	0.010473458
323	YGL100W	0.010456282
324	YER110C	0.010436921
325	YGL019W	0.010420430
326	YER100W	0.010393663
327	YER184C	0.010390994
328	YGL089C	0.010375502
329	YLR325C	0.010374036
330	YHR127W	0.010350295
331	YBR297W	0.010339972
332	YOR027W	0.010310744
333	YHR031C	0.010244234
334	YIL146C	0.010227321
335	YLR136C	0.010124401
336	YIR002C	0.010105743
337	YBL024W	0.010103271
338	YOR209C	0.010098848
339	YIR005W	0.010096355
340	YDR448W	0.010087761
