rank	yeast_gene	ensemble_score
1	YPL031C	0.107307692
2	YKL166C	0.090476190
3	YHR032W	0.087459742
4	YGR152C	0.086794872
5	YDL138W	0.080123784
6	YPL274W	0.079463554
7	YML001W	0.073718022
8	YGR040W	0.063690476
9	YNL098C	0.063306717
10	YOR380W	0.061811780
11	YDL194W	0.061415556
12	YLR262C	0.060218923
13	YOR101W	0.059886364
14	YML123C	0.059314516
15	YMR080C	0.059028895
16	YJL164C	0.058621989
17	YKR039W	0.058288087
18	YFR014C	0.058023715
19	YOR185C	0.056491968
20	YPL203W	0.055838041
21	YKL161C	0.055144959
22	YER031C	0.055101468
23	YOL016C	0.054989177
24	YJL206C	0.053827469
25	YKR059W	0.051406323
26	YMR138W	0.049194847
27	YOR351C	0.048060977
28	YMR019W	0.047323362
29	YLR113W	0.047315096
30	YNL130C	0.046901447
31	YLL048C	0.045905923
32	YKL015W	0.042978764
33	YDR490C	0.042917167
34	YHR135C	0.042645969
35	YNL154C	0.042063663
36	YHR178W	0.041817694
37	YGL087C	0.041803970
38	YDL006W	0.041722640
39	YNL307C	0.041042174
40	YJL149W	0.040663235
41	YGR209C	0.040582855
42	YCR008W	0.039393710
43	YKR093W	0.039061339
44	YHR030C	0.038658063
45	YAR018C	0.038309957
46	YDR477W	0.037488838
47	YPR054W	0.037339664
48	YLR043C	0.036840015
49	YKL222C	0.035919996
50	YIR005W	0.035865229
51	YDR252W	0.035477807
52	YJL128C	0.034996772
53	YDL079C	0.034167862
54	YGL168W	0.033999138
55	YMR139W	0.033607870
56	YNR063W	0.032821085
57	YPL154C	0.032806892
58	YNL021W	0.032687229
59	YKR001C	0.032327295
60	YPL037C	0.031960971
61	YIL035C	0.031600131
62	YPL192C	0.031548214
63	YOR061W	0.030640349
64	YLR329W	0.030448034
65	YMR274C	0.029366675
66	YDR375C	0.029300776
67	YDR156W	0.028452298
68	YLR098C	0.028102572
69	YDL134C	0.028057061
70	YIL130W	0.027926987
71	YCR106W	0.027398108
72	YDL035C	0.027279011
73	YMR022W	0.026836107
74	YAL027W	0.026639022
75	YDL188C	0.026469573
76	YOL113W	0.026467844
77	YGR275W	0.026095704
78	YPL046C	0.025737742
79	YLR253W	0.025595204
80	YPR111W	0.025581249
81	YER092W	0.025200374
82	YGR288W	0.025026709
83	YLR014C	0.024836299
84	YLR021W	0.024786564
85	YDR523C	0.024725599
86	YLR248W	0.024718367
87	YNL229C	0.024507344
88	YER035W	0.024312768
89	YDR131C	0.023758992
90	YPR173C	0.023400558
91	YLL054C	0.023333894
92	YLR052W	0.023281869
93	YOR197W	0.023275592
94	YLR233C	0.023094139
95	YPR196W	0.023060097
96	YMR246W	0.022908575
97	YNR032W	0.022835068
98	YGL100W	0.022781089
99	YOR337W	0.022775126
100	YIL017C	0.022662596
101	YOR363C	0.022628186
102	YPL248C	0.022479359
103	YIL040W	0.022176807
104	YDR513W	0.022156295
105	YDL101C	0.022152301
106	YPR149W	0.022144477
107	YOR179C	0.022032874
108	YOL089C	0.022008461
109	YDR074W	0.021865231
110	YDR075W	0.021693316
111	YER089C	0.021683217
112	YFL052W	0.021676779
113	YCR020C-A	0.021604358
114	YLR385C	0.021399575
115	YOL013C	0.021352032
116	YLR019W	0.021338690
117	YOR172W	0.021092708
118	YHR127W	0.021073317
119	YBR297W	0.020873277
120	YCL011C	0.020617637
121	YJR073C	0.020597452
122	YBR274W	0.020362319
123	YAL054C	0.020312522
124	YLR266C	0.020253458
125	YBR240C	0.020176287
126	YEL013W	0.020158414
127	YBR114W	0.020144373
128	YAL055W	0.020010304
129	YGL078C	0.020002066
130	YFR032C	0.019972488
131	YKL190W	0.019929539
132	YLR364W	0.019663616
133	YOL104C	0.019438460
134	YKL130C	0.019429089
135	YBR028C	0.019390658
136	YLR059C	0.019080475
137	YHR031C	0.019073742
138	YOL068C	0.018969734
139	YLR451W	0.018880904
140	YCR091W	0.018809734
141	YBR073W	0.018776791
142	YAL053W	0.018661599
143	YNL016W	0.018488966
144	YDR291W	0.018486601
145	YOL080C	0.018296816
146	YOL090W	0.018219857
147	YDL170W	0.018164016
148	YHR195W	0.018042548
149	YHR004C	0.018027917
150	YKL017C	0.017742382
151	YNL311C	0.017697198
152	YOR339C	0.017657743
153	YIR026C	0.017643768
154	YKR064W	0.017640674
155	YPL236C	0.017529840
156	YOR360C	0.017461086
157	YBL003C	0.017456476
158	YPL140C	0.017361151
159	YDL155W	0.017207946
160	YBL002W	0.017172953
161	YNL288W	0.017071435
162	YMR291W	0.016976883
163	YIL033C	0.016943552
164	YDR334W	0.016936455
165	YMR258C	0.016828659
166	YBL006C	0.016740477
167	YBL005W	0.016654331
168	YER143W	0.016592650
169	YGL252C	0.016590892
170	YOR153W	0.016536577
171	YAL059W	0.016242683
172	YMR177W	0.016195291
173	YDR079C-A	0.016185210
174	YMR285C	0.016121884
175	YOR189W	0.016050836
176	YMR306W	0.015927568
177	YBR201W	0.015919281
178	YHR167W	0.015750899
179	YHR120W	0.015699690
180	YNL210W	0.015639010
181	YDL197C	0.015563779
182	YKL027W	0.015510295
183	YIL009C-A	0.015479627
184	YOR162C	0.015419963
185	YER044C-A	0.015356651
186	YGL115W	0.015310600
187	YBR150C	0.015243271
188	YML058W-A	0.015203244
189	YLR224W	0.015190120
190	YMR223W	0.015158146
191	YML011C	0.015090307
192	YLR154C	0.015081897
193	YPL042C	0.014973781
194	YCR020W-B	0.014913336
195	YOR313C	0.014909916
196	YBR034C	0.014812616
197	YGL241W	0.014674749
198	YKL091C	0.014669535
199	YML076C	0.014640588
200	YFR038W	0.014592292
201	YAL019W	0.014571103
202	YER184C	0.014560158
203	YKL214C	0.014549424
204	YPL096C-A	0.014546431
205	YML099C	0.014512674
206	YER123W	0.014486895
207	YLR315W	0.014485378
208	YHR003C	0.014378499
209	YNL142W	0.014348555
210	YMR315W	0.014312089
211	YOR304W	0.014063635
212	YGL179C	0.013989707
213	YLR278C	0.013923696
214	YJL106W	0.013900686
215	YOL012C	0.013898760
216	YPL033C	0.013894877
217	YLL002W	0.013883364
218	YEL018W	0.013848923
219	YDR216W	0.013786243
220	YNL025C	0.013745537
221	YBR082C	0.013724692
222	YLR210W	0.013648245
223	YGR206W	0.013617092
224	YBR245C	0.013522175
225	YPL226W	0.013473577
226	YPR052C	0.013440827
227	YDL230W	0.013422935
228	YLL046C	0.013111144
229	YGR133W	0.013009050
230	YGL251C	0.013006905
231	YDR263C	0.012986787
232	YDR518W	0.012936619
233	YDR147W	0.012885835
234	YIL113W	0.012878788
235	YER176W	0.012858290
236	YML121W	0.012813508
237	YMR191W	0.012754051
238	YBR089C-A	0.012683393
239	YAR042W	0.012623549
240	YDL236W	0.012617594
241	YJL137C	0.012615900
242	YER110C	0.012600341
243	YNL008C	0.012545177
244	YAL051W	0.012528232
245	YLL022C	0.012457321
246	YGL163C	0.012385462
247	YMR224C	0.012376689
248	YDR260C	0.012367041
249	YDR378C	0.012338415
250	YNL020C	0.012332573
251	YDR059C	0.012229298
252	YGR109C	0.012222999
253	YNL298W	0.012219859
254	YPR120C	0.012143783
255	YMR202W	0.012132820
256	YHR108W	0.012088595
257	YDR001C	0.012051237
258	YDR520C	0.012032173
259	YPL015C	0.012026223
260	YGR067C	0.012009904
261	YLR368W	0.012002791
262	YHL002W	0.012001064
263	YHL034C	0.011980286
264	YBR062C	0.011892138
265	YOR231W	0.011819735
266	YPL109C	0.011805569
267	YPR040W	0.011732343
268	YNR034W	0.011729945
