rank	yeast_gene	ensemble_score
1	YDR306C	0.066148208
2	YBR097W	0.065929426
3	YHR077C	0.062734244
4	YOR014W	0.050291169
5	YDR176W	0.048602907
6	YMR302C	0.046952785
7	YJL204C	0.044839864
8	YJR066W	0.043015037
9	YLR384C	0.039937345
10	YAL009W	0.038239879
11	YDR006C	0.037928761
12	YMR275C	0.036643028
13	YOL013C	0.036638267
14	YBL078C	0.036227182
15	YML111W	0.036226959
16	YCR077C	0.036194329
17	YDR335W	0.035931257
18	YER177W	0.033009855
19	YKR059W	0.031431010
20	YMR231W	0.029683265
21	YIL038C	0.029600948
22	YGR157W	0.028882961
23	YIR023W	0.028620213
24	YDR099W	0.026963681
25	YML103C	0.026905926
26	YIL030C	0.026723900
27	YPL065W	0.025920014
28	YNL257C	0.025040177
29	YNR031C	0.024742158
30	YCR073C	0.024504052
31	YLR148W	0.024453256
32	YDR080W	0.023969195
33	YKL034W	0.023389207
34	YGR097W	0.022899742
35	YNL236W	0.022733746
36	YOR162C	0.022695281
37	YJR052W	0.022380870
38	YPR179C	0.022211446
39	YDL149W	0.022064568
40	YNL209W	0.022057817
41	YFL007W	0.021626614
42	YDL190C	0.021275815
43	YGR233C	0.021033273
44	YGL060W	0.020739182
45	YKL190W	0.020437505
46	YKL205W	0.019668072
47	YEL013W	0.019626570
48	YLR381W	0.019104704
49	YLR319C	0.018973543
50	YPL203W	0.018940185
51	YKL025C	0.018502922
52	YOL145C	0.018287778
53	YMR026C	0.017779173
54	YPR042C	0.017744633
55	YER007C-A	0.017620133
56	YNL273W	0.017566335
57	YOR172W	0.017506136
58	YML121W	0.017265625
59	YLR427W	0.017261609
60	YOR038C	0.017014060
61	YMR258C	0.016291736
62	YJR031C	0.016251040
63	YOR298C-A	0.016123380
64	YNL138W	0.016067021
65	YPR155C	0.015962672
66	YPL045W	0.015947826
67	YKL166C	0.015566297
68	YKL057C	0.014898894
69	YOL004W	0.014791562
70	YCL055W	0.014525486
71	YKR082W	0.014433219
72	YJL030W	0.013890310
73	YJL149W	0.013692908
74	YLR039C	0.013499982
75	YIL128W	0.013390995
76	YLR418C	0.013265172
77	YFR040W	0.013042447
78	YNR032C-A	0.012853425
79	YER179W	0.012643734
80	YPL086C	0.012621995
81	YOR027W	0.012459394
82	YDR059C	0.012326560
83	YMR247C	0.012185070
84	YMR246W	0.012096664
85	YDL106C	0.012061752
86	YKR064W	0.011997381
87	YJR140C	0.011827975
88	YGL062W	0.011787482
89	YDL113C	0.011758856
90	YDR440W	0.011710024
91	YER031C	0.011571330
92	YLR352W	0.011556070
93	YBL079W	0.011530679
94	YPL213W	0.011481302
95	YLR234W	0.011444152
96	YKL010C	0.011436655
97	YJL164C	0.011391808
98	YAL053W	0.011164943
99	YBR082C	0.011105740
100	YDR139C	0.011026672
101	YPR173C	0.010990890
102	YHR192W	0.010769272
103	YNL241C	0.010646642
104	YGL016W	0.010646253
105	YDR001C	0.010592064
106	YPL125W	0.010486073
107	YGL241W	0.010363132
108	YJR091C	0.010316210
109	YNL288W	0.010247624
110	YNL119W	0.009956619
111	YLR270W	0.009889164
