rank	yeast_gene	ensemble_score
1	YKL166C	0.112121212
2	YPL203W	0.107763975
3	YPL031C	0.101216833
4	YKR039W	0.087563353
5	YJL164C	0.086296296
6	YKR059W	0.084023819
7	YNL098C	0.070651883
8	YDL134C	0.069956477
9	YPL274W	0.062930421
10	YGR152C	0.062550777
11	YER031C	0.062446767
12	YDL188C	0.061462451
13	YNL307C	0.060260410
14	YOL016C	0.057946683
15	YLR329W	0.057809296
16	YDR075W	0.056441943
17	YDL138W	0.055961426
18	YMR019W	0.055124594
19	YFR014C	0.054554768
20	YDL006W	0.053226415
21	YOR101W	0.052740379
22	YKR093W	0.052628940
23	YGL168W	0.051827370
24	YNR032W	0.049671593
25	YKL190W	0.049016476
26	YLR019W	0.047846122
27	YOR185C	0.047467530
28	YDR252W	0.044385965
29	YBR082C	0.043939480
30	YML001W	0.043757678
31	YDR139C	0.042771628
32	YHR032W	0.042243302
33	YKL161C	0.042186120
34	YMR246W	0.041660061
35	YLR113W	0.041584522
36	YNR063W	0.041412343
37	YLR262C	0.040904287
38	YDR059C	0.040561627
39	YLR385C	0.038971684
40	YOR179C	0.037804378
41	YGR180C	0.037431568
42	YPR054W	0.036571392
43	YGR040W	0.035002086
44	YDR155C	0.035000479
45	YMR274C	0.034728034
46	YER177W	0.034617877
47	YOL104C	0.034493210
48	YPL192C	0.034294174
49	YOR197W	0.033966316
50	YDL236W	0.033947290
51	YPR173C	0.033931504
52	YGL087C	0.033837250
53	YDL194W	0.033485097
54	YPL154C	0.032785639
55	YGR208W	0.032517988
56	YAL027W	0.032502743
57	YBL005W	0.032366794
58	YDR099W	0.031609757
59	YLR234W	0.031379131
60	YJR096W	0.031308962
61	YNL209W	0.030460248
62	YNL130C	0.030390586
63	YHR030C	0.030029543
64	YOR153W	0.029925848
65	YDL079C	0.029852550
66	YPL096C-A	0.029703787
67	YIL132C	0.029666189
68	YDR022C	0.029260520
69	YPL037C	0.029254039
70	YER044C-A	0.029193875
71	YHR195W	0.029121196
72	YJL206C	0.028803496
73	YGL058W	0.028784908
74	YGL253W	0.028242720
75	YML123C	0.027944835
76	YEL013W	0.027809729
77	YJL149W	0.027705326
78	YKL130C	0.027538288
79	YER184C	0.027370981
80	YBR201W	0.027277026
81	YGR067C	0.026707586
82	YNL142W	0.026703356
83	YPR093C	0.026622621
84	YFR046C	0.026597847
85	YGR288W	0.026348647
86	YNR032C-A	0.026269927
87	YGR275W	0.026211017
88	YNL311C	0.025492258
89	YFR053C	0.025402670
90	YLR224W	0.025172154
91	YCR091W	0.025024615
92	YMR139W	0.024927700
93	YML058W-A	0.024780702
94	YDR334W	0.024758740
95	YDL170W	0.023888799
96	YBR297W	0.023872695
97	YOR339C	0.023619597
98	YPR052C	0.023563344
99	YDL076C	0.023484272
100	YFL052W	0.023455796
101	YML076C	0.023283159
102	YBL006C	0.023176707
103	YBR240C	0.023156833
104	YDL230W	0.023049158
105	YOR061W	0.023038023
106	YEL066W	0.022889249
107	YNL210W	0.022674130
108	YER092W	0.022514247
109	YGL237C	0.022439791
110	YGL163C	0.022439676
111	YER089C	0.022342465
112	YLL048C	0.021988154
113	YGR209C	0.021879394
114	YOL082W	0.021797031
115	YDR260C	0.021630168
116	YER035W	0.021547922
117	YPR149W	0.021500315
118	YPL046C	0.021419210
119	YGR109C	0.021404480
120	YOR380W	0.021300498
121	YNL159C	0.021273155
122	YPL199C	0.021243731
123	YLR021W	0.021008048
124	YGL078C	0.020418944
125	YEL018W	0.020368149
126	YBR285W	0.019913560
127	YMR080C	0.019756821
128	YBR114W	0.019743221
129	YGL043W	0.019734613
