og_id	og_name	yeast_gene	human_gene
1723139at2759	Cationic amino acid transporter	VIN7_2492	SLC7A14
1723139at2759	Cationic amino acid transporter	VIN7_2492	CAT-2
1723139at2759	Cationic amino acid transporter	VIN7_2492	CAT-1
1723139at2759	Cationic amino acid transporter	VIN7_2492	CAT-4
1723139at2759	Cationic amino acid transporter	VIN7_2492	CAT-3
1723139at2759	Cationic amino acid transporter	VIN7_2492	57709
1723139at2759	Cationic amino acid transporter	VIN7_2492	CAT-2
1723139at2759	Cationic amino acid transporter	VIN7_2492	CAT-1
1723139at2759	Cationic amino acid transporter	VIN7_2492	CAT-4
1723139at2759	Cationic amino acid transporter	VIN7_2492	CAT-3
1723139at2759	Cationic amino acid transporter	VIN7_10205	SLC7A14
1723139at2759	Cationic amino acid transporter	VIN7_10205	CAT-2
1723139at2759	Cationic amino acid transporter	VIN7_10205	CAT-1
1723139at2759	Cationic amino acid transporter	VIN7_10205	CAT-4
1723139at2759	Cationic amino acid transporter	VIN7_10205	CAT-3
1723139at2759	Cationic amino acid transporter	VIN7_10205	57709
1723139at2759	Cationic amino acid transporter	VIN7_10205	CAT-2
1723139at2759	Cationic amino acid transporter	VIN7_10205	CAT-1
1723139at2759	Cationic amino acid transporter	VIN7_10205	CAT-4
1723139at2759	Cationic amino acid transporter	VIN7_10205	CAT-3
1723139at2759	Cationic amino acid transporter	VIN7_5432	SLC7A14
1723139at2759	Cationic amino acid transporter	VIN7_5432	CAT-2
1723139at2759	Cationic amino acid transporter	VIN7_5432	CAT-1
1723139at2759	Cationic amino acid transporter	VIN7_5432	CAT-4
1723139at2759	Cationic amino acid transporter	VIN7_5432	CAT-3
1723139at2759	Cationic amino acid transporter	VIN7_5432	57709
1723139at2759	Cationic amino acid transporter	VIN7_5432	CAT-2
1723139at2759	Cationic amino acid transporter	VIN7_5432	CAT-1
1723139at2759	Cationic amino acid transporter	VIN7_5432	CAT-4
1723139at2759	Cationic amino acid transporter	VIN7_5432	CAT-3
1723139at2759	Cationic amino acid transporter	P283_P10051	SLC7A14
1723139at2759	Cationic amino acid transporter	P283_P10051	CAT-2
1723139at2759	Cationic amino acid transporter	P283_P10051	CAT-1
1723139at2759	Cationic amino acid transporter	P283_P10051	CAT-4
1723139at2759	Cationic amino acid transporter	P283_P10051	CAT-3
1723139at2759	Cationic amino acid transporter	P283_P10051	57709
1723139at2759	Cationic amino acid transporter	P283_P10051	CAT-2
1723139at2759	Cationic amino acid transporter	P283_P10051	CAT-1
1723139at2759	Cationic amino acid transporter	P283_P10051	CAT-4
1723139at2759	Cationic amino acid transporter	P283_P10051	CAT-3
1723139at2759	Cationic amino acid transporter	R008_P20006	SLC7A14
1723139at2759	Cationic amino acid transporter	R008_P20006	CAT-2
1723139at2759	Cationic amino acid transporter	R008_P20006	CAT-1
1723139at2759	Cationic amino acid transporter	R008_P20006	CAT-4
1723139at2759	Cationic amino acid transporter	R008_P20006	CAT-3
1723139at2759	Cationic amino acid transporter	R008_P20006	57709
1723139at2759	Cationic amino acid transporter	R008_P20006	CAT-2
1723139at2759	Cationic amino acid transporter	R008_P20006	CAT-1
1723139at2759	Cationic amino acid transporter	R008_P20006	CAT-4
1723139at2759	Cationic amino acid transporter	R008_P20006	CAT-3
1723139at2759	Cationic amino acid transporter	R103_J10006	SLC7A14
1723139at2759	Cationic amino acid transporter	R103_J10006	CAT-2
1723139at2759	Cationic amino acid transporter	R103_J10006	CAT-1
1723139at2759	Cationic amino acid transporter	R103_J10006	CAT-4
1723139at2759	Cationic amino acid transporter	R103_J10006	CAT-3
1723139at2759	Cationic amino acid transporter	R103_J10006	57709
1723139at2759	Cationic amino acid transporter	R103_J10006	CAT-2
1723139at2759	Cationic amino acid transporter	R103_J10006	CAT-1
1723139at2759	Cationic amino acid transporter	R103_J10006	CAT-4
1723139at2759	Cationic amino acid transporter	R103_J10006	CAT-3
1723139at2759	Cationic amino acid transporter	R103_L10031	SLC7A14
1723139at2759	Cationic amino acid transporter	R103_L10031	CAT-2
1723139at2759	Cationic amino acid transporter	R103_L10031	CAT-1
1723139at2759	Cationic amino acid transporter	R103_L10031	CAT-4
1723139at2759	Cationic amino acid transporter	R103_L10031	CAT-3
1723139at2759	Cationic amino acid transporter	R103_L10031	57709
1723139at2759	Cationic amino acid transporter	R103_L10031	CAT-2
1723139at2759	Cationic amino acid transporter	R103_L10031	CAT-1
1723139at2759	Cationic amino acid transporter	R103_L10031	CAT-4
1723139at2759	Cationic amino acid transporter	R103_L10031	CAT-3
1723139at2759	Cationic amino acid transporter	R103_P10046	SLC7A14
1723139at2759	Cationic amino acid transporter	R103_P10046	CAT-2
1723139at2759	Cationic amino acid transporter	R103_P10046	CAT-1
1723139at2759	Cationic amino acid transporter	R103_P10046	CAT-4
1723139at2759	Cationic amino acid transporter	R103_P10046	CAT-3
1723139at2759	Cationic amino acid transporter	R103_P10046	57709
1723139at2759	Cationic amino acid transporter	R103_P10046	CAT-2
1723139at2759	Cationic amino acid transporter	R103_P10046	CAT-1
1723139at2759	Cationic amino acid transporter	R103_P10046	CAT-4
1723139at2759	Cationic amino acid transporter	R103_P10046	CAT-3
1723139at2759	Cationic amino acid transporter	P301_L10016	SLC7A14
1723139at2759	Cationic amino acid transporter	P301_L10016	CAT-2
1723139at2759	Cationic amino acid transporter	P301_L10016	CAT-1
1723139at2759	Cationic amino acid transporter	P301_L10016	CAT-4
1723139at2759	Cationic amino acid transporter	P301_L10016	CAT-3
1723139at2759	Cationic amino acid transporter	P301_L10016	57709
1723139at2759	Cationic amino acid transporter	P301_L10016	CAT-2
1723139at2759	Cationic amino acid transporter	P301_L10016	CAT-1
1723139at2759	Cationic amino acid transporter	P301_L10016	CAT-4
1723139at2759	Cationic amino acid transporter	P301_L10016	CAT-3
1723139at2759	Cationic amino acid transporter	P301_P10061	SLC7A14
1723139at2759	Cationic amino acid transporter	P301_P10061	CAT-2
1723139at2759	Cationic amino acid transporter	P301_P10061	CAT-1
1723139at2759	Cationic amino acid transporter	P301_P10061	CAT-4
1723139at2759	Cationic amino acid transporter	P301_P10061	CAT-3
