rank	yeast_gene	ensemble_score
1	YBL039C	0.070411198
2	YNL323W	0.058608493
3	YFR015C	0.056220776
4	YOR039W	0.055291654
5	YLR258W	0.051825998
6	YNL330C	0.048676434
7	YLR342W	0.041257473
8	YKR067W	0.040456870
9	YNL142W	0.037167441
10	YAL039C	0.037075688
11	YOR209C	0.035368814
12	YDL149W	0.035323025
13	YBR218C	0.033808235
14	YAL009W	0.033554179
15	YGL194C	0.032626187
16	YLR377C	0.032346998
17	YBR001C	0.032342967
18	YLR231C	0.032270990
19	YJR073C	0.032199124
20	YMR306W	0.031757346
21	YML124C	0.030895301
22	YPR160W	0.030530921
23	YKL212W	0.028826450
24	YKL029C	0.028790130
25	YDL080C	0.027763507
26	YGL062W	0.027319895
27	YDR120C	0.026979727
28	YMR202W	0.026381691
29	YBL078C	0.025485050
30	YNL130C	0.025314686
31	YJL030W	0.025043157
32	YKL166C	0.024366619
33	YGL019W	0.024090615
34	YDR035W	0.024088097
35	YPL031C	0.023680683
36	YDR001C	0.023009336
37	YPL015C	0.022777378
38	YLR304C	0.022122646
39	YNL288W	0.021155029
40	YKR093W	0.021106681
41	YIL153W	0.020968447
42	YGL173C	0.020247018
43	YGL043W	0.018623059
44	YGL163C	0.018476784
45	YDR392W	0.017952407
46	YPL203W	0.017717897
47	YKL127W	0.017587714
48	YGR097W	0.017342660
49	YNL307C	0.016333651
50	YPR184W	0.016219408
51	YLR018C	0.016199385
52	YGL125W	0.015728770
53	YBR228W	0.015504406
54	YGR019W	0.015060333
55	YGR157W	0.014361772
56	YMR180C	0.014211542
57	YJL083W	0.014179579
58	YDL135C	0.014129957
59	YFR053C	0.014092430
60	YKR057W	0.013804135
61	YMR105C	0.013738222
62	YER162C	0.013733605
63	YLR180W	0.013432743
64	YAL053W	0.013413885
65	YHR066W	0.013310170
66	YOR153W	0.013241983
67	YDL134C	0.012724083
68	YOL006C	0.012722065
69	YDR158W	0.012669272
70	YJR050W	0.012607624
71	YGL168W	0.012050993
72	YGL253W	0.011986759
73	YCL040W	0.011954467
74	YNL239W	0.011906520
75	YKR019C	0.011859734
76	YGR180C	0.011691886
77	YNL072W	0.011493960
78	YJL153C	0.011467707
79	YER106W	0.011298341
80	YAR035W	0.011010000
