rank	yeast_gene	ensemble_score
1	YGR040W	0.061038753
2	YKL161C	0.056809758
3	YAR018C	0.050721432
4	YHR032W	0.050703613
5	YHR030C	0.049073041
6	YPR054W	0.043859648
7	YDL079C	0.039689311
8	YOR061W	0.038074792
9	YKL166C	0.036388602
10	YPR111W	0.036072972
11	YNL154C	0.035368423
12	YPL031C	0.035156263
13	YIL035C	0.034601700
14	YDR523C	0.034203523
15	YHR135C	0.032870569
16	YOL113W	0.030074742
17	YGR152C	0.029748017
18	YOR351C	0.028707862
19	YDL138W	0.028077693
20	YOR101W	0.025711193
21	YLR113W	0.025593811
22	YDR477W	0.025276531
23	YOR380W	0.025147978
24	YMR139W	0.023262599
25	YPL236C	0.021374282
26	YDR490C	0.020744250
27	YDL194W	0.020656283
28	YDL035C	0.020404723
29	YCR106W	0.019841404
30	YML123C	0.019782764
31	YIR005W	0.019033591
32	YPL042C	0.018676531
33	YNL307C	0.018444462
34	YBR073W	0.017818259
35	YJL206C	0.017721536
36	YLR451W	0.017466832
37	YBR274W	0.017398018
38	YKR001C	0.017190041
39	YLR014C	0.016864926
40	YIR026C	0.016077343
41	YMR138W	0.016049738
42	YOL016C	0.015834284
43	YPL140C	0.015798355
44	YMR285C	0.015664651
45	YMR080C	0.015533602
46	YDR074W	0.015514464
47	YJL128C	0.014928938
48	YLL048C	0.014430714
49	YFR014C	0.013909177
50	YLL054C	0.013814432
51	YHR178W	0.013608672
52	YLR253W	0.013325437
53	YAL011W	0.013296859
54	YDR375C	0.013024898
55	YJL106W	0.012969314
56	YKR064W	0.012857459
57	YPL026C	0.012385319
58	YGL100W	0.012379003
59	YNL311C	0.011882715
60	YDR291W	0.011773206
61	YGL179C	0.011766300
62	YNL298W	0.011188312
63	YNL229C	0.011141171
64	YKL027W	0.011134497
65	YCL011C	0.011096711
66	YDL101C	0.011041247
67	YOL104C	0.010602454
68	YNL021W	0.009978759
69	YHR127W	0.009916653
70	YDR147W	0.009820748
71	YLR248W	0.009710664
72	YIL113W	0.009614825
73	YLL046C	0.009191092
74	YML118W	0.009015463
75	YFL052W	0.009004697
76	YNL288W	0.009003179
77	YOR231W	0.008894425
78	YER123W	0.008786345
79	YKL222C	0.008559682
80	YOR360C	0.008358868
81	YOR172W	0.008304139
82	YKL116C	0.008236789
83	YMR291W	0.008062260
84	YDR131C	0.007999167
