rank	yeast_gene	ensemble_score
1	YJL164C	0.010222843
2	YER044C-A	0.010110477
3	YOR185C	0.010095157
4	YER177W	0.009935219
5	YML058W-A	0.009585882
6	YOL104C	0.008877097
7	YGL168W	0.008823401
8	YER106W	0.008648268
9	YER031C	0.007811439
10	YPL203W	0.007711826
11	YHR004C	0.007699375
12	YCR091W	0.007616032
13	YHR195W	0.007497957
14	YLR094C	0.007245344
15	YLR234W	0.007034799
16	YAL009W	0.007026554
17	YGL220W	0.006831627
18	YNR032W	0.006733589
19	YDR334W	0.006522054
20	YLR258W	0.006358136
21	YLR329W	0.006205808
22	YGR067C	0.006196752
23	YFR046C	0.006180597
24	YGL070C	0.006138287
25	YNL210W	0.005983397
26	YLR224W	0.005843101
27	YLR262C	0.005459707
28	YOR191W	0.005396855
29	YDR099W	0.005277750
30	YKL190W	0.005251434
31	YMR306W	0.005204667
32	YBR240C	0.005110448
33	YOR101W	0.005064980
34	YDR181C	0.005064507
35	YFR015C	0.005026786
36	YGL253W	0.004887633
37	YLL002W	0.004777341
38	YNL209W	0.004733968
39	YOL082W	0.004696245
40	YML102W	0.004577118
41	YAL046C	0.004485857
42	YLR342W	0.004325812
43	YKL034W	0.004224819
44	YGL078C	0.004087007
45	YJL030W	0.004077647
46	YNL307C	0.003980053
47	YDL134C	0.003961130
48	YOR039W	0.003911376
49	YML075C	0.003847958
50	YDL188C	0.003817256
51	YFR014C	0.003728967
52	YAL053W	0.003623674
53	YMR116C	0.003563630
54	YIL030C	0.003549617
55	YJL206C	0.003543959
56	YKL160W	0.003543274
57	YKL130C	0.003505025
58	YPL192C	0.003388810
59	YPR160W	0.003380081
60	YLR180W	0.003362216
61	YDL149W	0.003358689
62	YKL166C	0.003307718
63	YNL323W	0.003269889
64	YOR295W	0.003213824
65	YLL010C	0.003201932
66	YMR246W	0.003200238
67	YNL311C	0.003186458
68	YGL062W	0.003160128
69	YJL153C	0.003132352
70	YPR155C	0.003100069
71	YDR001C	0.003082838
72	YDR022C	0.003029597
73	YGL163C	0.003021921
74	YPL176C	0.002982611
75	YBR001C	0.002930269
76	YGL175C	0.002918190
77	YOL080C	0.002873028
78	YNL330C	0.002803297
79	YCL010C	0.002757124
80	YMR302C	0.002724833
81	YLR384C	0.002695193
82	YBR218C	0.002693509
83	YGR109C	0.002636768
84	YPR075C	0.002574244
85	YHR200W	0.002562479
86	YEL066W	0.002517429
87	YMR202W	0.002463119
88	YGR157W	0.002455079
89	YBL057C	0.002450714
90	YOR209C	0.002412315
91	YER184C	0.002385475
92	YFR053C	0.002355417
93	YBR290W	0.002328268
94	YJL110C	0.002307085
95	YJL137C	0.002303572
96	YAL039C	0.002289556
97	YPL123C	0.002245757
98	YDR223W	0.002232524
99	YGL019W	0.002224019
100	YDR273W	0.002223457
101	YDR513W	0.002185957
102	YGR097W	0.002178004
103	YCR073C	0.002176357
104	YGL043W	0.002164585
105	YNL138W	0.002164134
