rank	yeast_gene	ensemble_score
1	YML057W	0.094404187
2	YPL086C	0.091333333
3	YLR433C	0.086938027
4	YNL330C	0.084371184
5	YKR019C	0.083493586
6	YKL029C	0.083091878
7	YKR067W	0.073046398
8	YGL019W	0.069535247
9	YNL323W	0.067216981
10	YNL142W	0.064797265
11	YML124C	0.064498854
12	YER179W	0.063796354
13	YOR153W	0.062050405
14	YGL062W	0.061398297
15	YJL083W	0.058941533
16	YBR218C	0.058745915
17	YDL149W	0.056326390
18	YNL288W	0.055774189
19	YDL188C	0.055682303
20	YKL067W	0.055277460
21	YNR032W	0.054335422
22	YDR277C	0.053580586
23	YLR342W	0.052959941
24	YDR422C	0.052219132
25	YKR093W	0.050472350
26	YGR173W	0.049293943
27	YKR059W	0.047568621
28	YNR032C-A	0.046026234
29	YOR039W	0.044894690
30	YGR180C	0.044255895
31	YGL194C	0.043710359
32	YEL013W	0.043619230
33	YMR306W	0.042485291
34	YLR048W	0.042062057
35	YLR234W	0.042026949
36	YDR035W	0.041991068
37	YER177W	0.041834118
38	YHR033W	0.041685285
39	YBL039C	0.041638323
40	YMR273C	0.040617697
41	YKR039W	0.040572977
42	YLR113W	0.040490786
43	YDR099W	0.040228659
44	YLL010C	0.040003501
45	YIR025W	0.038963814
46	YLR019W	0.038745584
47	YLR258W	0.038597131
48	YBR203W	0.038251689
49	YER007C-A	0.038117192
50	YNL076W	0.037923106
51	YDL134C	0.037722550
52	YKR057W	0.037361111
53	YBL052C	0.037280754
54	YPL179W	0.036982627
55	YNL209W	0.036831156
56	YDR219C	0.036799370
57	YFR019W	0.036287286
58	YOR298C-A	0.036230122
59	YDR158W	0.035854357
60	YJR073C	0.035489200
61	YNL241C	0.035353535
62	YLL039C	0.035208783
63	YDR001C	0.034782733
64	YDL006W	0.034589384
65	YOR061W	0.034387134
66	YBR290W	0.034141089
67	YLR260W	0.034051335
68	YGL237C	0.034023039
69	YFR053C	0.032936672
70	YAL053W	0.032930889
71	YKL190W	0.032813207
72	YGR135W	0.032741422
73	YML075C	0.032076091
74	YNR047W	0.031525898
75	YLR438W	0.031006734
76	YBR114W	0.030878744
77	YIL107C	0.030584286
78	YHR200W	0.030322365
79	YMR127C	0.030240099
80	YPR173C	0.030216543
81	YGL253W	0.029970370
82	YDR075W	0.029821834
83	YFR015C	0.029664409
84	YKL009W	0.029612245
85	YML123C	0.029523307
86	YHR066W	0.029133020
87	YAL021C	0.029048635
88	YOR279C	0.028782665
89	YOR185C	0.028543966
90	YLR180W	0.028441571
91	YOR209C	0.028173525
92	YJR059W	0.028058472
93	YBR001C	0.027264824
94	YBR089C-A	0.027255962
95	YOR358W	0.026904949
96	YDR059C	0.026793467
97	YOR197W	0.026641471
98	YPR052C	0.026626413
99	YLR304C	0.026558948
100	YFL033C	0.026268322
101	YGL211W	0.026095905
102	YPL203W	0.026010225
103	YNL072W	0.025835726
104	YJR053W	0.025826071
105	YNL130C	0.025591328
106	YBR082C	0.025445842
107	YER167W	0.024893037
108	YDR155C	0.024445410
109	YGL066W	0.024215573
110	YGL070C	0.023877587
111	YIL153W	0.023847290
112	YJL164C	0.023648099
113	YMR205C	0.023591907
114	YGR202C	0.023470209
115	YGL163C	0.023451159
116	YIR019C	0.023179223
117	YNL159C	0.022989993
118	YMR186W	0.022815069
119	YDR312W	0.022777104
120	YMR246W	0.022487815
121	YGL240W	0.022274779
122	YGL037C	0.022252439
123	YFL021W	0.022145176
124	YMR263W	0.021990548
125	YBL057C	0.021731332
126	YDR448W	0.021382553
127	YAR035W	0.021278915
128	YOR113W	0.021016044
129	YML109W	0.020815160
130	YCL040W	0.020689264
131	YPL199C	0.020379590
132	YER089C	0.019843920
133	YPR008W	0.019625859
134	YGL058W	0.019600858
135	YPR075C	0.019482125
136	YBR289W	0.019353413
137	YER027C	0.019303266
138	YER031C	0.019297724
139	YGL173C	0.019181740
140	YPL180W	0.019115637
141	YLR231C	0.019111557
142	YHR030C	0.019038462
143	YJR050W	0.018880010
144	YDL080C	0.018869763
145	YDR005C	0.018840673
146	YCR065W	0.018784482
147	YOR107W	0.018758972
148	YGR229C	0.018730524
149	YKL127W	0.018485253
150	YGR040W	0.018456859
151	YFR046C	0.018448888
152	YGL035C	0.018389149
153	YGL208W	0.018346957
154	YMR276W	0.018335495
155	YOR027W	0.018239614
156	YAL009W	0.018207538
157	YPL167C	0.018032327
158	YML100W	0.017957683
159	YJL030W	0.017914549
160	YKL198C	0.017702413
161	YGR206W	0.017589916
162	YDR120C	0.017518353
163	YML001W	0.017482265
164	YLR094C	0.017439896
165	YDR392W	0.016971702
166	YMR070W	0.016900781
