rank	yeast_gene	ensemble_score
1	YLR329W	0.101785714
2	YMR219W	0.094350732
3	YIR019C	0.080925653
4	YKR058W	0.075616812
5	YKR054C	0.071655035
6	YDR223W	0.068240968
7	YLR120C	0.065616926
8	YDR273W	0.064852608
9	YDR022C	0.062313166
10	YER044C-A	0.061273602
11	YGL168W	0.061129734
12	YBR140C	0.060986603
13	YDR457W	0.060179075
14	YHR195W	0.058659031
15	YMR021C	0.058374439
16	YOR179C	0.056978372
17	YPL086C	0.055191188
18	YMR191W	0.054504095
19	YPL180W	0.052617271
20	YGR044C	0.051330145
21	YLR094C	0.049646090
22	YKR092C	0.049225262
23	YOL081W	0.049185375
24	YDR110W	0.048033192
25	YKL198C	0.048019948
26	YER106W	0.046211317
27	YMR133W	0.046090381
28	YKR017C	0.045586381
29	YCR073C	0.045487523
30	YAL027W	0.044665232
31	YBR275C	0.044490232
32	YGL179C	0.044445841
33	YML036W	0.042542228
34	YMR306W	0.042378595
35	YLL040C	0.042090176
36	YGR067C	0.041856598
37	YBL088C	0.041257131
38	YOL082W	0.040993931
39	YLL002W	0.040510550
40	YDR217C	0.040323545
41	YDR490C	0.039590697
42	YDL079C	0.039217495
43	YPL154C	0.038860728
44	YNL209W	0.038826433
45	YDR213W	0.038414995
46	YFL052W	0.037409483
47	YOL104C	0.037303557
48	YGL166W	0.037104766
49	YJR094C	0.037050907
50	YPR199C	0.035589487
51	YDR334W	0.035237804
52	YDL076C	0.034890591
53	YLR035C	0.034880776
54	YOR191W	0.034809820
55	YPR040W	0.034495657
56	YBR285W	0.034257561
57	YBR059C	0.034196114
58	YKL130C	0.033177933
59	YLL039C	0.032701970
60	YKR059W	0.032355134
61	YER035W	0.032248804
62	YDR370C	0.032224979
63	YBR186W	0.032035582
64	YIL146C	0.031659207
65	YGL240W	0.031650555
66	YDL194W	0.031358641
67	YBR297W	0.031113151
68	YJL110C	0.031075160
69	YLR438W	0.030647422
70	YLR135W	0.030414377
71	YER176W	0.029773030
72	YBR240C	0.029670532
73	YFR046C	0.029662762
74	YKL161C	0.029603343
75	YGR134W	0.029523796
76	YBR066C	0.029465584
77	YOL116W	0.029423000
78	YML058W-A	0.029316177
79	YPR111W	0.028365751
80	YMR273C	0.028272012
81	YHR207C	0.027837971
82	YDL214C	0.027389706
83	YGL216W	0.027382665
84	YNL236W	0.027075547
85	YCR106W	0.026920657
86	YOR153W	0.026591315
87	YLR263W	0.026487199
88	YPL187W	0.025752061
89	YPL192C	0.025702069
90	YOR162C	0.025569499
91	YGR288W	0.025256475
92	YDR423C	0.024897453
93	YLR006C	0.024827194
94	YML109W	0.024532319
95	YLR233C	0.024412560
96	YLR219W	0.024083970
97	YNL210W	0.023980657
98	YNL242W	0.023765424
99	YHR146W	0.023680488
100	YER179W	0.023244802
101	YHR157W	0.023060313
102	YDR206W	0.022618456
103	YBR107C	0.022569444
104	YLR453C	0.022543500
105	YDR518W	0.022537879
106	YNR032C-A	0.022364896
107	YLR320W	0.022220780
108	YKR010C	0.022059222
109	YDR057W	0.022002151
110	YOR290C	0.021909676
111	YML075C	0.021468028
112	YHR202W	0.021403263
113	YMR019W	0.021383096
114	YBL039C	0.021342788
115	YLR342W	0.021275108
116	YGR019W	0.021196605
117	YOR172W	0.020995005
118	YPR015C	0.020975103
119	YJR021C	0.020781637
120	YER116C	0.020748038
121	YGL060W	0.020741080
122	YDL138W	0.020493802
123	YNL106C	0.020419482
124	YLR265C	0.020370370
125	YLR368W	0.020333285
126	YML011C	0.020271927
127	YDL197C	0.019992221
128	YCR053W	0.019883133
129	YGR173W	0.019873981
130	YJR140C	0.019858619
131	YPR164W	0.019708907
132	YLR021W	0.019588478
133	YPR009W	0.019548193
134	YHR004C	0.019495238
135	YGL062W	0.019434091
136	YDR458C	0.019380728
137	YDR375C	0.019127014
138	YLR253W	0.019080297
139	YML006C	0.019052690
140	YGL251C	0.019047083
141	YKL101W	0.018995701
142	YMR293C	0.018859757
143	YMR173W	0.018831696
144	YMR105C	0.018814831
145	YAL056W	0.018782960
146	YDR216W	0.018772276
147	YPR093C	0.018770130
148	YDR181C	0.018666837
149	YPL186C	0.018602759
150	YLR278C	0.018562544
151	YPL100W	0.018531233
152	YAR002W	0.018517304
153	YML068W	0.018349012
154	YOR363C	0.018307751
155	YPR057W	0.018235057
156	YJL103C	0.018099973
157	YBR033W	0.017916894
158	YBL006C	0.017686036
159	YDR517W	0.017674451
160	YOR076C	0.017618540
161	YLR043C	0.017617292
162	YBR218C	0.017454347
163	YMR129W	0.017444259
164	YMR186W	0.017234269
165	YNL241C	0.017084215
166	YMR261C	0.016993895
167	YMR280C	0.016934816
168	YHR006W	0.016746496
169	YMR065W	0.016668385
170	YLR154C	0.016606489
171	YNL116W	0.016559591
172	YKR072C	0.016514820
173	YHR124W	0.016388249
174	YPL042C	0.016343943
175	YIL008W	0.016283299
176	YDR495C	0.016259822
177	YPR196W	0.016159043
178	YER007C-A	0.016144467
179	YLR425W	0.016004877
180	YER164W	0.015945716
181	YLR377C	0.015802720
182	YPL167C	0.015778469
183	YBR223C	0.015768836
184	YBR073W	0.015747776
185	YPR189W	0.015710205
186	YMR138W	0.015699389
187	YJR030C	0.015618720
188	YFR030W	0.015606548
189	YNL082W	0.015606111
190	YOL016C	0.015583106
191	YOR295W	0.015563931
192	YGR152C	0.015505749
193	YER132C	0.015442345
194	YIL073C	0.015361063
195	YPL164C	0.015355414
196	YPR179C	0.015248942
197	YGL195W	0.015203577
198	YMR167W	0.015178536
199	YLR102C	0.015141258
200	YBR112C	0.015140629
201	YPL144W	0.015117989
202	YNL020C	0.015064309
203	YLR335W	0.015034381
204	YDR260C	0.015005764
205	YER105C	0.014996383
206	YNL224C	0.014936360
207	YGL004C	0.014934821
208	YOL087C	0.014884582
209	YGL089C	0.014852899
210	YFL028C	0.014825041
211	YDR035W	0.014762859
212	YBR280C	0.014685607
213	YOR064C	0.014620264
214	YAR003W	0.014603613
215	YKL212W	0.014587125
216	YDR488C	0.014503249
217	YGL090W	0.014482335
218	YLR451W	0.014464100
219	YNR074C	0.014332964
220	YAL053W	0.014237200
221	YER028C	0.014212359
