rank	yeast_gene	ensemble_score
1	YEL013W	0.099812030
2	YML123C	0.095305503
3	YLR113W	0.088809524
4	YHR032W	0.086760462
5	YKR059W	0.077775313
6	YOR061W	0.077147808
7	YML001W	0.068657548
8	YOR185C	0.068121693
9	YIL035C	0.067201426
10	YOR380W	0.065899672
11	YKR039W	0.065466996
12	YPL274W	0.059901575
13	YDL138W	0.056782961
14	YKL190W	0.055769516
15	YDL006W	0.054275696
16	YDL035C	0.054005665
17	YGR152C	0.051849451
18	YNL098C	0.051834285
19	YDL194W	0.051329001
20	YMR080C	0.050974676
21	YCL011C	0.050845287
22	YGR040W	0.050159055
23	YNL154C	0.050117443
24	YHR135C	0.050082481
25	YLR451W	0.049510546
26	YNR032C-A	0.049251152
27	YHR030C	0.047620405
28	YIR005W	0.047076878
29	YJL124C	0.046769953
30	YER031C	0.045500712
31	YKL222C	0.045424430
32	YGL087C	0.044770095
33	YLL048C	0.044680894
34	YPR111W	0.044027285
35	YMR138W	0.043941904
36	YJL128C	0.043738739
37	YBR114W	0.042589676
38	YOL068C	0.041958450
39	YDR490C	0.041100619
40	YKL214C	0.040726381
41	YJL164C	0.040484824
42	YNL130C	0.040432763
43	YPL203W	0.039983930
44	YLR253W	0.039143774
45	YPR173C	0.038698477
46	YHR178W	0.038331137
47	YOR172W	0.038226634
48	YHR127W	0.037857208
49	YAR018C	0.036519608
50	YCR008W	0.036092856
51	YIL030C	0.035577683
52	YMR202W	0.035549154
53	YMR258C	0.034659278
54	YOR351C	0.034409710
55	YLR014C	0.034000602
56	YDR099W	0.033705179
57	YPL236C	0.033604466
58	YHR003C	0.033601473
59	YDR520C	0.033373097
60	YOL113W	0.033062122
61	YMR306W	0.032721417
62	YER177W	0.031363018
63	YDR477W	0.031155823
64	YNL142W	0.030748299
65	YFR014C	0.030617380
66	YCR106W	0.030455214
67	YKL034W	0.030300174
68	YKR064W	0.030248635
69	YDR001C	0.030207552
70	YAL053W	0.030151301
71	YKL027W	0.029969582
72	YOR313C	0.029936092
73	YBR059C	0.029844621
74	YIL008W	0.029670466
75	YBL003C	0.029657577
76	YOR153W	0.029490742
77	YMR246W	0.029461714
78	YGL252C	0.028985199
79	YMR274C	0.028864192
80	YOR101W	0.028203034
81	YNL004W	0.026940659
82	YMR100W	0.026803265
83	YLR052W	0.026522730
84	YDR375C	0.026496836
85	YLL054C	0.026195094
86	YKL166C	0.026075744
87	YPL086C	0.025961313
88	YOL016C	0.025805923
89	YDR075W	0.025269577
90	YPL154C	0.025050710
91	YML075C	0.024725121
92	YMR205C	0.024403954
93	YNL020C	0.024397077
94	YGL115W	0.024230752
95	YLR262C	0.024010213
96	YML099C	0.023798287
97	YPL176C	0.023569755
98	YCR073C	0.023568193
99	YJR073C	0.023515046
100	YJL206C	0.023375529
101	YCR020C-A	0.023166355
102	YDR156W	0.023065218
103	YGL197W	0.022793548
104	YLR368W	0.022668292
105	YOR162C	0.022571908
106	YPR149W	0.022556654
107	YOR197W	0.022245901
108	YAL059W	0.022226017
109	YLR342W	0.022157668
110	YIL017C	0.022086212
111	YNL229C	0.021443165
112	YPL037C	0.021356116
113	YKL161C	0.021314445
114	YPR196W	0.021266839
115	YBR010W	0.021265390
116	YFR032C	0.021195203
117	YNL307C	0.021083759
118	YGR229C	0.020907820
119	YOL013C	0.020817430
120	YPL031C	0.020810427
121	YAL056W	0.020726940
122	YDR421W	0.020716257
123	YBR001C	0.020675505
124	YFL052W	0.020213126
125	YDL079C	0.020202451
126	YKR093W	0.020160710
127	YCL010C	0.020061018
128	YGL208W	0.019862178
129	YDL134C	0.019685717
130	YPL199C	0.019572301
131	YHL034C	0.019541321
132	YFL028C	0.019355482
133	YLR055C	0.019348733
134	YLR258W	0.019337045
135	YBL002W	0.019302807
136	YAL054C	0.019136091
137	YFR015C	0.019042173
138	YJL106W	0.018819982
139	YGR288W	0.018730511
140	YMR019W	0.018586998
141	YLR248W	0.018486592
142	YHR192W	0.018390743
143	YPL096C-A	0.018311752
144	YNL016W	0.018285899
145	YLR278C	0.018269194
146	YPL213W	0.018266598
147	YOL012C	0.018173141
148	YGR240C	0.018104936
149	YLR266C	0.018079770
150	YMR291W	0.018060225
151	YHR082C	0.017995479
152	YDR110W	0.017980102
153	YHR200W	0.017857007
154	YLR120C	0.017836824
155	YIL113W	0.017814383
156	YMR177W	0.017756534
157	YKL015W	0.017729261
158	YLL046C	0.017694841
159	YPL192C	0.017682691
160	YPL226W	0.017606228
161	YPL042C	0.017599648
162	YFL014W	0.017599543
163	YDR306C	0.017568771
164	YNL209W	0.017540630
165	YIL040W	0.017519624
166	YDR291W	0.017364241
167	YNL288W	0.017331740
168	YBR297W	0.017262798
169	YAL009W	0.017228741
170	YGL180W	0.017219271
171	YMR285C	0.017178679
172	YBR245C	0.017169128
173	YGL100W	0.017092779
174	YNR034W	0.017050725
175	YDL188C	0.016993218
176	YEL066W	0.016953508
177	YBR274W	0.016937992
178	YOR363C	0.016790177
179	YOR360C	0.016774301
180	YHR031C	0.016748828
181	YOR304W	0.016707987
182	YDR448W	0.016656583
183	YIR023W	0.016627561
184	YDL036C	0.016579242
185	YMR116C	0.016471209
186	YHL025W	0.016331213
187	YPR075C	0.016235434
188	YML011C	0.016229077
189	YBR082C	0.016226859
190	YLR385C	0.016028879
191	YBR218C	0.015833983
192	YBR062C	0.015775470
193	YKL086W	0.015754691
194	YNL021W	0.015693211
195	YER027C	0.015665059
196	YGL062W	0.015510457
197	YDR079C-A	0.015419706
198	YNL330C	0.015384283
199	YER064C	0.015381066
200	YMR287C	0.015184771
201	YAL055W	0.015122378
202	YHR015W	0.014978983
203	YDR131C	0.014947687
204	YLR438W	0.014838809
205	YGR044C	0.014773593
206	YER089C	0.014748805
207	YFR053C	0.014613676
208	YKR001C	0.014584322
209	YNL298W	0.014568086
210	YIL009C-A	0.014567603
211	YPR052C	0.014535918
212	YLR233C	0.014530052
213	YGL179C	0.014440157
214	YMR069W	0.014329603
215	YBR089C-A	0.014297105
216	YGR157W	0.014291282
217	YMR055C	0.014291264
218	YER176W	0.014195020
219	YER123W	0.014092650
220	YER007C-A	0.014028330
221	YOR371C	0.014024499
222	YBR073W	0.013912870
223	YBR276C	0.013886325
224	YLR364W	0.013858269
225	YDR059C	0.013857094
226	YPR054W	0.013789188
227	YJL149W	0.013787940
228	YPL194W	0.013725265
229	YNL323W	0.013700546
230	YNL159C	0.013672761
231	YLR329W	0.013618217
232	YLR352W	0.013598112
233	YNR032W	0.013598062
234	YPL184C	0.013500775
235	YNL008C	0.013498819
236	YAL051W	0.013440465
237	YGL163C	0.013411691
238	YNL257C	0.013298861
239	YLR234W	0.013295649
240	YGL253W	0.013047030
241	YIR002C	0.012956282
242	YML102W	0.012839840
243	YDR334W	0.012816505
244	YDR252W	0.012792601
245	YNR031C	0.012771870
246	YLR219W	0.012746172
247	YGL237C	0.012704392
248	YPL015C	0.012588869
249	YBL078C	0.012555878
250	YMR119W	0.012533528
251	YIR026C	0.012487216
252	YER110C	0.012432209
253	YJL030W	0.012429432
254	YHR207C	0.012351068
255	YMR139W	0.012341193
256	YPL157W	0.012318697
257	YPR093C	0.012162005
258	YER143W	0.012054622
259	YLR192C	0.012003857
260	YLR048W	0.011921567
261	YPL109C	0.011880763
262	YCL040W	0.011874725
263	YER035W	0.011865435
264	YAL019W	0.011855887
265	YMR280C	0.011800251
266	YGL078C	0.011701455
267	YBR034C	0.011562916
268	YNL314W	0.011535161
269	YDR147W	0.011531545
270	YOL080C	0.011517452
271	YMR276W	0.011511060
272	YLR398C	0.011248211
273	YOL090W	0.011230221
274	YMR022W	0.011216053
275	YML121W	0.011214684
276	YAR035W	0.011208175
277	YBR097W	0.011205708
278	YER092W	0.011204508
279	YNR074C	0.011190688
280	YJL168C	0.011137363
281	YDR517W	0.011037690
282	YIL130W	0.011024193
283	YLR150W	0.011004952
284	YMR315W	0.010951728
285	YNL025C	0.010914812
286	YOL104C	0.010800513
287	YBR201W	0.010799412
288	YGR019W	0.010769736
289	YNL311C	0.010753370
290	YGL251C	0.010726877
291	YDL155W	0.010668602
292	YGL168W	0.010651254
293	YMR224C	0.010621815
294	YDL213C	0.010603234
295	YCL055W	0.010494700
296	YJR084W	0.010400682
297	YLR384C	0.010340966
298	YGR202C	0.010237532
299	YPR009W	0.010236224
300	YFR023W	0.010230754
301	YJL210W	0.010198647
302	YAL011W	0.010126390
303	YLR059C	0.010111167
304	YPL026C	0.010049678
305	YBL066C	0.010039580
306	YPL202C	0.010008091
307	YNL299W	0.010002958
308	YPL033C	0.009994860
309	YPR160W	0.009986083
310	YGR206W	0.009982207
311	YKL198C	0.009946525
312	YDR074W	0.009863129
313	YHR202W	0.009821804
314	YEL018W	0.009794718
315	YDR432W	0.009778061
316	YOR208W	0.009741659
317	YGR135W	0.009740995
318	YBR033W	0.009722484
319	YJR066W	0.009705190
320	YOR233W	0.009695207
321	YDR247W	0.009680666
322	YBR150C	0.009624637
323	YGR247W	0.009587034
324	YAL017W	0.009582976
325	YNL082W	0.009578754
326	YPL140C	0.009563389
327	YOR337W	0.009532500
328	YER164W	0.009519170
329	YHR120W	0.009514099
330	YBL057C	0.009506701
331	YHR124W	0.009479521
332	YPR179C	0.009479115
333	YIL095W	0.009476559
334	YGL241W	0.009464061
335	YPL248C	0.009454809
336	YDR260C	0.009446988
337	YER142C	0.009435294
338	YKL113C	0.009384295
339	YOR358W	0.009371373
340	YOL136C	0.009361095
