systematic	common	uniprot	seq_len
	GCN1	Q92616	2671
	MUC22	E2RYF6	1773
	SYNJ1	O43426	1573
	SKIC3	Q6PGP7	1564
	KDM5D	Q9BY66	1539
	ERCC6	Q03468	1493
	HFM1	A2PYH4	1435
	SKIC2	Q15477	1246
	IFIH1	Q9BYX4	1025
	PRP4K	Q13523	1007
	SYCP1	Q15431	976
	ERC2	O15083	957
	DDX12P	Q92771	950
	BRDT	Q58F21	947
	TEX11	Q8IYF3	940
	ERN2	Q76MJ5	926
	RIGI	O95786	925
	ATG9B	Q674R7	924
	LIG4	P49917	911
	MARCHF6	O60337	910
	GOLGA6L22	H0YM25	854
	PPP4R3B	Q5MIZ7	849
	PYGM	P11217	842
	PPP4R3A	Q6IN85	833
	PPP4R3C	Q6ZMV5	832
	GCK	Q12851	820
	MARK1	Q9P0L2	795
	BRSK1	Q8TDC3	778
	SLC7A14	Q8TBB6	771
	DMP1	Q9Y222	760
	SLC15A2	Q16348	729
	FACL4	O60488	711
	SLC15A1	P46059	708
	MTMR8	Q96EF0	704
	GYS2	P54840	703
	ACSS1	Q9NUB1	689
	SEL1L2	Q5TEA6	688
	DHX58	Q96C10	678
	MTMR7	Q9Y216	660
	UBQLN3	Q9H347	655
	PUM3	Q15397	648
	SLC7A4	O43246	635
	CILK1	Q9UPZ9	632
	PEX5L	Q8IYB4	626
	KRT9	P35527	623
	MAK	P20794	623
	MTMR6	Q9Y217	621
	ME3	Q16798	604
	SLC47A2	Q86VL8	602
	HSP90AB3P	Q58FF7	597
	PDILT	Q8N807	584
	TREH	O43280	583
	SLC15A3	Q8IY34	581
	TKFC	Q3LXA3	575
	SNX30	Q8WV41	574
	SLC47A1	Q96FL8	570
	PRKAG2	Q9UGJ0	569
	PGM5	Q15124	567
	SRPK3	Q9UPE1	567
	PGM1	P36871	562
	GATB	O75879	557
	PRKAA2	P54646	552
	SVOP	Q8N4V2	548
	KRT24	Q2M2I5	525
	PDIA2	Q13087	525
	TBL1Y	Q9BQ87	522
	TOM1L2	Q6ZVM7	507
	NAP1L3	Q99457	506
	CAMKK1	Q8N5S9	505
	CAMKV	Q8NCB2	501
	GYG2	O15488	501
	PPP2R5B	Q15173	497
	KRT12	Q99456	494
	PRKAG3	Q9UGI9	489
	THNSL2	Q86YJ6	484
	CORO2B	Q9UQ03	480
	RHCG	Q9UBD6	479
	CAP2	P40123	477
	CAMK1G	Q96NX5	476
	CAMK4	Q16566	473
	KRT16	P08779	473
	KRT14	P02533	472
	KRT26	Q7Z3Y9	468
	KRT36	O76013	467
	KYNU	Q16719	465
	KRT28	Q7Z3Y7	464
	NAP1L2	Q9ULW6	460
	KRT27	Q7Z3Y8	459
	KRT13	P13646	458
	RHBG	Q9H310	458
	KRT15	P19012	456
	KRT38	O76015	456
	KRT35	Q92764	455
	KRT25	Q7Z3Z0	450
	TUBA3C	P0DPH7	450
	TUBA3E	Q6PEY2	450
	TUBA8	Q9NY65	449
	KRT32	Q14532	448
	USP27X	A6NNY8	438
	FNTB	P49356	437
	BECN2	A8MW95	431
	KRT40	Q6A162	431
	KRT20	P35900	424
	NAPSA	O96009	420
	PTPN20	Q4JDL3	420
	KRT31	Q15323	416
	STK26	Q9P289	416
	OSGEPL1	Q9H4B0	414
	PDK4	Q16654	411
	BHMT	Q93088	406
	REN	P00797	406
	SEC14L4	Q9UDX3	406
	KRT33A	O76009	404
	KRT33B	Q14525	404
	SEC14L2	O76054	403
	SEC14L3	Q9UDX4	400
	UBTFL6	P0CB48	400
	SEC14L6	B5MCN3	397
	SPO11	Q9Y5K1	396
	MAT1A	Q00266	395
	KRT34	O76011	394
	PRMT8	Q9NR22	394
	UBTFL1	P0CB47	393
	RBMXL2	O75526	392
	PGA3	P0DJD8	388
	PGA4	P0DJD7	388
	PGA5	P0DJD9	388
	PGC	P20142	388
	SNX7	Q9UNH6	387
	ELAVL4	P26378	385
	PCBP3	P57721	371
	ELAVL3	Q14576	367
	MAPK13	O15264	365
	BHMT2	Q9H2M3	363
	PPM1L	Q5SGD2	360
	ELAVL2	Q12926	359
	PEX12	O00623	359
	PRKACB	P22694	351
	PRKACG	P22612	351
	TMEM30B	Q3MIR4	351
	TCEA3	O75764	348
	PNCK	Q6P2M8	343
	FBP2	O00757	339
	FBP1	P09467	338
	DHDH	Q9UQ10	334
	WDR5B	Q86VZ2	330
	AKR1C8	Q5T2L2	326
	NSUN5P2	Q63ZY6	315
	RAB6C	Q9H0N0	254
	RAB6D	Q53S08	254
	CHMP4C	Q96CF2	233
	H1-5	P16401	226
	UCHL1	P09936	223
	H1-3	P16402	221
	H1-4	P10412	219
	H1-1	Q02539	215
	H1-10	Q92522	213
	H1-2	P16403	213
	NACA4P	Q9BZK3	213
	RAB41	Q86YS6	212
	DUSP26	Q9BV47	211
	RAB6B	Q9NRW1	208
	H1-6	P22492	207
	DUSP21	Q9H596	190
	DUSP18	Q8NEJ0	188
	RAP1BL	A6NIZ1	184
	MCTS2	A0A3B3IRV3	181
	UBE2C	O00762	179
	CHMP4BP1	P59074	171
	PPP3R2	Q96LZ3	170
	PPIAL4C	A0A0B4J2A2	164
	PPIAL4G	P0DN37	164
	NME2	P22392	152
	H2AX	P16104	143
	H3-3A_H3-3B	P84243	136
	H3-4	Q16695	136
	H3-7	Q5TEC6	136
	H3C15_H3C14_H3C13	Q71DI3	136
	H3C1_H3C2_H3C3_H3C4_H3C6_H3C7_H3C8_H3C10_H3C11_H3C12	P68431	136
	H3-5	Q6NXT2	135
	H2AC1	Q96QV6	131
	H2AC11_H2AC13_H2AC15_H2AC16_H2AC17	P0C0S8	130
	H2AC18_H2AC19	Q6FI13	130
	H2AC21	Q8IUE6	130
	H2AC25	Q7L7L0	130
	H2AC4_H2AC8	P04908	130
	H2AC6	Q93077	130
	H2AC7	P20671	130
	H2AC20	Q16777	129
	H2AJ	Q9BTM1	129
	H2AC12	Q96KK5	128
	H2AC14	Q99878	128
	H2AZ1	P0C0S5	128
	H2AZ2	Q71UI9	128
	H2BC1	Q96A08	127
	TXNDC8	Q6A555	127
	H2BC11	P06899	126
	H2BC12	O60814	126
	H2BC12L	P57053	126
	H2BC13	Q99880	126
	H2BC14	Q99879	126
	H2BC15	Q99877	126
	H2BC17	P23527	126
	H2BC18	Q5QNW6	126
	H2BC21	Q16778	126
	H2BC26	Q8N257	126
	H2BC3	P33778	126
	H2BC4_H2BC6_H2BC7_H2BC8_H2BC10	P62807	126
