rank	yeast_gene	ensemble_score
1	YNR032C-A	0.058258767
2	YLR329W	0.041440643
3	YOL104C	0.041128232
4	YPL086C	0.031844309
5	YER044C-A	0.031780952
6	YLR385C	0.031726458
7	YOR061W	0.031724905
8	YKL161C	0.028479036
9	YOR153W	0.028458508
10	YAL027W	0.027180647
11	YCR020W-B	0.026934780
12	YEL066W	0.026835025
13	YLR113W	0.026556147
14	YLR445W	0.026530369
15	YPR054W	0.026495082
16	YDR252W	0.026417048
17	YBL006C	0.025016522
18	YGL168W	0.024007505
19	YGL237C	0.023527079
20	YER035W	0.022669479
21	YOL081W	0.022298039
22	YPR101W	0.020869185
23	YDR260C	0.020809126
24	YML058W-A	0.020767098
25	YHL025W	0.020703587
26	YNL209W	0.020690816
27	YML123C	0.020395869
28	YBR140C	0.020325317
29	YPR040W	0.019294694
30	YPR093C	0.018912323
31	YHR157W	0.018610070
32	YGR040W	0.018451339
33	YER177W	0.017008725
34	YEL018W	0.016435206
35	YDL076C	0.016072899
36	YMR191W	0.016044157
37	YDL080C	0.015553464
38	YBR010W	0.015346913
39	YLR102C	0.014682825
40	YKR093W	0.014666850
41	YGL062W	0.014456928
42	YGR206W	0.014234445
43	YKR059W	0.014149221
44	YER179W	0.013937702
45	YBR285W	0.013754603
46	YGR275W	0.013197560
47	YBR297W	0.012698321
48	YLL002W	0.012664203
49	YGR067C	0.011894603
50	YLR438W	0.011776157
51	YOR298C-A	0.011726852
52	YPL096C-A	0.011694612
53	YDR155C	0.011646906
54	YML036W	0.011606966
55	YOR179C	0.011278490
56	YBR218C	0.011247401
57	YBL088C	0.011204264
58	YIR025W	0.011009815
59	YHR032W	0.010850976
60	YLR453C	0.010694059
61	YGR134W	0.010576153
62	YBR201W	0.010525521
63	YNL159C	0.010427488
64	YFL052W	0.010250790
65	YGL013C	0.010223465
66	YLR234W	0.010147496
67	YLR021W	0.010042556
68	YNL142W	0.010000555
69	YKR054C	0.009992608
70	YKL190W	0.009686011
71	YGR019W	0.009652755
72	YDR181C	0.009170918
73	YBL078C	0.009111700
74	YKL067W	0.008877016
75	YHR195W	0.008835029
76	YBR089C-A	0.008830879
77	YDR457W	0.008826988
78	YBR275C	0.008783082
79	YGL253W	0.008725246
80	YAL054C	0.008442566
81	YPR015C	0.008407948
82	YFR053C	0.008404105
83	YBL003C	0.008285978
84	YNL330C	0.008268416
85	YER007C-A	0.008227482
86	YER092W	0.008089187
87	YJR069C	0.007928211
88	YFR036W	0.007919692
89	YLR377C	0.007901371
90	YDR158W	0.007762553
91	YKL130C	0.007581121
92	YBR182C	0.007567504
93	YER106W	0.007404153
94	YHL027W	0.007400837
95	YGL070C	0.007324962
96	YBR165W	0.007290437
97	YHR200W	0.007174021
98	YMR116C	0.006977161
99	YNL241C	0.006967426
100	YDR216W	0.006907204
101	YHR030C	0.006769703
102	YOL012C	0.006695685
103	YDR099W	0.006659112
104	YGR180C	0.006595108
105	YPR196W	0.006551726
106	YML113W	0.006462307
107	YIR013C	0.006457914
108	YGR288W	0.006031069
109	YDR223W	0.006016839
110	YOR368W	0.005939761
111	YBR107C	0.005859364
112	YOR047C	0.005822218
113	YBR033W	0.005765207
114	YGL240W	0.005751702
115	YBL005W	0.005666653
116	YPR052C	0.005609660
117	YDR110W	0.005454997
118	YKL127W	0.005284555
119	YEL037C	0.005223586
120	YDL214C	0.005167438
121	YML058W	0.004948124
122	YKR057W	0.004945941
123	YBL039C	0.004790246
124	YLR224W	0.004731265
125	YEL013W	0.004558410
126	YDR079C-A	0.004483793
127	YGL096W	0.004416241
128	YBR188C	0.004353772
129	YMR315W	0.004241423
130	YMR105C	0.004226761
131	YJR073C	0.004075902
132	YNL210W	0.004014223
133	YBR059C	0.004002837
134	YMR069W	0.003992738
135	YLR304C	0.003952981
136	YLR231C	0.003847955
137	YBR009C	0.003832595
138	YLR094C	0.003822676
139	YGL220W	0.003796453
140	YKL002W	0.003760699
141	YGL115W	0.003749665
142	YDL154W	0.003728471
143	YDR156W	0.003720677
144	YBL002W	0.003668517
145	YGL211W	0.003651473
146	YDR035W	0.003615841
147	YOR027W	0.003593731
148	YDR523C	0.003576358
149	YGR173W	0.003496990
150	YAL044W-A	0.003449961
151	YMR019W	0.003425917
152	YNR004W	0.003351568
153	YER028C	0.003315400
154	YLR013W	0.003284665
155	YIL133C	0.003264938
156	YJR021C	0.003247415
157	YLR074C	0.003166978
158	YJL110C	0.003161724
159	YOR360C	0.003153119
160	YDR059C	0.003113503
161	YCR087C-A	0.003099900
162	YER174C	0.003094212
163	YDR482C	0.003083578
164	YER116C	0.003077054
165	YML076C	0.003014614
166	YGR232W	0.002985689
167	YPL212C	0.002936280
168	YBR240C	0.002874029
169	YBL024W	0.002833761
170	YKL198C	0.002827474
171	YLR325C	0.002826712
172	YKL009W	0.002802923
173	YPL037C	0.002766600
174	YMR030W	0.002726700
175	YBR066C	0.002702196
176	YAL055W	0.002634093
177	YNL288W	0.002603391
178	YNL204C	0.002566111
179	YMR182C	0.002563643
180	YDL006W	0.002518934
181	YBR112C	0.002496457
182	YDR022C	0.002383593
183	YOL116W	0.002315878
184	YIL008W	0.002283874
185	YJL103C	0.002279127
186	YBR082C	0.002250290
187	YKR039W	0.002165724
188	YPL144W	0.002131417
189	YDR123C	0.002130510
190	YPL177C	0.002121414
191	YDR488C	0.002117360
192	YML102W	0.002107594
193	YIL010W	0.002105029
194	YLR315W	0.002082355
195	YLR052W	0.002076309
196	YHR193C	0.002056211
197	YMR136W	0.002056102
198	YMR276W	0.002053414
199	YBR217W	0.002027112
200	YPL149W	0.001950943
201	YMR042W	0.001950593
202	YML011C	0.001949958
203	YMR246W	0.001949881
204	YDR143C	0.001942431
205	YPL033C	0.001925749
206	YDR163W	0.001920865
207	YKR017C	0.001913775
208	YKL041W	0.001889368
209	YIL122W	0.001874813
210	YGL029W	0.001872920
211	YBR062C	0.001859811
212	YML081W	0.001810366
213	YNL138W	0.001774211
214	YPL236C	0.001774161
215	YJR014W	0.001771272
216	YIR017C	0.001720917
217	YDL179W	0.001678705
218	YBR272C	0.001673542
219	YHR033W	0.001669598
220	YGL195W	0.001658858
221	YMR133W	0.001603859
222	YDL079C	0.001591280
223	YOL117W	0.001575523
224	YER045C	0.001562721
225	YNL025C	0.001508629
226	YNL289W	0.001498887
227	YFR046C	0.001477332
228	YJR030C	0.001463053
229	YDR009W	0.001456498
230	YBR195C	0.001451009
231	YOR091W	0.001448730
232	YPR164W	0.001447536
233	YDR273W	0.001391372
234	YLR263W	0.001304342
235	YMR202W	0.001302694
236	YGL175C	0.001301110
237	YKR010C	0.001288749
238	YLR288C	0.001253486
239	YGL248W	0.001210262
240	YFL014W	0.001204679
241	YOL086W-A	0.001201921
242	YMR264W	0.001200136
243	YIL128W	0.001194719
244	YOR189W	0.001189026
245	YPL021W	0.001187571
246	YLL039C	0.001169599
247	YDL135C	0.001162164
248	YLR154C	0.001161852
249	YDR480W	0.001160395
250	YMR164C	0.001147065
251	YGL181W	0.001134405
252	YIL095W	0.001117667
253	YLR119W	0.001087687
254	YKL038W	0.001074149
255	YER002W	0.001070778
256	YDL013W	0.001059842
257	YFL007W	0.001014223
258	YGL209W	0.000976979
259	YPL213W	0.000899940
260	YPL002C	0.000887355
261	YML032C	0.000875153
262	YGR070W	0.000860691
263	YER184C	0.000855994
264	YCR020C-A	0.000850719
265	YFR030W	0.000835987
266	YNL020C	0.000820380
267	YML051W	0.000817000
268	YLR376C	0.000778635
269	YLR320W	0.000777402
