rank	yeast_gene	ensemble_score
1	YGR180C	0.016826700
2	YNR032W	0.014620824
3	YBR201W	0.012104412
4	YPL203W	0.012060291
5	YDL188C	0.011839917
6	YLR019W	0.011791876
7	YDL134C	0.011632659
8	YDR075W	0.011278732
9	YGL043W	0.010747699
10	YPL031C	0.010138757
11	YBR272C	0.008587571
12	YLR234W	0.007863107
13	YAL009W	0.007685649
14	YBR082C	0.007652206
15	YGR003W	0.007433219
16	YDR059C	0.007217647
17	YGR208W	0.006483946
18	YBR165W	0.006483155
19	YML076C	0.006403517
20	YKL034W	0.005993730
21	YDR139C	0.005969832
22	YNL130C	0.005864841
23	YLR342W	0.005094471
24	YAL053W	0.005005718
25	YIL030C	0.004989475
26	YGL058W	0.004897596
27	YMR246W	0.004757347
28	YMR306W	0.004742593
29	YGL253W	0.004595661
30	YLR226W	0.004469528
31	YML075C	0.004393107
32	YKL166C	0.004392952
33	YOL013C	0.004348301
34	YJR073C	0.004281247
35	YDL149W	0.004224235
36	YML124C	0.004138411
37	YFR015C	0.004063580
38	YOL089C	0.003976298
39	YLL010C	0.003959347
40	YOR039W	0.003956483
41	YGR157W	0.003944834
42	YNL330C	0.003908302
43	YDR155C	0.003888447
44	YOR295W	0.003820972
45	YPL176C	0.003796928
46	YPL199C	0.003738742
47	YLR258W	0.003738447
48	YBR028C	0.003679208
49	YBR001C	0.003663871
50	YJR127C	0.003649797
51	YPR155C	0.003630807
52	YIL040W	0.003614950
53	YOR290C	0.003551473
54	YLR180W	0.003458322
55	YNL323W	0.003446492
56	YKR059W	0.003435617
57	YBR290W	0.003406526
58	YMR302C	0.003377398
59	YOR197W	0.003366919
60	YNL307C	0.003342502
61	YLR207W	0.003334494
62	YKL190W	0.003226528
63	YOR209C	0.003218972
64	YJR021C	0.003207692
65	YDR213W	0.003201744
66	YDL230W	0.003174360
67	YPR160W	0.003154600
68	YLR018C	0.003125301
69	YNR063W	0.003121716
70	YMR234W	0.003091127
71	YMR202W	0.003081624
72	YER031C	0.003075535
73	YJL164C	0.003069532
74	YDR001C	0.002998553
75	YNL288W	0.002967918
76	YDL236W	0.002946285
77	YBL021C	0.002934974
78	YNL241C	0.002917151
79	YLR381W	0.002914888
80	YOL016C	0.002899860
81	YPR075C	0.002884238
82	YGL070C	0.002803736
83	YJL030W	0.002800711
84	YAL039C	0.002789933
85	YMR223W	0.002789254
86	YJL153C	0.002774409
87	YDR120C	0.002767485
88	YEL037C	0.002759047
89	YDR265W	0.002754194
90	YHR200W	0.002731339
91	YNL159C	0.002679188
92	YEL018W	0.002674187
93	YGR097W	0.002621879
94	YNL142W	0.002549207
95	YPL123C	0.002528620
96	YMR030W	0.002526237
97	YBR218C	0.002519322
98	YDR099W	0.002508583
99	YBR150C	0.002503428
100	YJR066W	0.002482414
101	YFR038W	0.002462487
102	YDL190C	0.002433608
103	YOL042W	0.002363215
104	YIL153W	0.002348827
105	YCR073C	0.002348070
106	YKL029C	0.002345669
107	YAL021C	0.002344334
108	YER177W	0.002338296
109	YMR182C	0.002337782
110	YNL199C	0.002321383
111	YGL062W	0.002320204
112	YLR228C	0.002280723
113	YMR136W	0.002270542
114	YBL039C	0.002259535
115	YER027C	0.002258164
116	YPR184W	0.002253983
117	YCR077C	0.002251749
118	YGR109C	0.002239929
119	YMR065W	0.002225191
120	YGL019W	0.002206672
121	YAL046C	0.002174371
122	YIR025W	0.002172880
123	YMR070W	0.002103249
124	YGR135W	0.002101389
125	YNR031C	0.002075933
