rank	yeast_gene	ensemble_score
1	YKL166C	0.110516934
2	YPL203W	0.104853129
3	YKR039W	0.096508564
4	YKR059W	0.084962406
5	YJL164C	0.084637585
6	YPL031C	0.082109929
7	YDL134C	0.073301985
8	YPL274W	0.069101203
9	YNL098C	0.067836174
10	YDR075W	0.066432712
11	YDL188C	0.066401583
12	YOL016C	0.063206617
13	YNR032W	0.059434683
14	YER031C	0.059091722
15	YGR152C	0.057504461
16	YKR093W	0.056630143
17	YFR014C	0.056108574
18	YDL138W	0.055687230
19	YNL307C	0.055329801
20	YLR329W	0.053807005
21	YDL006W	0.053724565
22	YLR019W	0.052759959
23	YOR101W	0.052529832
24	YMR246W	0.051735097
25	YMR019W	0.051424131
26	YGL168W	0.049763998
27	YKL190W	0.049131585
28	YLR113W	0.046279762
29	YGR180C	0.046171933
30	YOR185C	0.043372914
31	YER177W	0.042270169
32	YML001W	0.041842655
33	YHR032W	0.041749339
34	YKL161C	0.041692864
35	YNR063W	0.039991818
36	YOR153W	0.039445851
37	YPR054W	0.039337599
38	YDL194W	0.038807167
39	YLR262C	0.038802150
40	YGR040W	0.038538639
41	YPL154C	0.037965135
42	YDL079C	0.037808784
43	YEL013W	0.037605547
44	YDR252W	0.036797631
45	YOR197W	0.036312707
46	YDR059C	0.036106068
47	YBR082C	0.035500185
48	YDR099W	0.035498593
49	YLR385C	0.035419662
50	YJR096W	0.034849961
51	YDL236W	0.034829478
52	YNR032C-A	0.034644663
53	YPL192C	0.034096382
54	YDR022C	0.032539838
55	YNL130C	0.032274932
56	YGR208W	0.031673739
57	YJL206C	0.031658009
58	YBL005W	0.031570513
59	YOL104C	0.031305294
60	YGL253W	0.031301329
61	YNL142W	0.030992008
62	YDR155C	0.030801838
63	YHR030C	0.030801603
64	YNL209W	0.030730947
65	YPR173C	0.030689660
66	YDR139C	0.030343667
67	YOR179C	0.029608569
68	YBR201W	0.028979584
69	YML123C	0.028961645
70	YML076C	0.028547427
71	YGL087C	0.028545607
72	YJL149W	0.028472240
73	YDR334W	0.028019910
74	YAL027W	0.027976760
75	YFR046C	0.027957622
76	YMR139W	0.027849818
77	YPR093C	0.027813374
78	YGR067C	0.027799759
79	YPL037C	0.027121197
80	YCR091W	0.027103981
81	YLL048C	0.026844155
82	YGL237C	0.026819787
83	YFR053C	0.026458168
84	YGR288W	0.026401441
85	YKL130C	0.026240425
86	YOR061W	0.026056935
87	YER184C	0.025790867
88	YBR297W	0.025743722
89	YLL010C	0.025727626
90	YPR111W	0.025439123
91	YGR275W	0.025276674
92	YER044C-A	0.025195088
93	YPL096C-A	0.025125345
94	YHR195W	0.024865282
95	YMR274C	0.024729668
96	YLR234W	0.024606248
97	YER089C	0.024266351
98	YPL086C	0.023468685
99	YPR052C	0.023196798
100	YDL155W	0.022941608
101	YGR109C	0.022774324
102	YGL163C	0.022284763
103	YDL170W	0.022246370
104	YFL052W	0.022122599
105	YBR028C	0.022007572
106	YEL066W	0.022003284
107	YOL089C	0.021975550
108	YGL058W	0.021968511
109	YLR094C	0.021836943
110	YER106W	0.021774614
111	YKL091C	0.021765593
112	YBL006C	0.021736222
113	YBR114W	0.021732329
114	YLR438W	0.021632035
115	YPL046C	0.021471732
116	YLR052W	0.021364379
117	YPR149W	0.021328877
118	YML058W-A	0.021247780
119	YDR260C	0.021152598
120	YER179W	0.021130952
121	YER092W	0.020908506
122	YER035W	0.020603077
123	YPL199C	0.020578335
124	YNL311C	0.020514917
125	YBR272C	0.020441936
126	YOR380W	0.020293211
127	YGR135W	0.020218849
128	YNL159C	0.020149304
129	YBR285W	0.019923339
130	YOR339C	0.019860559
131	YGL043W	0.019746085
132	YGL078C	0.019615571
133	YJR073C	0.019608144
134	YPR196W	0.019590394
135	YIL132C	0.019283173
136	YLR224W	0.019172507
137	YBR240C	0.019011898
138	YOR295W	0.018997627
139	YFR036W	0.018942281
140	YBL057C	0.018825139
141	YBR188C	0.018699316
142	YGR003W	0.018688544
143	YGR134W	0.018647984
144	YBR278W	0.018585319
145	YNR034W	0.018567835
146	YDL230W	0.018515168
147	YIR025W	0.018496803
148	YLR021W	0.018362972
149	YMR080C	0.018248183
150	YIL130W	0.018219061
151	YDL076C	0.018138504
152	YBR089C-A	0.018094267
153	YLR433C	0.018067808
154	YOL080C	0.017827990
155	YEL018W	0.017744538
156	YER143W	0.017714940
157	YLR445W	0.017691774
158	YBL021C	0.017653734
159	YGL013C	0.017511633
160	YNL241C	0.017376364
161	YFR038W	0.017338677
162	YGR209C	0.017211671
163	YML057W	0.017159092
164	YOR189W	0.017139509
165	YAL054C	0.017129440
166	YHR200W	0.017111327
167	YIL040W	0.017045834
168	YER110C	0.017017509
169	YOR027W	0.016995614
170	YMR223W	0.016962354
171	YAL055W	0.016946679
172	YOL082W	0.016857980
173	YMR219W	0.016813486
174	YHR135C	0.016757331
175	YML011C	0.016740007
176	YLR216C	0.016715453
177	YDR273W	0.016650411
178	YBR034C	0.016547961
179	YDR216W	0.016430162
180	YNL210W	0.016248713
181	YDR488C	0.016065925
182	YIR005W	0.016044032
183	YLR226W	0.015866176
184	YEL037C	0.015768721
185	YHR004C	0.015760210
186	YOR191W	0.015683847
187	YDR131C	0.015673875
188	YMR022W	0.015656979
189	YDR001C	0.015651406
190	YAL046C	0.015633735
191	YMR315W	0.015488911
192	YDR263C	0.015470905
193	YKL114C	0.015436285
194	YLR210W	0.015336398
195	YMR105C	0.015225314
196	YGL216W	0.015197580
197	YOL013C	0.015148256
198	YBR150C	0.015146756
199	YGL070C	0.015138635
200	YBR165W	0.015118422
201	YNL154C	0.015115383
202	YJR021C	0.015099560
203	YDR490C	0.014867700
204	YKL127W	0.014813868
205	YCR106W	0.014792178
206	YOR290C	0.014630074
207	YHR031C	0.014600658
208	YLR102C	0.014447398
209	YNL288W	0.014384500
210	YDR156W	0.014379894
211	YML068W	0.014377289
212	YNL330C	0.014320798
213	YDR513W	0.014320537
214	YBR107C	0.013976147
215	YML102W	0.013926123
216	YDR120C	0.013921478
217	YLR059C	0.013784981
218	YOR351C	0.013767373
219	YER174C	0.013728838
220	YCL040W	0.013724969
221	YPR040W	0.013674131
222	YIR013C	0.013670153
223	YLR154C	0.013644134
224	YMR191W	0.013623090
225	YLR043C	0.013616413
226	YJL115W	0.013531212
227	YGL220W	0.013426819
228	YDR079C-A	0.013376040
229	YOL081W	0.013368293
230	YKR054C	0.013314670
231	YMR293C	0.013281711
232	YPL033C	0.013206746
233	YDR098C	0.013135160
234	YDR110W	0.013057910
235	YCR020C-A	0.013041856
236	YDR223W	0.013016535
237	YDR477W	0.012901212
238	YLL039C	0.012826969
239	YDR375C	0.012791574
240	YBL024W	0.012758771
241	YPL179W	0.012708162
242	YBR140C	0.012691201
243	YDL080C	0.012651090
244	YLR364W	0.012628674
245	YGL062W	0.012495026
246	YNL021W	0.012440937
247	YJR127C	0.012430639
248	YPR119W	0.012400065
249	YMR116C	0.012391986
250	YPL038W	0.012374395
251	YAL019W	0.012371393
252	YOR358W	0.012340677
253	YBR275C	0.012333853
254	YKL067W	0.012296060
255	YHR033W	0.012257388
256	YLR098C	0.012200351
257	YHL025W	0.012141328
258	YKR017C	0.012134589
259	YLL054C	0.012121010
260	YLL002W	0.012043421
261	YPR101W	0.012040577
262	YMR138W	0.012033930
263	YBR218C	0.012007458
264	YNL204C	0.011824728
265	YOL090W	0.011771942
266	YLL040C	0.011748997
267	YDR213W	0.011733214
268	YML124C	0.011711817
269	YOR337W	0.011638843
270	YER007C-A	0.011630993
271	YIL146C	0.011591638
272	YGR108W	0.011476258
273	YNL323W	0.011474421
274	YPL042C	0.011390826
275	YLR368W	0.011366975
276	YDR518W	0.011349871
277	YPL248C	0.011335444
278	YDR181C	0.011211162
279	YDR523C	0.011191917
280	YJL030W	0.011176193
281	YGR206W	0.011162465
282	YBL056W	0.011128564
283	YIL010W	0.011111713
284	YPR120C	0.011106034
285	YGR071C	0.011104886
286	YLR389C	0.011086834
287	YML081W	0.011075035
288	YMR276W	0.011064098
289	YOR363C	0.011045108
290	YIR019C	0.011014526
291	YGL115W	0.010982693
292	YOR313C	0.010952074
293	YMR182C	0.010943907
294	YKL160W	0.010942338
295	YIL035C	0.010940196
296	YPL164C	0.010814342
297	YBR175W	0.010813181
298	YDR179C	0.010805253
299	YMR205C	0.010780409
300	YAL053W	0.010771363
301	YGL100W	0.010757251
302	YEL012W	0.010676889
303	YOR368W	0.010648841
304	YKL017C	0.010644354
305	YDR158W	0.010641420
306	YDR291W	0.010621537
307	YDR253C	0.010603204
308	YJL073W	0.010586428
309	YMR258C	0.010404494
310	YPL180W	0.010381159
311	YML029W	0.010365128
312	YCR008W	0.010363192
313	YPR199C	0.010328505
