rank	yeast_gene	ensemble_score
1	YPR111W	0.053327021
2	YDR334W	0.047633066
3	YOR153W	0.045103059
4	YNR004W	0.035053334
5	YML074C	0.032501700
6	YER092W	0.032225868
7	YNR032C-A	0.030756370
8	YML099C	0.030290080
9	YJL206C	0.028713544
10	YGR206W	0.028506247
11	YGL163C	0.027658607
12	YLR014C	0.023231499
13	YAL011W	0.022103216
14	YOR061W	0.021754975
15	YDL155W	0.021738896
16	YDR181C	0.020061280
17	YBR114W	0.019968396
18	YKR059W	0.019208505
19	YLR210W	0.019181748
20	YBR188C	0.019060468
21	YLR329W	0.019022681
22	YOR304W	0.018458470
23	YLR368W	0.018342412
24	YDR291W	0.018209042
25	YPL086C	0.017978058
26	YDR490C	0.016848275
27	YLR385C	0.016545638
28	YGR202C	0.016498592
29	YPR173C	0.016489886
30	YEL013W	0.015764626
31	YDR079C-A	0.015606085
32	YPL037C	0.015367288
33	YAL027W	0.015220610
34	YLL048C	0.014621935
35	YNL257C	0.014148665
36	YOR363C	0.014035212
37	YNL209W	0.013914360
38	YLR451W	0.013890860
39	YKL161C	0.013668797
40	YJL115W	0.013538104
41	YKL091C	0.013408060
42	YLR113W	0.013395383
43	YLL002W	0.013348621
44	YKL190W	0.013268356
45	YFR014C	0.013257008
46	YER177W	0.012809020
47	YAL053W	0.012803265
48	YLR433C	0.012736302
49	YDR099W	0.012273925
50	YDL138W	0.012221804
51	YNL154C	0.012163073
52	YLR449W	0.011971023
53	YGL240W	0.011788183
54	YAL019W	0.011657687
55	YGL087C	0.011536521
56	YJR035W	0.011529495
57	YBR245C	0.011327535
58	YLR021W	0.011298843
59	YGR040W	0.011256512
60	YBR150C	0.010889391
61	YDR001C	0.010824204
62	YDL197C	0.010823195
63	YOL104C	0.010794630
64	YKL034W	0.010608125
65	YJR119C	0.010447097
66	YJL164C	0.010257415
67	YER035W	0.010219063
68	YNL323W	0.010032192
69	YGL237C	0.009943757
70	YLR094C	0.009746753
71	YGL062W	0.009634886
72	YOL001W	0.009278566
73	YML076C	0.009234625
74	YDL188C	0.009200741
75	YOR189W	0.009186839
76	YKR093W	0.008863687
77	YEL066W	0.008804157
78	YDR252W	0.008616700
79	YIL130W	0.008574155
80	YDL216C	0.008569451
81	YHR119W	0.008556146
82	YNL241C	0.008436880
83	YFR046C	0.008416356
84	YBR218C	0.008165158
85	YDL076C	0.008122694
86	YDR110W	0.008097065
87	YLR192C	0.008049582
88	YBR082C	0.008038682
89	YLR119W	0.007789496
90	YHR030C	0.007786769
91	YGR108W	0.007730640
92	YHR135C	0.007684270
93	YDR075W	0.007435023
94	YFR053C	0.007307849
95	YDL194W	0.006967336
96	YER164W	0.006824415
97	YOR339C	0.006590538
98	YMR186W	0.006545215
99	YPR119W	0.006530166
100	YER044C-A	0.006490702
101	YJL124C	0.006466207
102	YHR178W	0.006454240
103	YGL175C	0.006426207
104	YER089C	0.006422010
105	YLL054C	0.006419018
106	YKL015W	0.006406091
107	YNL032W	0.006282845
108	YMR100W	0.006157368
109	YHR200W	0.006106502
110	YER007C-A	0.006046879
111	YHR167W	0.005995412
112	YLR120C	0.005948417
113	YER179W	0.005901811
114	YDR059C	0.005764173
115	YNL314W	0.005640918
116	YPL154C	0.005603842
117	YBR034C	0.005556667
118	YLR016C	0.005509627
119	YML123C	0.005475787
120	YKR064W	0.005397356
121	YKR039W	0.005184612
122	YOL089C	0.005181097
123	YGL115W	0.005110397
124	YLR234W	0.005021598
125	YLR398C	0.005016541
126	YLR154C	0.004956349
127	YER106W	0.004654511
128	YBL078C	0.004591655
129	YMR021C	0.004466262
130	YJL168C	0.004421457
131	YBR001C	0.004375825
132	YGL253W	0.004359669
133	YLR216C	0.004302091
