rank	yeast_gene	ensemble_score
1	YNL288W	0.092063492
2	YOL013C	0.070649111
3	YJR073C	0.067316809
4	YJL030W	0.065750895
5	YAL009W	0.063998596
6	YJR084W	0.063979927
7	YHR200W	0.062240829
8	YKL002W	0.060404920
9	YJL210W	0.059692612
10	YIL040W	0.057388635
11	YOL086W-A	0.056907310
12	YNL130C	0.053527904
13	YHL006C	0.053185164
14	YLR342W	0.052797292
15	YMR274C	0.052762939
16	YGR157W	0.051545233
17	YLR234W	0.050308463
18	YML102W	0.050183576
19	YKL190W	0.050026738
20	YER177W	0.049754176
21	YLR319C	0.049718153
22	YAL053W	0.049420136
23	YBL078C	0.048834154
24	YKL041W	0.048155227
25	YNL008C	0.047955496
26	YGL070C	0.046811448
27	YPL065W	0.046727569
28	YBR111W-A	0.046515956
29	YML124C	0.046481229
30	YBR201W	0.045659259
31	YLR258W	0.044867628
32	YDR099W	0.043833722
33	YPR155C	0.043206845
34	YML075C	0.041782991
35	YHL020C	0.040928161
36	YMR306W	0.040498362
37	YIL042C	0.038786469
38	YJR066W	0.038460432
39	YLR025W	0.037955643
40	YKR059W	0.037681312
41	YPL199C	0.037346260
42	YMR119W	0.036964353
43	YCL040W	0.036827957
44	YKL029C	0.036479645
45	YDR073W	0.036323459
46	YMR302C	0.036024003
47	YLR113W	0.035574535
48	YPL203W	0.035545006
49	YPL096C-A	0.035453431
50	YDR392W	0.034244119
51	YBL003C	0.034110905
52	YHL002W	0.034044098
53	YGL058W	0.033722424
54	YLR207W	0.033308684
55	YNL159C	0.032926871
56	YOR298C-A	0.031906709
57	YMR026C	0.031633314
58	YPR173C	0.031626510
59	YHR030C	0.030753920
60	YCR077C	0.030577772
61	YBR057C	0.030312420
62	YIL153W	0.030282303
63	YLR381W	0.030119002
64	YIL084C	0.030108709
65	YPR149W	0.029926808
66	YDR335W	0.029734568
67	YDR265W	0.029686399
68	YGL062W	0.029655690
69	YIL030C	0.029524397
70	YJL036W	0.029447673
71	YKL086W	0.029377502
72	YLR018C	0.029357968
73	YOR185C	0.028675478
74	YOR014W	0.028220259
75	YBR218C	0.028154724
76	YOR061W	0.028110747
77	YKL027W	0.027967437
78	YDR244W	0.027952161
79	YDL190C	0.027718926
80	YFR015C	0.027646587
81	YDR375C	0.027606297
82	YOR172W	0.027314086
83	YNL209W	0.026801313
84	YPL045W	0.026784615
85	YPL125W	0.026543006
86	YPL002C	0.026519757
87	YMR294W	0.026437526
88	YDR448W	0.026340447
89	YCL010C	0.026274263
90	YKL034W	0.026114124
91	YMR258C	0.025920747
92	YOR197W	0.025917871
93	YKL222C	0.025550114
94	YOR162C	0.025421408
95	YMR202W	0.025105138
96	YBR290W	0.024772801
97	YMR205C	0.024709601
98	YNL142W	0.024683571
99	YBR082C	0.024536669
100	YMR159C	0.024422799
101	YBL021C	0.024362041
102	YJR091C	0.024067908
103	YNL314W	0.023693819
104	YLR352W	0.023663775
105	YGR288W	0.023614712
106	YOR106W	0.023613323
107	YGL087C	0.023585239
108	YEL066W	0.023343222
109	YJL058C	0.023301551
110	YOR209C	0.023102612
111	YPL031C	0.022846224
112	YEL013W	0.022803087
113	YFR053C	0.022776340
114	YMR276W	0.022726986
115	YER179W	0.022579900
116	YGL211W	0.022272529
117	YBL002W	0.022249111
118	YKR057W	0.022102088
119	YML088W	0.021862510
120	YHR192W	0.021860172
121	YLR180W	0.021809539
122	YDR059C	0.021801248
123	YBR240C	0.021581037
124	YJL164C	0.021557075
125	YIL132C	0.021356598
126	YFL052W	0.021264107
127	YHR108W	0.021070840
128	YDL005C	0.020655942
129	YMR069W	0.020654073
130	YMR065W	0.020019192
131	YBL010C	0.019777245
132	YHR032W	0.019762361
133	YMR116C	0.019706917
134	YLR385C	0.019700545
135	YPR046W	0.019662876
136	YGL060W	0.019596508
137	YPL047W	0.019476672
138	YOL012C	0.019311935
139	YKL205W	0.019141232
140	YDR395W	0.019084963
141	YKR019C	0.019074292
142	YNL323W	0.018912880
143	YNL330C	0.018887555
144	YDR155C	0.018795253
145	YGL181W	0.018713984
146	YNL098C	0.018546049
147	YML123C	0.018518519
148	YCR106W	0.018319008
149	YHR206W	0.018211100
150	YMR019W	0.018164556
151	YDL149W	0.018081612
152	YJL049W	0.018073938
153	YOR358W	0.017969843
154	YPR196W	0.017953327
155	YBR297W	0.017935785
156	YEL037C	0.017826711
157	YGR173W	0.017826276
158	YMR055C	0.017747093
159	YAR035W	0.017667084
160	YDR488C	0.017661546
161	YJL083W	0.017532085
162	YGL253W	0.017447618
163	YKL067W	0.017388061
164	YPR125W	0.017326605
165	YHR003C	0.017285425
166	YJL065C	0.017145854
167	YLR384C	0.017106029
168	YMR127C	0.016981804
169	YOR380W	0.016947719
170	YJR135C	0.016929467
171	YGL019W	0.016915798
172	YOR027W	0.016787509
173	YLR074C	0.016783562
174	YGR040W	0.016692600
175	YPR042C	0.016528359
176	YGR097W	0.016527734
177	YLR224W	0.016449513
178	YLR253W	0.016427706
179	YCR020C-A	0.016416685
180	YNL201C	0.016119638
181	YOL145C	0.015963218
182	YPL120W	0.015929055
183	YAL039C	0.015867726
184	YGL248W	0.015806931
185	YIL073C	0.015799836
186	YLR451W	0.015675185
187	YNL138W	0.015656828
188	YPR160W	0.015633129
189	YDR121W	0.015598166
190	YOR313C	0.015479867
191	YDR358W	0.015444166
192	YJR014W	0.015433032
193	YLR315W	0.015330696
194	YOR039W	0.015313215
195	YDR277C	0.015243391
196	YKR067W	0.015224679
197	YLR403W	0.015132941
198	YLR048W	0.015068955
199	YGL016W	0.015058755
200	YKL009W	0.015057513
201	YMR186W	0.015042451
202	YLR423C	0.014963692
203	YBL007C	0.014922242
204	YOL004W	0.014829832
205	YKR039W	0.014825490
206	YER110C	0.014822603
207	YKL010C	0.014815817
208	YBL024W	0.014758086
209	YBR089C-A	0.014672456
210	YPL086C	0.014635282
211	YGL110C	0.014540498
212	YDR001C	0.014459966
213	YNR032C-A	0.014458361
214	YER016W	0.014403219
215	YJL153C	0.014350658
216	YJL149W	0.014334708
217	YOR153W	0.014244293
218	YIL128W	0.014242941
219	YMR070W	0.014215794
220	YGL115W	0.014199936
221	YGL043W	0.014131773
222	YLR368W	0.014130059
223	YFL014W	0.014119687
224	YGL078C	0.014027770
225	YPL184C	0.014019240
226	YHR193C	0.014008990
227	YNL241C	0.014006858
228	YCR073C	0.013946257
229	YIL146C	0.013902785
230	YGL208W	0.013858411
231	YDL170W	0.013832950
232	YML121W	0.013778677
233	YGR152C	0.013748422
234	YBR010W	0.013734259
235	YGL163C	0.013709779
236	YHR135C	0.013593406
237	YMR074C	0.013558867
238	YKL057C	0.013414133
239	YDL006W	0.013379780
240	YML082W	0.013365346
241	YJR102C	0.013350834
242	YPL187W	0.013324199
243	YGL252C	0.013312893
244	YCL032W	0.013250085
245	YML013W	0.013183697
246	YDR158W	0.013101898
247	YMR263W	0.013075788
248	YDL035C	0.013074285
249	YLR055C	0.013028969
250	YAL013W	0.012995750
251	YHR066W	0.012978842
252	YNL289W	0.012976267
253	YBR009C	0.012872792
254	YIL017C	0.012843151
255	YDR006C	0.012695948
256	YJR021C	0.012687097
257	YDL090C	0.012602437
258	YFR014C	0.012580200
259	YPL015C	0.012514060
260	YOR354C	0.012485308
261	YLR288C	0.012457577
262	YBR112C	0.012366346
263	YMR264W	0.012334444
264	YMR078C	0.012320100
265	YFR040W	0.012314660
266	YDR120C	0.012280541
267	YHR187W	0.012246078
268	YOL051W	0.012216020
269	YKL025C	0.011999697
270	YJL204C	0.011964796
271	YLL054C	0.011961549
272	YNL097C	0.011942224
273	YMR080C	0.011871458
274	YGL220W	0.011861498
275	YHR077C	0.011841667
276	YGR135W	0.011830517
277	YGR247W	0.011779071
278	YNL154C	0.011775069
279	YNL311C	0.011759724
280	YAR018C	0.011726548
281	YJR082C	0.011707508
282	YHL022C	0.011647465
283	YER031C	0.011611603
284	YBL039C	0.011609058
285	YNL273W	0.011605613
286	YGR240C	0.011601035
287	YDR101C	0.011583659
288	YPR057W	0.011535509
289	YBL009W	0.011510934
290	YJR050W	0.011508573
291	YLR233C	0.011505107
292	YLR266C	0.011467130
293	YPL226W	0.011380657
294	YBR223C	0.011352881
295	YBL066C	0.011333705
296	YDL179W	0.011316829
297	YKR093W	0.011306698
298	YGL021W	0.011286763
299	YDR312W	0.011260688
300	YGL229C	0.011237835
301	YJR069C	0.011224295
302	YDR259C	0.011222795
303	YBR114W	0.011210866
304	YCR008W	0.011091709
305	YPL213W	0.011065493
306	YIR023W	0.011042560
307	YOR091W	0.011033401
308	YNL307C	0.011003226
309	YNR034W	0.010986182
310	YJR031C	0.010951291
311	YLR148W	0.010925777
312	YML099C	0.010825322
313	YDL200C	0.010819814
314	YBR097W	0.010818947
315	YAL002W	0.010817943
316	YBR175W	0.010796215
317	YGR003W	0.010769032
318	YPL133C	0.010761002
