rank	yeast_gene	ensemble_score
1	YPL203W	0.014180801
2	YDR139C	0.012016413
3	YBR082C	0.010825867
4	YPL031C	0.010177157
5	YDR059C	0.009701716
6	YJL164C	0.008349130
7	YAL009W	0.007563859
8	YDL170W	0.007458477
9	YER031C	0.007453523
10	YMR274C	0.007424540
11	YLR019W	0.006894594
12	YGR180C	0.006659131
13	YKL166C	0.006501509
14	YGR208W	0.006446239
15	YDL188C	0.006082373
16	YBL005W	0.005994597
17	YJR096W	0.005991058
18	YAL053W	0.005778120
19	YJL149W	0.005667290
20	YDL134C	0.005331275
21	YIL146C	0.005245394
22	YKL034W	0.005232681
23	YLL010C	0.005021556
24	YOR197W	0.004984207
25	YMR306W	0.004825228
26	YDR075W	0.004634689
27	YML075C	0.004596129
28	YIL030C	0.004556863
29	YMR139W	0.004521727
30	YDR155C	0.004477626
31	YIL132C	0.004437923
32	YOR295W	0.004405006
33	YDL149W	0.004384180
34	YLR342W	0.004274719
35	YFR046C	0.004184497
36	YGR157W	0.004110170
37	YGR003W	0.004109848
38	YGR109C	0.003829465
39	YOR039W	0.003816462
40	YPR155C	0.003813644
41	YPL176C	0.003789492
42	YBR001C	0.003772560
43	YMR293C	0.003627525
44	YJR073C	0.003617718
45	YGL043W	0.003407870
46	YGR067C	0.003380259
47	YGR135W	0.003369531
48	YMR302C	0.003284513
49	YFR015C	0.003250377
50	YNR032W	0.003206006
51	YBR290W	0.003147431
52	YHR200W	0.003124425
53	YMR202W	0.003095908
54	YMR136W	0.003040124
55	YNL323W	0.003018058
56	YNR063W	0.002993782
57	YLR180W	0.002991134
58	YPR075C	0.002977934
59	YLR207W	0.002885532
60	YOR209C	0.002839663
61	YBR218C	0.002816656
62	YPL199C	0.002765471
63	YKR067W	0.002752415
64	YPL123C	0.002717911
65	YER143W	0.002708578
66	YAL039C	0.002684391
67	YOL013C	0.002667818
68	YPR160W	0.002652255
69	YNL210W	0.002623829
70	YBL039C	0.002579909
71	YGR097W	0.002554004
72	YDR375C	0.002487683
73	YDL190C	0.002483487
74	YDR001C	0.002363506
75	YMR026C	0.002359541
76	YIL153W	0.002352005
77	YDR098C	0.002336937
78	YGL062W	0.002330747
79	YPR184W	0.002317822
80	YKL017C	0.002302841
81	YKL029C	0.002280960
82	YBR272C	0.002278626
83	YJR066W	0.002256542
84	YML029W	0.002243208
85	YMR182C	0.002209858
86	YCR077C	0.002186273
87	YLR018C	0.002175152
88	YNL288W	0.002162915
89	YJL153C	0.002141226
90	YGL019W	0.002140953
91	YML124C	0.002127236
92	YMR119W	0.002111112
93	YDL236W	0.002108421
94	YCR073C	0.002079598
95	YBL024W	0.002041694
96	YNR031C	0.002010918
97	YFL033C	0.001985880
98	YER027C	0.001985264
99	YOL082W	0.001946317
100	YHL020C	0.001914709
101	YML034W	0.001913064
102	YER174C	0.001901658
103	YML111W	0.001899529
104	YDR265W	0.001878020
105	YDR448W	0.001876391
106	YLR258W	0.001874132
107	YLL062C	0.001867333
108	YNL307C	0.001859677
109	YNL257C	0.001858082
110	YHR033W	0.001836996
111	YFR019W	0.001834392
112	YGL197W	0.001830831
113	YHR202W	0.001825729
114	YMR275C	0.001819205
115	YDR006C	0.001813995
116	YLR319C	0.001794652
117	YKL212W	0.001776879
118	YPL187W	0.001739337
119	YDR518W	0.001692847
120	YGL208W	0.001686068
121	YGL125W	0.001668301
122	YMR065W	0.001665817
123	YML103C	0.001664862
124	YJL178C	0.001660007
125	YAL044W-A	0.001655809
126	YAL021C	0.001638689
127	YJL030W	0.001619376
128	YKL002W	0.001619205
129	YKL027W	0.001616914
130	YDL171C	0.001611926
131	YOR014W	0.001584372
132	YAL002W	0.001569455
133	YJL137C	0.001566410
134	YLR427W	0.001564384
135	YPL065W	0.001563963
136	YKL114C	0.001559518
137	YJL083W	0.001556927
138	YPR164W	0.001553002
139	YBL078C	0.001547550
140	YJR021C	0.001546397
141	YGL173C	0.001545779
142	YMR030W	0.001543311
143	YCL055W	0.001513141
144	YOL004W	0.001512142
145	YLR055C	0.001508099
146	YKR019C	0.001492381
147	YLR304C	0.001479789
148	YFR040W	0.001469576
149	YLR381W	0.001460754
150	YJR094C	0.001456173
151	YOR113W	0.001442896
152	YLR403W	0.001442364
153	YDR005C	0.001439720
154	YLR216C	0.001434097
155	YNL008C	0.001414927
156	YDR392W	0.001398976
157	YMR022W	0.001389349
158	YKL127W	0.001373181
159	YIL010W	0.001363298
160	YJR091C	0.001348779
161	YJL204C	0.001343629
162	YNL273W	0.001333551
163	YGR184C	0.001327858
164	YGL110C	0.001322864
165	YOR251C	0.001313070
166	YML006C	0.001311967
167	YOR076C	0.001306813
168	YPR119W	0.001305768
169	YGR071C	0.001295210
170	YGL229C	0.001293978
171	YKR057W	0.001291043
172	YGL194C	0.001289524
173	YFL007W	0.001285792
174	YBR289W	0.001282732
175	YMR037C	0.001277976
176	YKR082W	0.001271686
177	YIR023W	0.001270529
178	YDR120C	0.001269682
179	YOR354C	0.001268443
180	YJL098W	0.001265857
181	YIL042C	0.001264436
182	YLR418C	0.001264217
183	YJL089W	0.001254378
184	YPR052C	0.001253256
185	YMR070W	0.001250340
186	YGL066W	0.001250233
187	YLR228C	0.001246600
188	YHR077C	0.001244830
189	YDR179C	0.001229605
190	YML128C	0.001223021
191	YDR022C	0.001219621
192	YNL199C	0.001204981
193	YML100W	0.001202323
194	YBL063W	0.001199549
195	YIR025W	0.001195303
196	YJR031C	0.001194989
197	YPR125W	0.001192543
198	YER132C	0.001189321
199	YPL273W	0.001183573
200	YGR233C	0.001179975
201	YPR179C	0.001177747
202	YDR057W	0.001168178
203	YKR028W	0.001155659
204	YNL241C	0.001152337
205	YDR213W	0.001126701
206	YDR513W	0.001124364
207	YMR129W	0.001120350
208	YAL056W	0.001119266
209	YNR010W	0.001114403
210	YMR287C	0.001111887
211	YNL072W	0.001109910
212	YBR097W	0.001106673
213	YPL125W	0.001080726
214	YDR458C	0.001078490
215	YDR099W	0.001078450
216	YAL046C	0.001072893
217	YLR384C	0.001071976
218	YDL135C	0.001069315
219	YLL039C	0.001068809
220	YPR185W	0.001063691
221	YKL032C	0.001062227
222	YMR209C	0.001059454
223	YBL051C	0.001052713
224	YPL133C	0.001049208
225	YNL239W	0.001048582
226	YGL060W	0.001044124
227	YLR262C	0.001043215
228	YIL073C	0.001029955
229	YMR016C	0.001029104
230	YKL010C	0.001024866
231	YPR008W	0.001015296
232	YGL181W	0.001010762
233	YHR171W	0.001002850
234	YMR164C	0.000998168
235	YDR176W	0.000992917
236	YDR096W	0.000990534
237	YDR440W	0.000990001
238	YPL230W	0.000988571
239	YDL106C	0.000985564
240	YKL057C	0.000982516
241	YGR173W	0.000972970
242	YBL007C	0.000969216
243	YBL079W	0.000962050
244	YDR073W	0.000961887
245	YJR140C	0.000957817
246	YPR042C	0.000953359
247	YIL040W	0.000951125
248	YMR201C	0.000949780
249	YPL089C	0.000947284
250	YNL138W	0.000942267
251	YNL278W	0.000939654
252	YPL167C	0.000935759
253	YDR158W	0.000934631
254	YHR004C	0.000926234
255	YOR106W	0.000914346
256	YMR127C	0.000914197
257	YPL045W	0.000914163
258	YDR035W	0.000908368
259	YDR335W	0.000907449
260	YLR357W	0.000902091
261	YKL025C	0.000895271
262	YLR389C	0.000892885
263	YBR111W-A	0.000880200
264	YJR102C	0.000879851
265	YLR231C	0.000873376
266	YDL077C	0.000869965
267	YMR231W	0.000861869
268	YFL036W	0.000855610
269	YOL068C	0.000854719
270	YNL248C	0.000854381
271	YGR229C	0.000847315
272	YML082W	0.000843546
273	YNL059C	0.000843396
274	YOR027W	0.000841034
275	YMR261C	0.000806115
276	YJL058C	0.000805483
277	YBR275C	0.000804055
278	YLR377C	0.000801999
279	YGL246C	0.000799554
280	YMR167W	0.000799442
281	YLL040C	0.000795493
282	YJL073W	0.000794719
283	YGR021W	0.000793115
284	YHR192W	0.000791520
285	YDR293C	0.000783972
286	YFL021W	0.000764406
287	YKL009W	0.000763562
288	YGR240C	0.000760360
289	YFR013W	0.000757799
290	YER162C	0.000757490
291	YAL013W	0.000754966
292	YOL006C	0.000746924
293	YDL197C	0.000746761
294	YHR187W	0.000742514
295	YPL002C	0.000741961
296	YDR159W	0.000741708
297	YPR030W	0.000741328
298	YLR253W	0.000740058
299	YIL036W	0.000738991
300	YNR007C	0.000738485
301	YIR019C	0.000738407
302	YHR066W	0.000736544
303	YDR421W	0.000735285
304	YDR422C	0.000728117
305	YBR112C	0.000720080
306	YGL037C	0.000718699
307	YDR259C	0.000716367
308	YGL254W	0.000708248
309	YOL145C	0.000703308
310	YPL120W	0.000702941
311	YMR172W	0.000699357
312	YPL022W	0.000698651
313	YNL027W	0.000695148
314	YOL051W	0.000694328
315	YBR057C	0.000692061
316	YEL018W	0.000691170
317	YLR270W	0.000684441
318	YDR080W	0.000684008
319	YER040W	0.000680124
320	YOL093W	0.000676908
321	YOR032C	0.000675996
322	YNL311C	0.000674215
323	YLR423C	0.000672949
324	YNL106C	0.000670741
325	YOR173W	0.000660480
326	YMR276W	0.000658931
327	YKR072C	0.000658788
328	YGL035C	0.000657975
329	YDR312W	0.000657335
330	YDL091C	0.000654493
331	YER092W	0.000653418
332	YDR395W	0.000653281
333	YER106W	0.000652811
334	YMR284W	0.000650702
335	YKL043W	0.000648963
336	YLR148W	0.000648535
337	YDR244W	0.000647995
338	YMR012W	0.000646144
339	YML113W	0.000645007
340	YGL089C	0.000644548
341	YKL205W	0.000643081
342	YER105C	0.000642178
343	YJL049W	0.000640766
344	YGL141W	0.000640491
345	YPR022C	0.000640098
346	YCR091W	0.000636037
347	YNR023W	0.000634178
348	YER007C-A	0.000630936
349	YKL041W	0.000630268
350	YDL113C	0.000629689
351	YHR124W	0.000625844
352	YGL016W	0.000624131
353	YDR315C	0.000621045
354	YIL128W	0.000620467
355	YNL049C	0.000614510
356	YMR105C	0.000610659
357	YIL038C	0.000607326
358	YOR140W	0.000597193
359	YKL067W	0.000597192
360	YPL038W	0.000588386
361	YHR079C	0.000588272
362	YPL047W	0.000586484
363	YLR135W	0.000585323
364	YJR053W	0.000585272
365	YMR247C	0.000583013
366	YKR048C	0.000579366
367	YER167W	0.000578595
368	YBR203W	0.000575671
369	YOL090W	0.000574895
370	YNL242W	0.000572879
371	YDR306C	0.000567302
372	YKL020C	0.000566688
373	YGL253W	0.000563484
374	YIR033W	0.000560571
375	YMR223W	0.000559483
376	YML013W	0.000559391
377	YIL072W	0.000558329
378	YNL159C	0.000554602
379	YMR078C	0.000554475
380	YPR189W	0.000552307
381	YIL133C	0.000547790
382	YDL088C	0.000544691
383	YOR371C	0.000537587
384	YOR023C	0.000537297
385	YKR058W	0.000537215
386	YLR025W	0.000536250
387	YOR205C	0.000530115
388	YHL009C	0.000529599
389	YPL001W	0.000528335
390	YDR083W	0.000527427
391	YPL046C	0.000524129
392	YAR042W	0.000520123
393	YKL149C	0.000517875
394	YLR352W	0.000517114
395	YMR173W	0.000516986
396	YNL107W	0.000515541
397	YML070W	0.000510800
398	YFL013C	0.000508758
399	YBR095C	0.000505742
400	YOR243C	0.000505415
401	YKR023W	0.000503409
402	YNL119W	0.000503287
403	YKL062W	0.000491600
404	YHR108W	0.000490244
405	YGL151W	0.000486666
406	YDR277C	0.000486579
