rank	yeast_gene	ensemble_score
1	YPL203W	0.095877754
2	YDL188C	0.094004577
3	YJL164C	0.090229885
4	YML057W	0.088809524
5	YNR032W	0.086229584
6	YDL134C	0.081617598
7	YLR433C	0.079456304
8	YOL016C	0.077497378
9	YGL163C	0.076329386
10	YPR111W	0.071940604
11	YFR014C	0.070810905
12	YKL166C	0.070334507
13	YLR113W	0.066694292
14	YNL098C	0.065158497
15	YHR030C	0.064820582
16	YPL031C	0.062418563
17	YLR019W	0.059741746
18	YDR075W	0.057692308
19	YHR032W	0.056239897
20	YPR173C	0.055501884
21	YGR040W	0.054752552
22	YBR028C	0.053095597
23	YDL138W	0.052491712
24	YKL190W	0.048624339
25	YNL288W	0.047384846
26	YOR185C	0.047371610
27	YKR039W	0.045063639
28	YML123C	0.043959816
29	YNL307C	0.043802225
30	YLR234W	0.043418980
31	YMR019W	0.042662463
32	YPL179W	0.042627257
33	YDR334W	0.042191762
34	YDL194W	0.041459232
35	YHR200W	0.041179690
36	YER089C	0.040791068
37	YKR059W	0.040673506
38	YOR153W	0.040298109
39	YGR152C	0.039494409
40	YKR093W	0.038991452
41	YGL058W	0.038982969
42	YMR069W	0.038401593
43	YPL109C	0.038077164
44	YPL046C	0.036431592
45	YCR091W	0.036112441
46	YDR477W	0.036023672
47	YBR150C	0.035686096
48	YLL010C	0.035148431
49	YPL274W	0.035147392
50	YBL056W	0.035119525
51	YDR523C	0.034144569
52	YML102W	0.033618229
53	YDL035C	0.033285850
54	YDL155W	0.032457983
55	YDR099W	0.031982325
56	YNL154C	0.031598574
57	YGL087C	0.031323180
58	YOR061W	0.031056237
59	YNL097C	0.030455700
60	YNL130C	0.030436376
61	YDL079C	0.030405514
62	YJL030W	0.029989912
63	YBR278W	0.029775268
64	YBL052C	0.029571315
65	YGR202C	0.029257071
66	YER031C	0.029234279
67	YDR490C	0.029186887
68	YHR135C	0.029159061
69	YOR358W	0.029082905
70	YOR197W	0.029005080
71	YPL199C	0.028907958
72	YOR101W	0.028862184
73	YKL160W	0.028328775
74	YBR188C	0.027643831
75	YOR304W	0.027556270
76	YNL311C	0.027142398
77	YNR047W	0.026913696
78	YCL010C	0.026880342
79	YMR216C	0.026875039
80	YLL048C	0.026835781
81	YNL330C	0.026659704
82	YGR180C	0.026282713
83	YLR398C	0.026222405
84	YBR245C	0.026119895
85	YER177W	0.026032970
86	YNL142W	0.025907001
87	YLR253W	0.025673575
88	YDR375C	0.025666435
89	YKL198C	0.025468326
90	YER092W	0.025311382
91	YPL042C	0.025210467
92	YML001W	0.025119405
93	YBR258C	0.024904132
94	YBL021C	0.024878705
95	YBR203W	0.024835189
96	YMR080C	0.024709163
97	YDL090C	0.024510139
98	YGL216W	0.024425282
99	YNL008C	0.024107318
100	YLR258W	0.024002058
101	YGL237C	0.023968060
102	YDL230W	0.023954601
103	YDR110W	0.023844692
104	YFR038W	0.023815955
105	YBR114W	0.023753129
106	YGL043W	0.023696740
107	YML074C	0.023089322
108	YOR107W	0.022484667
109	YAL011W	0.022295918
110	YJR059W	0.022162026
111	YBL078C	0.021992056
112	YMR291W	0.021889419
113	YML124C	0.021581267
114	YML011C	0.021399264
115	YBR082C	0.021077677
116	YJL115W	0.021035067
117	YGL070C	0.020794580
118	YAL019W	0.020782245
119	YGR134W	0.020767803
120	YOR290C	0.020480299
121	YDR448W	0.020397516
122	YDL006W	0.020354730
123	YJR127C	0.020349973
124	YFR036W	0.020008515
125	YKR067W	0.019993316
126	YLR216C	0.019933662
127	YDR507C	0.019626286
128	YHL025W	0.019521929
129	YPR093C	0.019337190
130	YLR052W	0.019098003
131	YNL323W	0.018993156
132	YFR015C	0.018811991
133	YGL240W	0.018746651
134	YBL005W	0.018735575
135	YOL013C	0.018715504
136	YKR017C	0.018637986
137	YNL227C	0.018631646
138	YML068W	0.018349587
139	YOR339C	0.018308116
140	YLR260W	0.018237242
141	YLR207W	0.018174119
142	YPL226W	0.018171632
143	YDR120C	0.018151313
144	YLR368W	0.018104834
145	YJL065C	0.018095034
146	YIL033C	0.018087605
147	YAR035W	0.017988415
148	YPR031W	0.017982950
149	YAL053W	0.017946629
150	YGL078C	0.017926955
151	YMR224C	0.017849133
152	YPL154C	0.017734635
153	YDR219C	0.017696383
154	YCL040W	0.017638250
155	YLR192C	0.017614208
156	YBL024W	0.017611827
157	YLR248W	0.017534829
158	YPR054W	0.017470785
159	YBR272C	0.017395757
160	YKR064W	0.017331968
161	YEL012W	0.017268102
162	YJL149W	0.017236431
163	YEL066W	0.017230148
164	YER164W	0.017221997
165	YPL096C-A	0.017198841
166	YGR135W	0.017180736
167	YKL161C	0.017179034
168	YAL021C	0.017178192
169	YMR246W	0.017167959
170	YFR053C	0.017091256
171	YIL107C	0.017070757
172	YER143W	0.017059005
173	YLR385C	0.016959064
174	YLR342W	0.016951379
175	YDR059C	0.016946284
176	YDR216W	0.016844105
177	YKL091C	0.016822838
178	YLR059C	0.016787562
179	YCL024W	0.016737294
180	YPL015C	0.016725121
181	YNL209W	0.016697979
182	YGL019W	0.016372354
183	YOL080C	0.016341557
184	YJR035W	0.016338567
185	YML076C	0.016308483
186	YJR073C	0.016273623
187	YGL100W	0.016243854
188	YDR022C	0.016190656
189	YDR001C	0.016136164
190	YHR178W	0.016083203
191	YDL149W	0.015965417
192	YIR002C	0.015919057
193	YLR210W	0.015918875
194	YML081W	0.015780644
195	YEL013W	0.015696540
196	YLL022C	0.015637536
197	YDR074W	0.015541295
198	YAL055W	0.015487198
199	YOR091W	0.015421007
200	YGL253W	0.015375315
201	YLR384C	0.015350824
202	YER179W	0.015287126
203	YIL030C	0.015197010
204	YPR125W	0.015188860
205	YOR380W	0.014889471
206	YDR247W	0.014633056
207	YBL057C	0.014528598
208	YGL013C	0.014494772
209	YNL159C	0.014409913
210	YIL130W	0.014400721
211	YIR025W	0.014358918
212	YGR208W	0.014287104
213	YKL015W	0.014235867
214	YIR026C	0.014204264
215	YLR094C	0.014056860
216	YJR060W	0.014038960
217	YMR100W	0.014018527
218	YPR120C	0.013963602
219	YLR226W	0.013947654
220	YJL124C	0.013720826
221	YOL113W	0.013662998
222	YIL040W	0.013633123
223	YPL037C	0.013629981
224	YCR008W	0.013432716
225	YOL054W	0.013394646
226	YNR034W	0.013360939
227	YMR285C	0.013342421
228	YGL141W	0.013304202
229	YMR263W	0.013304110
230	YJR119C	0.013300933
231	YBR034C	0.013276523
232	YMR022W	0.013268804
233	YMR273C	0.013245052
234	YLL054C	0.013162136
235	YKL034W	0.013156099
236	YHR119W	0.013022067
237	YPR152C	0.013011592
238	YGL211W	0.012973373
239	YOR351C	0.012969337
240	YLR055C	0.012967373
241	YDR291W	0.012956778
242	YOR027W	0.012896465
243	YHR031C	0.012874755
244	YMR119W	0.012837203
245	YMR306W	0.012696175
246	YEL037C	0.012673575
247	YPL213W	0.012645609
248	YMR139W	0.012640361
249	YLR449W	0.012625885
250	YMR186W	0.012573283
251	YGL208W	0.012527339
252	YDR131C	0.012477804
253	YDL101C	0.012370328
254	YLR451W	0.012271160
255	YBR274W	0.012234219
256	YDR392W	0.012195046
257	YBR125C	0.012166485
258	YNL072W	0.012154256
259	YNL314W	0.012138129
260	YBR218C	0.012111618
261	YER100W	0.012103174
262	YMR205C	0.012095496
263	YCL011C	0.012086111
264	YOR363C	0.012081810
265	YBR228W	0.012048911
266	YIL035C	0.011969003
267	YLR262C	0.011916786
268	YHL002W	0.011904229
269	YMR159C	0.011888421
270	YAL054C	0.011879969
271	YGL220W	0.011863688
272	YHL020C	0.011841649
273	YBR201W	0.011834823
274	YNL021W	0.011798734
275	YGL062W	0.011670477
276	YER030W	0.011611992
277	YOL045W	0.011556232
278	YPL086C	0.011541816
279	YHR034C	0.011522885
280	YDR147W	0.011497251
281	YOL115W	0.011492585
282	YEL018W	0.011490498
283	YLR021W	0.011400125
284	YGL227W	0.011399603
285	YJR084W	0.011393773
286	YLR014C	0.011389002
287	YOR162C	0.011330543
288	YDR026C	0.011234889
289	YGL252C	0.011214806
290	YER110C	0.011138293
291	YER174C	0.011134642
292	YDR263C	0.011108998
293	YJL056C	0.011095964
294	YBR073W	0.011088514
295	YJL206C	0.011021670
296	YLR119W	0.010864931
297	YPR149W	0.010835403
298	YFR040W	0.010819612
299	YGR200C	0.010620022
300	YJL128C	0.010571994
301	YOR172W	0.010567198
302	YBR290W	0.010489818
303	YMR039C	0.010485348
304	YJR050W	0.010473420
305	YDR083W	0.010423171
306	YDR252W	0.010421016
307	YKL139W	0.010389641
308	YAR018C	0.010352246
309	YPL212C	0.010324333
310	YOL090W	0.010315957
311	YCR020W-B	0.010294559
312	YDL216C	0.010231336
313	YNL241C	0.010231098
314	YML099C	0.010225735
315	YBR280C	0.010206722
316	YGL229C	0.010185375
317	YMR202W	0.010175533
318	YFR046C	0.010135239
319	YCR020C-A	0.010123418
320	YMR177W	0.010118957
321	YBR001C	0.010098086
322	YBL007C	0.010085589
323	YML097C	0.010062623
324	YLR329W	0.010016621
325	YPR040W	0.010010998
326	YOL089C	0.010009031
327	YPL181W	0.009998502
328	YPL192C	0.009983953
329	YNR004W	0.009972568
330	YAL017W	0.009967443
331	YIL084C	0.009908289
332	YNL147W	0.009890030
333	YOR243C	0.009873870
334	YBR112C	0.009873581
335	YDL214C	0.009862623
336	YFL033C	0.009828263
337	YOL006C	0.009816249
338	YDR155C	0.009772448
339	YLR445W	0.009709066
340	YJL098W	0.009695677
341	YPL026C	0.009664620
342	YDR383C	0.009659690
343	YBR285W	0.009644604
344	YGL244W	0.009616562
345	YCR106W	0.009604413
346	YOL104C	0.009593560
347	YKL002W	0.009510046
348	YLR224W	0.009486927
349	YHR195W	0.009480718
350	YMR274C	0.009455681
351	YIR005W	0.009447112
352	YIL017C	0.009444233
353	YPR022C	0.009427023
354	YJL168C	0.009403065
355	YJL036W	0.009394706
356	YOR295W	0.009384806
357	YGL115W	0.009374167
358	YPR023C	0.009365537
359	YLR154C	0.009345475
360	YFR010W	0.009339402
361	YNL229C	0.009300961
362	YDL236W	0.009293539
363	YLR429W	0.009290155
364	YOL067C	0.009267831
365	YDR079C-A	0.009239548
366	YFL052W	0.009176734
367	YPL047W	0.009098564
368	YMR276W	0.009097110
369	YDR265W	0.009097022
370	YLR048W	0.009084681
371	YML075C	0.009073777
372	YER027C	0.008989320
373	YNL138W	0.008960667
