rank	yeast_gene	ensemble_score
1	YPL031C	0.115591398
2	YHR030C	0.098395722
3	YPL203W	0.098357167
4	YGR040W	0.095088819
5	YLR113W	0.087364232
6	YNL307C	0.078351254
7	YKL166C	0.076157540
8	YJL164C	0.071808164
9	YHR032W	0.071395271
10	YNL098C	0.064392597
11	YPL042C	0.064346927
12	YGR152C	0.063607564
13	YHR135C	0.062325234
14	YOL016C	0.059343605
15	YOR061W	0.057241379
16	YNL154C	0.056945123
17	YML123C	0.056913424
18	YNL288W	0.056527041
19	YFR014C	0.056437196
20	YKL161C	0.055124567
21	YMR069W	0.053418947
22	YDL138W	0.052651955
23	YPR111W	0.051332654
24	YDL079C	0.050040808
25	YPR054W	0.048412227
26	YOR185C	0.047773115
27	YCR106W	0.047058159
28	YAR018C	0.046877575
29	YMR019W	0.046821179
30	YGL163C	0.046568762
31	YDR490C	0.045413275
32	YHL006C	0.042950816
33	YMR274C	0.041481034
34	YDR375C	0.041375133
35	YOR380W	0.040177387
36	YOR101W	0.039822730
37	YNL130C	0.038424945
38	YLL054C	0.037423503
39	YMR139W	0.036864755
40	YPL096C-A	0.035756057
41	YDR523C	0.035224963
42	YNL311C	0.035122978
43	YFL052W	0.034076303
44	YPR173C	0.033689024
45	YNL314W	0.033626827
46	YKR039W	0.033482664
47	YOR172W	0.032880568
48	YHR178W	0.032864327
49	YAR035W	0.032606394
50	YPL274W	0.032555190
51	YMR080C	0.032493587
52	YDL035C	0.031493572
53	YLR385C	0.031438258
54	YMR291W	0.031355452
55	YPL236C	0.031277731
56	YIR026C	0.031100766
57	YJR073C	0.030987096
58	YMR285C	0.030952794
59	YML124C	0.030358989
60	YJR084W	0.028477648
61	YBL078C	0.028333662
62	YML001W	0.028264910
63	YKL222C	0.027909957
64	YOR197W	0.027792970
65	YGL100W	0.027408921
66	YIR005W	0.027357509
67	YDL230W	0.027165319
68	YJL206C	0.026664905
69	YDL194W	0.026372841
70	YDR477W	0.025852927
71	YHL002W	0.025834380
72	YOR358W	0.025465205
73	YAL021C	0.025407411
74	YHL025W	0.025162498
75	YJL210W	0.025126862
76	YOR162C	0.025008922
77	YLR052W	0.024953373
78	YCR020C-A	0.024833369
79	YKR093W	0.024786535
80	YER031C	0.024736113
81	YNL008C	0.024600816
82	YBR150C	0.024554384
83	YKL139W	0.024515145
84	YOR351C	0.024126344
85	YBR028C	0.024112115
86	YGL087C	0.024100141
87	YHR200W	0.023995848
88	YLR059C	0.023884013
89	YKL027W	0.023733079
90	YGL058W	0.023611775
91	YBL005W	0.023225660
92	YML102W	0.023149515
93	YBR112C	0.022961766
94	YCL011C	0.022919502
95	YIL040W	0.022906617
96	YDR216W	0.022679358
97	YMR224C	0.022602839
98	YHR127W	0.022380440
99	YGR288W	0.022355622
100	YPL015C	0.022355167
101	YIL035C	0.022210469
102	YNL298W	0.022108392
103	YLR262C	0.022104974
104	YLR368W	0.022012492
105	YDL134C	0.021888286
106	YOL113W	0.021812837
107	YLR019W	0.021767993
108	YKR059W	0.021658887
109	YLR258W	0.021643715
110	YDL188C	0.021533949
111	YER184C	0.021452305
112	YDR074W	0.021386145
113	YDR110W	0.021335112
114	YMR258C	0.021270423
115	YKL198C	0.021147116
116	YLR234W	0.020918350
117	YLR192C	0.020841342
118	YBR073W	0.020721112
119	YOR153W	0.020666020
120	YCL010C	0.020657389
121	YGL179C	0.020546838
122	YNL323W	0.020488141
123	YBR240C	0.020358501
124	YJL030W	0.020185119
125	YKR064W	0.020055575
126	YFR015C	0.020042600
127	YBR297W	0.020003202
128	YDR488C	0.019913656
129	YGL240W	0.019848446
130	YDR334W	0.019831789
131	YBR059C	0.019714151
132	YPL037C	0.019621375
133	YOR339C	0.019419425
134	YEL018W	0.019180841
135	YLR224W	0.019144024
136	YBR201W	0.019125920
137	YPL140C	0.019090260
138	YPR093C	0.019056078
139	YGL043W	0.018978330
140	YAL053W	0.018934548
141	YOR290C	0.018905357
142	YJL124C	0.018505203
143	YLR398C	0.018501219
144	YDR131C	0.018411567
145	YJL128C	0.018348677
146	YNL330C	0.018337312
147	YMR202W	0.018286280
148	YLR451W	0.018284047
149	YOR304W	0.018136259
150	YLR342W	0.018004390
151	YDL155W	0.017975086
152	YPL199C	0.017898267
153	YPL213W	0.017840909
154	YDR252W	0.017806877
155	YJL141C	0.017769840
156	YCL040W	0.017764271
157	YGL237C	0.017688723
158	YCR091W	0.017669596
159	YDR120C	0.017668245
160	YNL097C	0.017553388
161	YPR149W	0.017500801
162	YGL078C	0.017371545
163	YPR196W	0.017306486
164	YER143W	0.017248036
165	YNL142W	0.017223993
166	YML075C	0.017145754
167	YGL013C	0.017124286
168	YNR032W	0.017038984
169	YJL149W	0.017016920
170	YLL048C	0.016943225
171	YBR228W	0.016919804
172	YDR075W	0.016885965
173	YML011C	0.016815557
174	YBR245C	0.016799022
175	YOL090W	0.016762335
176	YLR329W	0.016715712
177	YOR363C	0.016568555
178	YBL021C	0.016563218
179	YAL054C	0.016556724
180	YKL214C	0.016551052
181	YML099C	0.016465417
182	YKL190W	0.016408899
183	YOR313C	0.016407526
184	YFL028C	0.016371760
185	YIL033C	0.016191614
186	YBR276C	0.016095159
187	YOL080C	0.015995135
188	YDR392W	0.015932001
189	YIL017C	0.015790316
190	YDR291W	0.015751956
191	YGR200C	0.015650053
192	YDL090C	0.015643744
193	YMR205C	0.015642109
194	YNL016W	0.015549541
195	YJR059W	0.015468861
196	YAL051W	0.015296684
197	YJR127C	0.015271536
198	YEL066W	0.015241445
199	YAL019W	0.015222765
200	YIL153W	0.015168578
201	YAL011W	0.015127449
202	YLR055C	0.014952429
203	YBR033W	0.014943446
204	YDL101C	0.014939138
205	YDL197C	0.014920549
206	YBR274W	0.014860027
207	YGL220W	0.014670739
208	YBR188C	0.014629723
209	YMR306W	0.014627386
210	YPL046C	0.014605425
211	YPL192C	0.014576836
212	YER089C	0.014344738
213	YLR266C	0.014324896
214	YIL030C	0.014314033
215	YER092W	0.014300340
216	YNL072W	0.014290125
217	YKL034W	0.014247661
218	YOL104C	0.014234114
219	YMR022W	0.014176080
220	YOR231W	0.014144794
221	YNR063W	0.014110064
222	YLR014C	0.014055251
223	YKL015W	0.014031629
224	YBR114W	0.013931277
225	YKR001C	0.013911826
226	YDR265W	0.013908258
227	YMR180C	0.013902881
228	YMR263W	0.013894789
229	YDR247W	0.013597039
230	YOL013C	0.013544426
231	YGL252C	0.013468790
232	YBR272C	0.013466635
233	YNL289W	0.013461868
234	YLR253W	0.013430832
235	YNL159C	0.013408221
236	YIL113W	0.013389042
237	YLR248W	0.013373725
238	YHR108W	0.013349123
239	YML068W	0.013338389
240	YCR008W	0.013307701
241	YPL226W	0.013265434
242	YGL254W	0.013260437
243	YMR119W	0.013250772
244	YPL026C	0.013222072
245	YLR018C	0.012980989
246	YGR134W	0.012972908
247	YGR202C	0.012918320
248	YGR247W	0.012906280
249	YIL009C-A	0.012872653
250	YJL073W	0.012860234
251	YMR138W	0.012838681
252	YFR038W	0.012739781
253	YJL065C	0.012725741
254	YDR079C-A	0.012715732
255	YGR157W	0.012677410
256	YIR001C	0.012672144
257	YOL086W-A	0.012607397
258	YGL070C	0.012550988
259	YLR216C	0.012471461
260	YJL106W	0.012440376
261	YCR020W-B	0.012388493
262	YLL046C	0.012329287
263	YHR031C	0.012327772
264	YOL042W	0.012234519
265	YGL211W	0.012174728
266	YIR002C	0.012147934
267	YAL039C	0.012128062
268	YPR125W	0.012037433
269	YDL036C	0.011959389
270	YLR352W	0.011937807
271	YML118W	0.011923153
272	YDR507C	0.011877457
273	YNR047W	0.011863275
274	YKL086W	0.011843200
275	YNL021W	0.011805233
276	YDR466W	0.011797153
277	YBR223C	0.011718161
278	YJR050W	0.011712411
279	YMR078C	0.011644948
280	YMR246W	0.011548288
281	YPR120C	0.011527527
282	YLR364W	0.011523937
283	YAL055W	0.011479163
284	YGL208W	0.011357768
285	YBR034C	0.011348770
286	YNR032C-A	0.011337087
287	YGR206W	0.011336013
288	YDR156W	0.011327699
289	YPL154C	0.011237981
290	YKL029C	0.011236770
291	YML076C	0.011189648
292	YML057W	0.011112232
293	YDR482C	0.011076936
294	YPR101W	0.011048365
295	YER176W	0.010960588
296	YGL115W	0.010921675
297	YDR520C	0.010901111
298	YKL116C	0.010863292
299	YDR364C	0.010847635
300	YDR147W	0.010822476
301	YEL013W	0.010806532
302	YBR082C	0.010784438
303	YDL170W	0.010782236
304	YOL089C	0.010772831
305	YOR106W	0.010752729
306	YAL009W	0.010744863
307	YMR182C	0.010675446
308	YPL248C	0.010671023
309	YBL007C	0.010653853
310	YJL056C	0.010651031
311	YDL179W	0.010621038
312	YAL027W	0.010612167
313	YLR433C	0.010609245
314	YGR209C	0.010551153
315	YMR191W	0.010543706
316	YBR258C	0.010525841
317	YKL041W	0.010511913
318	YMR216C	0.010479594
319	YJR035W	0.010448093
320	YER035W	0.010421690
321	YDR386W	0.010404850
322	YIL042C	0.010400813
323	YMR145C	0.010395890
324	YGR276C	0.010355160
325	YDL080C	0.010350709
326	YMR177W	0.010334797
327	YHR167W	0.010250725
328	YDL006W	0.010244675
329	YDR263C	0.010185726
330	YPL055C	0.010177408
331	YER123W	0.010143616
332	YCR073C	0.010133576
333	YBR203W	0.010073837
334	YGL168W	0.010070191
335	YHR003C	0.010062096
336	YLR384C	0.010008768
337	YBR175W	0.009991860
338	YMR280C	0.009945738
339	YAL046C	0.009903109
340	YBR280C	0.009878987
341	YLL010C	0.009837512
342	YLR119W	0.009809515
343	YHR195W	0.009803764
344	YGL180W	0.009788516
345	YDR001C	0.009762008
346	YDL214C	0.009760248
347	YPL047W	0.009738016
348	YMR055C	0.009715788
349	YIL130W	0.009712685
350	YJL137C	0.009688201
351	YDL154W	0.009684163
352	YOR360C	0.009680142
353	YLR043C	0.009624175
354	YML058W-A	0.009610110
355	YHR192W	0.009583353
356	YLR226W	0.009570318
357	YLL022C	0.009476930
358	YER100W	0.009445666
359	YFL014W	0.009416909
360	YNL076W	0.009316444
361	YKL038W	0.009269841
362	YBL066C	0.009263584
363	YGR044C	0.009259033
364	YLR048W	0.009254590
365	YBR010W	0.009221702
366	YOR213C	0.009206467
367	YKL002W	0.009196457
368	YER110C	0.009128935
369	YIR013C	0.009127987
370	YDR448W	0.009114420
371	YMR127C	0.009105473
372	YBL024W	0.009089269
373	YPR040W	0.009067712
374	YIR017C	0.009049069
375	YLR021W	0.008999664
376	YNR015W	0.008991505
377	YLR094C	0.008980208
378	YLR154C	0.008939537
379	YDR358W	0.008925329
380	YBR009C	0.008907571
381	YNL229C	0.008890518
382	YHR202W	0.008853444
383	YDL190C	0.008843665
384	YHL034C	0.008800647
385	YOR354C	0.008795389
386	YER164W	0.008793240
387	YGL181W	0.008789477
388	YGL248W	0.008729269
389	YLL002W	0.008720135
390	YMR030W	0.008712188
391	YOR179C	0.008683377
392	YBR107C	0.008677376
393	YFR032C	0.008623873
394	YGL216W	0.008581470
395	YOR371C	0.008555019
396	YNL147W	0.008528769
397	YPL179W	0.008528032
398	YNL004W	0.008510602
399	YLR207W	0.008504042
400	YGR129W	0.008483219
401	YMR100W	0.008479762
402	YDR139C	0.008474043
403	YDR260C	0.008469628
404	YLR210W	0.008458623
405	YBR062C	0.008457745
406	YFL001W	0.008456607
407	YIL132C	0.008399917
408	YDR099W	0.008382730
409	YGL003C	0.008353747
410	YNL020C	0.008347814
411	YBR001C	0.008339871
412	YKL091C	0.008321643
413	YPR030W	0.008312968
414	YJR096W	0.008306282
415	YNR034W	0.008303789
416	YHL022C	0.008275128
417	YKL130C	0.008270023
418	YBL003C	0.008208472
419	YHR119W	0.008208409
420	YDR191W	0.008203428
421	YBL006C	0.008181512
422	YKR017C	0.008173280
423	YLR445W	0.008158990
424	YBR057C	0.008147435
425	YER044C-A	0.008136814
426	YLR150W	0.008091489
427	YGR180C	0.008041620
428	YEL037C	0.008033495
429	YML082W	0.008014955
430	YGL141W	0.008007581
431	YLR389C	0.007995882
432	YIR025W	0.007989850
