rank	yeast_gene	ensemble_score
1	YAL009W	0.100886093
2	YPL176C	0.092555995
3	YKL034W	0.090995116
4	YHR003C	0.082027531
5	YOL068C	0.081868132
6	YAL053W	0.077894031
7	YIL030C	0.076506087
8	YOL013C	0.071563165
9	YMR306W	0.071341512
10	YBR001C	0.064712770
11	YDR001C	0.064660169
12	YMR202W	0.063935574
13	YDL035C	0.063480779
14	YDR375C	0.060877743
15	YEL013W	0.059419984
16	YKL027W	0.057250133
17	YMR119W	0.056894626
18	YBR290W	0.056871771
19	YDR265W	0.056525930
20	YLR253W	0.053499989
21	YJR073C	0.052800270
22	YCR073C	0.052156177
23	YOR380W	0.051162393
24	YLR207W	0.050969510
25	YOR039W	0.050342538
26	YGR229C	0.049630568
27	YCR008W	0.049448651
28	YOR061W	0.048980882
29	YER027C	0.048860185
30	YHR192W	0.048746345
31	YML075C	0.048545657
32	YPR155C	0.047963330
33	YNL323W	0.047330447
34	YPR075C	0.046971011
35	YMR302C	0.046720760
36	YNL008C	0.046420543
37	YML034W	0.045930989
38	YJL178C	0.045854761
39	YBR114W	0.045439459
40	YML111W	0.045340413
41	YDL149W	0.045158236
42	YMR065W	0.044273397
43	YPR179C	0.043698108
44	YPL236C	0.042613888
45	YIL035C	0.042605311
46	YLR451W	0.041849291
47	YIR023W	0.041550837
48	YMR080C	0.041550698
49	YJL128C	0.041383954
50	YLR120C	0.040949265
51	YLR427W	0.039591046
52	YCL055W	0.038285024
53	YNL142W	0.037145872
54	YJR066W	0.036783578
55	YGR157W	0.036330686
56	YDL006W	0.035865416
57	YGL252C	0.035167554
58	YPL133C	0.034903717
59	YLR342W	0.034385522
60	YKL222C	0.034325376
61	YDR099W	0.033929119
62	YML123C	0.033807924
63	YPL123C	0.033499924
64	YFR015C	0.033097713
65	YGL208W	0.032668929
66	YPR196W	0.032162062
67	YBR217W	0.031851429
68	YNL257C	0.031475163
69	YMR258C	0.031451030
70	YPL184C	0.031383459
71	YDR448W	0.031287106
72	YMR026C	0.030760527
73	YLR113W	0.030658566
74	YOR197W	0.030361964
75	YLR055C	0.029208075
76	YGR288W	0.029166124
77	YJL210W	0.028953770
78	YKR039W	0.028562629
79	YHL020C	0.028509789
80	YNL020C	0.028230458
81	YML121W	0.028091145
82	YBR062C	0.027791876
83	YBR273C	0.027760471
84	YNL288W	0.027505045
85	YOR153W	0.027221137
86	YNR031C	0.027114360
87	YGL251C	0.026963776
88	YPR160W	0.026832192
89	YGL087C	0.026598452
90	YHR032W	0.026320917
91	YGL115W	0.026184753
92	YML082W	0.025744684
93	YKL190W	0.025572249
94	YMR275C	0.025468029
95	YBR297W	0.025326015
96	YPL086C	0.025257730
97	YER177W	0.025212399
98	YBR034C	0.025008155
99	YHR031C	0.024886310
100	YBL078C	0.024814776
101	YAL039C	0.024523102
102	YNL273W	0.023794868
103	YNL223W	0.023568092
104	YNL021W	0.023471739
105	YLR258W	0.023442449
106	YFL052W	0.023429527
107	YHR079C	0.023325612
108	YGL194C	0.023276156
