rank	yeast_gene	ensemble_score
1	YPL203W	0.117249417
2	YPL031C	0.108604311
3	YKL166C	0.101996779
4	YJL164C	0.086734531
5	YNL307C	0.076234244
6	YKR059W	0.075441072
7	YNL098C	0.072698413
8	YKR039W	0.071567657
9	YOR185C	0.066012767
10	YOL016C	0.065382082
11	YFR014C	0.064573071
12	YER031C	0.060083826
13	YPL274W	0.059103595
14	YDL134C	0.057431457
15	YMR019W	0.056167511
16	YLR019W	0.056123166
17	YGR152C	0.055968732
18	YLR329W	0.053724293
19	YDL138W	0.052820627
20	YKL190W	0.051028103
21	YGL168W	0.050631129
22	YGL058W	0.049400425
23	YDR139C	0.049300254
24	YDL188C	0.048875007
25	YOR101W	0.047473624
26	YDR252W	0.047257966
27	YLR234W	0.046684725
28	YKR093W	0.044772594
29	YHR032W	0.044083805
30	YLR262C	0.043763638
31	YNR032W	0.042742712
32	YML001W	0.042387712
33	YER177W	0.042185952
34	YNR063W	0.041675166
35	YDR075W	0.040429649
36	YDL006W	0.040058706
37	YPR173C	0.039311074
38	YLR385C	0.038989400
39	YDR155C	0.038583402
40	YGR180C	0.037761905
41	YDL079C	0.037551990
42	YLR113W	0.037499637
43	YMR274C	0.036849236
44	YMR246W	0.036449077
45	YBR082C	0.035975308
46	YCR091W	0.035787382
47	YNL209W	0.035704826
48	YOR179C	0.035664312
49	YNL130C	0.035578748
50	YGL087C	0.034640288
51	YDR059C	0.034476413
52	YHR030C	0.034206948
53	YKL161C	0.033275193
54	YGL043W	0.032896155
55	YJL206C	0.032292114
56	YOR197W	0.031659440
57	YBL005W	0.031109940
58	YGR288W	0.030909801
59	YJR096W	0.030788893
60	YPL192C	0.030740838
61	YMR139W	0.030701754
62	YEL066W	0.030571282
63	YPL096C-A	0.030290593
64	YDL194W	0.029962087
65	YDR099W	0.029818441
66	YPL154C	0.029655401
67	YGR040W	0.029160531
68	YAL027W	0.029093779
69	YIL132C	0.028932744
70	YGL070C	0.028716578
71	YPL037C	0.028576455
72	YBR028C	0.028222539
73	YGL078C	0.028196726
74	YML102W	0.028156669
75	YDL236W	0.028044181
76	YER184C	0.027963226
77	YGL253W	0.027953025
78	YML058W-A	0.027780349
79	YPR054W	0.027704053
