yeast_systematic	yeast_common	yeast_uniprot	yeast_omaid	human_symbol	human_uniprot	human_omaid	ortholog_type	score	distance	is_main_isoform_pair	source
YAL016W	TPD3	P31383	YEAST00002	PPP2R1A	P30153	HUMAN45628	1:n	1869.8399658203125	85.0	yes	OMA All.May2026 (API)
YAL016W	TPD3	P31383	YEAST00002	PPP2R1B	P30154	HUMAN09272	1:n	1895.989990234375	83.0	yes	OMA All.May2026 (API)
YAL003W	EFB1	P32471	YEAST00003	EEF1B2	P24534	HUMAN66559	1:1	794.969970703125	64.0	yes	OMA All.May2026 (API)
YAL048C	GEM1	P39722	YEAST00013	RHOT2	Q8IXI1	HUMAN25502	1:n	978.010009765625	127.0	yes	OMA All.May2026 (API)
YAL048C	GEM1	P39722	YEAST00013	RHOT1	Q8IXI2	HUMAN32866	1:n	1009.739990234375	129.0	yes	OMA All.May2026 (API)
YAL025C	MAK16	P10962	YEAST00014	MAK16	Q9BXY0	HUMAN93362	1:1	1044.449951171875	72.0	yes	OMA All.May2026 (API)
YAL023C	PMT2	P31382	YEAST00019	POMT2	Q9UKY4	HUMAN20476	m:1	1627.1500244140625	117.0	yes	OMA All.May2026 (API)
YAL062W	GDH3	P39708	YEAST00020	GLUD2	P49448	HUMAN102049	m:n	384.3999938964844	154.0	yes	OMA All.May2026 (API)
YAL062W	GDH3	P39708	YEAST00020	GLUD1	P00367	HUMAN02043	m:n	385.8500061035156	154.0	yes	OMA All.May2026 (API)
YAL026C	DRS2	P39524	YEAST00021	ATP8A2	Q9NTI2	HUMAN16582	1:n	3779.02001953125	79.0	yes	OMA All.May2026 (API)
YAL026C	DRS2	P39524	YEAST00021	ATP8A1	Q9Y2Q0	HUMAN75408	1:n	3900.550048828125	79.0	yes	OMA All.May2026 (API)
YAR035W	YAT1	P80235	YEAST00024	CPT2	A0A1B0GVF3	HUMAN49941	1:1	864.9600219726562	121.0	yes	OMA All.May2026 (API)
YAL042W	ERV46	P39727	YEAST00026	ERGIC1	Q969X5	HUMAN82287	1:n	211.89999389648438	147.0	yes	OMA All.May2026 (API)
YAL042W	ERV46	P39727	YEAST00026	ERGIC3	Q9Y282	HUMAN56711	1:n	885.8800048828125	110.0	yes	OMA All.May2026 (API)
YAL038W	CDC19	P00549	YEAST00027	PKLR	P30613	HUMAN52550	m:n	1920.77001953125	73.0	yes	OMA All.May2026 (API)
YAR003W	SWD1	P39706	YEAST00028	RBBP5	Q15291	HUMAN54355	1:1	464.8800048828125	142.0	yes	OMA All.May2026 (API)
YAR007C	RFA1	P22336	YEAST00030	RPA1	P27694	HUMAN30710	1:1	1255.7099609375	100.0	yes	OMA All.May2026 (API)
YAL030W	SNC1	P31109	YEAST00031	VAMP8	Q9BV40	HUMAN63564	m:n	217.88999938964844	109.0	yes	OMA All.May2026 (API)
YAL030W	SNC1	P31109	YEAST00031	VAMP1	P23763	HUMAN10638	m:n	264.5	102.0	yes	OMA All.May2026 (API)
YAL030W	SNC1	P31109	YEAST00031	VAMP2	P63027	HUMAN31628	m:n	300.6400146484375	91.0	yes	OMA All.May2026 (API)
YAL039C	CYC3	P06182	YEAST00046	HCCS	P53701	HUMAN99708	1:1	474.5899963378906	106.0	yes	OMA All.May2026 (API)
YAL022C	FUN26	P31381	YEAST00049	SLC29A3	Q9BZD2	HUMAN01535	1:n	251.0800018310547	197.0	yes	OMA All.May2026 (API)
YAR071W	PHO11	P35842	YEAST00058	MINPP1	Q9UNW1	HUMAN02053	m:1	227.36000061035156	206.0	yes	OMA All.May2026 (API)
YAL054C	ACS1	Q01574	YEAST00063	ACSS1	Q9NUB1	HUMAN56337	m:n	2228.889892578125	84.0	yes	OMA All.May2026 (API)
YAL054C	ACS1	Q01574	YEAST00063	ACSS2	Q9NR19	HUMAN56632	m:n	2231.580078125	80.0	yes	OMA All.May2026 (API)
YAL005C	SSA1	P10591	YEAST00066	HSPA6	P17066	HUMAN53272	m:n	4401.02978515625	31.658300399780273	yes	OMA All.May2026 (API)
YAL005C	SSA1	P10591	YEAST00066	HSPA2	P54652	HUMAN19795	m:n	4587.02001953125	28.993900299072266	yes	OMA All.May2026 (API)
YAL005C	SSA1	P10591	YEAST00066	HSPA1L	P34931	HUMAN84059	m:n	4633.919921875	28.36359977722168	yes	OMA All.May2026 (API)
YAL005C	SSA1	P10591	YEAST00066	HSPA1A	P0DMV8	HUMAN84060	m:n	4763.7099609375	27.746999740600586	yes	OMA All.May2026 (API)
YAL005C	SSA1	P10591	YEAST00066	HSPA1B	P0DMV9	HUMAN84062	m:n	4763.7099609375	27.746999740600586	yes	OMA All.May2026 (API)
YAL005C	SSA1	P10591	YEAST00066	HSPA8	P11142	HUMAN09922	m:n	4870.16015625	25.97640037536621	yes	OMA All.May2026 (API)
YAL035W	FUN12	P39730	YEAST00068	EIF5B	O60841	HUMAN64023	1:1	2864.64990234375	79.0	yes	OMA All.May2026 (API)
YAL036C	RBG1	P39729	YEAST00080	DRG1	Q9Y295	HUMAN60068	1:1	2241.06005859375	43.064701080322266	yes	OMA All.May2026 (API)
YAR002C-A	ERP1	Q05359	YEAST00088	TMED4	Q7Z7H5	HUMAN88806	m:n	347.5	144.0	yes	OMA All.May2026 (API)
YAR002C-A	ERP1	Q05359	YEAST00088	TMED9	Q9BVK6	HUMAN82575	m:n	407.1300048828125	134.0	yes	OMA All.May2026 (API)
YAL049C	AIM2	P39721	YEAST00092	CMBL	Q96DG6	HUMAN78619	1:1	240.50999450683594	165.0	yes	OMA All.May2026 (API)
YAR042W	SWH1	P35845	YEAST00106	OSBP2	Q969R2	HUMAN60002	1:1	980.6199951171875	125.0	yes	OMA All.May2026 (API)
YAL044C	GCV3	P39726	YEAST00110	GCSH	P23434	HUMAN29919	1:1	434.6700134277344	78.0	yes	OMA All.May2026 (API)
YAL012W	CYS3	P31373	YEAST00113	CTH	P32929	HUMAN50379	1:1	1497.0999755859375	69.0	yes	OMA All.May2026 (API)
YAL007C	ERP2	P39704	YEAST00116	TMED1	Q13445	HUMAN40755	m:n	222.3300018310547	158.0	yes	OMA All.May2026 (API)
YAL007C	ERP2	P39704	YEAST00116	TMED5	Q9Y3A6	HUMAN50784	m:n	266.0	132.0	yes	OMA All.May2026 (API)
YAL007C	ERP2	P39704	YEAST00116	TMED3	Q9Y3Q3	HUMAN24635	m:n	277.42999267578125	154.0	yes	OMA All.May2026 (API)
YBL055C		P34220	YEAST00120	TATDN1	Q6P1N9	HUMAN95406	1:1	654.739990234375	95.0	yes	OMA All.May2026 (API)
YBR031W	RPL4A	P10664	YEAST00124	RPL4	P36578	HUMAN23750	m:1	1813.969970703125	50.0	yes	OMA All.May2026 (API)
YBL022C	PIM1	P36775	YEAST00135	LONP1	P36776	HUMAN40008	1:1	3125.60009765625	75.0	yes	OMA All.May2026 (API)
YBR243C	ALG7	P07286	YEAST00136	DPAGT1	Q9H3H5	HUMAN09801	1:1	1176.8499755859375	93.0	yes	OMA All.May2026 (API)
YBR234C	ARC40	P38328	YEAST00137	ARPC1B	O15143	HUMAN90091	1:1	827.030029296875	95.0	yes	OMA All.May2026 (API)
YBR247C	ENP1	P38333	YEAST00139	BYSL	Q13895	HUMAN84771	1:1	1112.6500244140625	88.0	yes	OMA All.May2026 (API)
YBR227C	MCX1	P38323	YEAST00143	CLPX	O76031	HUMAN23652	1:1	1091.6099853515625	88.0	yes	OMA All.May2026 (API)
YBR244W	GPX2	P38143	YEAST00145	GPX5	O75715	HUMAN83577	m:n	389.8800048828125	95.0	yes	OMA All.May2026 (API)
YBR244W	GPX2	P38143	YEAST00145	GPX7	Q96SL4	HUMAN49896	m:n	437.94000244140625	89.0	yes	OMA All.May2026 (API)
YBR244W	GPX2	P38143	YEAST00145	GPX8	Q8TED1	HUMAN79165	m:n	449.6199951171875	91.0	yes	OMA All.May2026 (API)
YBR160W	CDC28	P00546	YEAST00146	CDK2	P24941	HUMAN13370	1:n	1744.27001953125	44.02170181274414	yes	OMA All.May2026 (API)
YBL080C	PET112	P33893	YEAST00147	GATB	O75879	HUMAN77699	1:1	656.9000244140625	119.0	yes	OMA All.May2026 (API)
YBR284W		P38150	YEAST00151	AMPD2	Q01433	HUMAN51161	1:1	780.8599853515625	128.0	yes	OMA All.May2026 (API)
YBR111W-A	SUS1	Q6WNK7	YEAST00153	ENY2	Q9NPA8	HUMAN95197	1:1	181.7100067138672	121.0	yes	OMA All.May2026 (API)
YBR229C	ROT2	P38138	YEAST00156	GANC	Q8TET4	HUMAN22506	1:n	1947.75	96.0	yes	OMA All.May2026 (API)
