rank	yeast_gene	ensemble_score
1	YEL013W	0.099877112
2	YHR032W	0.091437632
3	YKR059W	0.085601999
4	YIL035C	0.084754857
5	YDL006W	0.084279507
6	YML123C	0.084008097
7	YDL194W	0.082842244
8	YJL128C	0.081406164
9	YOR351C	0.078357950
10	YPL274W	0.077500000
11	YDL138W	0.075945793
12	YLR253W	0.073571429
13	YMR080C	0.070600695
14	YKR039W	0.070353093
15	YOR061W	0.068227825
16	YOL113W	0.065904245
17	YIL008W	0.063675214
18	YDL035C	0.063642272
19	YLR113W	0.060334402
20	YLL048C	0.059223689
21	YOR380W	0.058682059
22	YMR138W	0.058615819
23	YGR040W	0.054951661
24	YML001W	0.053411128
25	YOL068C	0.052646448
26	YGR152C	0.051233429
27	YBR114W	0.049168185
28	YPL236C	0.046276596
29	YJL124C	0.046269683
30	YMR100W	0.046267199
31	YNL130C	0.044970593
32	YKL222C	0.043697783
33	YAL059W	0.043568450
34	YIL017C	0.041722201
35	YIR005W	0.041004405
36	YCR008W	0.040957612
37	YLR014C	0.040532390
38	YBL002W	0.039418931
39	YLR248W	0.038604972
40	YGL115W	0.036368071
41	YKL166C	0.035980101
42	YJL206C	0.035703737
43	YLL054C	0.035690599
44	YOR185C	0.035157425
45	YKR064W	0.034711886
46	YHR003C	0.034681553
47	YBR089C-A	0.034230159
48	YKL027W	0.034150129
49	YDR075W	0.033573969
50	YCR106W	0.033403092
51	YPR173C	0.032585403
52	YKR093W	0.032466293
53	YMR177W	0.032283020
54	YLR451W	0.031505809
55	YMR258C	0.031329057
56	YNL020C	0.031198377
57	YOR153W	0.031089450
58	YLR120C	0.030937289
59	YKL190W	0.030903048
60	YFR032C	0.030838756
61	YGL252C	0.030422009
62	YDR520C	0.030400462
63	YDR375C	0.029885732
64	YMR274C	0.029664165
65	YDR477W	0.029560117
66	YOR360C	0.028886501
67	YHR178W	0.028863386
68	YCL011C	0.028355554
69	YAR018C	0.028323159
70	YKL015W	0.028043747
71	YOR172W	0.027980790
72	YLR233C	0.027940681
73	YJL106W	0.027616062
74	YNL142W	0.027541273
75	YPR196W	0.026986537
76	YMR246W	0.026818431
77	YER031C	0.026739937
78	YDR001C	0.026674947
79	YDR147W	0.026517434
80	YHR030C	0.026236899
81	YJL164C	0.025999150
82	YMR202W	0.025916092
83	YPR052C	0.025766216
84	YCR020C-A	0.025616606
85	YPL109C	0.025514234
86	YPL154C	0.025474338
87	YOL012C	0.025449802
88	YJL149W	0.025005365
89	YBL003C	0.024810886
90	YNL021W	0.024716083
91	YOR304W	0.024683404
92	YKL161C	0.024243984
93	YHR192W	0.023923199
94	YDL036C	0.023823276
95	YBR274W	0.023607961
96	YFR014C	0.023562092
97	YLL046C	0.023477920
98	YDL134C	0.023261411
99	YBR001C	0.023188465
100	YNL229C	0.022819270
101	YPR111W	0.022709706
102	YOR101W	0.022610928
103	YAL053W	0.022570595
104	YKL034W	0.022570220
105	YOL013C	0.022326049
106	YCR073C	0.022311067
107	YPL203W	0.022263220
108	YPR152C	0.022192111
109	YMR306W	0.022186456
110	YGL087C	0.022185980
111	YOR363C	0.022098792
112	YGR229C	0.021929147
113	YBR297W	0.021681760
114	YDR291W	0.021631021
115	YPR054W	0.021618766
116	YKR001C	0.021498936
117	YBR097W	0.021457992
118	YFR001W	0.021387343
119	YPL031C	0.021275663
120	YFL028C	0.021061159
121	YGR288W	0.020960872
122	YDL188C	0.020889348
123	YIL009C-A	0.020481419
124	YDL079C	0.020415842
125	YNL098C	0.020356100
126	YDR131C	0.020327027
