rank	yeast_gene	ensemble_score
1	YLR262C	0.016459310
2	YKR039W	0.015940647
3	YKL166C	0.015881634
4	YDL134C	0.014907035
5	YGL087C	0.012578116
6	YBR201W	0.012548447
7	YER031C	0.011056854
8	YOR197W	0.010369659
9	YDL188C	0.010344955
10	YNR032W	0.009217144
11	YDR075W	0.008929099
12	YML001W	0.008827388
13	YDL236W	0.008522406
14	YNL142W	0.008409723
15	YPL274W	0.008371035
16	YJR096W	0.007901525
17	YMR246W	0.007771931
18	YGL168W	0.007645055
19	YOL013C	0.007334251
20	YGR180C	0.007302981
21	YDR179C	0.007282103
22	YOR380W	0.007228103
23	YAL009W	0.007151079
24	YPL046C	0.007111642
25	YJL149W	0.007098479
26	YMR223W	0.006975603
27	YML076C	0.006811563
28	YOR101W	0.006506153
29	YBR272C	0.006416123
30	YIL132C	0.006238070
31	YFR036W	0.006105233
32	YLR445W	0.005870842
33	YMR306W	0.005804246
34	YDR001C	0.005795261
35	YDL006W	0.005711128
36	YAL053W	0.005589455
37	YPR054W	0.005577722
38	YBR034C	0.005526226
39	YKL034W	0.005366629
40	YIL030C	0.005354372
41	YBL057C	0.005341799
42	YPR196W	0.005266825
43	YKL091C	0.005216382
44	YNL159C	0.005174800
45	YJR073C	0.004996126
46	YER143W	0.004974691
47	YLR019W	0.004888225
48	YLR342W	0.004872736
49	YDR022C	0.004851368
50	YDR265W	0.004818041
51	YBR001C	0.004572698
52	YML068W	0.004326593
53	YGR135W	0.004322068
54	YMR258C	0.004317050
55	YLR376C	0.004309550
56	YMR080C	0.004233189
57	YIL040W	0.004197294
58	YDR263C	0.004185074
59	YNR063W	0.004172811
60	YLR226W	0.004155190
61	YKL114C	0.004078260
62	YDL149W	0.004059948
63	YNL323W	0.003951545
64	YGR003W	0.003942727
65	YBR297W	0.003840553
66	YGR157W	0.003731363
67	YMR022W	0.003728405
68	YNR034W	0.003657172
69	YDR131C	0.003620098
70	YNL130C	0.003602210
71	YLR207W	0.003586968
72	YKR093W	0.003568955
73	YPL176C	0.003552095
74	YBR290W	0.003544282
75	YML075C	0.003516246
76	YOL089C	0.003460995
77	YDL230W	0.003355273
78	YPR155C	0.003341163
79	YPL164C	0.003282605
80	YPL033C	0.003270073
81	YIR025W	0.003243569
82	YOR039W	0.003220386
83	YJL206C	0.003184174
84	YOR339C	0.003160960
85	YMR202W	0.003153419
86	YDL170W	0.003144312
87	YLR024C	0.003122749
88	YFR015C	0.003079519
89	YMR302C	0.002990018
90	YOR209C	0.002911431
91	YJR066W	0.002837202
92	YOR153W	0.002832238
93	YLR381W	0.002753751
94	YPR160W	0.002750127
95	YGL060W	0.002741293
96	YIL073C	0.002739428
97	YDL079C	0.002674483
98	YKL161C	0.002633576
99	YKR067W	0.002632999
100	YMR119W	0.002631118
101	YBR165W	0.002557162
102	YPR075C	0.002549704
103	YPL123C	0.002513510
104	YNL021W	0.002478917
105	YGL252C	0.002468510
106	YLR253W	0.002444276
107	YDR120C	0.002440808
108	YGL229C	0.002409613
109	YPL154C	0.002324985
110	YMR284W	0.002320407
111	YGR097W	0.002269967
112	YPR101W	0.002264850
113	YFR010W	0.002252138
114	YPL199C	0.002240376
115	YGR109C	0.002208415
116	YKR059W	0.002151921
117	YDL190C	0.002134242
118	YOR368W	0.002103424
119	YDL077C	0.002093669
120	YPR184W	0.002068301
121	YKR017C	0.002056897
122	YAL039C	0.002056440
123	YLR180W	0.002048130
124	YPR199C	0.002034625
125	YDR335W	0.001999398
126	YCR073C	0.001976833
127	YMR065W	0.001967724
128	YER110C	0.001967358
129	YDR315C	0.001956119
130	YGR184C	0.001942481
131	YLR233C	0.001937022
132	YDR518W	0.001899360
133	YGL253W	0.001899360
134	YLL062C	0.001885571
135	YNL257C	0.001875822
136	YCR014C	0.001853827
137	YJL178C	0.001850125
138	YCR077C	0.001849968
139	YER027C	0.001844888
140	YJL153C	0.001828855
141	YGR229C	0.001809678
142	YPL109C	0.001809357
143	YBR058C	0.001763132
144	YLR018C	0.001761506
145	YML111W	0.001754544
146	YGR133W	0.001734893
147	YOL068C	0.001726073
148	YFR019W	0.001721302
149	YNR031C	0.001693017
150	YDR395W	0.001692475
151	YGR276C	0.001692176
152	YMR182C	0.001682311
153	YGR288W	0.001666826
154	YLR427W	0.001618415
155	YMR138W	0.001613456
156	YMR275C	0.001606754
157	YFR040W	0.001598007
158	YML034W	0.001587445
159	YPR093C	0.001581858
160	YDR006C	0.001569867
161	YGL208W	0.001567006
162	YOL117W	0.001552773
163	YOR295W	0.001544127
164	YHL020C	0.001533224
165	YLR368W	0.001531033
166	YPL273W	0.001529762
167	YKL010C	0.001524386
168	YCR008W	0.001521574
169	YDL076C	0.001518774
170	YIL153W	0.001512108
171	YPR179C	0.001507329
172	YLR319C	0.001489613
173	YGL019W	0.001485772
174	YLL040C	0.001472308
175	YOR032C	0.001466773
176	YLR216C	0.001457230
177	YDR259C	0.001453191
178	YBL039C	0.001452787
179	YNL330C	0.001452410
180	YMR224C	0.001451241
181	YMR026C	0.001447175
182	YPL045W	0.001443707
183	YOR014W	0.001438145
184	YGL197W	0.001423289
185	YDR291W	0.001402113
186	YGL173C	0.001398906
187	YNL273W	0.001389518
188	YPL065W	0.001385354
189	YJR094C	0.001370757
190	YDR375C	0.001366223
191	YKR082W	0.001361439
192	YLR403W	0.001354048
193	YPR125W	0.001351342
194	YFL007W	0.001348471
195	YDL171C	0.001345643
196	YGL037C	0.001344270
197	YGR208W	0.001343053
198	YCL055W	0.001339807
199	YGL110C	0.001332278
200	YNL201C	0.001318954
201	YJR140C	0.001313258
202	YPL125W	0.001305810
203	YHR031C	0.001304268
204	YLR389C	0.001302771
205	YML103C	0.001286808
206	YAL046C	0.001278279
207	YJR031C	0.001269249
208	YDR448W	0.001265577
209	YNL288W	0.001264517
210	YJL204C	0.001253459
211	YBR188C	0.001252158
212	YGL194C	0.001244722
213	YIR002C	0.001244364
214	YHR077C	0.001236488
215	YJL098W	0.001231255
216	YNL008C	0.001228997
217	YKR028W	0.001228686
218	YMR025W	0.001227475
219	YOL004W	0.001226071
220	YPL167C	0.001220491
221	YEL012W	0.001213498
222	YJL083W	0.001197317
223	YHR202W	0.001187854
224	YBR223C	0.001185217
225	YML082W	0.001179498
226	YJR091C	0.001174194
227	YGL125W	0.001173705
228	YBR097W	0.001173380
229	YIR023W	0.001169900
230	YOR363C	0.001169501
231	YDR005C	0.001168134
232	YDR057W	0.001166842
233	YGR233C	0.001160910
234	YHR187W	0.001155841
235	YHR003C	0.001147921
236	YLL010C	0.001138928
237	YNL223W	0.001126640
238	YBL079W	0.001102856
239	YKL212W	0.001101029
240	YKR064W	0.001094125
241	YLR329W	0.001088476
242	YBL007C	0.001086293
243	YML029W	0.001085786
244	YLR418C	0.001071564
245	YOL145C	0.001071367
246	YMR129W	0.001070976
247	YGL237C	0.001067522
248	YDR066C	0.001060599
249	YKL029C	0.001052658
250	YGL251C	0.001022075
251	YMR261C	0.001014263
252	YNL009W	0.001013852
253	YML128C	0.001008442
254	YAL056W	0.001002802
255	YNL072W	0.000996505
256	YMR070W	0.000983978
257	YDR080W	0.000981346
258	YDR495C	0.000979895
259	YKL027W	0.000975091
260	YOL081W	0.000970246
261	YGL181W	0.000970079
262	YDR386W	0.000968979
263	YNL210W	0.000964733
264	YLR097C	0.000963280
265	YGL241W	0.000958978
266	YGL016W	0.000946239
267	YPL133C	0.000945184
268	YML011C	0.000945107
269	YMR231W	0.000935667
270	YLR025W	0.000932217
271	YKR019C	0.000931875
272	YJR119C	0.000927260
273	YMR209C	0.000924092
274	YDL080C	0.000913213
275	YLR148W	0.000912372
276	YKL057C	0.000908070
277	YER132C	0.000905980
278	YJR099W	0.000905281
279	YBL051C	0.000902417
280	YML088W	0.000901647
281	YNL229C	0.000896765
282	YKL032C	0.000892995
283	YER184C	0.000889803
284	YDL106C	0.000889343
285	YPR185W	0.000873637
