rank	yeast_gene	ensemble_score
1	YNL288W	0.079976848
2	YHR200W	0.063472576
3	YJL030W	0.063085113
4	YBL078C	0.051520994
5	YOL013C	0.049918009
6	YLR319C	0.049333339
7	YHL020C	0.041887102
8	YOR014W	0.040936627
9	YJR073C	0.037688431
10	YPL065W	0.036934680
11	YDR073W	0.035470706
12	YNL130C	0.034395448
13	YKL002W	0.032497679
14	YBR111W-A	0.031079473
15	YBR057C	0.029962283
16	YLR234W	0.029872247
17	YKR019C	0.029810505
18	YGL070C	0.028499615
19	YPL203W	0.028459061
20	YIL040W	0.028170089
21	YAL009W	0.027345759
22	YER177W	0.026824114
23	YML102W	0.025916340
24	YDR392W	0.025755597
25	YKL041W	0.025387310
26	YIL084C	0.024296198
27	YLR113W	0.024036245
28	YAL053W	0.022399532
29	YLR258W	0.022304354
30	YCR077C	0.021944751
31	YGL058W	0.021906501
32	YBR201W	0.021678123
33	YJL083W	0.020697278
34	YML124C	0.019918189
35	YMR159C	0.019808967
36	YKL029C	0.019146130
37	YDR099W	0.018757419
38	YOL086W-A	0.018646745
39	YFR053C	0.018479250
40	YJR084W	0.018456453
41	YCL040W	0.018194712
42	YKR067W	0.017919557
43	YPL199C	0.017908169
44	YBR290W	0.017582474
45	YDL149W	0.017455688
46	YDR448W	0.017447273
47	YOL004W	0.017197520
48	YHL002W	0.016914481
49	YBL021C	0.016772498
50	YMR070W	0.016162417
51	YNL142W	0.015570938
52	YLR342W	0.015311804
53	YNL097C	0.015114751
54	YGR097W	0.015011392
55	YDL005C	0.014869189
56	YAL013W	0.014833763
57	YBR082C	0.014234027
58	YAR035W	0.014078118
59	YPL031C	0.014064511
60	YPL045W	0.013996260
61	YOR106W	0.013952262
62	YLR207W	0.013774967
63	YLR025W	0.013725408
64	YJR066W	0.013512830
65	YNL098C	0.013470680
66	YMR263W	0.013307028
67	YBR218C	0.013290066
68	YGL253W	0.013169656
69	YML075C	0.013061576
70	YGL062W	0.012744821
71	YOR023C	0.012505009
72	YGR157W	0.012498441
73	YGL043W	0.012368573
74	YDR244W	0.012175011
75	YJL036W	0.012153575
76	YMR205C	0.012087975
77	YKL190W	0.011931743
78	YNL314W	0.011912944
79	YLR180W	0.011775368
80	YDR006C	0.011604181
81	YMR274C	0.011495103
82	YPR125W	0.011254899
83	YNL159C	0.011203335
84	YJR091C	0.010866884
85	YBR188C	0.010706268
86	YMR294W	0.010645291
87	YJL065C	0.010632288
88	YDR059C	0.010554170
89	YIL153W	0.010424763
90	YOR209C	0.010421510
91	YBL024W	0.010391950
92	YOR061W	0.010350223
93	YIL042C	0.010192925
94	YNL209W	0.010068231
95	YJL058C	0.009833575
96	YJL164C	0.009824833
97	YPR149W	0.009805871
98	YJR050W	0.009775835
99	YHR206W	0.009625899
100	YHL006C	0.009470724
101	YPR173C	0.009390006
102	YPL096C-A	0.009379842
103	YLR385C	0.009077168
104	YJR082C	0.009003105
105	YEL066W	0.008957782
106	YMR302C	0.008929858
107	YLR074C	0.008897117
108	YGL211W	0.008826967
109	YBR112C	0.008793763
110	YFR040W	0.008757864
111	YLR019W	0.008751123
112	YER179W	0.008678423
113	YKL067W	0.008529706
114	YNL330C	0.008493789
115	YMR042W	0.008410351
116	YBR239C	0.008368357
117	YDL190C	0.008216928
118	YDR277C	0.008053976
119	YBL010C	0.007978836
120	YPR046W	0.007955979
121	YPL047W	0.007914696
122	YLR403W	0.007846017
123	YPL002C	0.007806128
124	YOR298C-A	0.007794598
125	YFR015C	0.007664119
126	YDR139C	0.007643083
127	YBL066C	0.007453821
128	YFR019W	0.007370118
129	YPL120W	0.007222841
130	YOR162C	0.007117370
131	YOL051W	0.006978796
132	YDR335W	0.006942012
133	YCL032W	0.006896306
134	YGL066W	0.006841071
135	YNL138W	0.006698426
136	YGR173W	0.006606925
137	YOR197W	0.006543238
138	YJR014W	0.006504064
139	YGR180C	0.006356190
140	YHL025W	0.006323663
141	YHR030C	0.006292020
142	YKL009W	0.006269221
143	YDR155C	0.006245911
144	YLR445W	0.006058359
145	YHR066W	0.006005272
146	YMR019W	0.005849197
147	YJR021C	0.005835978
148	YJR060W	0.005564505
149	YLR325C	0.005537792
150	YKL166C	0.005386325
151	YOR358W	0.005337440
152	YOR027W	0.005270281
153	YNR010W	0.005239391
154	YNL289W	0.005093304
155	YDL056W	0.005093260
156	YBR059C	0.005083011
157	YJR135C	0.005046646
158	YDR120C	0.005013280
159	YGR135W	0.004821468
160	YOR185C	0.004712946
161	YNL199C	0.004696402
162	YOR091W	0.004686796
163	YEL018W	0.004661312
164	YIL030C	0.004510817
165	YFL036W	0.004464800
166	YAL044W-A	0.004459529
167	YMR172W	0.004368536
168	YCL010C	0.004307274
169	YKL205W	0.004284619
170	YBR217W	0.004189291
171	YML076C	0.004158460
172	YLR018C	0.004154318
173	YDR121W	0.004046917
174	YPL133C	0.004005135
175	YKL025C	0.004003769
176	YDR312W	0.003947238
177	YKR093W	0.003915579
178	YLR095C	0.003876094
179	YLR216C	0.003867989
180	YGL220W	0.003808554
181	YLR048W	0.003795395
182	YHR193C	0.003697591
183	YNL241C	0.003685881
184	YLR260W	0.003648459
185	YGL115W	0.003586692
186	YGL078C	0.003552901
187	YML113W	0.003541705
188	YLR352W	0.003525318
189	YJL176C	0.003515620
190	YGR003W	0.003500960
191	YER031C	0.003496764
192	YDR259C	0.003481283
193	YMR275C	0.003425853
194	YGL229C	0.003423659
195	YBL039C	0.003399750
196	YLR288C	0.003397421
197	YBL005W	0.003367225
198	YBR289W	0.003353932
199	YJL149W	0.003352137
200	YDL135C	0.003342693
201	YMR127C	0.003330751
202	YML121W	0.003318560
203	YML097C	0.003301648
204	YNL072W	0.003230026
205	YDL134C	0.003221178
206	YDR123C	0.003185139
207	YEL037C	0.003152262
208	YDR005C	0.003148003
209	YLR384C	0.003085868
210	YNL201C	0.003066847
211	YJR053W	0.003040218
212	YDL236W	0.003027399
213	YMR055C	0.003008192
214	YGR208W	0.002896532
215	YIL132C	0.002850985
216	YDL179W	0.002849513
217	YKL160W	0.002849320
218	YDR358W	0.002793424
219	YHR033W	0.002788277
220	YPL046C	0.002775113
221	YHR108W	0.002774471
222	YJR096W	0.002728483
223	YNL059C	0.002722815
224	YFL021W	0.002677459
225	YPR030W	0.002676585
226	YLL010C	0.002662860
227	YER174C	0.002610411
228	YFR034C	0.002585595
229	YGL086W	0.002575012
230	YLR423C	0.002505350
231	YNL307C	0.002490802
232	YER016W	0.002488508
233	YPL212C	0.002468445
234	YML100W	0.002441624
235	YDR255C	0.002429375
236	YJR069C	0.002397506
237	YMR273C	0.002391052
238	YPL187W	0.002223385
239	YLR119W	0.002222846
240	YFL014W	0.002184458
241	YIL128W	0.002180532
242	YNR009W	0.002167462
243	YDR176W	0.002160987
244	YKR059W	0.002160699
245	YOL145C	0.002114696
246	YEL061C	0.002086861
247	YCR087C-A	0.002041307
248	YDR422C	0.002010564
249	YOL087C	0.002003046
250	YLR228C	0.001974316
251	YHL009C	0.001970045
252	YFL013C	0.001954672
253	YNL025C	0.001945551
254	YGR021W	0.001936851
255	YDL090C	0.001933408
256	YBL057C	0.001838982
257	YPL181W	0.001764221
258	YMR116C	0.001738026
259	YBR272C	0.001728766
260	YDL113C	0.001727016
261	YBR258C	0.001701907
262	YDL106C	0.001683078
263	YDR179C	0.001682155
264	YNR063W	0.001675045
265	YJR102C	0.001659911
266	YPL254W	0.001657869
267	YPR155C	0.001650540
268	YMR074C	0.001606808
269	YNL323W	0.001606114
270	YPR042C	0.001598997
271	YIL101C	0.001595640
272	YGL021W	0.001594961
273	YCL029C	0.001556734
274	YDR395W	0.001534346
275	YOL093W	0.001485564
276	YDL197C	0.001468765
277	YOR295W	0.001453442
278	YOR354C	0.001432171
279	YLR429W	0.001429778
280	YPR101W	0.001418781
281	YAL046C	0.001405579
282	YLR059C	0.001399959
283	YER143W	0.001352966
284	YPR185W	0.001350347
285	YPL230W	0.001349903
286	YDL051W	0.001343952
287	YER110C	0.001312027
288	YBL051C	0.001307806
289	YHR192W	0.001298904
290	YGR070W	0.001260564
291	YDL091C	0.001260230
292	YML095C	0.001254216
293	YDR098C	0.001250323
294	YLR055C	0.001241497
295	YML088W	0.001213380
296	YDR022C	0.001206222
297	YBR095C	0.001137996
298	YGR109C	0.001115260
299	YHL010C	0.001110976
300	YMR202W	0.001096989
301	YPL125W	0.001092074
302	YDR469W	0.001076227
303	YDR075W	0.001068389
304	YMR136W	0.001062657
305	YNL008C	0.001061698
306	YLR309C	0.001052662
307	YJR127C	0.001030014
308	YDL074C	0.000996167
309	YMR276W	0.000969643
310	YML006C	0.000921478
311	YGL127C	0.000908102
312	YKL114C	0.000899639
313	YOL116W	0.000891337
314	YER120W	0.000891053
315	YAR042W	0.000872536
316	YMR164C	0.000866909
317	YOR279C	0.000855383
318	YIL146C	0.000855014
319	YPL038W	0.000841715
320	YIR017C	0.000837986
321	YLR262C	0.000769045
322	YJL049W	0.000754377
323	YOR101W	0.000751734
324	YDL035C	0.000745498
325	YKR036C	0.000734908
326	YLR176C	0.000724003
327	YOR243C	0.000720962
328	YLR431C	0.000715360
329	YPL100W	0.000703540
330	YOR107W	0.000703043
331	YOL115W	0.000697993
332	YAR003W	0.000693585
333	YDR496C	0.000693309
334	YLR315W	0.000684122
335	YER088C	0.000658846
336	YGL232W	0.000656538
337	YIR018W	0.000643340
338	YBR009C	0.000612129
339	YBL063W	0.000609795
340	YIL133C	0.000609430
341	YER002W	0.000597293
342	YIL149C	0.000572500
343	YMR025W	0.000563695
344	YGL087C	0.000557806
345	YIL119C	0.000546808
346	YKR091W	0.000526044
347	YDL230W	0.000512936
348	YPL121C	0.000497430
349	YBR165W	0.000487070
350	YML057W	0.000479744
351	YHR152W	0.000466343
352	YBL054W	0.000463850
353	YBL103C	0.000463683
354	YDR364C	0.000454058
355	YBR278W	0.000450451
356	YGL162W	0.000447137
357	YDR285W	0.000442627
358	YBL003C	0.000434236
359	YGL029W	0.000431230
360	YKR034W	0.000431059
361	YKL198C	0.000430294
362	YHR081W	0.000425493
363	YBR233W	0.000398083
364	YOR191W	0.000396900
365	YKR095W	0.000378542
366	YKL110C	0.000369061
367	YFR036W	0.000366568
368	YER063W	0.000356876
369	YOR156C	0.000348253
370	YPR141C	0.000345936
371	YCR086W	0.000339373
372	YMR201C	0.000338052
373	YGL037C	0.000305286
374	YOR195W	0.000301133
375	YER028C	0.000298158
376	YLR377C	0.000295848
377	YOL108C	0.000288873
378	YOL028C	0.000264944
379	YMR026C	0.000241233
380	YOL067C	0.000235293
381	YMR037C	0.000232504
382	YHR077C	0.000230307
383	YOL089C	0.000218153
384	YDR289C	0.000211917
385	YGL060W	0.000203874
386	YKL038W	0.000176174
387	YHR187W	0.000167231
388	YJL110C	0.000163536
389	YLL013C	0.000163434
390	YMR233W	0.000154920
391	YDR158W	0.000146397
392	YNL027W	0.000143907
393	YJL056C	0.000122025
394	YNR006W	0.000112430
395	YDR310C	0.000107861
396	YNL230C	0.000103937
397	YHL022C	0.000079897
398	YNR007C	0.000057189
399	YMR223W	0.000048100
400	YBR279W	0.000048081
401	YLR006C	0.000043314
402	YDR265W	0.000009849
403	YCR028C-A	0.000006067
404	YBR195C	0.000001975
405	YGL254W	-0.000006377
406	YML111W	-0.000024271
407	YNL107W	-0.000031028
408	YER045C	-0.000031786
409	YPL253C	-0.000037552
410	YOL111C	-0.000041285
411	YCR066W	-0.000043438
412	YPR007C	-0.000046273
413	YOR025W	-0.000052583
414	YNL116W	-0.000055680
415	YEL012W	-0.000058097
416	YMR030W	-0.000064982
417	YLR435W	-0.000067967
418	YOR032C	-0.000079404
419	YMR182C	-0.000086088
420	YDR253C	-0.000090950
421	YGL033W	-0.000100390
422	YPR018W	-0.000107112
423	YDL059C	-0.000112739
424	YLR387C	-0.000114554
425	YJL204C	-0.000118332
426	YGL016W	-0.000128617
427	YPL127C	-0.000130743
428	YGR080W	-0.000139194
429	YNL136W	-0.000139966
430	YIL038C	-0.000144159
431	YDR130C	-0.000158717
432	YGR129W	-0.000161117
433	YGL019W	-0.000174258
434	YKL127W	-0.000176888
435	YGR067C	-0.000185125
436	YBL009W	-0.000193329
437	YGR233C	-0.000196523
438	YGL003C	-0.000199118
439	YLR394W	-0.000207286
440	YPL241C	-0.000211078
441	YDR213W	-0.000231246
442	YPR022C	-0.000232989
443	YBR089C-A	-0.000234364
444	YJL210W	-0.000237714
445	YLR418C	-0.000246346
446	YPL155C	-0.000253215
447	YDR409W	-0.000272837
448	YOR368W	-0.000285497
449	YKL086W	-0.000286200
450	YLR097C	-0.000294405
451	YBR182C	-0.000297557
452	YBR034C	-0.000299019
453	YOL041C	-0.000300171
454	YDR363W-A	-0.000313463
455	YDR117C	-0.000318285
456	YBR150C	-0.000324356
457	YIL036W	-0.000329205
458	YKR057W	-0.000332636
459	YFL033C	-0.000335340
460	YDL070W	-0.000340983
461	YJL153C	-0.000341995
462	YML032C	-0.000343025
