rank	yeast_gene	ensemble_score
1	YLR260W	0.096341848
2	YKR067W	0.077079305
3	YBR203W	0.075805802
4	YOR171C	0.069295382
5	YBR105C	0.065992930
6	YKR039W	0.063518519
7	YNL323W	0.062879082
8	YDL149W	0.062439910
9	YML100W	0.058882272
10	YDR422C	0.058880105
11	YDR137W	0.057423838
12	YIL107C	0.055006489
13	YLL048C	0.053530069
14	YHR032W	0.053434759
15	YPR030W	0.053397045
16	YMR261C	0.053203830
17	YKR059W	0.049861867
18	YLR113W	0.049842026
19	YOR153W	0.049382621
20	YMR205C	0.048851425
21	YOR185C	0.047839154
22	YER177W	0.045114324
23	YML075C	0.044128016
24	YPL274W	0.043466952
25	YDR074W	0.043313312
26	YDR099W	0.043262079
27	YEL013W	0.042723749
28	YPL086C	0.042171548
29	YAR035W	0.041892385
30	YNL142W	0.041760020
31	YGR240C	0.041611103
32	YHR082C	0.041322527
33	YPL203W	0.039794149
34	YGL240W	0.039724527
35	YOR061W	0.038386694
36	YFR019W	0.038280872
37	YDL035C	0.037958404
38	YDL006W	0.037944392
39	YNL076W	0.037680507
40	YBL052C	0.037379992
41	YJR059W	0.037172657
42	YKL190W	0.037075588
43	YLR234W	0.037036175
44	YJR053W	0.036850649
45	YPR173C	0.035941836
46	YDR005C	0.035898883
47	YLR085C	0.035302397
48	YFR015C	0.034915123
49	YML072C	0.034695756
50	YAL053W	0.034559387
51	YPR075C	0.034368815
52	YGL062W	0.033881284
53	YIL042C	0.033717930
54	YML111W	0.033579153
55	YLR258W	0.033426425
56	YBR114W	0.033333105
57	YMR306W	0.033204974
58	YNL311C	0.033147951
59	YHR202W	0.032859859
60	YAL017W	0.032814523
61	YGR097W	0.032570982
62	YHR030C	0.032260762
63	YBR218C	0.032248124
64	YNL130C	0.031449997
65	YBL080C	0.031203397
66	YJL164C	0.030922874
67	YKL034W	0.030448906
68	YDR001C	0.030311377
69	YDL138W	0.030215318
70	YMR275C	0.029875185
71	YNL209W	0.029804651
72	YER169W	0.029701035
73	YOR123C	0.029688046
74	YMR291W	0.029589654
75	YLR015W	0.029416900
76	YHR200W	0.029208652
77	YNL330C	0.028990300
78	YMR202W	0.028658367
79	YDL194W	0.028565450
80	YGR040W	0.028325545
81	YLR352W	0.028322289
82	YKR093W	0.027850724
83	YNL008C	0.027769133
84	YMR246W	0.027716311
85	YDL135C	0.027621342
86	YML123C	0.027590618
87	YDR375C	0.027073464
88	YER167W	0.026957582
89	YDR490C	0.026051260
90	YNL154C	0.025995335
91	YPR111W	0.025991755
92	YCL040W	0.025991296
93	YML102W	0.025664658
94	YER031C	0.025440783
95	YGL197W	0.025358037
96	YPL199C	0.025344740
97	YFR053C	0.024864773
98	YKL029C	0.024853551
99	YPL179W	0.024796591
100	YJL083W	0.024495529
101	YKR019C	0.024267042
102	YGL244W	0.024242338
103	YOR371C	0.024142261
104	YBR034C	0.024108067
105	YNR032C-A	0.024091180
106	YJR119C	0.023775104
107	YOR197W	0.023677642
108	YLR342W	0.023600799
109	YNL128W	0.023479385
110	YPL154C	0.023253675
111	YDR075W	0.023173433
112	YJL030W	0.023172536
113	YIL030C	0.022964573
114	YFL013C	0.022951226
115	YJL153C	0.022849693
116	YBL054W	0.022434185
117	YBR082C	0.022429646
118	YNL241C	0.021940120
119	YML001W	0.021875361
120	YDR277C	0.021753352
121	YMR069W	0.021518220
122	YBR223C	0.021396471
123	YHR178W	0.021322281
124	YMR080C	0.021157757
125	YOL087C	0.021147439
126	YGL253W	0.021071163
127	YKL198C	0.021023993
128	YBL078C	0.020423715
129	YNR047W	0.020370520
130	YGL087C	0.020292029
131	YDR059C	0.019916826
132	YLR052W	0.019758193
133	YLR304C	0.019698131
134	YML109W	0.019669513
135	YJL149W	0.019641996
136	YNL059C	0.019411279
137	YKR048C	0.019079322
138	YBR001C	0.019041304
139	YAL021C	0.018948478
140	YGR157W	0.018776622
141	YER132C	0.018712166
142	YLR207W	0.018606489
143	YAR042W	0.018576968
144	YGR152C	0.018536281
145	YGL070C	0.018353381
146	YGR202C	0.018338242
147	YML074C	0.018329832
148	YNR034W	0.018238672
149	YCL055W	0.018106293
150	YBR280C	0.018068921
151	YML124C	0.018043685
152	YMR274C	0.018023185
153	YDL090C	0.017976676
154	YDL134C	0.017875651
155	YKL212W	0.017704174
156	YER179W	0.017613765
157	YDR448W	0.017587110
158	YML099C	0.017523747
159	YOR209C	0.017467921
160	YER007C-A	0.017446969
161	YMR186W	0.017333558
162	YGL216W	0.017297659
163	YCR020C-A	0.017283951
164	YPR160W	0.017183870
165	YDR291W	0.017163392
166	YML006C	0.017113264
167	YDR314C	0.017104324
168	YHR135C	0.016958428
169	YDR219C	0.016930611
170	YNL049C	0.016849304
171	YKL222C	0.016707951
172	YJL124C	0.016667245
173	YBR276C	0.016659287
174	YEL066W	0.016613043
175	YMR180C	0.016548427
176	YCL010C	0.016515700
177	YPL066W	0.016482195
178	YDL188C	0.016469678
179	YPL031C	0.016420345
180	YER162C	0.016417381
181	YNL098C	0.016330120
182	YNL021W	0.016294698
183	YDL216C	0.016057909
184	YOL136C	0.016013975
185	YPL157W	0.015970177
186	YPL015C	0.015925346
187	YDL179W	0.015918287
188	YPL123C	0.015831798
189	YHR120W	0.015811429
190	YKL109W	0.015797688
191	YOR380W	0.015714471
192	YAL056W	0.015714333
193	YER027C	0.015664258
194	YCR008W	0.015651740
195	YBL024W	0.015639920
196	YGL163C	0.015601421
197	YDL019C	0.015550939
198	YMR285C	0.015324493
199	YOR205C	0.015322912
200	YLR018C	0.015300331
201	YKR057W	0.015281685
202	YKL166C	0.015278982
203	YDR155C	0.015172736
204	YPL212C	0.015135184
205	YOR027W	0.014897994
206	YFL001W	0.014809394
207	YLR384C	0.014752327
208	YLR451W	0.014729850
209	YDR191W	0.014647632
210	YGL208W	0.014623791
211	YDL230W	0.014523226
212	YBL009W	0.014381283
213	YDL080C	0.014296456
214	YLR438W	0.014292365
215	YGL078C	0.014284346
216	YDR158W	0.014177474
217	YMR304W	0.014173255
218	YNL288W	0.014167672
219	YJR069C	0.014147876
220	YNR032W	0.014127747
221	YKL062W	0.014025498
