rank	yeast_gene	ensemble_score
1	YDL188C	0.061049702
2	YDL134C	0.056243149
3	YLR433C	0.053655239
4	YNR032W	0.053059512
5	YDR075W	0.045007389
6	YGL163C	0.044863833
7	YML057W	0.041561231
8	YOR339C	0.039402058
9	YGR180C	0.037216757
10	YKL166C	0.030968404
11	YDL155W	0.028597400
12	YGL240W	0.028455371
13	YOR153W	0.028222530
14	YOR107W	0.026811888
15	YKL091C	0.026663270
16	YBR034C	0.026408340
17	YLR094C	0.025565912
18	YER089C	0.025244673
19	YNL323W	0.024744708
20	YML076C	0.023993632
21	YKR017C	0.021994823
22	YNL330C	0.021922210
23	YBR188C	0.021844004
24	YGR109C	0.021281398
25	YDL079C	0.018986444
26	YML068W	0.018734812
27	YDR219C	0.018443863
28	YML074C	0.018132940
29	YDR334W	0.017065336
30	YDR181C	0.016799540
31	YER106W	0.016677279
32	YKR093W	0.016303754
33	YPL179W	0.015843717
34	YOR368W	0.015485724
35	YBR165W	0.015372172
36	YEL012W	0.015366642
37	YLR019W	0.015324446
38	YDL216C	0.015160743
39	YBR150C	0.015070822
40	YGL175C	0.014219242
41	YDR120C	0.014207323
42	YHR030C	0.013907173
43	YGL058W	0.013681338
44	YKR067W	0.013517469
45	YJR119C	0.012817759
46	YBR114W	0.012245559
47	YDL230W	0.012109461
48	YDR001C	0.011893290
49	YJL115W	0.011438296
50	YPR031W	0.011429255
51	YNR034W	0.010581549
52	YBL057C	0.010540138
53	YJL056C	0.010526543
54	YGL087C	0.010483623
55	YJL103C	0.010234354
56	YCR091W	0.010108987
57	YLR102C	0.009947756
58	YOR197W	0.009529570
59	YCL040W	0.009461137
60	YLR398C	0.009255230
61	YLR389C	0.008981123
62	YOL104C	0.008951424
63	YBL056W	0.008905419
64	YBR278W	0.008626168
65	YLR210W	0.008555291
66	YOL082W	0.008553968
67	YGR040W	0.008552131
68	YOR213C	0.008402096
69	YGL216W	0.008305565
70	YML124C	0.008220099
71	YIR002C	0.008195634
72	YJR021C	0.008015899
73	YNL097C	0.007407138
74	YOL089C	0.007361979
75	YLR059C	0.007108723
76	YLR216C	0.007063773
77	YMR022W	0.007016340
78	YDR375C	0.007000838
79	YGR206W	0.006961646
80	YLR024C	0.006856930
81	YPR173C	0.006783957
82	YMR021C	0.006678058
83	YDR291W	0.006523431
84	YNL072W	0.006284671
85	YDR523C	0.006159198
86	YHR031C	0.005972007
87	YOR064C	0.005909273
88	YFR015C	0.005833698
89	YGR133W	0.005810886
90	YGR108W	0.005756568
91	YJR030C	0.005720449
92	YLL010C	0.005562080
93	YPR111W	0.005540998
94	YBL052C	0.005509440
95	YNL008C	0.005413224
96	YLR226W	0.005377248
97	YBR073W	0.005350797
98	YOL016C	0.005341890
99	YNL311C	0.005340353
100	YLR449W	0.005339330
101	YGL019W	0.005243065
102	YOR358W	0.005200823
103	YMR065W	0.005191676
104	YER100W	0.005107993
