rank	yeast_gene	ensemble_score
1	YAL009W	0.058833645
2	YJR073C	0.052229310
3	YPR149W	0.045478401
4	YOL013C	0.043069232
5	YNL130C	0.042539800
6	YLR258W	0.040254585
7	YNL142W	0.040210980
8	YJL030W	0.039095434
9	YAL053W	0.038513676
10	YGR157W	0.038053631
11	YER177W	0.037791586
12	YLR342W	0.037106889
13	YKL034W	0.036620425
14	YIL030C	0.036182296
15	YML075C	0.035407860
16	YPR155C	0.033616863
17	YGL062W	0.033512795
18	YJL210W	0.033330711
19	YBR218C	0.032130823
20	YMR306W	0.031119949
21	YMR274C	0.030222272
22	YBR290W	0.029137641
23	YOR209C	0.028396973
24	YKL190W	0.028157495
25	YLR381W	0.027044766
26	YDR265W	0.026947368
27	YLR180W	0.026644960
28	YIL153W	0.026584984
29	YPR160W	0.025167058
30	YGL070C	0.023952498
31	YLR234W	0.023863895
32	YFR015C	0.023502862
33	YML102W	0.023451383
34	YGL058W	0.023323926
35	YDR099W	0.022268899
36	YPL203W	0.021407462
37	YKR059W	0.021085619
38	YCL040W	0.019772056
39	YHR200W	0.019076434
40	YKL166C	0.018451083
41	YPL096C-A	0.018161720
42	YJL058C	0.018035252
43	YOL004W	0.017824188
44	YOR014W	0.017584694
45	YMR119W	0.017285713
46	YBL003C	0.016976062
47	YBL021C	0.016663111
48	YFR053C	0.016279560
49	YDR158W	0.016262042
50	YGR097W	0.016226848
51	YPL199C	0.016154015
52	YNL008C	0.015445359
53	YJL153C	0.015245615
54	YDL190C	0.014922286
55	YMR116C	0.014818722
56	YLR233C	0.014801641
57	YDR006C	0.014787693
58	YPL031C	0.014478904
59	YGL253W	0.014387495
60	YBL002W	0.014359957
61	YKR057W	0.014093538
62	YJR066W	0.013987089
63	YMR026C	0.013794575
64	YKL010C	0.013771515
65	YOR039W	0.013770004
66	YNL209W	0.013544783
67	YML124C	0.013315656
68	YOL081W	0.012869080
69	YML082W	0.012423520
70	YMR202W	0.012388051
71	YGL060W	0.012308341
72	YOR185C	0.012144010
73	YDR059C	0.012020553
74	YDR139C	0.011768738
75	YBR082C	0.011487193
76	YDR001C	0.011408420
77	YIR019C	0.011400589
78	YJL178C	0.011109252
79	YBL078C	0.010835097
80	YDL134C	0.010651592
81	YNL138W	0.010525244
82	YMR019W	0.010366618
83	YMR276W	0.010277445
84	YHL020C	0.010240798
85	YKR039W	0.010055565
86	YNL159C	0.010047383
87	YHL006C	0.009973291
88	YFR019W	0.009933872
89	YBL039C	0.009590795
90	YGR288W	0.009363124
91	YDL006W	0.009312718
92	YGL043W	0.009287359
93	YNL241C	0.009252510
94	YNR063W	0.008988552
95	YPL274W	0.008919462
96	YJR140C	0.008846348
97	YIL132C	0.008820270
98	YLR403W	0.008699910
99	YEL066W	0.008436664
100	YOR380W	0.008345676
101	YBR297W	0.008289873
102	YGL168W	0.008225367
103	YDR075W	0.008154352
104	YGL087C	0.008103653
105	YFL052W	0.008075925
106	YKL067W	0.007920423
107	YJR014W	0.007785649
108	YKL222C	0.007651250
109	YPL187W	0.007575211
110	YDR155C	0.007567916
111	YOR298C-A	0.007468998
112	YIL009C-A	0.007295298
113	YDL236W	0.007220481
114	YER031C	0.007172853
115	YEL037C	0.007147063
116	YHR202W	0.007132962
117	YPL065W	0.006874574
118	YIL073C	0.006868931
119	YJR096W	0.006859017
120	YGR173W	0.006854483
121	YBL066C	0.006854348
122	YBR001C	0.006744450
123	YCL010C	0.006726595
124	YAL002W	0.006684636
125	YPR185W	0.006670561
126	YML076C	0.006573804
127	YPL133C	0.006471555
128	YER179W	0.006439571
129	YKR028W	0.006432932
130	YLR384C	0.006397526
131	YGL110C	0.006324840
132	YGR003W	0.006274794
133	YMR302C	0.006234693
134	YKL057C	0.006201507
135	YIL146C	0.006163187
136	YDR315C	0.006119651
137	YLR019W	0.006112704
138	YCR106W	0.006110340
139	YMR055C	0.006091642
140	YER110C	0.006088122
141	YDL149W	0.006054890
142	YGL211W	0.005914032
143	YGR208W	0.005912294
144	YNL307C	0.005885443
145	YJR031C	0.005796721
146	YLR262C	0.005690662
147	YMR205C	0.005519449
148	YPR184W	0.005479822
149	YPR196W	0.005454847
150	YMR275C	0.005378807
151	YJL164C	0.005361073
152	YCR077C	0.005312259
153	YKL038W	0.005123620
154	YKL009W	0.005120501
155	YGR067C	0.005087186
156	YBR240C	0.005078859
157	YNL330C	0.005071984
158	YNL098C	0.005058078
159	YBR140C	0.005054670
160	YNR032W	0.005036502
161	YOR172W	0.004928694
162	YMR246W	0.004868462
163	YLR451W	0.004836203
164	YLR418C	0.004632492
165	YOR173W	0.004596848
166	YLL042C	0.004562156
167	YER088C	0.004493602
168	YLR207W	0.004409600
169	YJR102C	0.004402683
170	YGR247W	0.004342092
171	YLR074C	0.004313457
172	YAL046C	0.004298468
173	YHR193C	0.004298078
174	YIL133C	0.004145423
175	YMR186W	0.004118281
176	YOR197W	0.004106405
177	YBL005W	0.004096206
178	YPR075C	0.004089905
179	YGR109C	0.004029341
180	YKL212W	0.003995817
181	YNL273W	0.003976103
182	YOR101W	0.003965799
183	YDL170W	0.003915605
184	YPL144W	0.003894003
185	YDR206W	0.003739841
186	YIR023W	0.003716142
187	YER184C	0.003701921
188	YOR295W	0.003701473
189	YMR312W	0.003681699
190	YDR121W	0.003673330
191	YBL010C	0.003646411
192	YGR122W	0.003619966
193	YKL032C	0.003608294
194	YGL229C	0.003576138
195	YPL125W	0.003533209
196	YNL201C	0.003528608
197	YDR005C	0.003523821
198	YDL188C	0.003514760
199	YDL230W	0.003492245
200	YNL223W	0.003459081
201	YLR427W	0.003338399
202	YGL241W	0.003315094
203	YGR180C	0.003278025
204	YDR123C	0.003258482
205	YOL017W	0.003246751
206	YDR022C	0.003134377
207	YJR021C	0.003121569
208	YMR287C	0.003116812
209	YHR187W	0.003081249
210	YOR191W	0.003078466
211	YJR091C	0.003068918
212	YML006C	0.003040036
213	YHR192W	0.002947162
214	YDR457W	0.002910796
215	YNR034W	0.002896459
216	YOR027W	0.002887629
217	YLR176C	0.002880172
218	YGL016W	0.002849128
219	YOL116W	0.002839670
220	YLR018C	0.002834337
221	YLL062C	0.002833070
222	YBR201W	0.002785960
223	YPL149W	0.002779076
224	YOR179C	0.002767399
225	YGR209C	0.002765658
226	YDR101C	0.002748623
227	YGL037C	0.002744980
228	YOL089C	0.002725988
229	YKL086W	0.002717605
230	YER120W	0.002717420
231	YMR209C	0.002689321
232	YBR105C	0.002666996
233	YML103C	0.002666144
234	YOL012C	0.002630999
235	YPR030W	0.002627492
236	YBR165W	0.002593974
237	YPR008W	0.002589684
238	YMR223W	0.002554582
239	YBR275C	0.002474726
240	YBR034C	0.002443449
241	YKR054C	0.002418849
242	YJL083W	0.002387157
243	YKL002W	0.002366849
244	YGL078C	0.002333005
245	YPL038W	0.002301251
246	YGL019W	0.002216234
247	YER105C	0.002192131
248	YNL242W	0.002175663
249	YDR335W	0.002166098
250	YCL055W	0.002153614
251	YBL079W	0.002124049
252	YGL089C	0.002080782
253	YGL071W	0.002071083
254	YLR228C	0.002062769
255	YNL025C	0.002058436
256	YDR395W	0.002040034
257	YML111W	0.002031959
258	YPL018W	0.002018071
259	YBR175W	0.002016562
260	YBR278W	0.002011055
261	YKL029C	0.001955782
262	YDL179W	0.001955435
263	YER174C	0.001936400
264	YKL114C	0.001912693
265	YHL022C	0.001876359
266	YER028C	0.001828411
267	YFL007W	0.001825317
268	YGL252C	0.001761956
269	YDR098C	0.001733226
270	YAL044W-A	0.001684513
271	YGL220W	0.001660089
272	YIL040W	0.001659772
273	YBL024W	0.001613047
274	YPL273W	0.001611755
275	YDR213W	0.001586773
276	YNR009W	0.001571869
277	YOR162C	0.001532442
278	YKR082W	0.001529319
279	YDL113C	0.001517481
280	YLR270W	0.001479973
281	YJL110C	0.001453945
282	YBR182C	0.001429087
283	YOL082W	0.001417529
284	YOR338W	0.001392803
285	YDR169C	0.001360580
286	YPL101W	0.001347082
287	YMR172W	0.001334393
288	YOR058C	0.001323631
289	YJL098W	0.001317459
290	YPR015C	0.001256127
291	YPR199C	0.001242213
292	YDR143C	0.001223242
293	YLR265C	0.001217516
294	YPL046C	0.001187306
295	YMR105C	0.001157505
296	YAL013W	0.001151876
297	YML070W	0.001144487
298	YLR435W	0.001141032
299	YPL127C	0.001137682
300	YDL013W	0.001126000
301	YDR392W	0.001098711
302	YNL288W	0.001079763
303	YKL127W	0.001063613
304	YLL039C	0.001050719
305	YLR226W	0.001033758
306	YJR069C	0.001024990
307	YML128C	0.001015912
308	YKR019C	0.000994344
309	YOL136C	0.000990016
310	YLR043C	0.000976773
311	YJL206C	0.000973646
312	YPL120W	0.000972628
313	YOR371C	0.000966136
314	YDR279W	0.000958969
315	YER132C	0.000951546
316	YPR173C	0.000936205
317	YPR007C	0.000922524
318	YDR513W	0.000910258
319	YNR023W	0.000910016
320	YBL009W	0.000907813
321	YNR010W	0.000897531
322	YKR099W	0.000890013
323	YOR023C	0.000882620
324	YJR135C	0.000857851
325	YKL130C	0.000855878
326	YLR216C	0.000855391
327	YCR091W	0.000851786
328	YER045C	0.000851379
329	YLR431C	0.000833552
330	YPL176C	0.000829618
331	YDL005C	0.000828253
332	YLR320W	0.000817003
333	YMR293C	0.000807168
334	YOR339C	0.000790334
335	YGR021W	0.000763827
336	YMR012W	0.000736982
337	YPL165C	0.000707605
338	YDR273W	0.000706301
339	YJL204C	0.000703800
340	YNL278W	0.000672150
341	YKL110C	0.000672114
342	YJL103C	0.000664184
343	YBL063W	0.000640201
344	YGL166W	0.000626678
345	YNL236W	0.000625007
346	YGR135W	0.000616788
347	YDL106C	0.000616127
348	YBL051C	0.000615368
349	YJR099W	0.000601159
350	YCR087C-A	0.000585927
351	YBR095C	0.000584792
352	YJR082C	0.000583792
353	YGL254W	0.000578128
354	YBR186W	0.000575759
355	YPR070W	0.000544811
356	YKR034W	0.000504613
357	YDR370C	0.000502944
358	YLR304C	0.000498801
359	YNL167C	0.000494373
360	YML081W	0.000492631
361	YLR319C	0.000491876
362	YPL001W	0.000479096
363	YLR263W	0.000463348
364	YGL216W	0.000460593
365	YPL194W	0.000457656
366	YJR084W	0.000456211
367	YPL024W	0.000447905
368	YMR182C	0.000444184
369	YNL210W	0.000433848
370	YDR253C	0.000428881
371	YNL116W	0.000427678
372	YDR488C	0.000412963
373	YLR423C	0.000408710
374	YLL010C	0.000406966
375	YGL013C	0.000404589
376	YBR217W	0.000397290
377	YGR080W	0.000395477
378	YMR106C	0.000384711
379	YLR035C	0.000384406
380	YML099C	0.000376448
381	YKL160W	0.000371121
382	YMR315W	0.000359543
383	YML088W	0.000348714
384	YMR065W	0.000348389
385	YDR035W	0.000339565
386	YFR040W	0.000337748
387	YLR256W	0.000329783
388	YGL243W	0.000326997
389	YDR375C	0.000316823
390	YIL128W	0.000309645
391	YMR156C	0.000295018
392	YCR066W	0.000289264
393	YDR073W	0.000288686
394	YDR423C	0.000287846
395	YLR288C	0.000277260
396	YPL248C	0.000258334
397	YMR139W	0.000246267
398	YDR285W	0.000239226
399	YER063W	0.000232839
400	YBR028C	0.000232496
401	YNL027W	0.000220381
402	YMR219W	0.000219743
403	YFR014C	0.000218396
404	YLR142W	0.000201593
405	YGL127C	0.000197983
406	YAL039C	0.000194146
407	YBR223C	0.000187030
408	YNR007C	0.000176871
409	YMR037C	0.000159536
410	YPL241C	0.000157710
411	YOL108C	0.000155972
412	YBR195C	0.000144909
413	YLR278C	0.000144129
414	YPL230W	0.000130248
415	YDL135C	0.000125450
416	YPR046W	0.000105067
417	YMR133W	0.000098475
418	YBL088C	0.000095183
419	YPR164W	0.000083038
420	YBR033W	0.000081099
421	YPR141C	0.000063553
422	YNL257C	0.000058919
423	YOR368W	0.000042936
424	YIL056W	0.000039781
425	YIL038C	0.000036733
426	YGL162W	0.000012495
427	YPL181W	0.000007880
428	YFR034C	0.000003422
429	YGL151W	-0.000001821
430	YOR363C	-0.000010935
431	YBR098W	-0.000011779
432	YPL164C	-0.000012305
433	YDR443C	-0.000022878
434	YGL029W	-0.000025429
435	YDR310C	-0.000029176
436	YDL051W	-0.000030950
437	YKR093W	-0.000039561
438	YER173W	-0.000041228
439	YLR120C	-0.000043046
440	YMR179W	-0.000044723
441	YPL047W	-0.000046737
442	YOL087C	-0.000062837
443	YKR060W	-0.000075949
444	YDL079C	-0.000076413
445	YMR233W	-0.000077817
446	YOL111C	-0.000092064
447	YGR071C	-0.000096685
448	YLR135W	-0.000100077
449	YLR387C	-0.000130371
450	YLR231C	-0.000133385
451	YMR022W	-0.000142553
452	YEL061C	-0.000153616
453	YKR092C	-0.000158232
454	YJL065C	-0.000159652
455	YDL077C	-0.000164659
456	YGL090W	-0.000167751
457	YPR135W	-0.000179296
458	YMR231W	-0.000180443
459	YDR463W	-0.000186639
460	YCR033W	-0.000191883
461	YJL056C	-0.000194346
462	YBR009C	-0.000201255
463	YJL149W	-0.000203082
464	YLR364W	-0.000204266
465	YBL080C	-0.000224837
466	YKL005C	-0.000228182
467	YJL176C	-0.000228348
468	YOR005C	-0.000235009
469	YKR091W	-0.000239290
470	YPL192C	-0.000239436
471	YDR259C	-0.000241448
472	YDR289C	-0.000249111
473	YGR070W	-0.000255410
474	YFL021W	-0.000259447
475	YBR276C	-0.000263161
476	YDR066C	-0.000264235
477	YOR144C	-0.000271064
