rank	yeast_gene	ensemble_score
1	YPL203W	0.110714286
2	YKL166C	0.102688787
3	YKR039W	0.089588926
4	YKR059W	0.088007193
5	YJL164C	0.086574074
6	YPL031C	0.083663977
7	YNL098C	0.068618956
8	YFR014C	0.067563389
9	YDL134C	0.066830065
10	YOL016C	0.066105769
11	YPL274W	0.064711246
12	YLR329W	0.063439782
13	YNL307C	0.062453066
14	YOR185C	0.060790265
15	YGR152C	0.058352390
16	YDL188C	0.056811706
17	YDR075W	0.054952135
18	YDL138W	0.054507329
19	YER031C	0.054215270
20	YDL006W	0.054212071
21	YMR019W	0.053227526
22	YGL168W	0.052885384
23	YNR032W	0.052739790
24	YMR246W	0.052403052
25	YKL190W	0.051836751
26	YKR093W	0.049970390
27	YLR262C	0.048979966
28	YOR101W	0.047946618
29	YLR019W	0.047213107
30	YDR139C	0.045670529
31	YNL209W	0.042797543
32	YER177W	0.042136665
33	YKL161C	0.040884524
34	YNR063W	0.040137734
35	YML001W	0.039951389
36	YHR032W	0.039786674
37	YDR252W	0.038588628
38	YLR113W	0.038497487
39	YGR180C	0.038483460
40	YDL079C	0.037282954
41	YLR234W	0.037229593
42	YDR059C	0.035501366
43	YDR099W	0.035356506
44	YPR173C	0.035111614
45	YOR179C	0.035027444
46	YDL194W	0.034837435
47	YDR155C	0.034819584
48	YOL104C	0.034724886
49	YJR096W	0.034494816
50	YLR385C	0.034128668
51	YPR054W	0.033849856
52	YBR082C	0.033106576
53	YPL154C	0.032590445
54	YJL206C	0.032324558
55	YPL192C	0.031835844
56	YGL253W	0.031560594
57	YGR040W	0.031548951
58	YGL087C	0.031287857
59	YER044C-A	0.031147657
60	YDL236W	0.031108036
61	YIL132C	0.031088561
62	YNL130C	0.031084109
63	YBR201W	0.030924923
64	YOR153W	0.030267559
65	YAL027W	0.030059281
66	YHR030C	0.029952191
67	YNR032C-A	0.029861111
68	YEL013W	0.029538956
69	YOR197W	0.029486743
70	YMR274C	0.029444881
71	YER184C	0.029350725
72	YDR022C	0.029230812
73	YCR091W	0.029134801
74	YGL058W	0.029052517
75	YPL037C	0.028810287
76	YEL066W	0.028673176
77	YKL130C	0.028594045
78	YDR334W	0.028321708
79	YFR053C	0.027039460
80	YGR209C	0.026738986
81	YMR139W	0.026650041
82	YGR208W	0.026563319
83	YML076C	0.026261238
84	YGL078C	0.026213632
85	YFR046C	0.026183678
86	YDL170W	0.026050617
87	YBL005W	0.025696412
88	YGR275W	0.025386928
89	YNL142W	0.025256517
90	YHR195W	0.025221006
91	YLL048C	0.025149120
92	YGR067C	0.024605029
93	YPL096C-A	0.024473540
94	YPR052C	0.024446653
95	YIR005W	0.024192432
96	YBR297W	0.024127707
97	YOR339C	0.024081715
98	YGR288W	0.023921649
99	YBR272C	0.023819259
100	YPR111W	0.023557044
101	YOR061W	0.023553343
102	YFL052W	0.023428208
103	YJL149W	0.023359765
104	YML123C	0.023258082
105	YML058W-A	0.023250524
106	YNL210W	0.023248221
107	YER179W	0.022790809
108	YPR149W	0.022432369
109	YPR093C	0.022152107
110	YGL237C	0.022103964
111	YPL199C	0.021913267
112	YNL311C	0.021831829
113	YML011C	0.021807954
114	YNL159C	0.021781764
115	YDL230W	0.021618590
116	YOL080C	0.021600313
117	YGL070C	0.021566598
118	YOR295W	0.021368054
119	YBR028C	0.021125661
120	YBL021C	0.020966314
121	YPL046C	0.020954680
122	YBL006C	0.020873357
123	YOL089C	0.020843658
124	YEL037C	0.020790590
125	YER089C	0.020571545
126	YOR191W	0.020491469
127	YML102W	0.020479186
128	YBR089C-A	0.020196998
129	YHR200W	0.020157062
130	YGL043W	0.020153241
131	YLR052W	0.020077910
132	YER092W	0.020075652
133	YPR196W	0.019813309
134	YIL040W	0.019673212
135	YGR135W	0.019448937
136	YGL163C	0.019430835
137	YMR116C	0.019369036
