rank	yeast_gene	ensemble_score
1	YFR030W	0.073589589
2	YNR034W	0.056836892
3	YIL010W	0.052891825
4	YMR176W	0.052148473
5	YDR518W	0.051311686
6	YER049W	0.049137428
7	YGR240C	0.048643589
8	YDR009W	0.047721512
9	YGR019W	0.045291602
10	YDR147W	0.044602220
11	YHR146W	0.044048058
12	YDR495C	0.043453447
13	YFR010W	0.042112595
14	YPL226W	0.040995393
15	YOR251C	0.040531400
16	YLR429W	0.040496894
17	YHR015W	0.040456479
18	YEL009C	0.039102134
19	YER174C	0.038537527
20	YPL033C	0.037747827
21	YLR216C	0.037366623
22	YDR101C	0.037169766
23	YDR513W	0.035959639
24	YDL135C	0.035501591
25	YGL195W	0.035452658
26	YMR100W	0.034848305
27	YML103C	0.034080295
28	YNL229C	0.033983481
29	YDL051W	0.033967687
30	YPL015C	0.033125194
31	YKR058W	0.031870421
32	YMR012W	0.031373633
33	YNL128W	0.031293365
34	YCR053W	0.030091398
35	YKL213C	0.029108253
36	YML070W	0.028506004
37	YNR074C	0.028076163
38	YMR105C	0.027910225
39	YMR315W	0.026908736
40	YKR082W	0.026431707
41	YER064C	0.025802406
42	YDR283C	0.025775333
43	YHR003C	0.025707598
44	YAL054C	0.025289382
45	YNL257C	0.025076563
46	YGR233C	0.024897523
47	YLR449W	0.024671879
48	YGR021W	0.024426213
49	YJR031C	0.024099557
50	YDR098C	0.024009534
51	YGR071C	0.023704097
52	YBR245C	0.023146238
53	YER142C	0.023125632
54	YMR247C	0.022807346
55	YGL151W	0.022476364
56	YPR189W	0.022395299
57	YLR148W	0.022333548
58	YKL114C	0.021902476
59	YKL130C	0.021862228
60	YDR174W	0.021377226
61	YOL080C	0.020898601
62	YPL216W	0.020413211
63	YLR398C	0.019455324
64	YJL204C	0.019371338
65	YMR205C	0.019058531
66	YIL128W	0.018945766
67	YHL034C	0.018435666
68	YLR438W	0.018373246
69	YMR285C	0.018330767
70	YLR364W	0.018310915
71	YBR272C	0.018191525
72	YER110C	0.018182901
73	YFR014C	0.018158371
74	YIL017C	0.017744168
75	YML128C	0.017698681
76	YBL055C	0.017270708
77	YOR208W	0.017094668
78	YLR039C	0.016970221
79	YPR160W	0.016884098
80	YDR120C	0.016869763
81	YCL040W	0.016733260
82	YNL241C	0.016600142
83	YMR025W	0.016474246
84	YBR058C	0.016411006
85	YPL186C	0.016391725
86	YJL089W	0.016378555
87	YHR207C	0.016334089
88	YML072C	0.016322161
89	YLR059C	0.016288821
90	YGL089C	0.016278358
91	YFR023W	0.016023640
92	YDR074W	0.015511043
93	YER044C-A	0.015507452
94	YGL220W	0.015457616
95	YER120W	0.015144920
96	YLL054C	0.014664165
97	YOL117W	0.014370285
98	YLR133W	0.014210375
99	YLR226W	0.014197699
100	YMR304W	0.014169236
101	YDR131C	0.014121347
102	YLR304C	0.013817271
103	YOR344C	0.013727258
104	YGR202C	0.013584589
105	YKL127W	0.013487684
106	YOR076C	0.013309339
107	YOR354C	0.013224382
108	YLL046C	0.013193262
109	YJR069C	0.012950160
110	YNL119W	0.012776292
111	YJR096W	0.012754879
112	YAL027W	0.012581014
113	YMR246W	0.012469538
114	YJL137C	0.012093343
115	YGL078C	0.011885650
116	YKR060W	0.011498911
117	YCR016W	0.011346913
118	YNL032W	0.011253685
119	YBR276C	0.011177415
120	YPR184W	0.011160079
121	YNL210W	0.011145884
122	YPL066W	0.011094144
123	YLR421C	0.010710174
124	YPL212C	0.010669976
125	YGL004C	0.010602864
126	YDR117C	0.010565651
127	YKR064W	0.010504901
128	YMR231W	0.010387618
129	YGR122W	0.010374146
130	YOR124C	0.010346914
131	YMR044W	0.010086380
132	YDR363W-A	0.010068115
133	YDL077C	0.010030863
134	YBL024W	0.009848906
135	YJR099W	0.009830659
136	YOL111C	0.009788513
137	YFR032C	0.009692904
138	YDR295C	0.009676496
139	YKL206C	0.009515624
140	YGL060W	0.009510438
141	YML118W	0.009325504
142	YFL031W	0.009324107
143	YJL149W	0.009280417
144	YBR140C	0.009206488
145	YNR004W	0.009198444
146	YJR140C	0.009147610
147	YDR080W	0.009090927
148	YER143W	0.009067689
149	YNL072W	0.008966236
150	YPL213W	0.008829463
151	YNL009W	0.008738606
152	YGL131C	0.008591406
153	YGR208W	0.008529851
154	YDR520C	0.008461480
155	YPL273W	0.008418214
156	YGR157W	0.008366282
157	YLR247C	0.008157412
158	YGR200C	0.008143058
159	YNL286W	0.008127914
160	YMR075W	0.008120565
161	YMR293C	0.008103962
162	YML074C	0.008043590
163	YOL045W	0.008027866
164	YLR455W	0.007970776
165	YNL138W	0.007869832
166	YFL007W	0.007789888
167	YGL013C	0.007735935
168	YLR335W	0.007684851
169	YJL178C	0.007582803
170	YER063W	0.007564093
171	YAL015C	0.007527233
172	YDL236W	0.007470951
173	YMR156C	0.007352553
174	YLR021W	0.007273754
175	YPL202C	0.007261879
176	YLR401C	0.007226532
177	YLR043C	0.007226310
178	YGR080W	0.007136387
179	YIL038C	0.007087543
180	YGL248W	0.007073194
181	YFL013C	0.007057997
182	YLR266C	0.006934581
183	YPL127C	0.006904483
184	YBL057C	0.006901284
185	YHR154W	0.006782887
186	YOR171C	0.006724998
187	YLR199C	0.006719821
188	YGL197W	0.006704512
189	YLR142W	0.006678645
190	YLR453C	0.006535413
191	YNL022C	0.006531033
192	YKL011C	0.006528977
193	YGL133W	0.006431723
194	YML075C	0.006411724
195	YDR001C	0.006408813
196	YBR097W	0.006325462
197	YDR255C	0.006210779
198	YAL044W-A	0.006109356
199	YMR145C	0.006057599
200	YLR174W	0.006038245
201	YPL001W	0.005997828
202	YOR209C	0.005989404
