rank	yeast_gene	ensemble_score
1	YPL123C	0.079728559
2	YHR202W	0.064863289
3	YDR057W	0.057265312
4	YJL153C	0.054243957
5	YPL176C	0.051824958
6	YLR304C	0.047110759
7	YDR001C	0.043141629
8	YML100W	0.041924620
9	YDL171C	0.041711411
10	YLR180W	0.039961665
11	YBR001C	0.039739241
12	YML075C	0.038989962
13	YPR184W	0.037458016
14	YMR129W	0.036578702
15	YGL062W	0.036010189
16	YLR207W	0.035105519
17	YMR202W	0.034719167
18	YBR218C	0.031521791
19	YDL149W	0.031080065
20	YMR302C	0.030820358
21	YGR097W	0.030724028
22	YFR019W	0.030675252
23	YKL034W	0.030580505
24	YFL013C	0.029875411
25	YPL187W	0.029382107
26	YKR059W	0.029119257
27	YPL086C	0.028961419
28	YML034W	0.027944339
29	YAL053W	0.027876227
30	YOR209C	0.026969034
31	YFR013W	0.026157457
32	YER007C-A	0.025639290
33	YER177W	0.024567222
34	YMR186W	0.024296894
35	YPL203W	0.023962811
36	YGL089C	0.023895012
37	YOR298C-A	0.023858423
38	YPR160W	0.023526356
39	YOR153W	0.022764051
40	YNL278W	0.022663888
41	YFL036W	0.021947698
42	YHR079C	0.021369146
43	YFL049W	0.021042304
44	YGR173W	0.021000310
45	YOR205C	0.020932106
46	YDR099W	0.020887421
47	YMR012W	0.020831332
48	YMR209C	0.020544743
49	YDR005C	0.020468394
50	YNL239W	0.020463373
51	YFR015C	0.020446856
52	YJR053W	0.019895674
53	YBL039C	0.019244767
54	YKL166C	0.018701077
55	YML111W	0.018003850
56	YNL209W	0.017991400
57	YPR022C	0.017930509
58	YJL164C	0.017583751
59	YNL241C	0.017532488
60	YOR123C	0.016760485
61	YDR158W	0.016486334
62	YMR275C	0.016255725
63	YGL173C	0.016157385
64	YBR082C	0.015870245
65	YGR240C	0.015867070
66	YDR314C	0.015495508
67	YPR075C	0.015242166
68	YDR176W	0.015215854
69	YDR059C	0.015138806
70	YDR293C	0.015130939
71	YER169W	0.014745661
72	YLR231C	0.014543927
73	YLR234W	0.014117102
74	YMR261C	0.014016070
