rank	yeast_gene	ensemble_score
1	YKL166C	0.116883117
2	YPL203W	0.104785789
3	YKR039W	0.092692488
4	YPL031C	0.091150895
5	YJL164C	0.082213856
6	YKR059W	0.080698906
7	YNL098C	0.071525298
8	YDL134C	0.069642686
9	YGR152C	0.067070530
10	YOL016C	0.066364050
11	YPL274W	0.065996946
12	YLR329W	0.063105242
13	YNL307C	0.062610795
14	YFR014C	0.061847924
15	YGL168W	0.059531030
16	YDL188C	0.057777778
17	YER031C	0.056746760
18	YDL006W	0.055540962
19	YDL138W	0.054844947
20	YMR246W	0.053594956
21	YKR093W	0.053411021
22	YDR075W	0.052524201
23	YDL079C	0.051716501
24	YOR101W	0.048957003
25	YKL161C	0.048713745
26	YLR019W	0.048667184
27	YNR032W	0.048654971
28	YMR019W	0.047707889
29	YLR113W	0.047409271
30	YML001W	0.047336348
31	YGR040W	0.045795591
32	YKL190W	0.045236312
33	YOR179C	0.044673602
34	YDR252W	0.044653734
35	YOL104C	0.044076562
36	YOR185C	0.043948494
37	YPR054W	0.043443539
38	YLR385C	0.042031699
39	YGR180C	0.041890415
40	YDL194W	0.041348069
41	YAL027W	0.039956771
42	YHR032W	0.038880981
43	YGL087C	0.038573285
44	YOR197W	0.037431582
45	YER044C-A	0.036314959
46	YHR195W	0.036267032
47	YPL192C	0.035480306
48	YOR153W	0.035065947
49	YEL013W	0.034414281
50	YHR030C	0.034256603
51	YDR022C	0.034066379
52	YNR063W	0.034036800
53	YGR208W	0.033235257
54	YGR067C	0.032482235
55	YDL236W	0.032257612
56	YPL154C	0.031663166
57	YDR139C	0.031539646
58	YPL037C	0.031537327
59	YPR173C	0.031395781
60	YBR082C	0.031277318
61	YER089C	0.031064087
62	YNL130C	0.030993909
63	YKL130C	0.030805265
64	YER177W	0.030799948
65	YBL005W	0.030687508
66	YML123C	0.030589294
67	YNL142W	0.030430804
68	YDR099W	0.029902577
69	YJR096W	0.029875631
70	YMR139W	0.029535936
71	YLR262C	0.029504553
72	YML058W-A	0.029027718
73	YDR059C	0.028973434
74	YGL253W	0.028474137
75	YBR201W	0.028363204
76	YGR275W	0.028034467
77	YCR091W	0.027791618
78	YNR032C-A	0.027664540
79	YOR061W	0.027538835
80	YMR274C	0.026885326
81	YBL006C	0.026606415
82	YLR021W	0.026213190
83	YGR288W	0.025842425
84	YPR093C	0.025541181
85	YFR053C	0.025394678
86	YDR334W	0.025051936
87	YJL206C	0.024864077
88	YJL149W	0.024792711
89	YGL237C	0.024437748
90	YPL096C-A	0.024301271
91	YNL209W	0.024154543
92	YFR046C	0.024133736
93	YNL311C	0.024043129
94	YLL010C	0.023913481
95	YLL048C	0.023790618
96	YGR109C	0.023677199
97	YML076C	0.023554635
98	YBR297W	0.023242248
99	YOR380W	0.023127448
100	YBR285W	0.023077317
101	YNL210W	0.022930435
102	YER035W	0.022649534
103	YBR028C	0.022536503
104	YER184C	0.022474250
105	YGL163C	0.022025107
106	YIR013C	0.021884241
107	YDL076C	0.021739658
108	YOR339C	0.021727936
109	YAL055W	0.021681646
110	YER092W	0.021528056
111	YLR234W	0.021482375
112	YBR240C	0.021466332
113	YFL052W	0.021411130
114	YPL199C	0.021404993
115	YLR052W	0.021364937
116	YLR224W	0.021280500
117	YMR080C	0.021234594
118	YPR111W	0.021163647
119	YKL091C	0.021112558
120	YOR295W	0.021089194
121	YBR114W	0.021081239
122	YPR149W	0.020909938
123	YDL230W	0.020886867
124	YNR034W	0.020746997
125	YDR155C	0.020698563
126	YEL066W	0.020594742
127	YOL080C	0.020542593
128	YGL058W	0.020485355
129	YIL132C	0.020419198
130	YER106W	0.020274358
131	YPL046C	0.020200136
132	YAL054C	0.020048952
133	YMR191W	0.019938236
134	YGL043W	0.019921403
135	YLR094C	0.019897959
136	YEL018W	0.019835975
137	YGL078C	0.019817869
138	YDR156W	0.019712908
139	YML011C	0.019580183
140	YHR004C	0.019539606
141	YER143W	0.019318399
142	YPR052C	0.019148880
143	YDR260C	0.019018480
144	YPR101W	0.018722726
145	YJR073C	0.018599258
146	YGR135W	0.018418574
147	YER110C	0.018380288
148	YMR223W	0.018346596
149	YNL159C	0.018171110
150	YBL021C	0.018149541
151	YDR513W	0.018019294
152	YGR134W	0.017827568
153	YGL013C	0.017628862
154	YLR216C	0.017595828
155	YDL155W	0.017489952
156	YPR040W	0.017482080
157	YHR135C	0.017464481
158	YDR273W	0.017276497
159	YLR154C	0.017235815
160	YGL220W	0.017229521
161	YBR272C	0.017223690
162	YGR209C	0.017164774
163	YIR005W	0.017066860
164	YFR036W	0.017042751
165	YDR490C	0.016910063
166	YOR189W	0.016875608
167	YPL033C	0.016832622
168	YFR038W	0.016788596
169	YBR188C	0.016750548
170	YBL057C	0.016749829
171	YOL082W	0.016707787
172	YOR351C	0.016663852
173	YHR200W	0.016584696
174	YLR433C	0.016546603
175	YER179W	0.016516519
176	YAL046C	0.016502944
177	YBR165W	0.016484610
178	YBR034C	0.016471192
179	YGR003W	0.016249326
180	YDR001C	0.016031830
181	YKL114C	0.016020168
182	YNL154C	0.015961899
183	YHR031C	0.015850762
184	YMR315W	0.015789233
185	YMR022W	0.015759362
186	YLL002W	0.015711301
187	YCL040W	0.015693384
188	YDR523C	0.015634554
189	YPL086C	0.015633328
190	YDR263C	0.015595523
191	YLR438W	0.015423978
192	YML057W	0.015289409
193	YOL013C	0.015259174
194	YPR196W	0.015127399
195	YCR020W-B	0.015102209
196	YNL288W	0.015099437
197	YOL081W	0.015012216
198	YIL040W	0.015006111
199	YLR059C	0.014864628
200	YGL216W	0.014820795
201	YNL330C	0.014812057
202	YBR107C	0.014784971
203	YNL241C	0.014717127
204	YLR226W	0.014646898
205	YDR079C-A	0.014513735
206	YEL037C	0.014468062
207	YDL170W	0.014439324
208	YOR027W	0.014407961
209	YBR089C-A	0.014402360
210	YDR120C	0.014284982
211	YOR191W	0.014219193
212	YML068W	0.014153833
213	YML102W	0.014101974
214	YMR293C	0.014046704
215	YBR140C	0.014021290
216	YIL130W	0.013958544
217	YKR054C	0.013842373
218	YDR223W	0.013829906
219	YER174C	0.013747059
220	YGL070C	0.013578444
221	YLR445W	0.013460957
222	YDR216W	0.013364311
223	YGR206W	0.013351535
224	YOL089C	0.013339065
225	YHR033W	0.013283057
226	YLR364W	0.013268348
227	YML036W	0.013226398
228	YIR025W	0.013189735
229	YOR290C	0.013183046
230	YPL042C	0.013141681
231	YDR488C	0.013100824
232	YLR102C	0.013074931
233	YCR106W	0.012914335
234	YLR210W	0.012894512
235	YMR138W	0.012890135
236	YGR071C	0.012857830
237	YDR375C	0.012809245
238	YKL127W	0.012759531
239	YCR020C-A	0.012698465
240	YLR453C	0.012675602
241	YDR098C	0.012620887
242	YCR008W	0.012611533
243	YHR127W	0.012579674
244	YMR100W	0.012543870
245	YDL080C	0.012520543
246	YHR157W	0.012502049
247	YLR043C	0.012498067
248	YDR131C	0.012463939
249	YNR004W	0.012285432
250	YLR013W	0.012256431
251	YNL021W	0.012190613
252	YOR313C	0.012188631
253	YDR477W	0.012167920
254	YKR017C	0.012149219
255	YMR105C	0.012126579
256	YBL056W	0.012105967
257	YDR110W	0.012026851
258	YBR175W	0.011902968
259	YGL100W	0.011836703
260	YNL323W	0.011745411
261	YBR278W	0.011731338
262	YNL204C	0.011682030
263	YIL035C	0.011632842
264	YPL038W	0.011624785
