rank	yeast_gene	ensemble_score
1	YKR059W	0.103937729
2	YKR039W	0.097367150
3	YML123C	0.095899913
4	YDL194W	0.087107065
5	YPL274W	0.083535041
6	YDL138W	0.077798175
7	YLR113W	0.077167160
8	YML001W	0.073797050
9	YHR032W	0.072902622
10	YEL013W	0.068070818
11	YGR040W	0.066361789
12	YGR152C	0.065144419
13	YDL006W	0.064393421
14	YOR061W	0.060990338
15	YOR380W	0.058383311
16	YJL164C	0.057665000
17	YOR153W	0.056842375
18	YOR185C	0.056015472
19	YPR173C	0.055982262
20	YMR246W	0.054719388
21	YNL098C	0.053417024
22	YLL048C	0.048687424
23	YFR014C	0.048047347
24	YKR093W	0.047904476
25	YKL166C	0.045481765
26	YBR114W	0.044695856
27	YNL142W	0.043520848
28	YKL190W	0.043176723
29	YNL130C	0.043151495
30	YDL035C	0.042225418
31	YJL124C	0.041974736
32	YER031C	0.041920155
33	YDR334W	0.041820162
34	YMR100W	0.041219187
35	YIL035C	0.040581875
36	YPL154C	0.038421935
37	YJL206C	0.038381527
38	YPL203W	0.037859462
39	YMR080C	0.037822600
40	YLR253W	0.037557392
41	YNR032C-A	0.037531979
42	YPR196W	0.036882364
43	YOR101W	0.036780754
44	YOL016C	0.036432173
45	YBR297W	0.036152382
46	YAL059W	0.035320911
47	YHR030C	0.035265883
48	YIR005W	0.035020811
49	YLR014C	0.034885975
50	YOR304W	0.034700746
51	YGR288W	0.033967969
52	YPR111W	0.033896417
53	YBR089C-A	0.033894185
54	YLR329W	0.033322425
55	YKL161C	0.033317873
56	YFL052W	0.033259221
57	YMR019W	0.033046305
58	YIL130W	0.032507144
59	YDR099W	0.032196041
60	YDR075W	0.031824602
61	YPL031C	0.031763684
62	YLL054C	0.031594093
63	YDR001C	0.030610730
64	YCR106W	0.029849689
65	YLR248W	0.029818135
66	YPR054W	0.029745120
67	YDL079C	0.028972962
68	YOL104C	0.028867967
69	YDR523C	0.028603741
70	YOR351C	0.028521422
71	YPR052C	0.028443729
72	YAL054C	0.028300254
73	YCL011C	0.028291975
74	YPL037C	0.027967372
75	YMR138W	0.027627056
76	YOL113W	0.027382454
77	YMR202W	0.027380651
78	YLR438W	0.027256865
79	YDL134C	0.027198820
80	YJL128C	0.027171019
81	YKR064W	0.027154214
82	YER177W	0.027029122
83	YMR119W	0.026766323
84	YAL019W	0.026293506
85	YBR245C	0.025739273
86	YPL086C	0.025551443
87	YJL115W	0.025324967
88	YER089C	0.025162759
89	YJR073C	0.025117809
90	YOR363C	0.025076071
91	YPL192C	0.024988973
92	YHR178W	0.024870501
93	YDR131C	0.024837162
94	YKL222C	0.024789495
95	YML099C	0.024357138
96	YOR197W	0.024221499
97	YDR490C	0.024217848
98	YMR258C	0.024147016
99	YGL115W	0.024006594
100	YGL087C	0.023545675
101	YDR110W	0.023342927
102	YLR451W	0.023219498
103	YKL015W	0.023079961
104	YPL109C	0.023075715
105	YCR008W	0.022909170
106	YGL252C	0.022778369
107	YPR093C	0.022345580
108	YHR127W	0.022262840
109	YMR177W	0.022260625
110	YAL055W	0.022050637
111	YDL188C	0.022045887
112	YKL034W	0.021501206
113	YGL078C	0.021345969
114	YAL053W	0.021205815
115	YNL307C	0.021070568
116	YOR172W	0.021005872
117	YLR052W	0.020904014
118	YDR291W	0.020536797
119	YNR034W	0.020368090
120	YPL236C	0.020259182
121	YPR149W	0.020054292
122	YPR152C	0.019765407
123	YGL168W	0.019398621
124	YGL253W	0.019245156
125	YDR375C	0.019242746
126	YLR120C	0.019201049
127	YNR063W	0.019198694
128	YER184C	0.019114407
129	YLR262C	0.019106660
130	YJL149W	0.019092666
131	YML011C	0.019027372
132	YMR306W	0.018918945
133	YFR053C	0.018899146
134	YKL130C	0.018854161
135	YOL013C	0.018758245
136	YGR019W	0.018694910
137	YER092W	0.018413590
138	YDL236W	0.018401298
139	YIL017C	0.018379838
140	YDR059C	0.018370934
141	YIL008W	0.018314478
142	YBR082C	0.018242213
143	YDR147W	0.018224337
144	YMR205C	0.018126666
145	YHR135C	0.018107063
146	YER044C-A	0.018083326
147	YNL008C	0.018069697
148	YBR073W	0.017857007
149	YMR274C	0.017750707
150	YEL066W	0.017748156
151	YDL036C	0.017742363
152	YDR252W	0.017462379
153	YNL229C	0.017412733
154	YGR229C	0.017395200
155	YBR034C	0.017377378
156	YGL163C	0.017370592
157	YMR285C	0.017365541
158	YBR001C	0.017131950
159	YLR021W	0.017125930
160	YDR477W	0.016923018
161	YLR368W	0.016915484
162	YLR266C	0.016851190
163	YNL021W	0.016737450
164	YPL033C	0.016732507
165	YLR385C	0.016547169
166	YNR032W	0.016377983
167	YGL100W	0.016348805
168	YMR315W	0.016325536
169	YNL209W	0.016224653
170	YOR179C	0.016212348
171	YOL068C	0.016183042
172	YNL154C	0.016000807
173	YHR003C	0.015979414
174	YOR360C	0.015936062
175	YDR520C	0.015905115
176	YBR062C	0.015724668
177	YDR156W	0.015649249
178	YER176W	0.015646812
179	YJR035W	0.015534991
180	YAL011W	0.015502068
181	YJR096W	0.015496867
182	YOL054W	0.015467452
183	YJL106W	0.015330701
184	YGR208W	0.015278753
185	YER110C	0.015245911
186	YOL080C	0.015167472
187	YER116C	0.015002210
188	YBR097W	0.014936347
189	YCR020C-A	0.014922606
190	YPL096C-A	0.014884566
191	YCR073C	0.014859238
192	YBL005W	0.014759031
193	YBR218C	0.014684787
194	YMR022W	0.014657264
195	YHR031C	0.014635834
196	YCR053W	0.014626032
197	YIL030C	0.014541883
198	YDL213C	0.014462083
199	YGR240C	0.014455777
200	YGL062W	0.014317963
201	YHR004C	0.014306081
