rank	yeast_gene	ensemble_score
1	YDR155C	0.003259381
2	YLR262C	0.002336000
3	YKR059W	0.002143026
4	YOR101W	0.002045269
5	YNL209W	0.001823664
6	YHR032W	0.001764318
7	YDR139C	0.001443364
8	YPR052C	0.001428723
9	YFR014C	0.001349644
10	YCR020W-B	0.001314946
11	YPL037C	0.001306918
12	YER031C	0.001294045
13	YKR093W	0.001109421
14	YER177W	0.001081196
15	YBR188C	0.001063630
16	YOR179C	0.001062084
17	YGL078C	0.001022341
18	YOL089C	0.001013087
19	YLR043C	0.000960241
20	YLR438W	0.000958144
21	YLL048C	0.000956371
22	YBR089C-A	0.000953108
23	YDR022C	0.000942796
24	YLL039C	0.000914706
25	YDL188C	0.000901477
26	YER092W	0.000863902
27	YJR096W	0.000845393
28	YER044C-A	0.000810943
29	YNR004W	0.000787786
30	YPL086C	0.000742869
31	YDR273W	0.000702315
32	YJL164C	0.000699102
33	YKL127W	0.000669292
34	YGR206W	0.000661482
35	YLR234W	0.000661443
36	YER106W	0.000648727
37	YJL149W	0.000622631
38	YDR079C-A	0.000616672
39	YDR252W	0.000613432
40	YPR173C	0.000605686
41	YGR134W	0.000589452
42	YAL027W	0.000564210
43	YGR209C	0.000547445
44	YLR021W	0.000538378
45	YHR195W	0.000537471
46	YKL067W	0.000535583
47	YER007C-A	0.000527569
48	YMR105C	0.000525431
49	YGR208W	0.000520000
50	YLR329W	0.000515375
51	YGL058W	0.000500355
52	YLR445W	0.000495512
53	YDL134C	0.000489368
54	YIL010W	0.000486093
55	YGR152C	0.000479842
56	YER174C	0.000473095
57	YGL253W	0.000462257
58	YBL021C	0.000452285
59	YJL115W	0.000450939
60	YDR253C	0.000446528
61	YBR082C	0.000437409
62	YLR216C	0.000424753
63	YDR181C	0.000417560
64	YKL091C	0.000415988
65	YER179W	0.000396612
66	YLL046C	0.000395108
67	YLR154C	0.000394305
68	YDR059C	0.000388557
69	YDR098C	0.000387686
70	YIR005W	0.000387546
71	YAL044W-A	0.000374241
72	YOR027W	0.000352859
73	YEL066W	0.000349129
74	YPL046C	0.000340276
75	YFR046C	0.000339176
76	YMR219W	0.000334279
77	YGR135W	0.000332710
78	YDR383C	0.000330717
79	YHR167W	0.000318886
80	YLR048W	0.000317163
81	YLR052W	0.000305305
82	YKL017C	0.000303507
83	YDL197C	0.000303184
84	YMR100W	0.000302842
85	YJL206C	0.000302075
