rank	yeast_gene	ensemble_score
1	YDL188C	0.064838538
2	YLR433C	0.053914383
3	YDR219C	0.050837735
4	YBL052C	0.048102950
5	YML057W	0.047539793
6	YDL155W	0.040538248
7	YPR111W	0.040203836
8	YGL019W	0.039841959
9	YKR067W	0.039106808
10	YDL134C	0.038412173
11	YNL323W	0.038270652
12	YOR153W	0.037281129
13	YML074C	0.037185441
14	YLR019W	0.036921532
15	YNR047W	0.036071922
16	YFR053C	0.035845984
17	YBL056W	0.035270136
18	YNR032W	0.035217648
19	YDR181C	0.033693608
20	YLR210W	0.033595351
21	YPL086C	0.032540963
22	YCR091W	0.032412938
23	YLR260W	0.031327223
24	YLR234W	0.030880848
25	YGL240W	0.030031751
26	YNL330C	0.029464354
27	YKR093W	0.027608972
28	YPL179W	0.025763654
29	YJL115W	0.024369453
30	YGR202C	0.024322945
31	YER089C	0.024157033
32	YGL253W	0.023149824
33	YDR334W	0.023036409
34	YPR119W	0.022769673
35	YOR185C	0.021885427
36	YIL107C	0.021710569
37	YER177W	0.021267547
38	YDL149W	0.021113437
39	YDL216C	0.020465186
40	YGL216W	0.020319633
41	YMR030W	0.019897792
42	YIR025W	0.019568367
43	YNR004W	0.019425054
44	YPL212C	0.019205250
45	YKL160W	0.019170302
46	YER051W	0.018753812
47	YMR186W	0.018676615
48	YPR120C	0.018588465
49	YKR039W	0.018523852
50	YMR216C	0.018376936
51	YGR108W	0.018229075
52	YBR203W	0.018028082
53	YNL209W	0.017385874
54	YHR119W	0.016734276
55	YJR059W	0.016534738
56	YGR180C	0.016034814
57	YLR449W	0.015787928
58	YLR094C	0.015406262
59	YDR099W	0.015242467
60	YMR291W	0.014574942
61	YOR171C	0.014448039
62	YDR110W	0.014305749
63	YGR206W	0.013952944
64	YOR091W	0.013556252
65	YKL091C	0.013057986
66	YBR034C	0.012889789
67	YER179W	0.012539993
68	YNL241C	0.012373591
69	YPR173C	0.012268440
70	YNL227C	0.012054964
71	YMR263W	0.011611718
72	YLR216C	0.011599647
73	YJR050W	0.011592445
74	YGR109C	0.010868690
75	YLR224W	0.010746430
76	YLR015W	0.010674022
77	YMR304W	0.010098168
78	YBR285W	0.010072135
79	YOR107W	0.009699826
80	YLR016C	0.009578439
81	YNL076W	0.009422797
82	YBR150C	0.009407079
83	YGL175C	0.009393672
84	YBL024W	0.009296515
85	YML006C	0.009093132
86	YBR125C	0.009092146
87	YGL062W	0.008976826
88	YPL199C	0.008928517
89	YLL048C	0.008912690
90	YBR114W	0.008664757
91	YAL019W	0.008563150
92	YKL067W	0.008425680
93	YNL142W	0.008262119
94	YLR102C	0.008261697
95	YNL154C	0.008174182
96	YLR052W	0.007972154
97	YNL311C	0.007918975
98	YDL135C	0.007884493
99	YMR246W	0.007869131
100	YMR137C	0.007851592
