rank	yeast_gene	ensemble_score
1	YDL194W	0.084617385
2	YDL138W	0.072008142
3	YOL113W	0.065193726
4	YIL035C	0.060032884
5	YOR351C	0.059560408
6	YHR032W	0.053759239
7	YDR477W	0.048252438
8	YJL106W	0.047168262
9	YLR014C	0.046902545
10	YLR253W	0.044773331
11	YLR248W	0.041405080
12	YLL048C	0.040332415
13	YOR304W	0.038939183
14	YPL274W	0.038928932
15	YNL020C	0.036507039
16	YMR138W	0.036452919
17	YBR114W	0.036407848
18	YKR059W	0.036111427
19	YPL236C	0.035676625
20	YBR245C	0.034644070
21	YDL101C	0.031772572
22	YAL059W	0.028642192
23	YOL068C	0.028569107
24	YPL184C	0.028124215
25	YNL032W	0.027880053
26	YPL109C	0.027143196
27	YIL130W	0.026670480
28	YER123W	0.026202220
29	YIR023W	0.025945022
30	YMR080C	0.025437057
31	YAL019W	0.024666808
32	YDR334W	0.023517817
33	YPR111W	0.023231192
34	YOR101W	0.023144989
35	YIL113W	0.022857455
36	YJL128C	0.022760185
37	YNL229C	0.022537240
38	YHR178W	0.022220476
39	YKL166C	0.022139908
40	YDL035C	0.021749712
41	YKL015W	0.021360449
42	YDR421W	0.020933847
43	YLR210W	0.020910770
44	YML121W	0.019855015
45	YJL124C	0.019786151
46	YMR177W	0.019648693
47	YLR451W	0.019531129
48	YOL001W	0.019067911
49	YGR040W	0.018698157
50	YIR005W	0.018470967
51	YOL090W	0.018456618
52	YGL115W	0.018319092
53	YNL082W	0.018168127
54	YGL078C	0.017032789
55	YJL168C	0.016948271
56	YDR520C	0.016744525
57	YJL206C	0.016579990
58	YGR108W	0.016521266
59	YGL251C	0.016386649
60	YKR064W	0.016268325
61	YIL033C	0.016264544
62	YLR278C	0.015347709
63	YBR274W	0.015306877
64	YLL046C	0.015303960
65	YER164W	0.015090375
66	YDR490C	0.014932651
67	YPR152C	0.014820724
68	YDR147W	0.014616158
69	YDR291W	0.014338971
70	YML001W	0.014254042
71	YNL299W	0.013941746
72	YER176W	0.013458948
73	YDL213C	0.013410062
74	YJL149W	0.013403799
75	YIL017C	0.013364214
76	YGL180W	0.013338355
77	YOR233W	0.013184067
78	YOL115W	0.013159219
79	YMR100W	0.013060755
80	YKR001C	0.012849052
81	YKL214C	0.012846822
82	YBR028C	0.012696833
83	YGR152C	0.012493084
84	YML123C	0.012353222
85	YIL008W	0.012347436
86	YCR008W	0.011986588
87	YFR014C	0.011845178
88	YFR032C	0.011730570
89	YML061C	0.011655308
90	YNL021W	0.011550196
91	YHR120W	0.011339658
92	YHR127W	0.011260398
93	YDR523C	0.011205608
94	YBR089C-A	0.010626054
95	YKR039W	0.010532185
96	YJR035W	0.010511030
97	YAL011W	0.010451977
98	YAR018C	0.010384372
99	YHR015W	0.010319184
100	YDL155W	0.009755086
101	YNL025C	0.009541197
102	YHR207C	0.009454096
103	YPR119W	0.008974148
104	YCL011C	0.008761030
105	YOR337W	0.008706733
106	YLR113W	0.008567400
107	YIL112W	0.008418466
108	YFR038W	0.008395464
109	YHR111W	0.008206809
110	YHR004C	0.008196449
111	YOL045W	0.008081808
112	YDL036C	0.008070859
113	YBL056W	0.008047988
114	YMR291W	0.008031596
115	YOR360C	0.007969418
116	YOR231W	0.007955555
117	YDR097C	0.007882447
118	YOR001W	0.007853634
119	YMR167W	0.007840785
120	YKL017C	0.007728734
121	YLR098C	0.007425769
122	YPR120C	0.007369261
123	YLL054C	0.007327403
124	YNL298W	0.007320407
125	YLL022C	0.007270228
126	YPL140C	0.007230427
127	YOL136C	0.007166602
128	YLR120C	0.007032442
129	YAR042W	0.007015907
130	YDR306C	0.006982288
131	YFR023W	0.006939144
132	YIL030C	0.006829264
133	YLL019C	0.006687881
134	YBR097W	0.006632279
135	YLR032W	0.006591741
136	YIL095W	0.006570704
137	YLR133W	0.006436913
138	YPR052C	0.006332520
139	YHR154W	0.006324871
140	YOR380W	0.006315399
141	YMR139W	0.006278437
142	YNL130C	0.006271555
143	YCR092C	0.006163388
144	YEL013W	0.006120100
145	YDR318W	0.006109365
146	YGR270W	0.005986782
147	YLR221C	0.005962167
148	YNL186W	0.005938555
149	YDL079C	0.005916684
150	YOR208W	0.005820084
151	YKL222C	0.005720495
152	YML062C	0.005686307
153	YMR216C	0.005591432
154	YHL034C	0.005497237
155	YPL248C	0.005436512
156	YKR072C	0.005420160
157	YLR043C	0.005379999
158	YPL194W	0.005249228
159	YDR518W	0.005150422
160	YDR440W	0.005066133
161	YDL127W	0.005034457
162	YOL054W	0.005008780
163	YGR229C	0.004998030
164	YBR186W	0.004979515
165	YPL176C	0.004979353
166	YJL137C	0.004967265
167	YGR109C	0.004865975
168	YHR192W	0.004826053
169	YOR078W	0.004788686
170	YHR135C	0.004742830
171	YKL116C	0.004685137
172	YNL004W	0.004682590
173	YPL157W	0.004554165
174	YDL006W	0.004519568
175	YPL186C	0.004406752
176	YPL026C	0.004385206
177	YJR110W	0.004371028
178	YDR131C	0.004329670
179	YNL049C	0.004326579
180	YPR057W	0.004245528
181	YDR247W	0.004230410
182	YOR171C	0.004169411
183	YLR247C	0.004168512
184	YDR323C	0.004129534
185	YOR042W	0.004059928
186	YGL241W	0.004034654
187	YDR080W	0.003984505
188	YHR031C	0.003965836
189	YOR025W	0.003840053
190	YBR125C	0.003821056
191	YPL202C	0.003778782
192	YMR199W	0.003757671
193	YBL019W	0.003715198
194	YGL179C	0.003714716
195	YNR031C	0.003695017
196	YPL154C	0.003670396
197	YJL092W	0.003664252
198	YHR079C	0.003628280
199	YPL165C	0.003624518
200	YPR054W	0.003530374
201	YFL028C	0.003443658
202	YDR289C	0.003426101
203	YNL286W	0.003423095
204	YDL154W	0.003408217
205	YBR233W	0.003368221
206	YDL104C	0.003344044
207	YNL257C	0.003302689
208	YOR033C	0.003195137
209	YLR455W	0.003168469
210	YHR124W	0.003117551
211	YMR280C	0.002987790
212	YLR262C	0.002961988
213	YMR055C	0.002944592
214	YFR001W	0.002936754
215	YJL204C	0.002791080
216	YML118W	0.002749749
217	YOL013C	0.002734619
218	YLR182W	0.002672341
