systematic	common	uniprot	in_orthodb	orthodb_og
Q0010	Q0010	Q9ZZX9	N	
Q0017	Q0017	Q9ZZX8	N	
Q0032	Q0032	Q9ZZX7	N	
Q0045	COX1	P00401	N	
Q0050	AI1	P03875	N	
Q0055	AI2	P03876	N	
Q0060	AI3	P03877	N	
Q0065	AI4	P03878	N	
Q0070	AI5_ALPHA	Q9ZZX1	N	
Q0075	AI5_BETA	Q9ZZX0	N	
Q0080	ATP8	P00856	N	
Q0085	ATP6	P00854	N	
Q0092	Q0092	Q35811	N	
Q0105	COB	P00163	N	
Q0110	BI2	P03873	N	
Q0115	BI3	Q9ZZW7	N	
Q0120	BI4	P03879	N	
Q0130	OLI1	P61829	N	
Q0140	VAR1	P02381	N	
Q0142	Q0142	Q9ZZW4	N	
Q0143	Q0143	Q9ZZW3	N	
Q0144	Q0144	Q9ZZW2	N	
Q0160	SCEI	P03882	N	
Q0182	Q0182	Q9ZZW1	N	
Q0250	COX2	P00410	N	
Q0255		P03881	N	
Q0275	COX3	P00420	N	
Q0297	Q0297	Q9ZZV8	N	
R0010W	FLP1	P03870	N	
R0020C	REP1	P03871	N	
R0030W	RAF1	Q06891	N	
R0040C	REP2	P03872	N	
YAL001C	TFC3	P34111	N	
YAL002W	VPS8	P39702	N	
YAL003W	EFB1	P32471	N	
YAL004W		P39703	N	
YAL005C	SSA1	P10591	N	
YAL007C	ERP2	P39704	N	
YAL008W	FUN14	P18411	N	
YAL009W	SPO7	P18410	N	
YAL010C	MDM10	P18409	N	
YAL011W	SWC3	P31376	N	
YAL012W	CYS3	P31373	N	
YAL013W	DEP1	P31385	N	
YAL014C	SYN8	P31377	N	
YAL015C	NTG1	P31378	N	
YAL016C-A		A0A023PYC6	N	
YAL016C-B		P0C1V3	N	
YAL016W	TPD3	P31383	N	
YAL017W	PSK1	P31374	N	
YAL018C	LDS1	P31379	N	
YAL019W	FUN30	P31380	N	
YAL019W-A		A0A023PXA5	N	
YAL020C	ATS1	P31386	N	
YAL021C	CCR4	P31384	N	
YAL022C	FUN26	P31381	N	
YAL023C	PMT2	P31382	N	
YAL024C	LTE1	P07866	N	
YAL025C	MAK16	P10962	N	
YAL026C	DRS2	P39524	Y	4974037at2759
YAL026C-A		A0A023PXH4	N	
YAL027W	SAW1	P39735	N	
YAL028W	FRT2	P39734	N	
YAL029C	MYO4	P32492	N	
YAL030W	SNC1	P31109	N	
YAL031C	GIP4	P39732	N	
YAL031W-A		A0A023PZ94	N	
YAL032C	PRP45	P28004	N	
YAL033W	POP5	P28005	N	
YAL034C	FUN19	P28003	N	
YAL034C-B		O13515	N	
YAL034W-A	MTW1	P39731	N	
YAL035W	FUN12	P39730	N	
YAL036C	RBG1	P39729	N	
YAL037C-A		Q3E741	N	
YAL037C-B		Q8TGR8	N	
YAL037W		P39728	N	
YAL038W	CDC19	P00549	N	
YAL039C	CYC3	P06182	N	
YAL040C	CLN3	P13365	N	
YAL041W	CDC24	P11433	N	
YAL042C-A		O13514	N	
YAL042W	ERV46	P39727	N	
YAL043C	PTA1	Q01329	N	
YAL044C	GCV3	P39726	N	
YAL044W-A	BOL1	Q3E793	N	
YAL045C		P39725	N	
YAL046C	BOL3	P39724	N	
YAL047C	SPC72	P39723	N	
YAL047W-A		A0A023PZE2	N	
YAL048C	GEM1	P39722	N	
YAL049C	AIM2	P39721	N	
YAL051W	OAF1	P39720	N	
YAL053W	FLC2	P39719	N	
YAL054C	ACS1	Q01574	N	
YAL055W	PEX22	P39718	N	
YAL056C-A		O13513	N	
YAL056W	GPB2	P39717	N	
YAL058W	CNE1	P27825	N	
YAL059C-A		A0A023PYD0	N	
YAL059W	ECM1	P39715	N	
YAL060W	BDH1	P39714	N	
YAL061W	BDH2	P39713	N	
YAL062W	GDH3	P39708	N	
YAL063C	FLO9	P39712	N	
YAL063C-A		Q3E791	N	
YAL064C-A	TDA8	Q6B2U8	N	
YAL064W		P39711	N	
YAL064W-B		O13512	N	
YAL065C		O13511	N	
YAL066W		P39710	N	
YAL067C	SEO1	P39709	N	
YAL067W-A		Q8TGK6	N	
YAL068C	PAU8	P0CE92	N	
YAL068W-A		Q8TGK7	N	
YAL069W		O13588	N	
YAR002C-A	ERP1	Q05359	N	
YAR002W	NUP60	P39705	N	
YAR003W	SWD1	P39706	N	
YAR007C	RFA1	P22336	N	
