rank	yeast_gene	ensemble_score
1	YLL048C	0.054594070
2	YDL138W	0.051843183
3	YMR138W	0.046287877
4	YDL194W	0.045288108
5	YNL130C	0.044515991
6	YPL274W	0.039611493
7	YKR001C	0.037655725
8	YLR262C	0.035722372
9	YLR098C	0.035226195
10	YHR032W	0.034796290
11	YPL031C	0.030520062
12	YIR005W	0.029897254
13	YKL017C	0.029209161
14	YNL016W	0.026398408
15	YOR337W	0.025639889
16	YAR018C	0.025607817
17	YDR156W	0.023847115
18	YKL222C	0.023620363
19	YLR043C	0.023296169
20	YHR178W	0.022929260
21	YIL040W	0.022626555
22	YER123W	0.022447836
23	YJL206C	0.022258109
24	YPL192C	0.022139595
25	YGR209C	0.021944043
26	YNL229C	0.021458263
27	YLR253W	0.020654340
28	YDR252W	0.019961256
29	YDR097C	0.019208629
30	YIL113W	0.019162165
31	YML121W	0.017795057
32	YDR477W	0.017714804
33	YPL248C	0.017441992
34	YLR364W	0.017318421
35	YJL149W	0.017313426
36	YNR063W	0.017178844
37	YOL013C	0.017116496
38	YBR201W	0.017049397
39	YLR266C	0.016811180
40	YFR032C	0.016641716
41	YMR080C	0.016616899
42	YMR274C	0.016502299
43	YLR389C	0.016423450
44	YLR233C	0.016295568
45	YNL021W	0.015890944
46	YML081W	0.015441584
47	YPL037C	0.015314304
48	YOL113W	0.015252359
49	YGR275W	0.014860670
50	YHR120W	0.014852500
51	YDL170W	0.014799011
52	YOR179C	0.014768078
53	YPL140C	0.014569373
54	YOR313C	0.014360424
55	YOL089C	0.014312884
56	YBR274W	0.013955388
57	YMR139W	0.013915075
58	YOR380W	0.013558441
59	YPL033C	0.013409028
60	YDR513W	0.013269378
61	YOR363C	0.012391069
62	YGL241W	0.011630687
63	YNL025C	0.011356800
64	YLL054C	0.011335980
65	YDR395W	0.011295500
66	YPL046C	0.011024127
67	YLL046C	0.011010295
68	YBR175W	0.010747675
69	YKL015W	0.010688059
70	YPL125W	0.010657180
71	YHL034C	0.010561170
72	YAL054C	0.010372564
73	YGR133W	0.010315507
74	YMR019W	0.010241687
75	YDL101C	0.010153133
76	YMR022W	0.010118667
77	YOR351C	0.010103720
78	YCL011C	0.010097699
79	YMR223W	0.009934708
80	YOR185C	0.009910084
81	YPL127C	0.009867451
82	YDR523C	0.009600144
83	YIL033C	0.009579017
84	YHR127W	0.009512971
85	YLR052W	0.009493865
86	YOL090W	0.009455325
87	YML051W	0.009352480
88	YPL154C	0.009005280
89	YHR135C	0.008694334
90	YKL161C	0.008668214
91	YGL251C	0.008441749
92	YNL298W	0.008423987
93	YAL053W	0.008363996
94	YGR157W	0.008324215
95	YJR127C	0.008123155
96	YAL027W	0.008027530
97	YIR001C	0.007969680
98	YJL137C	0.007893287
99	YNL210W	0.007863588
100	YPL236C	0.007773763
101	YMR177W	0.007591128
102	YOR231W	0.007522447
103	YIL130W	0.007257447
104	YNL154C	0.007197409
105	YLR014C	0.007173804
106	YCR008W	0.007093461
107	YKL139W	0.007086549
108	YIL073C	0.007085610
109	YPL109C	0.007074363
110	YCR092C	0.006907105
111	YDR074W	0.006890336
112	YHR004C	0.006701539
113	YBL019W	0.006577366
114	YGL016W	0.006562484
115	YDL154W	0.006557877
116	YOR360C	0.006549518
117	YOR101W	0.006500978
118	YBL002W	0.006378488
119	YLR278C	0.006324494
120	YJL089W	0.006175657
121	YLR315W	0.006055538
122	YHR108W	0.006023597
123	YKL205W	0.005985821
124	YBR195C	0.005978671
125	YHL022C	0.005958726
126	YDR131C	0.005947403
127	YHL002W	0.005887233
128	YKL091C	0.005864009
129	YHR003C	0.005844975
130	YOR112W	0.005835365
131	YDR378C	0.005826064
132	YIL042C	0.005814628
133	YFR014C	0.005774491
134	YGR071C	0.005745125
135	YPR149W	0.005709897
136	YAR042W	0.005677611
137	YOR106W	0.005671088
138	YLR154C	0.005666955
139	YIR023W	0.005638386
140	YAL051W	0.005634432
141	YNL049C	0.005608038
142	YMR055C	0.005457876
143	YPL101W	0.005424931
144	YCR020W-B	0.005421277
145	YDR358W	0.005402366
146	YDR375C	0.005394087
147	YDR518W	0.005326937
148	YBR233W	0.005325599
149	YPR120C	0.005314528
150	YHR015W	0.005308230
151	YMR280C	0.005290911
152	YGR122W	0.005283896
