rank	yeast_gene	ensemble_score
1	YMR306W	0.087817638
2	YHR032W	0.078779100
3	YMR258C	0.076807996
4	YLR342W	0.074733058
5	YLR253W	0.073827812
6	YEL013W	0.073268921
7	YMR100W	0.069895750
8	YKL027W	0.069376502
9	YCR073C	0.068603405
10	YMR080C	0.063672439
11	YDL035C	0.060798319
12	YLR368W	0.059153425
13	YKL034W	0.057484888
14	YLR258W	0.057183870
15	YGL087C	0.056850139
16	YOR380W	0.056672932
17	YKL222C	0.054563532
18	YCL010C	0.053440947
19	YHR030C	0.051162169
20	YML123C	0.050960878
21	YPL226W	0.050641835
22	YNL288W	0.050344981
23	YPR075C	0.050217110
24	YOR172W	0.049986731
25	YIL017C	0.049294018
26	YCR106W	0.047898450
27	YOR360C	0.047693505
28	YFR015C	0.047121593
29	YMR202W	0.046806965
30	YIR026C	0.046532599
31	YPR160W	0.045172694
32	YDR131C	0.044884717
33	YDL230W	0.044064849
34	YHR003C	0.042691187
35	YIL030C	0.042140878
36	YOR358W	0.040065311
37	YAL056W	0.038761798
38	YGR247W	0.038560795
39	YJR084W	0.038558719
40	YKL086W	0.038489826
41	YDR001C	0.038134321
42	YGL163C	0.037850554
43	YJR066W	0.037261685
44	YDR375C	0.036976347
45	YJR073C	0.036579652
46	YFL052W	0.036400971
47	YPL031C	0.035956881
48	YHR202W	0.035506023
49	YML068W	0.035171035
50	YLR266C	0.034889933
51	YGR232W	0.034253247
52	YLL048C	0.034144440
53	YML075C	0.033546340
54	YML102W	0.032784475
55	YGL208W	0.032776093
56	YML128C	0.032162851
57	YBR062C	0.031891306
58	YJL128C	0.031862215
59	YJL030W	0.031457293
60	YGL058W	0.031408290
61	YLR120C	0.031371406
62	YGL252C	0.031057546
63	YAL009W	0.030798817
64	YPR196W	0.030314662
65	YMR285C	0.030210530
66	YLR352W	0.029967880
67	YJR140C	0.029940487
68	YCR008W	0.029838309
69	YJL178C	0.029676030
70	YKR064W	0.029381273
71	YBR001C	0.029332037
72	YLR224W	0.029226190
73	YNL008C	0.028821377
74	YPL015C	0.028746616
75	YML124C	0.028118023
