rank	yeast_gene	ensemble_score
1	YGL087C	0.048601282
2	YOR185C	0.047532763
3	YGL222C	0.046780209
4	YNL098C	0.042472224
5	YNL154C	0.039598182
6	YOR371C	0.037733315
7	YNL076W	0.034418526
8	YLR352W	0.033680873
9	YHR135C	0.033418491
10	YGL197W	0.032762495
11	YGR044C	0.031011880
12	YKL198C	0.030591191
13	YDR156W	0.028680914
14	YNL298W	0.027930163
15	YCL010C	0.027576836
16	YEL013W	0.025434716
17	YLR052W	0.025350606
18	YPL203W	0.025346484
19	YJR059W	0.024603610
20	YMR069W	0.024103998
21	YMR291W	0.023894851
22	YBR059C	0.022922775
23	YLR451W	0.022803481
24	YDR490C	0.021716567
25	YML102W	0.021316029
26	YPL042C	0.020178968
27	YMR205C	0.019936310
28	YLR113W	0.019843904
29	YDR466W	0.018918674
30	YGL208W	0.018285312
31	YLR224W	0.017796131
32	YCL040W	0.017773708
33	YDR123C	0.017636741
34	YLR234W	0.017416764
35	YPL049C	0.017095802
36	YLR174W	0.017001507
37	YML001W	0.016739625
38	YER031C	0.016667014
39	YHR030C	0.016624519
40	YPL199C	0.016409098
41	YGR206W	0.016308600
42	YPL037C	0.016171649
43	YLR219W	0.015868802
44	YJL056C	0.015409281
45	YOR313C	0.015067293
46	YDL035C	0.014875489
47	YER027C	0.014477482
48	YGL209W	0.013959643
49	YKL086W	0.013919935
50	YLR059C	0.013809940
51	YAL056W	0.013582388
52	YDR101C	0.013544350
53	YHL025W	0.013450561
54	YOR162C	0.013064928
55	YPL055C	0.012935447
56	YGL166W	0.012873474
57	YDR277C	0.012648295
58	YNL009W	0.012451076
59	YEL018W	0.012387980
60	YDR421W	0.012235167
61	YPR173C	0.012211428
62	YBL066C	0.012187448
63	YBR276C	0.012150666
64	YHR200W	0.012109466
65	YML075C	0.012040152
66	YNL314W	0.012029677
67	YLR262C	0.011921453
68	YMR021C	0.011822517
69	YKL190W	0.011682327
70	YJL164C	0.011561035
71	YGR152C	0.011316801
72	YML099C	0.011227091
73	YOR101W	0.011169949
74	YHR127W	0.011157039
75	YGL162W	0.011083713
76	YLR048W	0.010988774
77	YNR047W	0.010861889
78	YNL130C	0.010538385
79	YFR053C	0.010278807
80	YMR234W	0.010087504
81	YMR274C	0.010045125
82	YGL070C	0.009841270
83	YER123W	0.009498836
84	YCL055W	0.009423683
85	YJL128C	0.009332750
86	YLR260W	0.009161744
87	YHR032W	0.009003637
88	YGR240C	0.009002726
89	YOR172W	0.008977756
90	YIL042C	0.008958680
91	YOR380W	0.008728498
92	YLR438W	0.008700487
93	YAL055W	0.008620843
94	YDR480W	0.008477036
95	YDR151C	0.008338823
96	YJL141C	0.008207228
97	YKL062W	0.008099691
98	YLR342W	0.007961482
99	YDL179W	0.007933988
100	YLR154C	0.007807712
101	YNL053W	0.007756690
102	YCR008W	0.007713285
103	YLR133W	0.007687141
104	YPL256C	0.007593907
105	YBL078C	0.007584868
106	YBR280C	0.007528848
107	YPL021W	0.007513077
108	YLR006C	0.007417354
109	YOR047C	0.007406016
110	YIR013C	0.007370755
111	YDR079C-A	0.007343949
112	YBL009W	0.007251812
113	YMR030W	0.007183278
114	YML113W	0.006976923
115	YFL033C	0.006892377
116	YNL289W	0.006852060
117	YHR033W	0.006798044
118	YDR252W	0.006510667
119	YDL076C	0.006460593
120	YJL030W	0.006410411
121	YIL122W	0.006409125
122	YGL254W	0.006213191
123	YDR451C	0.006188430
124	YDR121W	0.006141699
125	YGR135W	0.006138064
126	YHL002W	0.006109621
127	YGL058W	0.006051345
128	YML058W	0.006041774
129	YBL021C	0.005898851
130	YGL035C	0.005775427
131	YLR074C	0.005749674
132	YBR082C	0.005740324
133	YJL137C	0.005694427
134	YBL003C	0.005651820
135	YMR182C	0.005621969
136	YER035W	0.005585099
137	YEL015W	0.005532120
138	YOR197W	0.005434219
139	YML118W	0.005433681
140	YHR006W	0.005397275
141	YER167W	0.005386834
142	YPR015C	0.005384593
143	YNL199C	0.005355010
144	YGL220W	0.005328820
145	YGL078C	0.005254963
146	YOR061W	0.005250064
147	YMR273C	0.005248398
148	YIL153W	0.005246059
149	YGL237C	0.005208136
150	YOL067C	0.005145227
151	YEL066W	0.005096746
152	YAR035W	0.005055737
153	YHR082C	0.005020474
154	YMR275C	0.005017840
155	YDR392W	0.005016804
156	YKL222C	0.005011620
157	YGL071W	0.004920582
158	YFR034C	0.004899619
159	YGL211W	0.004887870
160	YER064C	0.004860580
161	YPR030W	0.004804884
162	YBL054W	0.004788047
163	YBR203W	0.004746729
164	YHR124W	0.004732908
165	YMR276W	0.004724671
166	YDR463W	0.004722957
167	YDL200C	0.004689143
168	YMR216C	0.004664287
169	YMR202W	0.004651819
170	YLR258W	0.004550435
171	YER132C	0.004444018
172	YDL090C	0.004419811
173	YDL056W	0.004399907
174	YIL113W	0.004347042
175	YLR055C	0.004300141
176	YLR019W	0.004250173
177	YMR285C	0.004234051
178	YNR034W	0.004230429
179	YMR199W	0.004014918
180	YLR043C	0.004005297
181	YPL192C	0.003963006
182	YAL040C	0.003926326
183	YOL012C	0.003831722
