rank	yeast_gene	ensemble_score
1	YOL113W	0.086234022
2	YDR477W	0.079598976
3	YDL194W	0.072754699
4	YDR523C	0.071013262
5	YDL138W	0.060523575
6	YOR101W	0.057812393
7	YOR351C	0.054449843
8	YBR274W	0.051302037
9	YHR032W	0.047680008
10	YLR014C	0.045841822
11	YDL101C	0.045479449
12	YLR248W	0.043760660
13	YPR111W	0.042722576
14	YBR028C	0.039839714
15	YNL020C	0.036444703
16	YJL106W	0.035940765
17	YPL109C	0.034184617
18	YAR018C	0.033852616
19	YLR210W	0.033645879
20	YLL048C	0.031535499
21	YAL011W	0.030709765
22	YLR451W	0.030658276
23	YGR152C	0.029596616
24	YPL140C	0.028487738
25	YBR073W	0.028433506
26	YER123W	0.028290261
27	YIL035C	0.027440294
28	YPL236C	0.026458730
29	YLR253W	0.025936785
30	YOR233W	0.025251527
31	YKL166C	0.024677711
32	YGL251C	0.024537416
33	YDL079C	0.023764542
34	YLL019C	0.023730576
35	YNL032W	0.022946114
36	YBL056W	0.022855279
37	YPR054W	0.022687738
38	YMR138W	0.022682180
39	YDL155W	0.021838014
40	YNL229C	0.021524434
41	YMR139W	0.021402798
42	YOL016C	0.021060877
43	YDR147W	0.019240812
44	YOR231W	0.018891791
45	YHR127W	0.018652543
46	YKL116C	0.018417871
47	YIR005W	0.017520254
48	YOR304W	0.017343019
49	YCR091W	0.017234903
50	YGR040W	0.016962131
51	YDR219C	0.016852567
52	YDL035C	0.016616474
53	YDR181C	0.016214130
54	YIL130W	0.015745471
55	YPL184C	0.015737498
56	YNL298W	0.015654108
57	YPR120C	0.015550216
58	YFR014C	0.015464582
59	YMR255W	0.015143713
60	YNL299W	0.014704821
61	YKL161C	0.014635061
62	YIL113W	0.014568236
63	YML061C	0.014433004
64	YLR221C	0.014251727
65	YGL179C	0.014238988
66	YPL192C	0.014185671
67	YOL001W	0.014150438
68	YAL019W	0.014103729
69	YNL082W	0.014027638
70	YDR421W	0.013912998
71	YMR291W	0.013727485
72	YKL139W	0.013647574
73	YJL168C	0.013646222
74	YGR108W	0.013638938
75	YDL213C	0.013464591
76	YDR291W	0.013324921
77	YIL095W	0.013208127
78	YDR247W	0.013043961
79	YMR177W	0.012895774
80	YNL154C	0.012816149
81	YHR178W	0.012665928
82	YDR490C	0.012536361
83	YPL026C	0.012462127
84	YOR360C	0.012410103
85	YOL068C	0.012364428
86	YPL248C	0.012297506
87	YKL015W	0.012257483
88	YKR001C	0.012151501
89	YHR031C	0.012003912
90	YLR133W	0.011845348
91	YJL206C	0.011835024
92	YOL115W	0.011717158
93	YAR042W	0.011675313
94	YDR507C	0.011497335
95	YOL045W	0.011401102
96	YPR119W	0.011247475
97	YBR188C	0.011020300
98	YGL180W	0.010841798
99	YIR023W	0.010836177
100	YNL106C	0.010605801
101	YHR004C	0.010605203
102	YPL133C	0.010372474
103	YJL128C	0.010365222
104	YBR125C	0.010297312
105	YMR216C	0.010269208
106	YOR001W	0.010149590
107	YKL017C	0.010044309
108	YDL036C	0.010033064
109	YDL127W	0.009781144
110	YPL274W	0.009734747
111	YOR171C	0.009315761
112	YML123C	0.009266713
113	YOL080C	0.009202248
114	YAL059W	0.008723911
115	YMR167W	0.008686139
116	YDR334W	0.008584427
117	YER089C	0.008561334
118	YFR038W	0.008528748
119	YDR263C	0.008437239
120	YIL107C	0.008232345
121	YNL025C	0.007947523
122	YLR032W	0.007920369
123	YER064C	0.007900425
124	YKL048C	0.007891170
125	YDR026C	0.007698086
126	YDR097C	0.007646563
127	YML121W	0.007619591
128	YDL214C	0.007509980
129	YBL019W	0.007420465
130	YCL024W	0.007396493
131	YOR033C	0.007237964
132	YPL008W	0.007166653
133	YLL010C	0.007144605
134	YER051W	0.007126428
135	YDR306C	0.006927540
136	YLR013W	0.006819410
137	YJR035W	0.006647046
138	YJL164C	0.006397714
139	YDL019C	0.006381290
140	YDL216C	0.006343546
141	YDL179W	0.006245337
142	YLL046C	0.006240582
