rank	yeast_gene	ensemble_score
1	YNR032C-A	0.079986197
2	YLR329W	0.078132327
3	YGR040W	0.074937192
4	YOR061W	0.069780373
5	YKR059W	0.068593624
6	YOR153W	0.068280488
7	YKR039W	0.067680287
8	YML123C	0.067536286
9	YOL104C	0.066184509
10	YAL027W	0.063172113
11	YGL168W	0.063029837
12	YKR093W	0.062189436
13	YPL031C	0.061609399
14	YKL161C	0.061211894
15	YLR385C	0.060922581
16	YDR252W	0.058573028
17	YER044C-A	0.057120606
18	YLR113W	0.056683705
19	YPR054W	0.055793386
20	YHR032W	0.054962978
21	YPL203W	0.053289811
22	YEL013W	0.046934361
23	YPL086C	0.046878130
24	YGR275W	0.045492747
25	YML058W-A	0.044229692
26	YGL237C	0.043956830
27	YDL006W	0.043739760
28	YDR260C	0.042362001
29	YKL166C	0.042215821
30	YNL142W	0.041958813
31	YER035W	0.041810719
32	YDL076C	0.041678090
33	YHR030C	0.041492129
34	YPL274W	0.040996305
35	YJL164C	0.040805411
36	YBL006C	0.040529695
37	YGR288W	0.039444084
38	YKL190W	0.038820240
39	YMR019W	0.038722310
40	YHR195W	0.038546652
41	YLR445W	0.037491152
42	YDL138W	0.037443694
43	YBR285W	0.037280734
44	YOR179C	0.037046608
45	YPL096C-A	0.036648720
46	YMR246W	0.036642094
47	YGR206W	0.035482358
48	YCR020W-B	0.035360057
49	YPR093C	0.035260355
50	YGR180C	0.035180359
51	YBR297W	0.035083573
52	YPR040W	0.034622381
53	YNL307C	0.034333359
54	YLR021W	0.033625861
55	YEL066W	0.033357151
56	YER177W	0.033311316
57	YLR224W	0.033000950
58	YER092W	0.032835677
59	YOL081W	0.032805148
60	YFL052W	0.032528179
61	YDR075W	0.032409563
62	YLR438W	0.032310518
63	YPR173C	0.032193032
64	YDR099W	0.031962160
65	YLL002W	0.031044861
66	YDL079C	0.030490479
67	YBR114W	0.030200793
68	YPR101W	0.030038501
69	YDL080C	0.029795882
70	YBR082C	0.029468650
71	YGL253W	0.029446029
72	YGR152C	0.029445284
73	YKL130C	0.029341414
74	YFR053C	0.029239130
75	YHR157W	0.029213997
76	YNL209W	0.028961764
77	YHL025W	0.028859507
78	YOR380W	0.028485650
