rank	yeast_gene	ensemble_score
1	YAL021C	0.084656085
2	YNL130C	0.069364254
3	YMR070W	0.063995414
4	YAL053W	0.063601090
5	YJR127C	0.055529538
6	YML075C	0.054871105
7	YMR274C	0.054200170
8	YNL142W	0.053720483
9	YNL288W	0.053244662
10	YAR035W	0.052194245
11	YLR113W	0.052141611
12	YPL086C	0.052009082
13	YJL210W	0.051330724
14	YBR289W	0.050907361
15	YMR136W	0.050598570
16	YLR234W	0.048600148
17	YML100W	0.048522568
18	YMR016C	0.048471877
19	YLR018C	0.048464153
20	YML057W	0.048265306
21	YKR059W	0.047038859
22	YKR067W	0.046703013
23	YKR039W	0.046688489
24	YFL021W	0.045818518
25	YPL203W	0.044927056
26	YNL323W	0.044923173
27	YOR140W	0.044201441
28	YDR099W	0.043830907
29	YGL066W	0.043745575
30	YLR228C	0.043240342
31	YER177W	0.042414765
32	YKL029C	0.041909442
33	YOR153W	0.041799129
34	YBR201W	0.041511713
35	YHR032W	0.041323828
36	YOR197W	0.040478007
37	YPR173C	0.039442085
38	YBR082C	0.039339901
39	YGL062W	0.039014137
40	YGR249W	0.038995546
41	YNL199C	0.038705918
42	YKL034W	0.038315980
43	YBR218C	0.037958815
44	YBR057C	0.037577428
45	YFL036W	0.037100382
46	YER040W	0.036211066
47	YDR059C	0.036208516
48	YJL141C	0.036115282
49	YJL164C	0.035986071
50	YNL154C	0.035780322
51	YLR256W	0.035694583
52	YIL153W	0.035487339
53	YHR135C	0.034467580
54	YKL043W	0.034426130
55	YKR093W	0.034408256
56	YOL051W	0.034198470
57	YPL199C	0.033242374
58	YOR061W	0.032499682
59	YKL032C	0.032375311
60	YGL035C	0.032313925
61	YLR207W	0.032115455
62	YDL138W	0.031805014
63	YBR114W	0.031355705
64	YKL038W	0.031215993
65	YCL040W	0.030424289
66	YGR180C	0.030334081
67	YLR433C	0.030283574
68	YPR125W	0.030138528
69	YOR113W	0.029995821
70	YHR200W	0.029919898
71	YHR030C	0.029677308
72	YIL040W	0.029139213
73	YML113W	0.028829156
74	YDR375C	0.028782169
75	YIL036W	0.028569450
76	YBR203W	0.028329469
77	YLR258W	0.027984344
78	YNL209W	0.027872721
79	YMR164C	0.027807181
80	YDR001C	0.027311345
81	YJL137C	0.027252168
82	YJR073C	0.027084945
83	YNL239W	0.027003326
84	YER179W	0.026998254
85	YKL198C	0.026818598
86	YML081W	0.026625086
87	YIL101C	0.026545747
88	YKL062W	0.026383192
89	YNL008C	0.026339294
90	YML102W	0.026290949
91	YBL051C	0.026003817
92	YPL089C	0.025992226
93	YMR205C	0.025738956
94	YGR040W	0.025305844
95	YPL096C-A	0.025213764
96	YPL042C	0.025149673
97	YMR069W	0.025145543
98	YPL055C	0.024867045
99	YNL330C	0.024755275
100	YGL209W	0.024591127
101	YDL194W	0.024230152
102	YNL241C	0.024191593
103	YBL024W	0.024116342
104	YBL078C	0.024028939
105	YML124C	0.023992928
106	YLR438W	0.023986185
107	YBR280C	0.023903993
108	YDL006W	0.023850167
109	YPR149W	0.023667608
110	YPL274W	0.023488052
111	YER007C-A	0.023394146
112	YFR053C	0.023348214
113	YJR059W	0.023307165
114	YDR155C	0.023273767
115	YKL127W	0.023232635
116	YGR157W	0.023144628
117	YKR019C	0.022893543
118	YNL314W	0.022875838
119	YEL018W	0.022503616
120	YGL211W	0.022455085
121	YBL007C	0.022348671
122	YNL068C	0.022334567
123	YNL076W	0.022141686
124	YFR015C	0.022137821
125	YBL057C	0.022088886
126	YDL149W	0.022069227
127	YKL190W	0.022006358
128	YLR403W	0.021884270
129	YMR026C	0.021796567
130	YDR075W	0.021783531
131	YMR172W	0.021670637
132	YDR448W	0.021653750
133	YFL033C	0.021510927
134	YJL030W	0.021495702
135	YDR096W	0.021457823
136	YEL013W	0.021350621
137	YLL013C	0.020765403
138	YGL141W	0.020698776
139	YCR077C	0.020623042
140	YGL125W	0.020531233
