rank	yeast_gene	ensemble_score
1	YKL166C	0.107399425
2	YDL134C	0.105578330
3	YDL188C	0.102678571
4	YLR433C	0.096793831
5	YNR032W	0.090130683
6	YDR075W	0.089703265
7	YOR153W	0.086821306
8	YPL203W	0.081512238
9	YML057W	0.080598291
10	YGL163C	0.073193760
11	YKR039W	0.072560520
12	YGR180C	0.069039033
13	YKR093W	0.067257092
14	YJL164C	0.066186479
15	YER089C	0.063144551
16	YOL016C	0.058588489
17	YKL091C	0.058297431
18	YDL155W	0.057497275
19	YFR014C	0.055876393
20	YGR040W	0.053397740
21	YLR113W	0.053016641
22	YOR339C	0.051825625
23	YPL179W	0.049707932
24	YDL138W	0.049069990
25	YPL274W	0.048058106
26	YLR019W	0.047903412
27	YPL031C	0.047271825
28	YOR197W	0.046611885
29	YCR091W	0.044020934
30	YBR114W	0.043415690
31	YDR334W	0.043146095
32	YNL098C	0.042875629
33	YHR030C	0.040439872
34	YPR173C	0.039809356
35	YGR152C	0.038639994
36	YKR067W	0.038026248
37	YNL323W	0.037417008
38	YGR109C	0.037305197
39	YGL058W	0.036991127
40	YLR094C	0.036818381
41	YML076C	0.036541840
42	YDL006W	0.035228187
43	YML001W	0.034845626
44	YBL056W	0.034722222
45	YBR034C	0.034667956
46	YMR246W	0.033958366
47	YDL194W	0.033417251
48	YGL240W	0.033259794
49	YNL142W	0.033245614
50	YOL089C	0.033115256
51	YLR329W	0.032562052
52	YOR061W	0.032324893
53	YNL307C	0.032057688
54	YOR107W	0.031864013
55	YBL057C	0.031655914
56	YGL216W	0.031589794
57	YPL154C	0.031525464
58	YGL087C	0.031519917
59	YPR054W	0.031473614
60	YBR188C	0.031433141
61	YDL079C	0.031164021
62	YNR063W	0.030914938
63	YER031C	0.030705249
64	YMR019W	0.030619403
65	YPR111W	0.029761905
66	YLR389C	0.029321556
67	YDR001C	0.028967130
68	YGR208W	0.028925627
69	YDR120C	0.028765002
70	YML074C	0.028667100
71	YGL253W	0.028493508
72	YJL206C	0.028468822
73	YFR038W	0.027804378
74	YBR082C	0.027681223
75	YLR059C	0.027641666
76	YLR385C	0.027376211
77	YFR053C	0.027052326
78	YHR031C	0.027040770
79	YKR059W	0.026279844
80	YMR022W	0.026205739
81	YLR216C	0.026108138
82	YLR210W	0.026089641
83	YPL192C	0.026041019
84	YLL048C	0.025838339
85	YNL330C	0.025637730
86	YLR398C	0.025398997
87	YAL054C	0.025372492
88	YNR034W	0.025312626
89	YER106W	0.025131899
90	YDR219C	0.025090220
91	YBR150C	0.024982224
92	YIL130W	0.024930546
93	YDL230W	0.024888498
94	YOR101W	0.024855378
95	YDR523C	0.024763557
96	YDR059C	0.024746635
97	YEL012W	0.024572793
98	YMR080C	0.024344354
99	YLL010C	0.024042274
100	YDR375C	0.024006558
101	YKL161C	0.023736104
102	YGL237C	0.023400680
103	YDL236W	0.023268921
104	YDR291W	0.023233986
105	YBR278W	0.022891756
106	YKR017C	0.022812813
107	YDR181C	0.022585233
108	YOL104C	0.022414424
109	YAL019W	0.022368118
110	YNL154C	0.022345315
111	YML068W	0.022321206
112	YLR226W	0.022175617
113	YOL080C	0.022155768
114	YNL311C	0.022054831
115	YGL175C	0.021767947
116	YER092W	0.021415477
117	YER143W	0.021325311
118	YHR004C	0.021244805
119	YER044C-A	0.020832864
120	YHR135C	0.020674888
121	YJL115W	0.020495233
122	YBR028C	0.020398955
123	YBR073W	0.020291008
124	YGL100W	0.020110008
125	YCL040W	0.020021183
126	YML123C	0.020013031
127	YHR032W	0.019955489
128	YDR099W	0.019890600
129	YGL168W	0.019881696
130	YDR490C	0.019813023
131	YJR119C	0.019691658
132	YLR449W	0.019568847
133	YOR290C	0.019562603
134	YER184C	0.019433264
135	YDL216C	0.019273087
136	YNL288W	0.019201691
137	YPR120C	0.019055235
138	YOR191W	0.018941704
139	YOR368W	0.018926461
140	YIR002C	0.018878321
141	YAL053W	0.018714386
142	YGR206W	0.018605087
143	YLR262C	0.018592060
144	YOR185C	0.018525574
145	YML081W	0.018463938
146	YJL056C	0.018459353
147	YPL037C	0.018414037
148	YDL170W	0.018365342
149	YHR119W	0.018318937
150	YMR021C	0.018297831
151	YNL021W	0.018094158
152	YPL199C	0.018062057
153	YKL190W	0.018053075
154	YDL197C	0.018035007
155	YAL027W	0.017908267
156	YOR304W	0.017891681
157	YJR021C	0.017825337
158	YBL021C	0.017778546
159	YGR135W	0.017747383
160	YOL082W	0.017507354
161	YGL013C	0.017464359
162	YML099C	0.017430201
163	YNL241C	0.017364446
164	YJR035W	0.017242868
165	YML124C	0.017195001
166	YER179W	0.017136391
167	YNR004W	0.017083169
168	YPR031W	0.017055918
169	YBR165W	0.016835880
170	YJR096W	0.016818430
171	YDR252W	0.016651088
172	YNL072W	0.016650955
173	YLR234W	0.016588831
174	YGL043W	0.016573973
175	YGR108W	0.016388017
176	YDR022C	0.016376313
177	YDR216W	0.016254819
178	YNL130C	0.016212766
179	YHR200W	0.015970293
180	YDR448W	0.015495951
181	YOR358W	0.015426829
182	YBR001C	0.015422883
183	YAL021C	0.015379342
184	YMR186W	0.015280081
185	YFR046C	0.015251399
186	YDR074W	0.015182068
187	YMR205C	0.015100361
188	YPR119W	0.014980997
189	YBR245C	0.014968314
190	YPL046C	0.014871328
191	YBR285W	0.014775931
192	YCR008W	0.014742211
193	YBR297W	0.014729554
194	YOR380W	0.014665772
195	YFL052W	0.014610645
196	YDL080C	0.014589630
197	YDR263C	0.014582011
198	YER164W	0.014494894
199	YMR224C	0.014488917
200	YAL011W	0.014457528
201	YJL103C	0.014453640
202	YGL070C	0.014438405
203	YMR119W	0.014430261
204	YPL042C	0.014425136
205	YBL024W	0.014398488
206	YMR145C	0.014317733
207	YEL061C	0.014309391
208	YNL097C	0.014273675
209	YGR134W	0.014198638
210	YGR133W	0.014127102
211	YOR363C	0.014110896
212	YBL005W	0.014097092
213	YDL076C	0.014063448
214	YER100W	0.014027904
215	YLR102C	0.013942208
216	YNR047W	0.013896486
217	YAL055W	0.013826882
218	YNL209W	0.013758031
