rank	yeast_gene	ensemble_score
1	YPL031C	0.123376623
2	YKL166C	0.101803752
3	YNL098C	0.081995756
4	YPL203W	0.081323717
5	YKL161C	0.076750700
6	YJL164C	0.076356209
7	YGR040W	0.075241313
8	YGR152C	0.074589780
9	YML123C	0.074189805
10	YFR014C	0.071697657
11	YNL307C	0.071264420
12	YOL016C	0.069961240
13	YHR030C	0.064760766
14	YML001W	0.063446970
15	YHR032W	0.062355212
16	YPL274W	0.061949866
17	YOR185C	0.057532444
18	YPR054W	0.056301723
19	YKR039W	0.056228590
20	YDL138W	0.054953815
21	YLR262C	0.053571429
22	YLR113W	0.052899016
23	YKR059W	0.051487010
24	YER031C	0.050991094
25	YKR093W	0.050360923
26	YMR080C	0.048867054
27	YDL079C	0.047648196
28	YMR019W	0.047485348
29	YOR380W	0.047464386
30	YGL087C	0.047423028
31	YOR101W	0.047208325
32	YDR252W	0.045328832
33	YNL154C	0.045156289
34	YHR135C	0.044772555
35	YGL168W	0.043620747
36	YJL206C	0.041036815
37	YMR139W	0.040734806
38	YIR005W	0.039182527
39	YPL192C	0.038395600
40	YDR490C	0.038256321
41	YNR063W	0.038038472
42	YLL048C	0.037897998
43	YNL130C	0.037041212
44	YJL149W	0.036630284
45	YOR351C	0.036134504
46	YPL046C	0.035592186
47	YDL194W	0.034519268
48	YPL037C	0.034082449
49	YOR339C	0.032475908
50	YLR385C	0.032251506
51	YPR111W	0.031768239
52	YDR523C	0.031553280
53	YLR329W	0.031520350
54	YGR209C	0.031388238
55	YDR074W	0.031099831
56	YLR059C	0.029545924
57	YPR173C	0.029327617
58	YAR018C	0.029253122
59	YCL011C	0.029161924
60	YGR288W	0.028957744
61	YAL054C	0.028778974
62	YMR274C	0.028268297
63	YDR477W	0.028252240
64	YDL188C	0.027976771
65	YDL134C	0.027889214
66	YAL027W	0.027803359
67	YML011C	0.027715533
68	YDL035C	0.027602992
69	YMR138W	0.027483376
70	YGL100W	0.027229214
71	YLR043C	0.027159082
72	YOR197W	0.027147047
73	YOR061W	0.027130292
74	YGR275W	0.026937926
75	YMR022W	0.026579144
76	YER092W	0.026455386
77	YIR026C	0.026447916
78	YBR201W	0.026304684
79	YDR131C	0.026285900
80	YPL154C	0.026252876
81	YLR019W	0.025971892
82	YLR052W	0.025839040
83	YOL080C	0.025294208
84	YBR297W	0.024951321
85	YDL170W	0.024689989
86	YLR021W	0.024654423
87	YCR091W	0.024632023
88	YPL042C	0.024352877
89	YFL052W	0.024232344
90	YKL015W	0.024170715
91	YDR156W	0.024035778
92	YLL054C	0.024009323
93	YNL288W	0.023904585
94	YMR246W	0.023589165
95	YJR073C	0.023440187
96	YCR008W	0.023301944
97	YNR032W	0.023297236
98	YNL021W	0.022961466
99	YER089C	0.022899879
100	YDR375C	0.022551734
101	YKL130C	0.022431768
102	YCR106W	0.022414289
103	YPR149W	0.022295410
104	YLR364W	0.022128874
105	YDL006W	0.022097083
106	YHR127W	0.022085798
107	YKR001C	0.022015588
108	YDR513W	0.021872441
109	YNL311C	0.021847732
110	YIL130W	0.021809202
111	YOL104C	0.021748355
