rank	yeast_gene	ensemble_score
1	YLR019W	0.086508467
2	YDL188C	0.077014301
3	YNR032W	0.073629149
4	YAL021C	0.071083822
5	YNL323W	0.066524069
6	YLL010C	0.065743284
7	YMR261C	0.061627309
8	YML100W	0.060167712
9	YPL179W	0.059348014
10	YPL042C	0.059244297
11	YGL163C	0.058123047
12	YOL016C	0.054568178
13	YDR057W	0.054483421
14	YDL134C	0.051122259
15	YIR026C	0.050633224
16	YDR219C	0.049484076
17	YMR273C	0.048737038
18	YLR398C	0.048118219
19	YPR111W	0.047762899
20	YBR073W	0.047625532
21	YNL330C	0.047439194
22	YNL076W	0.046593528
23	YML006C	0.046137513
24	YNR047W	0.045968333
25	YKR017C	0.044872439
26	YLR207W	0.043781896
27	YPL123C	0.043743870
28	YDL138W	0.043086640
29	YNL154C	0.042610590
30	YAL053W	0.042603475
31	YLR219W	0.042342935
32	YHR031C	0.041891189
33	YDR074W	0.041871797
34	YMR080C	0.040620063
35	YNL142W	0.040216595
36	YPL055C	0.039896690
37	YGR135W	0.039797299
38	YDL194W	0.039683693
39	YKL034W	0.039600386
40	YNL288W	0.039209754
41	YKR019C	0.038684010
42	YHR079C	0.038589551
43	YPL049C	0.037920473
44	YOL042W	0.037880569
45	YKR067W	0.037814838
46	YDR490C	0.037701371
47	YPL176C	0.037294342
48	YJL083W	0.036550936
49	YBR223C	0.036000559
50	YAR018C	0.035809373
51	YJR059W	0.035611126
52	YML109W	0.034127759
53	YLL048C	0.033989768
54	YPL154C	0.033590574
55	YOR339C	0.033516140
56	YGL240W	0.033451892
57	YIR025W	0.033177596
58	YMR129W	0.032704022
59	YER164W	0.032570965
60	YNL021W	0.032483120
61	YHL002W	0.032472473
62	YPL180W	0.032379588
63	YHR032W	0.032287712
64	YFR015C	0.031657017
65	YDR075W	0.031392222
66	YBL052C	0.030989472
67	YMR224C	0.030803968
68	YKL161C	0.030600119
69	YGR276C	0.030298282
70	YKR093W	0.029987659
71	YOR101W	0.029845968
72	YOL013C	0.029118097
73	YDR386W	0.028854530
74	YBR028C	0.028800060
75	YFL033C	0.028746147
76	YBR059C	0.028727071
77	YAL024C	0.028712085
78	YOR304W	0.028682340
79	YIL107C	0.028234303
80	YNL097C	0.028077843
81	YOR197W	0.027903256
82	YML057W	0.027360911
83	YOR290C	0.027060534
84	YER176W	0.026877362
85	YGL194C	0.026542522
86	YGL181W	0.026316392
87	YKL139W	0.026305251
88	YDR096W	0.026258276
89	YER100W	0.026219031
90	YNL130C	0.026170317
91	YHR082C	0.026000194
92	YMR186W	0.025905980
93	YKR039W	0.025811976
94	YHR202W	0.025663795
95	YJL149W	0.025010072
96	YOL113W	0.025003610
97	YPL109C	0.024911349
98	YDL149W	0.024882053
99	YOL080C	0.024750489
100	YDR518W	0.024250311
101	YMR065W	0.024166504
102	YGR180C	0.023887780
103	YMR070W	0.023784829
104	YPL274W	0.023586783
105	YOR153W	0.023448611
106	YJR084W	0.023441965
107	YDL035C	0.023343632
108	YDR507C	0.023232119
109	YPL164C	0.023130017
110	YPL031C	0.023113400
111	YML068W	0.023011713
112	YER167W	0.022895823
113	YDR265W	0.022673153
114	YGL066W	0.022515180
115	YOR162C	0.022442703
116	YDR422C	0.022437285
117	YLR342W	0.022408377
118	YHR030C	0.022326861
119	YHR033W	0.022199122
120	YIR002C	0.022153239
121	YCL024W	0.022132221
122	YPR075C	0.021977339
123	YHR135C	0.021903539
124	YDR263C	0.021462779
125	YBR203W	0.021301229
126	YNL106C	0.021078739
127	YBR245C	0.020992499
128	YMR234W	0.020943450
129	YDR477W	0.020709088
130	YPL203W	0.020622655
131	YDR291W	0.020480634
132	YNL027W	0.020480240
133	YEL012W	0.020391381
134	YGL173C	0.020382346
135	YMR190C	0.020345799
136	YJL073W	0.020203290
137	YNL223W	0.020143845
138	YMR136W	0.019971995
139	YBL007C	0.019958217
140	YNL311C	0.019947465
141	YNL098C	0.019915339
142	YGL216W	0.019789917
143	YLR433C	0.019721726
144	YMR019W	0.019711679
145	YNL008C	0.019697698
146	YFR038W	0.019489952
147	YDR283C	0.019374731
