rank	yeast_gene	ensemble_score
1	YHL006C	0.040448265
2	YOR197W	0.039794833
3	YLR048W	0.035212565
4	YHR202W	0.034202539
5	YML102W	0.033811746
6	YDR488C	0.033635074
7	YJL073W	0.032591173
8	YDR213W	0.032553846
9	YGL070C	0.032252999
10	YHL025W	0.031914720
11	YOL086W-A	0.031641963
12	YLR385C	0.031159231
13	YNL314W	0.030669508
14	YFL052W	0.030499519
15	YEL018W	0.029662735
16	YPL037C	0.029251044
17	YCL040W	0.028851312
18	YLR234W	0.028212673
19	YBL007C	0.028162274
20	YGR288W	0.027745960
21	YKL086W	0.027393695
22	YGL058W	0.027149045
23	YHL002W	0.026957623
24	YDL170W	0.026752253
25	YGL211W	0.026505125
26	YLR258W	0.026499937
27	YBR297W	0.026058802
28	YCR020C-A	0.025560190
29	YNL009W	0.024890331
30	YJL030W	0.024176702
31	YML124C	0.022878188
32	YGL181W	0.022379775
33	YGR247W	0.022015756
34	YJL210W	0.021217153
35	YDR252W	0.020879769
36	YML099C	0.020609460
37	YHR200W	0.020242279
38	YIL146C	0.020140500
39	YPR196W	0.019633923
40	YPL203W	0.019587913
41	YIL040W	0.019523163
42	YBR240C	0.019378787
43	YLR174W	0.019292006
44	YMR019W	0.019280991
45	YCR106W	0.017849088
46	YBR009C	0.017774962
47	YGL248W	0.017311156
48	YNL159C	0.017161926
49	YNL199C	0.017066481
50	YOR113W	0.016905079
51	YIL042C	0.016848816
52	YBL078C	0.016196545
53	YOR290C	0.016133873
54	YBR059C	0.016038852
55	YBR057C	0.015882113
56	YKL029C	0.015294906
57	YPL096C-A	0.015169048
58	YLR368W	0.014809347
59	YEL066W	0.014794491
60	YMR069W	0.013975786
61	YPL144W	0.013908646
62	YLR228C	0.013427444
63	YKL002W	0.013372806
64	YMR030W	0.012969708
65	YPL199C	0.012733334
66	YPL154C	0.012576433
67	YIR025W	0.012576051
68	YCL010C	0.012500526
69	YLL062C	0.012261390
70	YBL021C	0.012208597
71	YOL051W	0.012173934
72	YDR101C	0.012112584
73	YBR112C	0.011575945
74	YJL137C	0.011550788
75	YIL132C	0.011387465
76	YER184C	0.011210733
77	YLR192C	0.011192242
78	YPL042C	0.010987836
79	YNL076W	0.010810480
80	YMR258C	0.010707952
81	YNL307C	0.010640479
82	YBR010W	0.010627478
83	YMR074C	0.010592310
84	YNR063W	0.010592042
85	YMR274C	0.010320226
86	YLR329W	0.010245589
87	YLR207W	0.010218836
88	YDR518W	0.010088417
89	YDL080C	0.009967054
90	YDL230W	0.009922972
91	YGL089C	0.009876769
92	YAL021C	0.009858152
93	YFR015C	0.009821683
94	YOR358W	0.009608162
95	YBR175W	0.009533789
96	YGR180C	0.009107953
97	YHR033W	0.009025445
98	YGL220W	0.008873716
99	YPR164W	0.008858475
100	YKR054C	0.008818967
101	YML051W	0.008778308
102	YBR228W	0.008744868
103	YER179W	0.008739171
104	YBL003C	0.008565985
105	YGL240W	0.008558844
106	YJR127C	0.008469656
107	YMR164C	0.008404630
108	YDR260C	0.008399838
109	YKL190W	0.008371185
110	YKL032C	0.008256163
111	YKL041W	0.008093060
112	YPL176C	0.008060960
113	YJR084W	0.007876601
114	YNL288W	0.007707007
115	YBR107C	0.007639457
116	YLR233C	0.007614364
117	YOR140W	0.007602783
118	YPL049C	0.007564309
119	YKL222C	0.007558180
120	YLR325C	0.007446490
121	YGR044C	0.007441730
122	YJL065C	0.007397565
123	YGL066W	0.007360522
124	YLR381W	0.007258935
125	YAL054C	0.007198019
126	YLR266C	0.007081058
127	YOR106W	0.007002598
128	YKR093W	0.006684254
129	YMR186W	0.006503904
130	YDL197C	0.006432692
131	YDR392W	0.006403581
132	YDR121W	0.006295314
133	YLR052W	0.006181931
134	YPR199C	0.006128361
135	YLR224W	0.006113586
136	YLR154C	0.006008952
137	YIL122W	0.006008750
138	YOR339C	0.005956588
139	YEL037C	0.005942005
140	YER040W	0.005791343
141	YLR364W	0.005711528
142	YFL028C	0.005710640
143	YDL171C	0.005704368
144	YKR017C	0.005538564
145	YKL054C	0.005522817
146	YHR003C	0.005478391
147	YLR342W	0.005471153
148	YIL036W	0.005468263
149	YMR127C	0.005457609
150	YER143W	0.005452035
151	YNL068C	0.005435730
152	YDR110W	0.005426409
153	YMR276W	0.005401857
154	YOL012C	0.005389785
155	YGL019W	0.005326487
156	YMR070W	0.005312884
157	YBR201W	0.005251223
158	YBL024W	0.005225988
159	YLL042C	0.005187977
160	YLR384C	0.005130937
161	YJR021C	0.005129455
162	YOL042W	0.005008720
163	YDR192C	0.004923090
164	YNL330C	0.004922654
165	YLR265C	0.004831617
166	YDR423C	0.004804140
167	YLR018C	0.004632431
168	YNL323W	0.004581549
169	YPR149W	0.004465226
170	YLR231C	0.004347636
171	YLR199C	0.004342326
172	YMR182C	0.004311376
173	YHR127W	0.004291757
174	YPL273W	0.004174237
175	YML118W	0.004167766
176	YDR120C	0.004162629
177	YDL200C	0.004162006
178	YKL062W	0.004140083
179	YML088W	0.004120804
180	YLR315W	0.004042884
181	YDR370C	0.004005624
182	YHR066W	0.003907942
183	YML082W	0.003900439
184	YMR026C	0.003872618
185	YGL043W	0.003862200
186	YAL002W	0.003808132
187	YMR116C	0.003791382
188	YDR123C	0.003740585
189	YHL022C	0.003733938
190	YGL254W	0.003726481
191	YGR173W	0.003682320
192	YNL008C	0.003680465
193	YIL009C-A	0.003655623
194	YML058W	0.003603582
195	YJL153C	0.003597414
196	YML011C	0.003559514
197	YJR069C	0.003490197
198	YBL009W	0.003423562
199	YER162C	0.003423130
200	YKL214C	0.003400611
201	YOR380W	0.003275814
202	YGR200C	0.003268315
203	YLL002W	0.003117369
204	YIL153W	0.003058573
205	YKL009W	0.003053386
206	YLL022C	0.003041988
207	YBR289W	0.003016286
208	YDR004W	0.002977749
209	YBR212W	0.002968878
210	YMR263W	0.002880345
211	YML068W	0.002863316
212	YAR035W	0.002821976
213	YBL006C	0.002706210
214	YDL154W	0.002705394
215	YBL051C	0.002703234
216	YGL035C	0.002682761
217	YML113W	0.002680797
218	YCR020W-B	0.002679134
219	YBL103C	0.002670004
220	YNL072W	0.002617682
221	YDR482C	0.002612299
222	YHR206W	0.002611873
223	YMR264W	0.002611538
224	YPL187W	0.002604357
225	YDR066C	0.002602276
226	YDR079C-A	0.002586083
227	YGL213C	0.002576119
228	YPL015C	0.002544991
229	YNL248C	0.002531546
230	YER139C	0.002495232
231	YLL054C	0.002463092
232	YPL164C	0.002448151
233	YLR352W	0.002421028
234	YDR312W	0.002420878
235	YFR053C	0.002399603
236	YGR249W	0.002377839
237	YAL039C	0.002319393
238	YMR016C	0.002306801
239	YLR098C	0.002289241
240	YHR030C	0.002257661
241	YDR432W	0.002224719
242	YGL087C	0.002116681
243	YGL209W	0.002112404
244	YGL253W	0.002049638
245	YDL090C	0.002039369
246	YAL046C	0.002022015
247	YBR150C	0.001989526
248	YBL066C	0.001985785
249	YOR229W	0.001975835
250	YMR180C	0.001948499
251	YDR155C	0.001931408
252	YPR125W	0.001878551
253	YNL209W	0.001849353
254	YLR074C	0.001837366
255	YPR015C	0.001832875
256	YKL068W	0.001828277
257	YGL246C	0.001784122
258	YOR337W	0.001732346
259	YCL011C	0.001712658
260	YGL021W	0.001657758
261	YBR223C	0.001641870
262	YAL044W-A	0.001598863
263	YLR085C	0.001591935
264	YJR014W	0.001529798
265	YLR288C	0.001524926
266	YPL018W	0.001509082
267	YOR144C	0.001499188
268	YGL232W	0.001476274
269	YMR280C	0.001470749
270	YJL013C	0.001468043
271	YPL047W	0.001408614
272	YOR354C	0.001399175
273	YFL049W	0.001365849
274	YCR087C-A	0.001348400
275	YNR004W	0.001342456
276	YNL016W	0.001339166
277	YPR008W	0.001318677
278	YOL089C	0.001296718
279	YNR074C	0.001294976
280	YOR047C	0.001276230
281	YNL224C	0.001261046
282	YBL002W	0.001212147
283	YPL021W	0.001197249
284	YAR003W	0.001195058
285	YDR244W	0.001185365
286	YDR315C	0.001175484
287	YMR037C	0.001161613
288	YOR213C	0.001159092
289	YHR041C	0.001149518
290	YGL014W	0.001148021
291	YDR076W	0.001147706
292	YKL067W	0.001134266
293	YMR136W	0.001116927
