rank	yeast_gene	ensemble_score
1	YPL096C-A	0.050138271
2	YDR260C	0.043943824
3	YNR032C-A	0.043354653
4	YML058W-A	0.040323171
5	YOL104C	0.039420237
6	YLR385C	0.038629223
7	YAL027W	0.035340064
8	YML102W	0.033052030
9	YGL058W	0.032779592
10	YGR275W	0.032745900
11	YHR195W	0.031873350
12	YLR021W	0.029520098
13	YGR206W	0.029501288
14	YDR252W	0.029099025
15	YLR224W	0.027984596
16	YER044C-A	0.027471123
17	YLR329W	0.027427418
18	YEL066W	0.026101925
19	YKL161C	0.025461426
20	YFL052W	0.025372050
21	YKL130C	0.025191023
22	YCR020W-B	0.024496461
23	YBL006C	0.023817800
24	YGL070C	0.023543019
25	YGL168W	0.023343173
26	YDL076C	0.023188397
27	YOR189W	0.023016147
28	YBL003C	0.022883497
29	YGR288W	0.022436266
30	YBR297W	0.022118691
31	YGL211W	0.021229909
32	YDR216W	0.020902527
33	YLR258W	0.020290805
34	YLR315W	0.020178734
35	YLL002W	0.019992533
36	YOL012C	0.019920649
37	YNL307C	0.019776007
38	YCR020C-A	0.019698324
39	YMR069W	0.019573549
40	YHR030C	0.019363796
41	YKL086W	0.019045639
42	YLR234W	0.018910304
43	YBL021C	0.018816198
44	YHL006C	0.018521010
45	YBR285W	0.018250047
46	YJL030W	0.017806745
47	YNL288W	0.017803948
48	YMR019W	0.017464810
49	YIR013C	0.016904620
50	YPR040W	0.016869159
51	YER035W	0.016652185
52	YDR488C	0.016148119
53	YLR445W	0.015823687
54	YBL078C	0.015363118
55	YGL220W	0.015362835
56	YNL311C	0.014411629
57	YOL086W-A	0.014100264
58	YHR200W	0.014028187
59	YER092W	0.013689229
60	YBL005W	0.013658586
61	YGR134W	0.013550422
62	YNL210W	0.013019933
63	YML036W	0.012929295
64	YPR196W	0.012609335
65	YOR339C	0.012578738
66	YBR240C	0.012488234
67	YNR004W	0.012191523
68	YGL237C	0.012076304
69	YMR263W	0.012051670
70	YER184C	0.011857626
71	YGR247W	0.011758608
72	YCR087C-A	0.011423409
73	YMR274C	0.011320345
74	YKR017C	0.011170674
75	YDR079C-A	0.011129425
76	YML058W	0.011117616
77	YKL190W	0.011002863
78	YBL002W	0.010870043
79	YLL054C	0.010589519
80	YCL010C	0.010567798
81	YJR084W	0.010389840
82	YML099C	0.009894888
83	YAL055W	0.009537619
84	YNL159C	0.009127714
85	YMR191W	0.009094873
86	YGL248W	0.008775617
87	YHR157W	0.008705072
88	YPL226W	0.008668712
89	YMR116C	0.008655813
90	YPL031C	0.008607607
91	YBR228W	0.008251468
92	YLR154C	0.008146233
93	YPR101W	0.008036447
94	YFR053C	0.008027571
95	YOR179C	0.007941885
96	YEL018W	0.007661052
97	YNL314W	0.007630384
98	YLR368W	0.007431228
99	YML124C	0.007417258
100	YBR010W	0.007413444
101	YPR093C	0.007347136
102	YER179W	0.007252699
103	YHL025W	0.007178157
104	YJL089W	0.007146741
105	YGR071C	0.007068772
106	YOR358W	0.007039544
107	YHL027W	0.007032720
108	YPR199C	0.006961442
109	YCR106W	0.006847385
110	YOL082W	0.006727629
111	YJL210W	0.006693288
112	YML082W	0.006510081
113	YPL015C	0.006468647
114	YOR185C	0.006298767
115	YLR342W	0.006275300
116	YDL080C	0.006193087
117	YGL253W	0.006121355
118	YDR253C	0.006112129
119	YBR272C	0.006103107
120	YKR054C	0.006044712
121	YJR069C	0.006015577
122	YLR233C	0.005911806
123	YLR231C	0.005811543
124	YJR127C	0.005763128
125	YDR139C	0.005717243
126	YBR140C	0.005575062
127	YFR015C	0.005546827
128	YML011C	0.005539425
129	YDR121W	0.005463935
130	YLR048W	0.005456942
131	YPL021W	0.005425698
132	YHR167W	0.005303904
133	YLR102C	0.005280649
134	YLR074C	0.005275082
135	YNR063W	0.005188295
136	YDL051W	0.005124345
137	YML051W	0.005095186
138	YOR047C	0.004964175
139	YDR155C	0.004955244
140	YGR067C	0.004944216
141	YDR073W	0.004880648
142	YPR149W	0.004870726
143	YGR202C	0.004864397
144	YBR201W	0.004854826
145	YBR112C	0.004836626
146	YBL088C	0.004828916
147	YBR107C	0.004818023
148	YJL124C	0.004673656
149	YGL240W	0.004537094
150	YDR156W	0.004533719
151	YCL040W	0.004506467
152	YLL022C	0.004458333
153	YHR135C	0.004408327
154	YFR036W	0.004357908
155	YKL212W	0.004345610
156	YGL013C	0.004282964
157	YPL199C	0.004254248
158	YPL144W	0.004241647
159	YKL160W	0.004151775
160	YJL013C	0.004149706
161	YNL128W	0.004136653
162	YGR173W	0.004101814
163	YNL209W	0.004093463
164	YDR022C	0.003936701
165	YHR041C	0.003902046
166	YBR188C	0.003899801
167	YDR163W	0.003831130
168	YPL038W	0.003711921
169	YDR482C	0.003592348
170	YMR100W	0.003561286
171	YPL149W	0.003545130
172	YMR180C	0.003451153
173	YIL132C	0.003433806
174	YPL216W	0.003397310
175	YMR042W	0.003378325
176	YDR131C	0.003295834
177	YLR119W	0.003239800
178	YGL087C	0.003214256
179	YGL115W	0.003154675
180	YKL009W	0.003153957
181	YJR014W	0.002999426
182	YPL037C	0.002990537
183	YGL078C	0.002984687
184	YOR213C	0.002979907
185	YLR325C	0.002919550
186	YDR432W	0.002911179
187	YGL222C	0.002890503
188	YLR376C	0.002881389
189	YLR377C	0.002865256
190	YBR009C	0.002811748
191	YER110C	0.002793924
192	YDR392W	0.002787856
193	YGR180C	0.002779117
194	YOL006C	0.002774870
195	YOL067C	0.002758782
196	YPL026C	0.002745389
197	YMR055C	0.002727342
198	YGR019W	0.002712700
199	YJL065C	0.002710156
200	YGL246C	0.002704023
201	YEL037C	0.002683739
202	YAR003W	0.002615280
203	YML113W	0.002599815
204	YJL056C	0.002572872
205	YER106W	0.002538981
206	YGR044C	0.002523048
207	YPL192C	0.002459961
208	YLR384C	0.002421069
209	YGR122W	0.002420748
210	YNL201C	0.002407928
211	YFL014W	0.002357229
212	YOR295W	0.002352024
213	YOR363C	0.002323729
214	YNL289W	0.002300859
215	YML081W	0.002273990
216	YNL008C	0.002245242
217	YBR165W	0.002238394
218	YJL115W	0.002235045
219	YKL067W	0.002226545
220	YBR175W	0.002180974
221	YDR423C	0.002162618
222	YBR033W	0.002096224
223	YPR164W	0.002090825
224	YLL042C	0.002081639
225	YNL025C	0.002062567
226	YMR273C	0.002036418
227	YNR010W	0.002008271
228	YOL081W	0.001964162
229	YLR266C	0.001908939
230	YLR013W	0.001844500
231	YMR021C	0.001835505
232	YMR127C	0.001819139
233	YNL330C	0.001799511
234	YGL166W	0.001792371
235	YDL213C	0.001736304
236	YDL200C	0.001703691
237	YGL019W	0.001696049
238	YKL206C	0.001681504
239	YMR186W	0.001665765
240	YIR025W	0.001629948
241	YDL059C	0.001629354
242	YPL042C	0.001571149
243	YGL043W	0.001565128
244	YBR182C	0.001562361
245	YJR094C	0.001548841
246	YPR068C	0.001527627
247	YPL033C	0.001515437
248	YHR066W	0.001469192
249	YPR054W	0.001457678
250	YLR016C	0.001393940
251	YFR001W	0.001331810
252	YHR034C	0.001323795
253	YLR136C	0.001315253
254	YBR195C	0.001305829
255	YNL147W	0.001278545
256	YOR061W	0.001262751
257	YPL002C	0.001245520
258	YEL015W	0.001228997
259	YNL236W	0.001227551
260	YOR014W	0.001223755
261	YDL170W	0.001178241
262	YDL154W	0.001168175
263	YGR200C	0.001150268
264	YKR034W	0.001142651
265	YGL125W	0.001129011
266	YGL195W	0.001099924
267	YNL016W	0.001095324
268	YDR273W	0.001085550
269	YPL125W	0.001083913
270	YGL213C	0.001079208
271	YOL108C	0.001061470
272	YGL151W	0.001037966
273	YDL197C	0.001027938
274	YPL213W	0.001013963
275	YER174C	0.000986357
276	YER002W	0.000959340
277	YDR312W	0.000957990
278	YIL128W	0.000954816
279	YGL254W	0.000943020
280	YGR225W	0.000942781
281	YGL127C	0.000933745
282	YJR073C	0.000923141
283	YIR001C	0.000907771
284	YBR062C	0.000888189
285	YKL002W	0.000846376
286	YLR085C	0.000841048
287	YPR046W	0.000824261
288	YOL028C	0.000788853
289	YBR066C	0.000747537
290	YHR193C	0.000731279
291	YGL029W	0.000715630
292	YBR276C	0.000710599
293	YPR160W	0.000705379
294	YER063W	0.000686708
295	YBR217W	0.000673939
296	YBL024W	0.000642400
297	YMR255W	0.000627804
298	YLR024C	0.000621858
299	YDR223W	0.000618093
300	YPL139C	0.000591772
301	YNL323W	0.000572346
302	YMR173W	0.000568305
303	YGL229C	0.000564407
304	YLR364W	0.000553242
305	YLR148W	0.000540680
306	YLR417W	0.000525170
307	YFR032C	0.000506378
308	YLL039C	0.000501588
309	YIL009C-A	0.000497709
310	YPR015C	0.000486404
311	YPL127C	0.000479950
312	YOR076C	0.000472209
313	YDR110W	0.000449689
314	YHL020C	0.000447767
315	YMR026C	0.000438884
316	YDR383C	0.000419808
317	YBR111W-A	0.000419023
318	YDR009W	0.000392725
319	YBL039C	0.000364616
320	YGR133W	0.000343680
321	YDL002C	0.000342631
322	YDR364C	0.000335093
323	YJL110C	0.000335059
324	YDR335W	0.000318411
325	YDR517W	0.000315852
326	YPL055C	0.000313303
327	YFL028C	0.000311772
328	YJL048C	0.000310862
329	YKR060W	0.000300460
330	YIL133C	0.000266230
331	YMR138W	0.000260309
332	YOR315W	0.000258264
333	YIR018W	0.000256166
334	YDL190C	0.000254307
335	YBR150C	0.000253419
336	YHR152W	0.000243829
337	YPL024W	0.000241010
338	YNR074C	0.000233776
339	YOR229W	0.000229545
340	YER142C	0.000226175
341	YIL122W	0.000211702
342	YDR143C	0.000207224
343	YHL010C	0.000190459
344	YGL094C	0.000181633
345	YBR141C	0.000180230
346	YPL157W	0.000145818
347	YNL009W	0.000138640
348	YDR101C	0.000135322
349	YKL205W	0.000128625
350	YDL005C	0.000118168
351	YNL248C	0.000116286
352	YMR233W	0.000109279
353	YLR421C	0.000105591
354	YDL090C	0.000096887
355	YMR153W	0.000089870
356	YBR231C	0.000078775
357	YIL084C	0.000075160
358	YMR294W	0.000070685
359	YLR216C	0.000059524
360	YOR091W	0.000053352
361	YDR480W	0.000051536
362	YGL232W	0.000051286
363	YLR247C	0.000049672
364	YFL031W	0.000043909
365	YPL187W	0.000041437
366	YPL018W	0.000040410
367	YDR076W	0.000036672
368	YIL016W	0.000020808
369	YOR230W	0.000004130
370	YMR269W	-0.000005457
371	YDR395W	-0.000005695
372	YGR232W	-0.000019930
373	YBL008W	-0.000021151
374	YCR086W	-0.000022340
375	YNL022C	-0.000034293
376	YDR192C	-0.000036688
377	YBR065C	-0.000041415
378	YNR024W	-0.000042924
379	YLR394W	-0.000045251
380	YDR363W-A	-0.000057710
381	YJL153C	-0.000064730
382	YDR030C	-0.000070795
383	YBR233W	-0.000089494
384	YMR044W	-0.000093390
385	YPL241C	-0.000094232
386	YNL136W	-0.000106834
387	YDR151C	-0.000107329
388	YIR017C	-0.000107485
389	YHR033W	-0.000108057
390	YER177W	-0.000111707
391	YNL286W	-0.000111761
392	YPR018W	-0.000113416
393	YLR418C	-0.000113482
394	YML041C	-0.000116702
395	YDR279W	-0.000118586
396	YPR023C	-0.000122116
397	YKL041W	-0.000124851
398	YBR212W	-0.000134561
399	YHL034C	-0.000136700
400	YDR314C	-0.000138252
401	YKR036C	-0.000141629
402	YGR129W	-0.000142372
403	YBR059C	-0.000148279
404	YAL002W	-0.000149217
405	YJR099W	-0.000149861
406	YMR159C	-0.000151677
407	YJR102C	-0.000155206
408	YDR255C	-0.000155571
409	YLR180W	-0.000157107
410	YKR048C	-0.000157689
411	YLR052W	-0.000162051
412	YCR066W	-0.000163617
413	YBR089C-A	-0.000168934
414	YLR435W	-0.000169315
415	YPL121C	-0.000169644
416	YPL064C	-0.000178453
417	YNL138W	-0.000178594
418	YOL111C	-0.000191159
419	YOR112W	-0.000193219
420	YCR016W	-0.000201795
421	YPL066W	-0.000212748
422	YDR066C	-0.000214997
423	YLR265C	-0.000216188
424	YDR496C	-0.000217521
425	YDR370C	-0.000220415
426	YPR057W	-0.000228228
427	YMR176W	-0.000234475
428	YHR171W	-0.000242838
429	YOL041C	-0.000245576
430	YKL113C	-0.000245777
431	YKL074C	-0.000249419
432	YLR453C	-0.000260380
433	YOL093W	-0.000260725
434	YPR022C	-0.000260877
435	YDR117C	-0.000263991
436	YJL176C	-0.000264282
437	YPL253C	-0.000266711
438	YDR419W	-0.000270701
439	YPL254W	-0.000271525
440	YLR429W	-0.000273327
441	YER045C	-0.000283215
442	YGR072W	-0.000286938
443	YDR254W	-0.000288908
444	YDL074C	-0.000290640
445	YGL004C	-0.000292424
446	YOR208W	-0.000292507
447	YBR279W	-0.000295981
448	YPL177C	-0.000296215
449	YMR036C	-0.000296972
450	YKL110C	-0.000297119
451	YBR258C	-0.000298390
452	YDL135C	-0.000308006
453	YPL047W	-0.000308569
454	YLR107W	-0.000314222
455	YFR034C	-0.000322583
456	YKL149C	-0.000322751
457	YNL253W	-0.000336898
458	YOR023C	-0.000344332
459	YAL040C	-0.000345555
460	YJL036W	-0.000346606
461	YJR050W	-0.000347237
462	YIL056W	-0.000350541
463	YFL049W	-0.000352816
464	YCR014C	-0.000358573
465	YDR463W	-0.000373498
466	YPL138C	-0.000374462
467	YER162C	-0.000374682
468	YKR092C	-0.000380873
469	YDR495C	-0.000382675
470	YDR443C	-0.000384901
471	YLR094C	-0.000385359
