rank	yeast_gene	ensemble_score
1	YEL013W	0.102124862
2	YKL190W	0.093727538
3	YKR059W	0.093454545
4	YOR185C	0.080484557
5	YOR380W	0.077192786
6	YML001W	0.065645965
7	YNR032C-A	0.061072327
8	YMR080C	0.060702699
9	YLR329W	0.059533350
10	YOR061W	0.059348532
11	YMR258C	0.058559539
12	YMR138W	0.055608449
13	YDR306C	0.054091523
14	YLR113W	0.051720443
15	YMR100W	0.049964787
16	YHR030C	0.049486074
17	YGL087C	0.049332348
18	YBR062C	0.047757296
19	YGR288W	0.047590567
20	YCL011C	0.046911783
21	YLR352W	0.046643897
22	YPR173C	0.045001307
23	YNL098C	0.043925023
24	YJR052W	0.043120301
25	YKL222C	0.042383121
26	YPL213W	0.041613400
27	YCL010C	0.041562054
28	YPL176C	0.040253983
29	YDL006W	0.039902114
30	YML123C	0.038972084
31	YIR005W	0.038921584
32	YGL252C	0.038895493
33	YJL149W	0.038784199
34	YDR131C	0.038462679
35	YGR040W	0.037906657
36	YMR116C	0.037468515
37	YDR079C-A	0.037304429
38	YFL052W	0.037075018
39	YPL199C	0.036979282
40	YPR196W	0.036332636
41	YGR152C	0.035147500
42	YLR021W	0.035037748
43	YAL053W	0.034382928
44	YBR297W	0.034012001
45	YHR200W	0.033826787
46	YDR252W	0.033575597
47	YPL226W	0.033513405
48	YLR385C	0.033459780
49	YLR207W	0.033413838
50	YDL035C	0.032970094
51	YDR099W	0.032864750
52	YPL154C	0.032782898
53	YPL203W	0.032745455
54	YKL161C	0.032665485
55	YLR368W	0.032481359
56	YLR258W	0.032461104
57	YCR008W	0.032316042
58	YPR093C	0.032103160
59	YCR020C-A	0.031923594
60	YHR032W	0.031906979
61	YHR003C	0.031258602
62	YER031C	0.030932612
63	YLR451W	0.030813953
64	YKL034W	0.030308434
65	YFR015C	0.030220551
66	YOR172W	0.030168158
67	YML099C	0.029868678
68	YER177W	0.029405597
69	YMR119W	0.029360806
70	YMR306W	0.029160866
71	YBR114W	0.028933727
72	YPL037C	0.028839229
73	YGR232W	0.028838897
74	YNL004W	0.028811000
75	YMR202W	0.028748080
76	YML011C	0.028443880
77	YDR518W	0.028207234
78	YJL164C	0.027930479
79	YDR001C	0.027904203
80	YML102W	0.027556818
81	YJL206C	0.027548666
82	YDR139C	0.027097427
83	YGR044C	0.027051952
84	YGL208W	0.027027378
85	YIL035C	0.026967329
86	YDR375C	0.026562377
87	YAL055W	0.026169878
88	YFR014C	0.025741756
89	YJL030W	0.025145639
90	YOL068C	0.025051990
91	YKR039W	0.024851551
92	YER092W	0.024815761
93	YNL154C	0.024793785
94	YNL008C	0.024759626
95	YHR135C	0.024567840
96	YLR364W	0.024146546
97	YGL168W	0.023729389
98	YJL128C	0.023726285
99	YLR154C	0.023707538
100	YLL048C	0.023684360
101	YHR127W	0.023537980
102	YDR517W	0.023496458
103	YOL013C	0.023381203
104	YEL037C	0.023337086
105	YNL311C	0.023164565
106	YFL028C	0.023036701
107	YJL124C	0.022799845
108	YGR275W	0.022745805
109	YNL288W	0.022607099
110	YLR233C	0.022267693
111	YHR202W	0.022190777
112	YOR153W	0.022015276
113	YPL096C-A	0.021972453
114	YOR197W	0.021930985
115	YBL021C	0.021791099
116	YDR260C	0.021785829
