rank	yeast_gene	ensemble_score
1	YNR032W	0.053604720
2	YMR223W	0.048222000
3	YHR031C	0.045597577
4	YER176W	0.044578425
5	YKL017C	0.042107259
6	YKR017C	0.040161917
7	YDR263C	0.039118003
8	YDL188C	0.037430783
9	YGR071C	0.035749899
10	YNL021W	0.035238596
11	YPL274W	0.033772062
12	YDL194W	0.032422843
13	YBR073W	0.032055338
14	YFR038W	0.032031963
15	YMR138W	0.031820977
16	YAL019W	0.031462700
17	YNR063W	0.030338475
18	YDL170W	0.030046804
19	YPL154C	0.029984982
20	YPR054W	0.029869774
21	YPL164C	0.029322464
22	YML068W	0.028506681
23	YPL033C	0.028440580
24	YLR376C	0.028405953
25	YDL134C	0.027420431
26	YBR272C	0.026908752
27	YDR291W	0.024981959
28	YPL192C	0.024689890
29	YDL138W	0.024404076
30	YIR026C	0.024285061
31	YLR262C	0.023507568
32	YOL013C	0.023288928
33	YOL080C	0.023241157
34	YMR080C	0.023239223
35	YER089C	0.022584721
36	YJL073W	0.021819762
37	YPR196W	0.020766905
38	YNL229C	0.020693653
39	YDR315C	0.020677376
40	YOR337W	0.020143684
41	YLR098C	0.019970917
42	YMR019W	0.019790077
43	YDR131C	0.019411290
44	YDL077C	0.019313357
45	YLR329W	0.019277912
46	YLL048C	0.018889578
47	YPL109C	0.018299107
48	YLR024C	0.017736103
49	YPL179W	0.017651369
50	YJL092W	0.017390592
51	YIL073C	0.017089357
52	YMR065W	0.016771651
53	YHL022C	0.016552026
54	YIL132C	0.016381834
55	YDR518W	0.016372789
56	YOR351C	0.015893647
57	YOR380W	0.015725981
58	YDR074W	0.015722540
59	YJL149W	0.015578213
60	YLR398C	0.015271123
61	YKR001C	0.015092261
62	YIR002C	0.014738990
63	YMR234W	0.014467646
64	YOR339C	0.014341021
65	YGL251C	0.014257120
66	YGL163C	0.014194444
67	YDR075W	0.013598957
68	YBR125C	0.013358585
69	YOL042W	0.013064607
70	YDR334W	0.012896278
71	YBR297W	0.012379436
72	YOR368W	0.012295740
73	YLR019W	0.012026994
74	YAL002W	0.012002689
75	YJL056C	0.011564307
76	YLR320W	0.011419527
77	YDR513W	0.011399505
78	YDL154W	0.011056120
79	YPL187W	0.011045245
80	YNL311C	0.011007685
81	YEL061C	0.010946721
82	YBL056W	0.010869998
83	YHR004C	0.010672985
84	YKL114C	0.010407126
85	YLR148W	0.010364422
86	YER164W	0.010359925
87	YBL057C	0.010341344
88	YNL253W	0.010319875
89	YBR058C	0.010306892
90	YJR035W	0.010180273
91	YLR263W	0.010180185
92	YGR270W	0.010131400
93	YOL089C	0.010109976
94	YMR173W	0.010042226
95	YBR186W	0.010018646
96	YDR057W	0.009999980
97	YGR133W	0.009950603
98	YBR150C	0.009918399
99	YLL039C	0.009834739
100	YMR190C	0.009824871
101	YPR141C	0.009748532
102	YIR019C	0.009591240
103	YDR179C	0.009583456
104	YNL204C	0.009524992
105	YDR495C	0.009509628
106	YFL052W	0.009504896
107	YAL055W	0.009451006
108	YLR233C	0.009361520
109	YKL161C	0.009163465
110	YLR368W	0.009055904
111	YGR276C	0.008985951
112	YGR288W	0.008931001
113	YGL078C	0.008911644
114	YMR293C	0.008580169
115	YJR119C	0.008433083
116	YDR458C	0.008409898
117	YLR389C	0.008315836
118	YKR058W	0.008212156
119	YOR290C	0.008157368
120	YMR137C	0.007992376
