rank	yeast_gene	ensemble_score
1	YER177W	0.013008639
2	YEL013W	0.010769708
3	YDR075W	0.010390975
4	YDL236W	0.009880249
5	YML076C	0.009462523
6	YER031C	0.009333483
7	YMR246W	0.008498527
8	YDR099W	0.008183494
9	YNR032W	0.007929962
10	YGL013C	0.006624653
11	YAL009W	0.006558451
12	YKL190W	0.006547838
13	YGR067C	0.006337824
14	YGL253W	0.006196578
15	YNL311C	0.006136281
16	YJR096W	0.005821723
17	YKR039W	0.005758542
18	YLR262C	0.005694222
19	YDL006W	0.005659014
20	YAL053W	0.005479544
21	YKR059W	0.005254635
22	YBR272C	0.004990047
23	YDR001C	0.004839785
24	YBL005W	0.004789452
25	YMR315W	0.004626107
26	YDL134C	0.004565492
27	YDR022C	0.004492345
28	YLL010C	0.004464585
29	YGR208W	0.004402854
30	YNL209W	0.004398284
31	YKL034W	0.004395782
32	YNR063W	0.004311381
33	YDR139C	0.004240344
34	YNL241C	0.004234162
35	YGR157W	0.004216094
36	YGL168W	0.004092442
37	YDR131C	0.004026566
38	YER110C	0.003982705
39	YIL030C	0.003973131
40	YGL043W	0.003848411
41	YBR278W	0.003806881
42	YOL013C	0.003779926
43	YOL042W	0.003743919
44	YDL149W	0.003694926
45	YOL089C	0.003681104
46	YML075C	0.003669070
47	YDR059C	0.003663627
48	YDL170W	0.003661747
49	YMR306W	0.003506569
50	YGR209C	0.003469640
51	YPL164C	0.003446139
52	YPR155C	0.003440438
53	YOR337W	0.003412039
54	YMR258C	0.003380230
55	YOR039W	0.003352656
56	YBR001C	0.003334764
57	YNL330C	0.003302416
58	YPR054W	0.003230879
59	YLR342W	0.003199381
60	YNL142W	0.003195596
61	YPL176C	0.003182887
62	YKL114C	0.003180760
63	YFR053C	0.003180534
64	YJL149W	0.003160453
65	YMR223W	0.003157819
66	YPL154C	0.003100853
67	YIL132C	0.003082360
68	YFR015C	0.003055767
69	YLR180W	0.003044936
70	YJL153C	0.003022871
71	YGR003W	0.003003740
72	YLR453C	0.003000696
73	YBR150C	0.002948532
74	YJR073C	0.002924838
75	YOR209C	0.002868226
76	YMR302C	0.002818686
77	YDR263C	0.002718032
78	YBR290W	0.002668444
79	YIL040W	0.002618232
80	YMR105C	0.002616740
81	YPR149W	0.002613108
82	YPR160W	0.002601441
83	YDL188C	0.002568968
84	YPL179W	0.002527413
85	YOR027W	0.002494674
86	YGL062W	0.002456091
87	YPR075C	0.002428447
88	YBR218C	0.002392323
89	YDL079C	0.002356257
90	YLR258W	0.002350263
91	YNR034W	0.002335106
92	YDR513W	0.002311814
93	YKL213C	0.002310635
94	YPL123C	0.002297306
95	YIL073C	0.002240519
96	YKR067W	0.002237639
97	YGR097W	0.002235761
98	YDL230W	0.002235049
99	YPL199C	0.002228342
100	YJL206C	0.002216266
101	YNL138W	0.002200834
102	YGL060W	0.002146003
103	YML103C	0.002140924
104	YBR034C	0.002133789
105	YLR207W	0.002119963
106	YMR119W	0.002115616
107	YAL002W	0.002111923
