rank	yeast_gene	ensemble_score
1	YOR061W	0.069108982
2	YPL236C	0.066833131
3	YML123C	0.046245620
4	YMR202W	0.040112641
5	YOR380W	0.039502867
6	YCR008W	0.037769450
7	YJL128C	0.037581928
8	YHR003C	0.037489755
9	YGR040W	0.036841801
10	YLR113W	0.036742302
11	YKL027W	0.036634482
12	YBL003C	0.033892973
13	YCR073C	0.030986880
14	YIL035C	0.030849588
15	YNR032C-A	0.030342026
16	YIL095W	0.029910717
17	YFL052W	0.029686789
18	YKL190W	0.028298127
19	YGR288W	0.027688540
20	YOL012C	0.026718405
21	YNL020C	0.026696339
22	YGL252C	0.026498444
23	YHR030C	0.026460939
24	YEL013W	0.023023965
25	YBR297W	0.022381506
26	YKR059W	0.022285287
27	YMR019W	0.022216488
28	YAL054C	0.021702042
29	YBL078C	0.021470274
30	YCL010C	0.021045617
31	YHR032W	0.020272179
32	YPL031C	0.020237411
33	YHR200W	0.019931453
34	YBL002W	0.019839480
35	YAR018C	0.019821738
36	YPR196W	0.019493661
37	YCR106W	0.019359570
38	YMR069W	0.017680676
39	YDL214C	0.017522372
40	YML102W	0.017419067
41	YBR010W	0.017259849
42	YLR451W	0.016302289
43	YLR329W	0.015538627
44	YHR127W	0.015482160
45	YBR097W	0.015475612
46	YEL066W	0.015397615
47	YIL008W	0.015250857
48	YJR073C	0.015012520
49	YPL203W	0.014492535
50	YMR138W	0.014460564
51	YDL035C	0.014091808
52	YER177W	0.013840811
53	YDR099W	0.012978100
54	YNL008C	0.012393308
55	YPL226W	0.012328950
56	YLR258W	0.012216447
57	YCL011C	0.011753470
58	YBR059C	0.011664585
59	YBR276C	0.011233470
60	YOR360C	0.010745602
61	YLR231C	0.010719234
62	YMR055C	0.010652468
63	YGL115W	0.010547681
64	YMR274C	0.010293208
65	YCR020W-B	0.010030707
66	YLL054C	0.009905040
67	YPR173C	0.009806570
68	YLR234W	0.009728570
69	YAL053W	0.009566035
70	YMR119W	0.009411997
71	YOL013C	0.009276585
72	YCR020C-A	0.009268775
73	YPR040W	0.009187723
74	YLR253W	0.009169394
75	YMR191W	0.009090874
76	YNL311C	0.009003257
77	YPR149W	0.008886232
78	YAL055W	0.008849943
79	YML051W	0.008530174
80	YPL096C-A	0.008421041
81	YDL154W	0.008176546
82	YPR093C	0.008019478
83	YDR523C	0.008008104
84	YPL026C	0.007678777
85	YML082W	0.007641634
86	YML099C	0.007156698
87	YBR141C	0.007070911
88	YNL288W	0.006945924
89	YML121W	0.006836419
90	YGR247W	0.006670495
91	YBR062C	0.006667814
92	YOR298C-A	0.006652056
93	YLR266C	0.006623681
94	YDR026C	0.006448206
95	YGL100W	0.006423319
96	YOL117W	0.006348120
97	YKL161C	0.006342010
98	YFR015C	0.006302091
99	YDR247W	0.006247986
100	YPR101W	0.006135895
101	YNL330C	0.006062046
102	YDL036C	0.005973027
103	YLR055C	0.005972057
104	YBR009C	0.005809054
105	YFR001W	0.005795118
106	YPL042C	0.005708009
107	YKL171W	0.005699223
108	YGL004C	0.005604359
109	YJR069C	0.005546248
110	YJL030W	0.005542632
111	YML011C	0.005532865
112	YNL314W	0.005499989
113	YJL124C	0.005424983
114	YBR217W	0.005365515
115	YJL164C	0.005362011
116	YHR157W	0.005349865
117	YHR041C	0.005320069
118	YOR231W	0.005317740
119	YBL005W	0.005167162
120	YDR216W	0.005167034
121	YOR363C	0.005165695
122	YHL006C	0.005112105
123	YLR377C	0.004877544
124	YPL274W	0.004719861
125	YDR163W	0.004606525
126	YNL004W	0.004501309
127	YER184C	0.004475932
128	YHR202W	0.004456804
129	YGR129W	0.004444903
130	YGR200C	0.004323774
131	YIL113W	0.004168630
132	YLL048C	0.004157654
133	YPL015C	0.004120578
134	YBR033W	0.004087868
135	YGL211W	0.004059914
136	YKL222C	0.004012297
137	YGL070C	0.003964364
138	YIL017C	0.003960082
139	YNL289W	0.003881117
140	YML075C	0.003859216
141	YDL080C	0.003757120
142	YOR172W	0.003632192
143	YGL029W	0.003552572
144	YGL248W	0.003404373
145	YHR178W	0.003391341
146	YDR260C	0.003385135
147	YPL140C	0.003375040
148	YIR017C	0.003356802
149	YGL181W	0.003323987
150	YDR156W	0.003284142
151	YHR195W	0.003272813
152	YOL104C	0.003248832
153	YMR205C	0.003201438
154	YER110C	0.003034674
155	YDR375C	0.003001261
156	YPL213W	0.002982986
157	YLR192C	0.002979718
158	YGR019W	0.002975344
159	YGR232W	0.002975207
160	YLR342W	0.002927920
161	YBL066C	0.002918465
162	YGL013C	0.002900714
163	YMR100W	0.002874710
164	YMR315W	0.002858401
165	YNL209W	0.002857296
166	YNL142W	0.002816164
167	YNL025C	0.002803703
168	YCR087C-A	0.002731509
169	YPL157W	0.002719672
170	YPL192C	0.002706025
171	YDL213C	0.002587564
172	YLR417W	0.002583080
173	YJL089W	0.002544314
174	YDR121W	0.002536756
175	YKR064W	0.002512244
176	YIL009C-A	0.002504279
177	YGR134W	0.002491676
178	YDL006W	0.002460821
179	YIL132C	0.002448998
180	YGR104C	0.002384511
181	YNL159C	0.002375827
182	YKL116C	0.002344233
183	YIL040W	0.002341533
184	YFL028C	0.002325588
185	YNL016W	0.002284357
186	YER002W	0.002278005
187	YDR520C	0.002274040
188	YGR071C	0.002273140
189	YPL149W	0.002259378
190	YNL213C	0.002229934
191	YGR081C	0.002203969
192	YNL307C	0.002182652
193	YDR244W	0.002166948
194	YPR054W	0.002133946
195	YOR112W	0.002122976
196	YDL179W	0.002046774
197	YLR384C	0.002023893
198	YGL243W	0.002018751
199	YLR445W	0.002009522
200	YGL096W	0.001999459
201	YKL048C	0.001986039
202	YJL013C	0.001959344
203	YOR185C	0.001919960
204	YKL015W	0.001907467
205	YAL059W	0.001827250
206	YML058W-A	0.001807691
207	YNL128W	0.001779447
208	YLR385C	0.001743869
209	YDL175C	0.001726997
210	YFL014W	0.001621430
211	YKL010C	0.001593587
212	YOR078W	0.001539573
213	YGR067C	0.001503192
214	YMR255W	0.001471968
215	YPL018W	0.001413693
216	YKL160W	0.001391921
217	YDR139C	0.001344593
218	YLR363C	0.001296523
219	YIL133C	0.001286143
220	YMR159C	0.001281496
221	YMR312W	0.001242099
222	YPL002C	0.001229962
223	YBR280C	0.001229630
224	YBL008W	0.001224150
225	YDR364C	0.001219741
226	YBL021C	0.001192527
227	YBR272C	0.001163285
228	YDR421W	0.001148660
229	YKL011C	0.001137706
230	YPL144W	0.001133083
231	YNR024W	0.001133035
232	YBR186W	0.001130766
233	YHR152W	0.001120391
234	YKR036C	0.001117645
235	YLL042C	0.001082847
236	YNL155W	0.001079829
237	YDR147W	0.001070695
238	YJL187C	0.001067309
239	YJL048C	0.001060036
240	YMR153W	0.001052847
241	YIL016W	0.001018561
242	YAL051W	0.000989575
243	YIL079C	0.000971201
244	YKL206C	0.000947550
245	YJL105W	0.000944187
246	YGR122W	0.000937427
247	YDL013W	0.000931470
248	YLR074C	0.000930127
249	YDR075W	0.000919960
250	YER161C	0.000885565
251	YKL166C	0.000851119
252	YBR188C	0.000850161
253	YNR063W	0.000849180
254	YDR143C	0.000840837
255	YGR152C	0.000836537
256	YLR120C	0.000804894
257	YDR419W	0.000804745
258	YPL066W	0.000780885
259	YDR030C	0.000779551
260	YOR208W	0.000747607
261	YGL213C	0.000737109
262	YNR074C	0.000721707
263	YPL125W	0.000721460
264	YCR028C-A	0.000707757
265	YMR116C	0.000637681
266	YDR110W	0.000632182
267	YLR247C	0.000588255
268	YMR177W	0.000580280
269	YDR383C	0.000562640
270	YLR265C	0.000559313
271	YJR050W	0.000558460
272	YLR199C	0.000510614
273	YJL110C	0.000500725
274	YKL214C	0.000492678
275	YLR431C	0.000464528
276	YLR016C	0.000463060
277	YDL090C	0.000456411
278	YMR133W	0.000432180
279	YAL002W	0.000428129
280	YDL104C	0.000417221
281	YDR022C	0.000403370
282	YER044C-A	0.000401450
283	YDR363W-A	0.000398481
284	YOL086W-A	0.000397060
285	YBR201W	0.000394536
286	YPR068C	0.000382723
287	YBR150C	0.000376555
288	YHL025W	0.000368263
289	YPL064C	0.000356748
290	YMR173W	0.000339093
291	YBR273C	0.000319022
292	YNL116W	0.000292587
293	YOR162C	0.000291539
294	YHL027W	0.000290877
295	YOR153W	0.000288785
296	YMR026C	0.000284262
297	YDR289C	0.000275464
298	YGL174W	0.000256287
299	YDR155C	0.000233758
300	YDR283C	0.000218224
301	YBR065C	0.000217111
302	YDL002C	0.000214158
303	YBR195C	0.000208955
304	YBR098W	0.000200437
305	YIL130W	0.000189539
306	YPL008W	0.000184975
307	YBR240C	0.000174903
308	YJR096W	0.000165320
309	YGL090W	0.000164466
310	YDR191W	0.000152731
311	YMR269W	0.000151060
312	YGL087C	0.000147076
313	YBL024W	0.000143657
314	YEL015W	0.000134839
315	YBR082C	0.000125950
316	YNL147W	0.000114186
317	YHR081W	0.000113855
318	YNL250W	0.000110488
319	YPR164W	0.000109196
320	YDR076W	0.000107237
321	YML058W	0.000103856
322	YHR167W	0.000103007
323	YNL119W	0.000073314
324	YNR034W	0.000064498
325	YGR225W	0.000063681
326	YGL220W	0.000056765
327	YOR025W	0.000053884
328	YOL089C	0.000041449
329	YOL017W	0.000028884
330	YGR003W	0.000026523
331	YOR144C	0.000018737
332	YLR150W	0.000014763
333	YMR247C	0.000009210
334	YOR371C	-0.000006455
335	YHR207C	-0.000016008
336	YNL215W	-0.000022696
337	YLR035C	-0.000042945
338	YOL041C	-0.000055211
339	YIR001C	-0.000056122
340	YBR175W	-0.000060992
341	YCR066W	-0.000065231
342	YDL127W	-0.000074628
343	YMR048W	-0.000075485
344	YLR394W	-0.000076038
345	YPL138C	-0.000080435
346	YJR052W	-0.000091103
347	YDR279W	-0.000097449
348	YDL170W	-0.000102734
349	YIL084C	-0.000109430
350	YHL024W	-0.000112482
351	YBR285W	-0.000114557
352	YER028C	-0.000120554
353	YOR027W	-0.000131399
354	YCR092C	-0.000132258
355	YPR007C	-0.000133714
356	YJR030C	-0.000135988
357	YMR036C	-0.000141262
358	YLR013W	-0.000143268
359	YMR263W	-0.000146331
360	YDL059C	-0.000147141
361	YER063W	-0.000153422
362	YFR036W	-0.000153686
363	YJL204C	-0.000156944
364	YMR285C	-0.000160673
365	YDR223W	-0.000165902
366	YLR263W	-0.000176789
367	YNL136W	-0.000177083
368	YEL037C	-0.000177800
369	YMR042W	-0.000180222
370	YGL179C	-0.000199706
371	YLR455W	-0.000203003
372	YFL031W	-0.000204589
373	YPL248C	-0.000204643
374	YBR231C	-0.000207958
375	YPL177C	-0.000210949
376	YNL098C	-0.000214332
377	YER174C	-0.000225414
378	YOR295W	-0.000234726
379	YJR135C	-0.000235125
380	YOR243C	-0.000236793
381	YMR294W	-0.000237671
382	YPL038W	-0.000241180
383	YKL213C	-0.000242467
384	YLL019C	-0.000243371
385	YAL040C	-0.000249247
386	YPL241C	-0.000249981
387	YKR039W	-0.000250228
388	YAL044W-A	-0.000253176
389	YLR320W	-0.000255550
390	YJR043C	-0.000263982
391	YGL078C	-0.000266672
392	YNL286W	-0.000268790
393	YOL028C	-0.000276168
394	YDR098C	-0.000278280
395	YGL058W	-0.000290374
396	YDL236W	-0.000291310
397	YOR346W	-0.000303446
398	YGL232W	-0.000303994
399	YER031C	-0.000304489
400	YJR021C	-0.000311897
401	YNL230C	-0.000313424
402	YDR517W	-0.000317214
403	YFR010W	-0.000318018
404	YPL165C	-0.000330138
405	YKL074C	-0.000334689
406	YLR288C	-0.000335459
407	YAR003W	-0.000336963
