rank	yeast_gene	ensemble_score
1	YAL009W	0.092248677
2	YAL053W	0.091392633
3	YLR180W	0.082777778
4	YKR057W	0.076566952
5	YKL034W	0.071505945
6	YCR077C	0.070908806
7	YIL030C	0.067546450
8	YMR302C	0.066355650
9	YLR342W	0.063880797
10	YML075C	0.062709447
11	YJL210W	0.062095262
12	YER177W	0.056013619
13	YPR155C	0.055424528
14	YNL130C	0.055184950
15	YOR298C-A	0.054249195
16	YGR157W	0.053858586
17	YMR306W	0.051832028
18	YJR073C	0.051731602
19	YDR099W	0.050586720
20	YGR097W	0.049336402
21	YDR005C	0.046918233
22	YDL149W	0.046863408
23	YEL013W	0.046748154
24	YAL039C	0.046629261
25	YOL013C	0.045973842
26	YJL030W	0.045126476
27	YJL153C	0.043759602
28	YKR059W	0.043413150
29	YGL062W	0.042980510
30	YMR202W	0.042155090
31	YKL190W	0.042108163
32	YIL153W	0.041958575
33	YBR201W	0.041868008
34	YNL288W	0.041832014
35	YDR158W	0.041240385
36	YHR200W	0.040905617
37	YMR276W	0.039589820
38	YMR275C	0.038972967
39	YPL086C	0.038085060
40	YLR319C	0.037789938
41	YKL212W	0.037661166
42	YLR418C	0.037598083
43	YLR427W	0.037431306
44	YNL008C	0.037174600
45	YNL323W	0.036941908
46	YDL190C	0.036921020
47	YLR018C	0.036882781
48	YBR290W	0.036814326
49	YMR070W	0.036496909
50	YNR032C-A	0.036359864
51	YMR119W	0.035988604
52	YNL209W	0.035677959
53	YBR218C	0.035653899
54	YOR039W	0.035527532
55	YMR201C	0.034452382
56	YLR258W	0.034320557
57	YML124C	0.034038318
58	YDR006C	0.033970447
59	YKL002W	0.033935331
60	YPR149W	0.033916161
61	YER027C	0.033718803
62	YER007C-A	0.033494179
63	YPL199C	0.033447106
64	YJR091C	0.032806425
65	YMR274C	0.032779837
66	YDR001C	0.032413578
67	YLR234W	0.032245524
68	YPL187W	0.032185624
69	YNL142W	0.031738398
70	YML102W	0.031430912
71	YGL208W	0.029898991
72	YLR113W	0.029558482
73	YMR026C	0.029435240
74	YGR173W	0.028969163
75	YDL035C	0.028909123
76	YBL051C	0.028774690
77	YPR173C	0.028578985
78	YOR172W	0.028501242
79	YOR209C	0.028249572
80	YNL138W	0.028185565
81	YBL078C	0.027917168
82	YKL027W	0.027905684
83	YER179W	0.027889268
84	YOR162C	0.027636846
85	YIL040W	0.027350622
86	YJR053W	0.027347563
87	YPL065W	0.027208505
88	YKL032C	0.026496700
89	YBR089C-A	0.025987659
90	YFR015C	0.025974910
91	YML111W	0.025771068
92	YLR381W	0.025564758
93	YHR193C	0.025478538
94	YOR185C	0.025397388
95	YLR207W	0.025152509
96	YOL051W	0.025118739
97	YMR205C	0.024832613
98	YGL070C	0.024699369
99	YAL013W	0.024534974
100	YNL241C	0.024513977
101	YBL003C	0.024504193
102	YNL273W	0.024391110
103	YBR057C	0.024304216
104	YNL278W	0.023980227
105	YKL029C	0.023971474
106	YFR013W	0.023845152
107	YBR001C	0.023760684
108	YMR186W	0.023740511
109	YOR197W	0.023655674
110	YIR019C	0.023630029
111	YLR055C	0.023452889
112	YJL178C	0.023429775
113	YDR059C	0.023361976
114	YBR082C	0.023094619
115	YKR067W	0.023071115
116	YPR075C	0.023028980
117	YOR061W	0.022914918
118	YDR375C	0.022661355
119	YIL133C	0.022475544
120	YKL025C	0.022460397
121	YHL020C	0.022388722
122	YML034W	0.022374326
123	YLR304C	0.022318402
124	YKL067W	0.022247360
125	YKL222C	0.021987734
126	YPR160W	0.021799177
127	YPR185W	0.021757666
128	YOR027W	0.021588576
129	YMR037C	0.021377105
130	YLR048W	0.021332626
131	YML123C	0.021216674
132	YJR014W	0.020857721
133	YDR448W	0.020854339
134	YFR053C	0.020851887
135	YPR052C	0.020846583
136	YBR289W	0.020797986
137	YGL181W	0.020536844
138	YFL013C	0.020486597
139	YFL007W	0.020351966
140	YLR074C	0.020194987
141	YNR023W	0.020059583
142	YGL089C	0.019861385
143	YMR116C	0.019776175
144	YDR265W	0.019530217
145	YKR023W	0.019478858
146	YGL253W	0.019134152
147	YLR403W	0.019031784
148	YNL236W	0.019008972
149	YDL106C	0.019004890
150	YNL159C	0.018955213
151	YDR392W	0.018941293
152	YKR039W	0.018890427
153	YDR176W	0.018853367
154	YOL004W	0.018410402
155	YDR155C	0.018375419
156	YOR153W	0.018347820
157	YGL087C	0.018259216
158	YER162C	0.018015534
159	YGR184C	0.017976698
160	YGL110C	0.017879003
161	YCR073C	0.017832510
162	YCL040W	0.017831933
163	YGL211W	0.017811223
164	YPR042C	0.017685534
165	YJR082C	0.017670600
166	YDR073W	0.017392543
167	YNL248C	0.017389129
168	YEL037C	0.017367708
169	YIL042C	0.017146936
170	YGL125W	0.017126691
171	YHR192W	0.017054256
172	YNL330C	0.017017650
173	YKL086W	0.016994815
174	YBL039C	0.016856051
175	YLR192C	0.016715244
176	YGR240C	0.016679517
177	YHL006C	0.016679470
178	YGR229C	0.016609537
179	YBL002W	0.016566211
180	YPL123C	0.016501959
181	YGL244W	0.016431212
182	YBL007C	0.016306242
183	YLL039C	0.016069459
184	YMR264W	0.016064315
185	YGL029W	0.015907656
186	YJL083W	0.015873432
187	YMR065W	0.015837651
188	YJL058C	0.015796533
189	YCL010C	0.015697387
190	YLR228C	0.015687075
191	YDL006W	0.015438641
192	YHR030C	0.015433540
193	YOR091W	0.015351345
194	YGL019W	0.015299806
195	YBL079W	0.015282981
196	YBR114W	0.015268335
197	YPL203W	0.015110858
198	YDL171C	0.014986902
199	YDR440W	0.014935656
200	YOR023C	0.014913222
201	YLR256W	0.014845798
202	YDL088C	0.014795507
203	YER031C	0.014706176
204	YPL176C	0.014486054
205	YHR077C	0.014466387
206	YBL057C	0.014462676
207	YNR031C	0.014450450
208	YEL066W	0.014437258
209	YHR206W	0.014355711
210	YKL062W	0.014254497
211	YER040W	0.014109155
212	YMR074C	0.014016442
213	YIL036W	0.013989365
214	YLR384C	0.013939475
215	YKR019C	0.013933503
216	YIL072W	0.013871659
217	YMR246W	0.013838616
218	YHR066W	0.013728135
219	YKR048C	0.013664667
220	YBR010W	0.013621651
221	YGL060W	0.013598329
222	YPR030W	0.013509854
223	YKL041W	0.013507699
224	YDR312W	0.013364945
225	YDL005C	0.013327643
226	YMR078C	0.013309037
227	YML001W	0.013294705
228	YBL010C	0.013281093
229	YDR206W	0.013261582
230	YPL133C	0.013259312
231	YMR172W	0.013245817
232	YJL164C	0.013245081
233	YNR034W	0.013223135
234	YER002W	0.013146762
235	YBL024W	0.013103460
236	YGL058W	0.013070013
237	YJR084W	0.013055242
238	YCL055W	0.013032835
239	YMR164C	0.013002143
240	YIR023W	0.012998185
241	YHR081W	0.012946695
242	YML013W	0.012878823
243	YMR258C	0.012873431
244	YCR008W	0.012844585
245	YPL096C-A	0.012778496
246	YHR124W	0.012747863
247	YLR176C	0.012667902
248	YLR024C	0.012667064
249	YBL103C	0.012636300
250	YML103C	0.012570370
251	YDR335W	0.012487681
252	YPR125W	0.012457701
253	YOL012C	0.012313701
254	YOL006C	0.012299193
255	YFL036W	0.012281649
256	YMR263W	0.012210387
257	YGL016W	0.012202075
258	YGL232W	0.012194300
259	YAL051W	0.012188306
260	YBR111W-A	0.012170640
261	YGL252C	0.012097554
262	YMR080C	0.012020992
263	YDL135C	0.011944620
264	YJL204C	0.011941369
265	YKL113C	0.011921020
266	YPR022C	0.011853832
267	YBL021C	0.011844881
268	YLR325C	0.011825194
269	YOR205C	0.011810042
270	YLR270W	0.011810033
271	YNL098C	0.011804789
272	YPL089C	0.011789367
273	YGL078C	0.011771105
274	YOL116W	0.011748291
275	YGR135W	0.011645557
276	YBR059C	0.011643885
277	YFR001W	0.011585600
278	YHR135C	0.011576661
279	YJL128C	0.011569341
280	YKL009W	0.011519056
281	YOR140W	0.011445192
282	YBL066C	0.011427100
283	YPL120W	0.011358392
284	YOR173W	0.011290144
285	YLR025W	0.011193182
286	YLR451W	0.011190762
287	YGL043W	0.011183329
288	YDR213W	0.011151216
289	YFR019W	0.011141231
290	YMR287C	0.011131943
291	YDR192C	0.011120295
292	YKL205W	0.011116180
293	YDR244W	0.011084947
294	YJR066W	0.011039639
295	YHR108W	0.011014780
296	YKL020C	0.011001292
297	YGL066W	0.010971983
298	YER143W	0.010902471
299	YPL254W	0.010901527
300	YJR140C	0.010901073
301	YKL160W	0.010867767
302	YKL057C	0.010845281
303	YIL101C	0.010833009
304	YNL059C	0.010830307
305	YPL212C	0.010817521
306	YDR083W	0.010813865
307	YGR040W	0.010812317
308	YDR121W	0.010803842
309	YJR050W	0.010791174
310	YJR069C	0.010768121
311	YMR014W	0.010766453
312	YPL125W	0.010716701
313	YBR034C	0.010695065
314	YDR277C	0.010609456
315	YER110C	0.010591272
316	YER105C	0.010579578
317	YPR057W	0.010555321
318	YPR184W	0.010527042
319	YER045C	0.010524914
320	YOR380W	0.010514817
