rank	yeast_gene	ensemble_score
1	YNR032C-A	0.089338731
2	YOL104C	0.080976013
3	YML058W-A	0.077363018
4	YGL168W	0.076680522
5	YLR329W	0.072837319
6	YKR059W	0.063651715
7	YHR195W	0.063556786
8	YKL190W	0.060371969
9	YAL027W	0.059144638
10	YER044C-A	0.058342895
11	YLR385C	0.057746294
12	YKL161C	0.057210020
13	YDR252W	0.056798709
14	YGL087C	0.055915006
15	YOR061W	0.054029304
16	YGR275W	0.053741536
17	YLR021W	0.051258379
18	YBR285W	0.050808270
19	YEL013W	0.050715177
20	YKR039W	0.050693838
21	YPL031C	0.050285950
22	YML123C	0.049763904
23	YMR019W	0.049157936
24	YOR179C	0.048965325
25	YOR380W	0.047923262
26	YGR288W	0.047864336
27	YDR260C	0.047632665
28	YFL052W	0.047379287
29	YDL006W	0.046678828
30	YER177W	0.046005487
31	YPL096C-A	0.043767132
32	YKR093W	0.043006072
33	YKL130C	0.042642276
34	YHR030C	0.042434713
35	YGR040W	0.042310733
36	YBR297W	0.041520881
37	YLR113W	0.041509660
38	YDL076C	0.041315772
39	YBL006C	0.040971885
40	YDR099W	0.040587428
41	YGL253W	0.040278531
42	YLR224W	0.040240164
43	YER035W	0.039205470
44	YPL203W	0.037558148
45	YOR189W	0.036655431
46	YPR196W	0.035915092
47	YFR053C	0.035850285
48	YGR206W	0.035519070
49	YNL098C	0.035291104
50	YPR054W	0.035029642
51	YOR185C	0.034945657
52	YBR240C	0.034793676
53	YOR197W	0.033713729
54	YLR445W	0.033570332
55	YGR067C	0.033526876
56	YMR246W	0.032737048
57	YLL002W	0.031930559
58	YMR100W	0.031438947
59	YBR082C	0.031276123
60	YEL066W	0.030955678
61	YMR191W	0.030828615
62	YML036W	0.030596761
63	YNL307C	0.030578363
64	YNL142W	0.030486863
65	YJR073C	0.030478821
66	YPR040W	0.030396175
67	YPR173C	0.030362739
68	YPR149W	0.029920200
69	YER106W	0.029154535
70	YOR153W	0.028982014
71	YDR059C	0.028848540
72	YAL055W	0.028808729
73	YGR180C	0.028802473
74	YGL220W	0.028756190
75	YHR157W	0.028742709
76	YGL237C	0.028695564
77	YGR152C	0.028667373
