rank	yeast_gene	ensemble_score
1	YPL203W	0.114906832
2	YKL166C	0.105639731
3	YPL031C	0.098537785
4	YJL164C	0.084074074
5	YKR059W	0.082811159
6	YKR039W	0.073156804
7	YNL307C	0.069337138
8	YNL098C	0.069336595
9	YDL134C	0.064650959
10	YOL016C	0.063475149
11	YFR014C	0.062018806
12	YOR185C	0.061210348
13	YGR152C	0.059988242
14	YLR329W	0.059278413
15	YPL274W	0.059243870
16	YDL188C	0.059006939
17	YLR019W	0.055714749
18	YMR019W	0.055073073
19	YKL190W	0.053631324
20	YGL168W	0.052843029
21	YDL006W	0.049595829
22	YDR075W	0.049490315
23	YER031C	0.047712560
24	YNR032W	0.046937799
25	YDL138W	0.046609374
26	YKR093W	0.046210445
27	YDR139C	0.045773785
28	YOR101W	0.045544074
29	YDR252W	0.045095743
30	YLR234W	0.044851827
31	YKL161C	0.043715230
32	YLR385C	0.042441778
33	YDR155C	0.041531288
34	YNR063W	0.041464972
35	YER177W	0.040845447
36	YNL209W	0.040845389
37	YHR032W	0.040592334
38	YLR113W	0.040340379
39	YBR082C	0.039526632
40	YGL058W	0.038636642
41	YGR180C	0.037812500
42	YPR173C	0.037380919
43	YLR262C	0.036283391
44	YMR274C	0.035713297
45	YMR246W	0.035393408
46	YPL096C-A	0.035217634
47	YAL027W	0.034914256
48	YDL079C	0.034247047
49	YHR030C	0.034080699
50	YDR059C	0.033799602
51	YPL192C	0.033488227
52	YHR195W	0.033084120
53	YOR179C	0.032711276
54	YDR022C	0.032540187
55	YGR040W	0.031941307
56	YGL087C	0.031911258
57	YIL132C	0.031765110
58	YEL066W	0.031683684
59	YML001W	0.031199540
60	YGR288W	0.031072463
61	YNR032C-A	0.030892831
62	YKL130C	0.030584118
63	YNL130C	0.030332370
64	YJR096W	0.030104777
65	YBL005W	0.030097601
66	YPR054W	0.030020739
67	YDR099W	0.030010536
68	YOL104C	0.029795941
69	YOR197W	0.029711400
70	YPL037C	0.028993268
71	YFR046C	0.028932375
72	YGL253W	0.028818583
73	YGR275W	0.028583471
74	YPL154C	0.028504254
75	YER044C-A	0.028266809
76	YJL206C	0.028114651
77	YGL070C	0.027735050
78	YJL149W	0.027697117
79	YML102W	0.027160555
80	YML058W-A	0.027101429
81	YBR201W	0.027047278
82	YOR339C	0.026546003
