rank	yeast_gene	ensemble_score
1	YML124C	0.061677211
2	YLR234W	0.053256227
3	YMR074C	0.053062799
4	YML102W	0.052719491
5	YHL006C	0.050941081
6	YMR306W	0.050335220
7	YHL002W	0.049392110
8	YOR106W	0.048901075
9	YKL086W	0.047692585
10	YLR342W	0.047609240
11	YKR059W	0.047441749
12	YER177W	0.047145684
13	YBL007C	0.046420555
14	YBR057C	0.045411149
15	YJL210W	0.044744724
16	YKL190W	0.044544494
17	YNL314W	0.044418036
18	YKL029C	0.043090677
19	YCR077C	0.042343074
20	YLR025W	0.042258611
21	YPL203W	0.041579343
22	YDR099W	0.041518402
23	YHR200W	0.041404062
24	YJL030W	0.041255682
25	YNL288W	0.040947289
26	YML075C	0.040314761
27	YBR289W	0.040113226
28	YKL002W	0.039913528
29	YNL008C	0.038911583
30	YCL040W	0.038872694
31	YAR035W	0.038802990
32	YMR205C	0.038625825
33	YLR319C	0.038466080
34	YHR108W	0.038173164
35	YOR113W	0.037425301
36	YPR173C	0.037423779
37	YGR180C	0.037279442
38	YOL086W-A	0.036867905
39	YLR113W	0.036789569
40	YIL153W	0.036519676
41	YMR274C	0.036171560
42	YER040W	0.036153475
43	YAL053W	0.036055912
44	YLR258W	0.034533012
45	YGL070C	0.034495676
46	YOR197W	0.034348890
47	YAL021C	0.034222602
48	YDR392W	0.034011818
49	YMR026C	0.034006220
50	YKL041W	0.033921212
51	YJL164C	0.033826223
52	YLR207W	0.033134209
53	YGL181W	0.032700965
54	YNL209W	0.032511755
55	YHR030C	0.032392712
56	YMR119W	0.032340930
57	YBR082C	0.031385126
58	YCL010C	0.031097098
59	YGL066W	0.030945704
60	YJR084W	0.030848381
61	YKL222C	0.030807381
62	YEL013W	0.030456308
63	YPL199C	0.030321632
64	YPR125W	0.030308241
65	YDR358W	0.030220458
66	YIL042C	0.030042418
67	YMR069W	0.029762884
68	YGL058W	0.029229310
69	YGL087C	0.029169183
70	YBR218C	0.029007905
71	YBL078C	0.028918449
72	YDR244W	0.028863925
73	YGL062W	0.028317636
74	YOR185C	0.028313969
75	YDR096W	0.028079125
76	YHR192W	0.027926162
77	YDR059C	0.027782508
78	YDR074W	0.027607061
79	YDR448W	0.027360874
80	YPL045W	0.027188591
81	YDL056W	0.026920967
82	YAL009W	0.026795082
83	YLR433C	0.026505194
84	YMR276W	0.026455309
85	YPR155C	0.026332882
86	YNL199C	0.026131458
87	YNL049C	0.026002580
88	YGR240C	0.025526696
89	YJR091C	0.024937973
90	YKL027W	0.024471875
91	YDR375C	0.024452102
92	YKL025C	0.023678066
93	YOR298C-A	0.023616320
94	YGL110C	0.023534786
95	YER179W	0.023513097
96	YER016W	0.023487194
97	YOL051W	0.023483091
98	YEL061C	0.023164107
99	YMR080C	0.023147041
100	YML057W	0.023133369
101	YDR101C	0.023044676
102	YJL036W	0.022958355
103	YPL086C	0.022785440
104	YMR258C	0.022329910
105	YML099C	0.021867372
106	YOR061W	0.021755042
107	YGL141W	0.021681029
108	YML100W	0.021512039
109	YOR172W	0.021472829
110	YDR488C	0.021468623
111	YOR162C	0.021309637
112	YBL051C	0.021120116
113	YOR290C	0.021113307
114	YBR223C	0.021113100
115	YDR155C	0.020985024
116	YBL079W	0.020844414
117	YNL098C	0.020812885
118	YML013W	0.020809029
119	YLR048W	0.020660215
120	YDL149W	0.020604728
121	YBR114W	0.020444652
122	YPL096C-A	0.020339100
123	YNL323W	0.020204937
124	YKL034W	0.020173023
125	YGR184C	0.019945353
126	YGR003W	0.019882417
127	YGR135W	0.019770212
128	YDR265W	0.019657895
129	YDL190C	0.019632028
130	YGL019W	0.019551890
131	YER143W	0.019392514
132	YJR127C	0.019223272
133	YOR153W	0.019053879
134	YIL084C	0.018867442
135	YCR073C	0.018774248
136	YPL100W	0.018758481
137	YIL030C	0.018701259
138	YOL089C	0.018675267
139	YOR023C	0.018571963
140	YOR140W	0.018549015
141	YEL037C	0.018370948
142	YDR277C	0.018213337
143	YDL006W	0.018158528
144	YJL137C	0.018102376
145	YPL031C	0.018070008
146	YGR157W	0.018062321
147	YIR026C	0.018048676
148	YBR089C-A	0.017959150
149	YLR352W	0.017923643
150	YIL040W	0.017918533
151	YFR053C	0.017909757
152	YBL024W	0.017902733
153	YOL013C	0.017882025
154	YML081W	0.017744828
155	YGR152C	0.017666866
156	YMR078C	0.017641670
157	YNL273W	0.017631536
158	YKR067W	0.017590171
159	YMR224C	0.017554910
160	YML034W	0.017554470
161	YHR032W	0.017550107
162	YGL163C	0.017531761
163	YOR358W	0.017515597
164	YGL211W	0.017460962
165	YMR127C	0.017448819
166	YEL066W	0.017054133
167	YDR075W	0.017035332
168	YGR040W	0.016972837
169	YLR256W	0.016960652
170	YDR213W	0.016907218
171	YFR015C	0.016822414
172	YPL089C	0.016775640
173	YNL068C	0.016546460
174	YGR070W	0.016533475
175	YER031C	0.016416433
176	YOR027W	0.016295344
177	YCR106W	0.016275336
178	YLL013C	0.016269614
179	YDR001C	0.016262191
180	YBL057C	0.016235060
181	YCL055W	0.016186225
182	YGL253W	0.016156649
183	YBR201W	0.016118731
184	YKR039W	0.016099369
185	YIL146C	0.016075484
186	YGL078C	0.016032910
187	YBL021C	0.015991585
188	YMR186W	0.015961702
189	YNL130C	0.015954649
190	YPL047W	0.015857627
191	YHR206W	0.015738675
192	YGL208W	0.015666168
193	YER007C-A	0.015654529
194	YDL200C	0.015532371
195	YLR032W	0.015495357
196	YBL009W	0.015385054
197	YJR066W	0.015378424
198	YHR135C	0.015343730
199	YMR037C	0.015337528
200	YLR384C	0.015307946
201	YPR022C	0.015280177
202	YPL015C	0.015257188
203	YOR380W	0.015254290
204	YER105C	0.015250385
205	YOR025W	0.015238095
206	YBL003C	0.015223811
207	YMR264W	0.015197816
208	YAL024C	0.015179945
209	YNL097C	0.015133357
210	YNL330C	0.015103217
211	YNL154C	0.015098921
212	YHL010C	0.015078522
213	YLL039C	0.015063746
214	YAL039C	0.015061030
215	YMR294W	0.015058767
216	YBR231C	0.015002687
217	YNL021W	0.014970481
218	YDL170W	0.014949557
219	YNL241C	0.014774783
220	YPR052C	0.014744236
221	YMR116C	0.014736019
222	YFR019W	0.014698562
223	YLR368W	0.014680998
224	YHR066W	0.014585829
225	YGL227W	0.014569656
226	YPL042C	0.014450908
227	YFR014C	0.014447905
228	YFR013W	0.014409640
229	YMR164C	0.014331946
230	YER162C	0.014320831
231	YLR018C	0.014216586
232	YBR111W-A	0.014207205
233	YJR060W	0.014066854
234	YPL022W	0.014059552
235	YJR053W	0.014052971
236	YJR073C	0.013934208
237	YPL226W	0.013913202
238	YML097C	0.013847449
239	YDR179C	0.013840886
